rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,2/5/2019,"A bit about my background: I have been eating Mediterranean food all my life and my palate's favorite food is Italian.I went and ordered from the NYC Winter Restaurant Week Dinner Menu some meatballs, pasta bolognese & panacotta. My partner in crime ordered a bruschetta with mushrooms, branzino & tiramisu.Well, starting with the best part, the desserts - solid options both of them: not too sweet & nice textures!The entrées: my Rigatoni Bolognese was good, but nothing out of the norm. The portion was quite fulfilling. The Branzino was presented with baked vegetables, very simple plating with Italian flavor - the sea bass was nothing special - baked with not too much taste (some drops of olive oil would have made it much better).Appetizers: the Bruschetta was a toast that we could have done at home with some mushrooms and spread cheese... this is not even a brunch level dish... and my Polpettine (meatballs) tasted like frozen meatballs with canned tomato sauce and microwave gratinated supermarket parmigiano (which, if I cooked myself, I would say ""bravo"", but being in an Italian restaurant... that is another story...).The service: correct until... those 33 minutes waiting in between the entrées and the dessert (20 minutes after we finished with the entrées, our waitress Oksana came to pour more water in our glasses & I didn't remind her on purpose about our desserts, hoping she would notice we didn't have food on our table... well, I had to call her and remind her 10 minutes later...) - no apologies nor nothing. Of course, expect to be charged fully & expect to pay their salaries with your tips after you ask for the check twice. Well, a simple gesture or ""apologies"" would have been appreciated... well, at least she said ""good night "" when we left.I understand that due to the location you have to charge the prices of this area. But I don't understand how some simple Italian cuisine is served at such a high price (relatively ok with the NYC Restaurant Week Menu) and with such a service... sorry, I just love decent Italian food - please do yourself a favor and check other restaurants before this one.You're welcome. ;)",0,0,0,Simón L.,"New York, NY",78,81,543
3.0,1/30/2019,"Great service. Great food. But we still don't know how we managed to spend $160 for two plates of pasta and a couple of glasses of wine with one side. Pretty pricey, if you ask me.",1,0,0,Fabrizio U.,"Brooklyn, NY",1127,235,225
1.0,1/26/2019,"This was the most unprofessional and terrible display of service I have ever seen at a restaurant, and ended in them losing our credit card and refusing to offer us anything for the nightmare experience... I showed up at 8:40 for my 8:45 reservation and was told ""2 minutes"" for our table and we ended up being seated at 9:15. Understandable, sometimes restaurants are busy we didn't complain about it.It was a prefix menu and one of the people eating with me is a vegetarian and ordered bruschetta which was described as ""daily market bruschetta"" on menu. When it came it had only cheese and prosciutto... he asked if he could get something else because he was vegetarian and all they offered him was mixed greens and balsamic dressing. We decided to just ignore this and move on with the meal.After eating our entrees, we were sitting, waiting for dessert for over 15 minutes. Instead of our dessert, they brought us the check, and described how we needed to leave because the restaurant was closing early that day... They failed to mention this when they sat us down 30 minutes after our reservation time. They tried to get us to leave the restaurant after 45 minutes of being seated when we hadn't gotten the dessert that we already paid for through the prefix menu! Still hadn't been offered anything for the clearly frustrating experience.We didn't make a fuss about anything and then they bring back the check and one of our cards is missing. Not only were they unapologetic, they immediately blame us for losing the card or perhaps ""putting it in our pockets without remembering."" They started looking around the restaurant forever and can't find anything. STILL they ask us to kindly pay the check and leave without offering any kind of compensation for this horrendous experience.When we were leaving the restaurant, I said to manager on duty (Matt), this is absolutely unacceptable and ridiculous; This was the worst service and experience I've ever seen in a restaurant, and if we were 40 years old we wouldn't have paid a dime for this meal, and probably been offered a free meal next time as well. He responds with ""you're right"" but claims he doesn't have the authority. He asked us to contact them the next day when his boss would be there.We called the next day, after they told us they had found the card and it was, indeed, their fault, to find out the boss Matt instructed us to speak to, Andreas, was not there. We asked for a way to contact him as they told us we would be able to speak to him today and they said no. We explained the situation and they bluntly moaned ""we know what happened,"" then said she was busy and abruptly hung up on us.I cannot stress enough how terrible this experience was and they still have not reached out to offer us any kind of compensation or even an apology for this horrendous experience. STEER CLEAR.Edit: They have since reached out and apologized as well as invited us back to the restaurant. The manager was very nice and apologetic on the phone.",10,1,0,Matt H.,"Ann Arbor, MI",399,3,1
4.0,1/20/2019,"Really enjoyed this cozy restaurant. Matt, our server, was great with recommendations. Loved the pasta and Osso. Wine list was very nice. Relaxed atmosphere. Will be back!",0,0,0,Tammy M.,"Chicago, IL",0,47,0
5.0,1/3/2019,"I hosted an event in their left space last month and the service was outstanding. From the very beginning, Basia was warm and answered every question I had. Also, the food was amazing. I hope to do another event with them in the future.Thank you!",1,0,0,Kristin M.,"ASTORIA, NY",90,46,3
5.0,12/27/2018,"Always a pleasure to stop at Tarallucci. A true emphasis on food quality. Great paninis. The best croisants in NYC. During SPring, Summer and Fall, the terrace offers a great spot in a nice street.",0,0,0,E D.,"Brooklyn, NY",0,6,0
3.0,12/24/2018,"This is a nice spot, tried for brunch. It is quaint and reasonably priced. The waitstaff is friendly but took a little bit of time to order our food, etc, seemed a little busy. Food was good, nothing too bold or out of the ordinary, was as expected. One bathroom for the entire restaurant, was a bit small and a little bit unkept.",2,0,1,Lizzy K.,"New York, NY",278,254,181
5.0,11/8/2018,"Was treated to lunch at this restaurant on Thursday. Let's cut to the chase. The food was excellent. I ordered from the lunch prix fix menu and had the Bruschetta dal Mercato and the Tagliatelle (tagliatelle with duck ragu).  I have had fresh pasta before, but this was the best.  If it wasn't fresh, then it tasted fresh but I know it had to be freshly made.  Everyone in our party of 6 loved everything they had.  I would definitely return and highly recommend.",0,0,0,L M.,"Brooklyn, NY",3,28,2
3.0,11/2/2018,"Drinks only review.It's located at the heart of union square in a slightly quieter street, I've walked by tons of times, finally meeting someone here for a drink, the glass wines (both red and white) lists are very limited, I opted for barbaresco and sat on the outside patio, the ambiance inside is very warmly lighted and well decorated, it was not extremely crowded on a Thursday night but a good flows. Our server was friendly and attentive.  we were not offered of happy hour so prepare for Manhattan prices!",0,0,0,Karry L.,"Brooklyn, NY",106,485,291
5.0,10/26/2018,"WOW! What a tasty tasty place! Came here for a work dinner with colleagues and everything we ordered was delicious, beautifully plated, well portioned and tasted amazing! It's not a cheap place, so I would definitely consider this place for special occasions and celebrations. Happy to share this meal with my colleagues.",0,0,0,Lynn L.,"Manhattan, NY",92,178,93
