rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,3/27/2019,Tea was good. The little tower of food was a hit and miss. Some were really good and some we didn't care for.,0,0,0,John L.,"Americus, GA",16,9,12
4.0,2/23/2019,"Overall, we had a great dining experience because of the service and upscale ambiance.  Love the decor, as it is part of the St. Regis and has majestic chandeliers hanging from the ceiling.  For starters, ordered the risotto, which felt really decadent and came out with edible gold foil.  It was amazing!  Was not as happy with my miso salmon dish, which was okay at best and wasn't well flavored.  Dessert was great and very well presented - I got the pear panacotta and the chocolate mousse cake.",0,0,0,Sabrina S.,"New York, NY",146,54,0
5.0,2/20/2019,"Chris and I stayed four days at The St. Regis Hotel on vacation.We dined multiple times here for breakfast and dinner.I truly believe that service and experience are a two way street and I make it a point to be kind and gracious to staff at high end hotels.  My brother works for a hotel as a chef and I worked two jobs for ten years in restaurants and hospitality.  I know hard working people when I seen them and I can say that the staff at this hotel works hard to please.The restaurant staff was attentive and friendly on all visits. I love tipping and recognizing great service.  It's nice to build rapport with staff during a visit.The ""Dali"" high tea named after Salvador Dali was incredible!  It's priced at $85 per person.  The sandwiches, scones and desserts were of the highest quality.  This is the upgraded tea service and we highly recommend it. Chris ordered a smoked black tea called Du Tigre and it was like nothing we had ever tasted. Unique and delicious. I ordered the Tropical Garden tea and it was spectacular. Chris and I have enjoyed the ""American Breakfast "" every day of our stay.  The eggs, potatoes, breads, fruits, coffee and juice have been consistently outstanding and generous in portion size.We dined here for dinner as well and it was amazing!Tonight we ordered the champagne risotto with lobster. It was plenty to feed two people and the presentation was amazing with real gold leaf accents in the risotto and perfectly cooked lobster. Absolutely delicious!!!  It was served with a generous bread basket. We also ordered specialty cocktails. Our server Riswad has been taking care of us during our stay and made sure we had a memorable meal. Although we were quite full, Riswad brought out complimentary chocolate mousse cups which were a perfect small dessert.  Such a nice touch!!Dining here is pricey but we felt it was worth every penny and truly memorable!We recommend Astor Court!!",2,0,0,Philip M.,"Atlanta, GA",27,191,421
4.0,2/10/2019,I recently went for afternoon tea and enjoyed the experience thoroughly. It had a great ambience with an amazing harpist. I would recommend going on a Sunday afternoon.,0,0,0,Allison M.,"Hoboken, NJ",64,3,1
2.0,2/9/2019,"This rating is for service only!Went during restaurant week 2019 for lunch with 4 co-workers for a change of pace. We put in a reservation through open table the week before and arrived on time and seated after 5 min right near the entrance, and I'm not sure if that was why the waiters kept on overlooking us but we did not get water or bread for 30min! We made eye contact and called politely to waiters throughout this time, which produced a 'be with you in a minute' and one strange garbled grunt the other.After sitting for 30 minutes we were poured water by the nervously shaking (I assume he was new and still learning how to pour?) waiter who ignored us when asked if we could order. The bread that was provided at the same time was cold and hard. By this time we had collectively agreed that even if they did manage to take our orders within the hour we would be spectacularly late for work and decided to leave. The hostess was kind enough to ask if we wanted to talk to the manager as we left but overall we felt very unwelcome and forgotten in the time there. Maybe worth a try if you have nothing better to do with your day!The cherry on top was that the woman who arrived after us was seated right next to our table & served and taken care of right away. Makes me wonder if it was because she was old and we were in our 30s? (The overall crowd at the time was 50+ including our waiter)",2,0,0,Spidereats Y.,"Manhattan, New York, NY",0,3,0
1.0,2/7/2019,Service was not the best. We came for restaurant week. The food itself was subpar. Considering the price one would imagine the food to have more flavor. In particular the fillet with brussel sprouts and potatoes. Severe lack of seasoning. We were seated a little before 5 pm and did not leave until well after 6:30. Only because the service was so slow. We waited 20 mins for our server to take away our entree plates and it wasn't even him that noticed we were done. It was another server. Although he walked past us several times and even took away the plates from the guests at the table behind us. Will not be coming back.,0,0,0,Samantha R.,"Santa Ana, CA",4,1,0
1.0,2/4/2019,"I really wanted to like this place but unfortunately there were more than a few misses throughout our evening. At first walk in , everything seemed very pleasant as we walked through the gorgeous St Regis hotel. I picked out one of their specialty cocktails which was amazing and shared the venison pate with my friend . We both absolutely loved the pate and the warm and perfectly crunchy bread basket .  So why the 1 star you ask ? Well it was all downhill from there. We ordered both the signature champagne risotto and the crab ravioli with caviar. The risotto was awful. No delicate saffron flavor , no delicate flavor at all. instead just a taste of too much Parmesan in every bite. My friend thought the crab ravioli smelled a bit off but we ate it anyway. I thoroughly regret that as I've had a stomach ache all day. My poor friend had diarrhea. I wouldn't have been that upset if I had eaten at a TGI Friday's, but at the St Regis you expect a bit more than to pay 240 dollars for a stomach ache. I loved the ambience and really wanted to come back. But after this poor experience I don't think I will be.",0,0,0,Danielle F.,"Fort Lee, NJ",233,25,8
2.0,2/1/2019,Came here for lunch during restaurant week. The tuna poke wasn't that fresh and my friends had the filet and said not much taste to it. Worse is we found a hair on the butter that came with the bread. The waiter didn't even apologize and just brought back another small dish of butter. No manager came by to apologize either. What a disappointing experience at this so called top hotel - both food and service.,0,0,0,Chris Y.,"Queens, NY",0,3,0
5.0,1/29/2019,"ordered Kale ""BLT""Pull crab meat RavioliPear Panna Cotta(restaurant week dinner, $42)Softened Kale, treated tomato, crunchy(but not greasy) bacon, creamy dressing lighty blend the salad.Caviar elegantly garnished the dish,pull crab meat was tasty,creamy cheesy ravioli,u will love it if u love cheese.Rich creamy panna cotta, light sweet.**but where was my chocolate ice cream , menu said the panna cotta with cho ice cream :(",1,1,1,Grace N.,"New York, NY",22,233,960
3.0,1/26/2019,"Went here for dinner, staff didn't seem too pleasant, waiter seemed to have to be feeling some type of way. He came by as soon as we sat to ask for drink orders, asked for a minute and he never came back. We waived him back and he asked for out dinner order took it almost walked away until I asked for a drink. Had an old fashioned, not sure what they brought but it was no where near an old fashioned, Moscow mule was decent. Food was bland and there crab ravioli is good but felt it was an acquired taste, egg and seafood  dessert was good along with the espresso. All and all it was a chance to experience the restaurant. My party of 4 all agreed definitely wouldn't go out of our way to return.",0,0,0,Marc P.,"Queens, NY",0,17,0
5.0,1/25/2019,"Came here for restaurant week! Didn't have many expectations but I was pleasantly surprised. The service was excellent and the food was delicious and well-prepared. I ordered the tuna poke for appetizer, the filet for main course, and the chocolate dessert (though I also tried the pear one). All the food was great, but the filet was truly exceptional. Cooked to a perfect temperature and texture. The ambiance was also quite nice (expected as it is attached to St. Regis). For a hotel restaurant, this is as good as it gets!",1,0,0,Michael C.,"New York, NY",278,190,137
4.0,1/23/2019,Went here for restaurant week; jan 2019. We were seated right away and was approached with water upon sitting. They space everything out nicely and you never feel rushed. Everything was great. The tuna poke bowl was tasty and fresh. The crab raviolis were good. They gave you a ton of extra crab lumps mixed in the dish. And the chocolate dessert(ice cream part was amazing) was way better then the Panama cotta option. Overall a really nice experience.,1,0,0,Christina K.,"Queens, NY",0,11,4
5.0,1/22/2019,"This is for the restaurant week winter 2019!In a nutshell: Food was amazing, service was good, place and ambience very classy.Ok let's start from when I walked in. We were seated right away at a beautiful window seat. Chairs are really semi plush sofa chairs. Chandeliers all around! Bread was warm and nice flavors.My poke was pretty great. The fresh tuna with avocados and seaweed coming beautifully with the spicy mayo.The champagne risotto was a tad bland. But gold flakes were a beautiful touch.My pulled crab ravioli was surprisingly packed with crab meat. They were so generous with the portion. Beautiful creamy sauce (sorry I'm butchering the fancy names here) that went beautifully with the risotto. The poached egg with (salty) caviar was a brilliant and classy touch.Steak was rightly done and Brussels sprouts and potatoes were perfect. Would expect nothing less from a nice place like this.Dessert was disappointing- it was panna cotta with a pear jelly on top garnished with pear slices (soaked in something), chocolate ice cream, and some crumble, oh and the star of the bowl- meringue. EVERY element is beautiful (jelly really was lost in that mess; and I could do without the crumble) but the ice cream and meringue was lovely. I never got the very thin layer of panna cotta that was lost under all these extravaganza. I'm sure the chef thought about this dessert a lot but the individual elements did not seem to compliment each other. Kudos to the thought though :) and beautiful representation. I need that meringue recipe!!",5,1,1,Dolonchapa C.,"New York, NY",166,279,869
1.0,1/2/2019,"This place is atrocious. Please avoid at all cost. We were staying at st. Regis just before New Year. The service at this place is very lackluster. The server didn't  bring our coffee, forgot to put in the order of the parfait we ordered and on top of that never came back to check on us once. Not even one time! We had to flag him down for water refill. I do see the serve check on the table next to us who are older white folks multiple times. I guess u have to look certain way to get a decent service there then. The bald head server is the worst. For having such overpriced food there for breakfast, the service is definitely not up to par. I'd give a zero star if I could. Unless if you are looking to spend $150 for breakfast and have bad taste in your mouth after, this place isn't for you.",0,0,0,Zach L.,"Los Angeles, CA",13,6,8
