rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/28/2019,"THE WORST CUSTOMER SERVICE !If you want to enjoy good drinks and music and don't mind being spoke to or treated like shit this spot is for you!The employees (HOSTESS) are miserable and rude !I went on a Saturday night and even though I had a reservation for 2 the hostess was extremely rude and dismissive . She asked for proof of my reservation she grabbed my phone OUT OF MY HAND to confirm I had a reservation and still proceeded to tell me "" well you have to wait and not here go to the bar"" once seated at the bar the host came over and said "" well I don't know how much your going to wait but you can eat at the bar"" she was NOT trying to accommodate me the customer service in the place is HORRIBLE HORRIBLE the drinks were good but the service just ruined the whole evening.",0,1,0,Chloe R.,"Manhattan, New York, NY",0,1,0
5.0,4/25/2019,"My favorite spot in Manhattan. The food, the cocktails, the environment, stunning view of Hudson River George Washington Bridge and Rockefeller forests. They also carry the most beautiful wines, they change wine list so it's always a delightful surprise. The staff is very nice, Cristian and Luis are amazing managers, they always go an extra mile to make sure you feel as a special guest. Truly there is  so many wonderful memories created in this place. In the summer they also have an outside bar I will make you feel like you're not in New York, you can order hookah. Must visit.",0,0,0,Maya F.,"Harlem, Manhattan, NY",85,11,7
1.0,4/13/2019,"Sofrito is within Riverbank State Park, The park was built over the North River Wastewater Treatment Plant, which processes 125 million US gallons (470,000 m3) of wastewater every day during dry weather, and is designed to handle up to 340 million US gallons (1,300,000 m3) a day when the weather is wet. This is where you'll be eating if you dine at this place.   Stomach turns in disgust no pun intended.",1,1,0,Jen J.,"Manhattan, NY",0,6,0
2.0,4/7/2019,Brunch is way too much Money for the food & 3 drinks. The appetizers were good but the other food not so much. I got the steak & eggs. The steak was very hard. Service was good but definitely not worth the money at All. Came here for my friends brunch over priced. The outside view is great but it smells if you are there longer than 5 minutes. It's cool for pics.,0,0,0,Tiara G.,"Lodi, NJ",127,17,6
1.0,3/31/2019,"After waiting an entire hour and 15 minutes after our reserved time, and spending over $2,000 in this POS of an establishment, our party was told that we had to move to a lounge area because other people wanted to sit and eat. Half of the restaurant was empty during this time, but our party was still told that we needed to move. Not to mention that half of the orders for food arrived 30 minutes after the rest of the party, cold, and down right DISGUSTING, there were no apologies or accommodations from them. The bills came out quicker than the food! The staff was super unprofessional. 20% gratuity for what? It is safe to say that I will NEVER come back to this dump. Do yourself a favor and stay far away from this place. Thank you for nothing but trash.",0,1,0,Li E.,"Bronx, NY",0,6,1
1.0,3/31/2019,"So I sent an email in regards to the General managers attitude who was rude upon our arrival, and was NOT welcoming at all. The next day he calls me to apologize. The apology was not sincere, his tone was the same used at the door. Also, he says ""my apology but the general manager is a real serious guy"" LOL, really?! My point exactly, he should not be at the door greeting people with his despicable attitude. Then I speak about the bad reviews On ""YELP"" he then goes to say that you can not believe ""YELP"". HOWEVER THE COMMENTS ON YELP IN REGARDS TO SERVICE REFLECTS MY ENCOUNTER AT THIS ESTABLISHMENT YESTERDAY!! #BELIEVEYELP",0,1,0,Jess F.,"Manhattan, New York, NY",63,5,3
2.0,3/27/2019,"dont go for dinner on the weekend! I made dinner reservations for Sunday party of 8 and after having to fill out a form to select a pre-fix menu and provide my CC and carefully reviewing instructions for required dress code and the party being on time we had to wait 40 minutes outside in the cold while they had extended brunch. There was another family waiting for two hours. we were all very disappointed that no one bother to call or text as form of courtesy, in addition, 90% of  the people in this place were dressed in sweat suits and sneakers or ripped jeans. We receive no apologies for the inconvenience. needless to say, I will not be going there again and will make sure to advise everyone I know.",0,0,0,Lillian M.,"New York, NY",0,1,0
2.0,3/25/2019,"We made reservations for my nieces birthday for 8pm. We ended up getting sat for dinner a little after 9:30 after many visits to the hostess stand and saying we were next about 6 times. We were also told that we had to pay $15 per person for those who didn't show up. Once we were at the table we were basically rushed throughout dinner and told that if we wanted to stay longer we had to go to the bar. We were there with teenagers how are we going to go to the bar? The food was good and so were the drinks but this is the last time I will go here. This is NYC, good restaurants are a dime a dozen go somewhere where they'll appreciate your time and money!!!",2,0,0,Amber R.,"Bronx, NY",1,6,4
2.0,3/16/2019,"I've made a reservation for 9p and ended up waiting 2 hours to be seated! I can't believe we actually waited. This was completely frustrating considering i had pre-planed arrangements with my birthday group after dinner - those plans had to be cancelled. I also had to keep checking in when we were going to be seated (an update would have been nice to keep my party at ease). We were hangry at this point. The food and dj was good, but i won't be returning. I've been here plenty of times and never dealt with this issue. The wait game really put a sour taste in my mouth. Who wants to leave a birthday dinner after 1am when the reservation was at 9p? We also weren't accommodated for the long wait after spending over $1000. We didn't get a free bottle or pitcher or anything - quite ridiculous. I also felt rushed to eat. Servers were taking plates so fast and didn't refill our waters. Such a sucky bday dinner.",2,0,0,Omnialyce ..,"Manhattan, NY",128,24,10
3.0,3/15/2019,"I have been to Sofrito for both Brunch and Dinner and have very different opinions on both. I'll start with Dinner being that it is my only positive review. The mofongo here is BOMB. I've tried the pork one, the shrimp one (favorite) and they have both, at all times, been cooked to perfection. The shrimp one has this delicious garlic sauce that I can just live in lol. It's usually relatively empty for dinner and I definitely recommend it. Now Brunch, I have come here for several occasions, birthdays etc and can say that the service, food quality and quality in general has deteriorated from about two years ago to now. To start, they no longer do bottomless brunch - which I feel is what kept the people coming. Although its considered a party brunch and the vibe is great, three mimosas at sucha pricey cost? Not worth it - ESPECIALLY since the food isn't even that great anymore. I did not even finish my meal, if I'm being honest. I had the baby paella and wasn't wowed in the slightest. My mother ordered the chicken and waffle sandwich (?) and without even asking her if she had finished with her meal, they just took it away. Aside from this, the service was atrocious - we're paying money and clearly far too much and to not get the service deserved is frustrating. In addition, it hit the hour and a half mark and we were already being kicked off the table for other reservations. If the tip wasn't included within the price, I would have left nothing and expected money back. i gave the three stars because of dinner, but brunch deserves nothing more than 2. Brunch - NO Dinner - YES!",2,0,0,Mary T.,"Bronx, NY",5,17,22
1.0,3/11/2019,"This is the worst restaurant I have ever been to. I wish I could give them ZERO star because they don't even deserve 1. To begin we made a reservation for 2 pm but we're not seated until after 3 pm. The hostess claimed I did not tell her the whole party was there even though I did. I spoke with the manager who was useless. On the website it is advertised as unlimited but when we got there the waitress said 3 drinks per person that is very misleading but we still continued. The waitress took our food order two times but when the food came out it was still wrong. We attended brunch for my boyfriends birthday 17 people total, we had a cake that had henny shots in it. The manager then comes over screaming telling us that we're aren't supposed to have it and it's extra. The cake was placed in the back fridge so if there was a problem or any extra charges they should have charged us or informed us of charges beforehand and we would have paid them. The cake was brought out with no knife or plates. I spoke to another manager who was even worse than the first. The customer service here is terrible! I will never return and I urge other people to not come here either. There are plenty of other places in NYC that treat you nice and give you better service. Our bill was over $1,000 and it's not the price that is the problem because we paid it it's just the service we received for this price.",0,1,0,Kiara J.,"Englewood, NJ",0,3,0
2.0,3/10/2019,Came her for a birthday dinner and made reservations for two. To my surprise when i entered the wait was ridiculous. It doesn't matter if you have a reservation you will still wait 45min to an hour. The place is way to small. None the less my meal was OK. It has a nice view and the music is too loud for conversations. Way better options in the city so i will not return.,0,0,0,Sasha S.,"Brooklyn, NY",0,8,1
1.0,3/10/2019,"If I could give zero stars I would! This place used to be kind of bad but now its HORRIBLE!!! went there for Saturday brunch recently and found out they are lying on their wesite about what brunch entails. It says unlimited drinks for 1.5 hours but the waiter said it was ONLY 3 DRINKS! when I asked if that was a new policy and he said that it had alwsys been like that which is a boldface lie! Anyone who has ever been there for brunch knows it was unlimited. Not to mention they increased their brunch price to $42. So basically I paid $50 for bland mangu and 3 watered down mimosas, what a joke! The drinks were watered down, the food was subpar, the service sucked, the staff is not friendly, and they false advertise. Save your money this place is the worst, all the negative reviews are true! At this pace I wouldn't be surprised if they closed soon. STAY AWAY!!!!!!!",0,0,0,Evangelista G.,"Bronx, NY",0,5,0
1.0,3/9/2019,It's not really bottomless brunch. Expensive and food is not even that great: service is terrible.,2,0,0,Nuria F.,"Bronx, Bronx, NY",25,1,0
1.0,3/8/2019,"I visited Sofritos for a Birthday brunch on March 3, 2019. There were 21 family and friends in attendance. Brunch was $42 per person, plus tax and gratuity added up $65 per person, most expensive brunch I have attended to date. My 1 star rating is for the great DJ and atmosphere, and that's where it ends. We were seated in about 15 minutes, due to making a prior reservation. A few minutes later our waiter came out with a tray of sangria already poured into plastic cups. As the waiter went around the table serving the Sangria, everyone at the table was confused because no one had been asked if we wanted mimosas or sangria. As the waiter approached me with my drink I explained that I did not like Sangria and I would like a mimosa instead. Waiter seemed bothered by my request and proceeded by telling me ok,  but you all only get 3 drinks per person. Keeping in mind that this was my sisters special day, I opted not to argue about his rude response, instead I looked up the brunch menu, which I had already previously read in detail, and sure enough it stated complimentary mimosas and sangria during your dining experience. Shortly after we were given some trays of calamari, pork chunks and tiny empanadas, which comes to the tables of parties of 6 or larger. Finally a waiter starts going around the table taking our orders, again I see our guests with puzzled faces, but music was too loud for me to hear what the issues were. As the waiter got to me, I first pointed at the appetizers (which is included in the brunch) to say that i wanted a salad and the waiter immediately interrupted me and stated No, No we already put appetizers on the table, you don't get that! While waiting for the only food that we actually got to pick ourselves, the waiter came out of the kitchen with a tray full of mimosas and sangria in cups. The waiter proceeded to take one cup and used that cup to refill a few drinks by pouring the cup into the cups that were already on the table, which were not finished yet. Basically everyone had the same question, Does this count as our second drink??? Waiter gave no response. Has anyone been to a brunch that refills drinks in this way? Am I crazy? Don't waiters come out with pitchers to refill drinks??? This was ghetto as fuck. And finally the clincher, our food has arrived, I ordered the salmon, When i was served my plate, I could not believe my eyes..half of my salmon was missing or so I thought. I got up to see if anyone else had ordered salmon and sure enough the two other people that ordered, also got half a piece of salmon...smfh! Needless to say that was it for me. After being served half a salmon for the price that we paid, not getting our third drink, being rushed and having to stop the waiters several times from taking our appetizers and entrees before we were finished, I can honestly  say that I will never return to this unprofessional place again. I have been to many brunches all over the city and paid half the amount and had great food and great service. Please don't waste your time or money here.",2,1,0,Yolanda C.,"Bronx, NY",0,2,2
2.0,3/4/2019,Cool place to hangout and grab a few drinks. Not sure what all the hype was about as I was unimpressed with the food. I ordered salmon with rice and black beans shared Empanadas; boyfriend ordered the chicken with rice and beans and relleno de papa..and sangria.. everything was over hyped and definitely overpriced.. we really enjoyed our drinks though I had one with coconut rum and he had one called bubbles with strawberry champagne.,0,1,0,Mills F.,"Brooklyn, Brooklyn, NY",0,5,0
3.0,3/2/2019,"Came here for a friend's birthday. Everything was okay to mediocre. The portions were small but can't expect much from a brunch place. The alcohol it said to be ""unlimited"" but you only three mimosas or sangrias which were also just okay. Kinda of over priced compared to other brunch places I have gone to.",0,1,0,Humberto C.,"Queens, NY",0,8,0
