rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/25/2019,"LOVE this place! If I lived in the city, I'd go here every night! The service is amazing. Fast and prompt. Everyone is so nice there and the food is GREAT. Prices are very reasonable and the portions aren't small like some of the places around here. Nomad. If I'm ever in the area, I'll definitely be back!",0,0,0,Kam C.,"Glen Cove, NY",0,1,0
5.0,4/19/2019,Just discovered Tarallucci E Vino through the NC app. It's a great place; best Cacio E Pepe I've ever had & everything else was awesome too! I also had some kind of apple-y cocktail that was delicious & the manager and wait staff are all super nice. I'll definitely be back. Highly recommend!,0,0,0,Amanda B.,"New York, NY",0,9,0
5.0,4/8/2019,"I'mIn this neighborhood sooooo much and somehow I've gotten into this restaurant for the first time. And I must admit, it was a delightful find. Very nice staff. I sat at the bar, so had a good talk with a host (she has a beautiful energy about her) .. has some antipasti (yummmm octopus l) and ravioli . WINE OMG, if you are Into white wine .. get Pecorino. It's just magical !!! I'm looking forward to gloomed back here especially when it gets nice and sunny",0,0,0,Khrystyana U.,"New York, NY",42,13,5
5.0,3/25/2019,"My favourite Italian restaurant in NYC! Amazing pasta, great wine selection and I always get their chocolate mousse cake! But the best part is how welcoming the staff is. The manager is so accommodating and goes out her way to help. 5 stars! Go visit!",0,0,0,Alexandra M.,"Manhattan, New York, NY",119,2,0
5.0,3/25/2019,Good ambiance and a great coffee. Everyone is very nice and allowed for substitutions since I'm vegan. Would recommend to anyone looking for a nice lunch spot in Nomad!,0,0,0,Vaughan O.,"Barcelona, Spain",181,5,5
5.0,3/23/2019,My daughter treated me to dinner here during my trip to NYC. The food is absolutely amazing and the bartender is an artist with his signature drinks. We ordered the octopus appetizer and it was delicious. I had the pasta with wild mushrooms and brussel sprouts and my daughter had a cheesy spaghetti. Both were to die for. This will definitely be my go-to place every time I visit.,0,0,0,Sylvia F.,"Bothell, WA",0,5,1
5.0,3/22/2019,My friend used to live next door so we have been here for drinks.  This place has an Amazing vibe and interior.  Came here for dinner in a Friday night and ate at the bar.  The staff is super friendly the hostess especially had a great energy about her.The music on point.  The dishes very tasty and fresh.  I had the octopus for appetizer with the gluten free spaghetti  noodles.  Would definitely come back again very soon! Highly recommend this place if you're in the area,0,0,0,S W.,"New York, NY",438,65,23
5.0,3/16/2019,"Tasty cocktails and great service. Bartender is very nice and friendly. Try their grilled octopus- it's is very good! good price point as well. Also, pasta is delicious",0,0,0,Margarita A.,"Cliffside Park, NJ",0,5,7
4.0,3/16/2019,Had a great first date with a gentleman here on a week night. I had the arugula salad and it was perfect. I would come here after work for cocktails or for an intimate dinner.,0,0,0,Robyn W.,"Manhattan, NY",33,159,81
5.0,3/4/2019,"very good happy hour specials, was a lively crowd at the bar.  Owner was extremely nice.  Friendly staff",0,0,0,Lauren C.,"Poughkeepsie, NY",0,3,1
5.0,2/28/2019,What a lovely dinner spot! Its very quaint and everyone is super friendly. Our food was very flavorful and delicious. I will definitely be back. Thank you Tarllucci!,0,0,0,Dana J.,"Mar Vista, Los Angeles, CA",65,12,18
5.0,2/27/2019,Tarallucci is a delicious Italian restaurant in the Nomad area. Super clean and modern atmosphere and service is very warm and friendly. Would recommend the cacio e pepe!,0,0,0,Rachel N.,"Outer Sunset, San Francisco, CA",1,2,2
5.0,2/23/2019,"Lovely atmosphere, food was good and service was great. Manager Adriana made our experience one to remember and definitely left us wanting to comeback.",0,0,0,Alejandra B.,"Greenport, NY",48,1,0
5.0,2/22/2019,"Had such an amazing night here - just grabbed some wine and delicious food at the bar with my best friend but everything was great. The wine, food and handsome bar tenders made everything a memorable night. Will definitely be returning",0,0,0,Lauren M.,"Manhattan, New York, NY",129,9,1
5.0,2/19/2019,"Excellent!! The food, the drinks, and the atmosphere made for an amazing meal! Adrianna was so welcoming and fun; she really made the experience that much better! Our bartender, Al, made the most spectacular drinks with such gorgeous presentation. i got the octopus appetizer (pictured) which was phenomenal! It had a delicious wasabi sauce that was not too overpowering which I've found happens often with wasabi sauces, but their chef made it perfectly. For the entree, I got the wild mushroom pasta which was also to die for! For desert, I did the chocolate mousse cake which was beautifully plated but looked too delicious to waste time taking pictures-- I dove right in, so so delicious! I can't wait to come back! This is definitely one of my favorite spots in all of NYC!",0,0,0,Becca G.,"Manhattan, New York, NY",0,13,1
5.0,2/18/2019,"I've been here twice now and both experiences have been great! The first time was in the summer and it was great to be able to sit outside and enjoy some pasta and wine. More recently we went out the last day of winter restaurant week. After seeing their menu was different than the normal offerings, I had to try it! Staff was very kind and was quick to make recommendations. I had the meatballs as an appetizer and then the butternut squash ravioli for a main course. Both were AMAZING and I have been crazing them since. Unfortunately I do not thin the Ravioli is on the regular menu. For dessert we had a lemon tart, also delicious. Ambience was great and drinks were too. Can't wait to go back!",0,0,0,Kati B.,"New York, NY",230,130,60
2.0,2/16/2019,Great food but under par service. Our starter never came. The check came before we finished our wine and before the plates were cleared. No question also if we wanted dessert. The specials lamb was great but w 48usd overpriced. We were w our two well behaved boys and the manager was friendly but it felt like we had to leave,0,0,0,Filiep D.,"Manhattan, NY",0,13,1
1.0,2/14/2019,"WANT TO BE TREATED BADLY?  Go here!  I met a friend at Tarallucci on Valentine's Day at the bar for drinks and appetizers. My friend got there a moment before me order an appetizer.I got there 45 minutes for their happy hour appetizer supposed to and end they told me no more appetizers at all and there was no sign. I think this is very bad service. We asked the manager to come over and when she came over she said oh yes it's her fault she dropped the ball. But next year she would not drop the ball on Valentine's Day. And I said to her wow you're assuming that we're going to come here for another year after the that you treat customers that you don't care and leave them hanging. They clearly do not care about you, your experience there, or how bad their service is.",0,0,0,Lisa L.,"Manhattan, New York, NY",97,4,0
4.0,2/8/2019,Great lunch! Great service! Very helpful wait people. Very reasonable lunch special and excellent food.,0,0,0,Sioux F.,"Pinehurst, NC",0,4,0
4.0,2/4/2019,"Solid italian food for an easy, reasonably priced meal. The service was eh.",0,0,0,Sofia C.,"San Francisco, CA",674,87,16
4.0,1/11/2019,"We went here for New Year's Eve, intrigued by the offerings on the night's menu.The service was good, and the staff very warm and friendly. I felt bad that the horrible weather kept most of the people who'd made reservations away. The atmosphere is cozy without being crowded.We enjoyed our dinners. The duck ragu was delicious. The osso bucca was velvety and rich without being too heavy. The one downer for me was the mushroom souflee. Way too harsh flavor.We hope to be back.",0,0,0,Melissa H.,"Weehawken, NJ",0,16,1
5.0,1/10/2019,Wonderful place! Thank you Adriana for the great service! Looking forward to coming back,0,0,0,Alex S.,"Great Neck, NY",0,28,0
5.0,12/16/2018,Came here last week for a holiday dinner with friends. Ordered the tagliatelle with truffles (per our awesome server Shannon's recommendation!) and it was great! Shannon also recommended we try the Barolo red wine which also was awesome. Will definitely come back!,0,0,0,Natalie S.,"New York, NY",0,1,0
5.0,11/23/2018,"I went to Tarallucci and they deserve 5 stars. They have an excellent wine selection. Our server, Nicolas recomend us the wine Amarone (it was sooo good) the Grill Octopus, and the Black Truffle Tagliatelle that was AMAZING! Service was wonderful, he was always kind. Great atmosphere, Great dinner. For sure I'll be back. 5 stars!",0,0,0,Valmore S.,"New York, NY",0,8,0
3.0,11/10/2018,"Went here with 2 friends for dinner after a show. In short nice place with a nice ambiance, mediocre food. We started with calamari, burrata and a selection of crostini - all were tasty nothing to write home about. For mains I had the Cacio e Pepe: another straight 3 it was decent - nothing spectacular, I could easily make it at home. One of my friends had the scallops (good it seemed - small portion he joked he'd be eating McDonald's after) and another friend had the duck which was also decent. All in all not a regrettable meal, also not memorable in any way. Personally, as nice as the space was I wouldn't come back here again",0,0,0,Mariam K.,"Norwalk, CT",0,25,9
5.0,11/10/2018,"Taralucci E Vino was an incredible experience from start to finish. We were greeted by an outgoing and friendly waitstaff and were seated promptly. The restaurant had a variety of specials, and the menu offered lots of choices. Our food and drinks arrived promptly, and our waitress was incredibly attentive. I highly recommend ordering the burrata as an appetizer! For our main courses, we had gnocchi and the risotto- both prepared fresh and with quality ingredients. Yes, the restaurant is on the pricier side, but I wouldn't hesitate paying more for the quality of food and quality of service. Would definitely come back!",1,0,0,William F.,"Manhattan, NY",423,14,4
4.0,10/25/2018,"My new favorite lunch prix fixe spot.  I was happy with the 3 courses, started with pumpkin soup, handmade tagliatelle with ragu and panna cotta.  Chic decor and friendly staff.  Will be back for sure.",0,0,0,Mi Rae C.,"Manhattan, New York, NY",79,536,1993
