rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/5/2019,"Ana Maria (server at bar) is an exceptional compliment to this upscale establishment.  She has provided excellent appetizer, entrée, and dessert suggestions.  Her friendly demeanor and superior service is the primary reason I dine here at least 2x during the same week while in town on business.",1,0,0,Ramsey B.,"Palos Hills, IL",427,622,26
1.0,2/28/2019,"Probably the worst steakhouse you could go to in the city. It took them 2 tries to get my steak medium rare and my friend 3 times and by the third time the outside was so burnt and inside was still extremely purple, it was not even worth it. I can go on and on how about how bad this place is, but i can sum it up in two words. Overpriced and disgusting.",0,0,0,Sean K.,"Middlebury, CT",1,13,11
1.0,1/26/2019,"This review is based on Restaurant week.  Thursday  January 24th at 12:30 pm My friends and I decided to do lunch at this restaurant. The restaurant was completely empty. The waiter was in a shitty mood his mood changed for the worst once we ordered from the Restaurant week menu.  Two of us ordered the steak and one the salmon.  We ordered the ""green salad"" as the appetizer. The salad was horrible and it was not fresh at all. The Pettit steak was decent but the steak knives provided were not sharp and my friend and I had a though time cutting it.  The salmon looked good and my friend said it was decent but had better. When we got the check he just threw it at the table and left. Overall they have very poor customer service and shitty food. I regret spending my money at this place.  They should not be participating in Restaurant week. My recommendation is:Don't order from the restaurant week menu.",1,0,0,Dulce Q.,"Manhattan, NY",13,89,22
2.0,1/14/2019,"I was disappointed that this ""Steakhouse"" cannot cook a steak properly. My son ordered the 12oz filet medium-rare and it came out raw (deep purple) in the center. We sent it back, but when it came back out the outer 1/3 was well done and the center was still purple. It was so gross looking. His friend ordered the NY Strip and it came out too rare, had to send that back. Both boys had to wait for new meals. We were not happy!!",0,0,0,Rose B.,"Middle Haddam, East Hampton, CT",0,1,0
1.0,1/4/2019,"If one thinks they are coming to an old steakhouse with the old classy vibe and waitstaff , they would be mistaken ! I've been coming to the steakhouse for many many years , I knew something was amiss when I walked in . The hostess was pleasant , manager was reasonable , but the waitress clearly was not a happy camper , not to mention she handed me a steak knife point first , that went by my girlfriends ear . Food was decent at best . Price was expensive to be sure . I would steer anybody clear of the brand new sparkling f and j that's trying to live on what once was a real classy joint .",0,0,0,Caleb F.,"Solana Beach, CA",0,5,0
4.0,12/26/2018,The food and service were very good! It's quite pricey though...while the food was delicious I don't feel that it was quite worth the price. However I would go again for a special occasion.,0,0,0,Dara D.,"San Diego, CA",159,17,0
4.0,12/24/2018,We went to eat here to celebrate the the kids sweet 16 for a steak. The food was really good. My Sea Bass was amazing. Service was spot on. Expensive but expected.,0,0,0,Kristy B.,"West Columbia, SC",0,8,2
5.0,11/30/2018,A late lunch. We opted for pasta dishes rather than steak. Very comfortable and nice atmosphere. A traditional steakhouse with a nice warm ambience.,0,0,0,B M.,"Englewood, FL",2,42,1
5.0,11/28/2018,"We are visiting New York again and as always had a wonderful dinner here, the service was fantastic the food never fails I can't understand what people are disappointed in it's one of the places we look most forward to every time we're in town it's 5 star every single time",0,0,0,Donna B.,"Riverside, CA",0,24,6
2.0,11/24/2018,"Everyone raved about this place and I left disappointed. It's an old school steak house but nothing about the food or atmosphere wowed me. Definitely much better steakhouses in NYC from my perspective. Also as someone with a dairy allergy, I didn't get the perception the server really understood or took the allergy seriously.",0,0,0,Danielle L.,"New York, NY",5,86,251
