rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,1/12/2019,"Regretfully, the three stars for this hotel restaurant are apparently apropos.  The weekend brunch menu seemed appealing and with ten or so tables occupied, I thought I'd give it a chance.  But as others have noted, the meal was comparatively banal and the service sluggish.  If you're not in the mood for uninspired and greasy, you'd do well to avoid the croque madam.  Sigh.  I should know better.  Always check the Yelp reviews first...",0,0,0,Tony A.,"Alameda, CA",0,15,1
1.0,12/25/2018,"I don't even know where to begin.....We were in NYC for Christmas and wanted to have a nice dinner. We were specifically looking for a French restaurant with duck on the menu. After reviewing many options I called Gaby Brasserie to inquire if they were serving a prix fixe menu or their normal menu. A gentleman on the phone confirmed they would have both options so I booked a reservation. Upon arriving at the restaurant we were promptly greeted and seated and presented with a prix fixe menu. I asked for a regular menu and was told prix fixe was all that was available tonight...there was no duck on the prix fixe menu!!  We should have left then but were all hungry and didn't want to hassle with finding somewhere else on Christmas night.  The 3 course prix fixe menu was pretty basic with choice of either a soup or salad, an entree, and desert. Choices were limited with a single soup (lobster bisque), single salad (caesar), 3 entree options (filet mignon, chicken, salmon), and 2 desert options (cheesecake and cream brulee). It also included a champagne toast. The lobster bisque was bland and contained very little meat. The 6 oz filet mignon was cooked well but hardly seasoned and the glaze lacked flavor.  The green beans that accompanied were over cooked and bland while the mashed potatoes were good. The cheesecake was ok. Honestly I've attended weddings with a better menu selection. It's also hard for me to reconcile the cost of $115 based on the quality and portions provided. Service and ambiance were seriously lacking. Our server was aloof and absent the majority of our meal. I didn't have an option to order a drink after the champagne toast until our entree was being served.  Our children's entree was served at the same time as our soup which left them finished and waiting on us to finish our entree once they arrived. To top it all off they were playing rap/hip-hop over the speakers which was odd and out of place. Worst of all...no duck for Christmas!!",1,0,0,Robert F.,"Flagler Beach, FL",1,18,0
5.0,12/16/2018,"We went here before Hamilton (!), and it was. Murphy's Law kind of night. Mix up on reservations, our fault, too late arrivals, and hitting it right before the theater rush. The service was outstanding, they were extremely attentive (and patient, thank you Tim) despite the theater rush, the food was quite good, the wine was great and the list was comprehensive. I'm not sure what the expectations are of the people who gave some of the crappy reviews, but based on my experience last night, they might want to try again. I was very happy, and so was the rest of the party, even though we had to race out of there before we finished dessert. I would like to go again another time :-)",1,1,1,Lisa P.,"New York, NY",5,79,1
2.0,11/27/2018,Total tourist trap.  I was invited as a guest.  We had unlimited boozy brunch beverages which was nice.  But they did not fill them up nearly fast enough.  The food was just okay.  I honestly don't even remember what I had.  And their bathrooms?  Way downstairs and off the beaten path.  You had to really commit to get there haha.  Will I be going back?  Take a wild guess.,0,0,0,Taryn C.,"New York, NY",280,766,51
1.0,11/13/2018,So hard to talk to..nothing more to say. Why is it ask me to write a long review. Can't communicate to the person work here,0,0,0,Junyi W.,"New York, NY",0,4,2
4.0,9/19/2018,"Good spot for business meetings and phone calls. I had to take a private phone call here and no one bothered me. Server paid just enough attention to me.However the price was extremely high! What else do you expect from a hotel restaurant . Normal menu, not a lot of selection- the French press coffee is a nice addition",0,0,0,John J.,"Weehawken, NJ",10,130,300
5.0,9/5/2018,"This is a great French bistro located by Times Square. Granted, it's a hotel bar located in the beautiful Sofitel Hotel, but the hotel is French influenced!All these past reviews are talking about horrible service, who cares? They have Jenlain on tap for $9 bucks. The city of Jenlain isn't too far from Belgium so they got the beer making process down, French style.If you have theatre plans, try a nice wine flight and cheese sampler or a pot of great French pressed coffee before your show. They serve you sugar cubes, fan-say!Its very elegant, very French and a very cool chill spot in Times Square. Great little bistro to stop for a pre theatre bite.",16,8,13,Bill S.,"Long Island, NY",601,2493,5315
1.0,8/8/2018,"I came to the Gaby restaurant during restaurant week for Sunday Brunch to celebrate my daughters birthday. During the restaurant week they switch the brunch menu to a one with a very limited choices, also they charge extra $20.00 per person for mimosa's. The spinach salmon salad did not have spinach in it. The usual eggs Benedict or steak and eggs were not available instead, we got grits with poached eggs, strips of fried chicken over waffles. Total junk!!! Did not wanted to spoil my daughters B-day under other circumstances I would walk out! For $296.00 paid we got food worth $50.00. Totally waste of time!!!. My girlfriend at still has a weak stomach after this latest experience Stay away!!!",0,0,0,Alex N.,"New York, NY",0,1,0
1.0,8/7/2018,Unfortunately went during Restaurant Week and was informed that the regular menu would not be available.  The food offered was very limited and I left.  The staff was very rude.  Will not go back.,0,0,0,Alexandra N.,"Elmwood Park, NJ",0,5,0
4.0,7/10/2018,"What a great surprise! Purchased a 4 person bottomless brunch for my girls weekend via Travelzoo for a great price so my expectations were moderate. The confirmed my booking the day before and we walked in and we're seated immediately. This is a part of the Sofitel hotel so it was a mix of brunchers and hotel guests having breakfast. The space is very nice and we had several wonderful waiters tending to us! They kept the bloody Mary's (a little spicy but tasty and strong) and mimosas flowing for the entire time we were there. A nice breadbasket filled with yummy French breads (ask for the jam and they will bring a tower of French jams and honey). Included in our brunch was an app and an entree. We had:AppsMini bagel and lox (so good lots of luscious smoked salmon)Avocado toast w/smoked salmonFrench Onion SoupStrawberry Brie saladAll were amazing! Entrees 3 steak and eggs and I had a croque madame.  The steaks were thin ny strips but cooked perfectly. The croque madame was enormous and came with a basket of fries that were insanely yummy. Then we had French press coffee (one pot each!) and we were incredibly stuffed. It was a good value without the special. The staff was so professional I think they need mad props from management. We would go again in a heartbeat even without the ""deal""",4,1,2,Deb E.,"Guilford, CT",8,168,302
5.0,7/4/2018,"If I could give them more star I would they truly deserve the 5 star.   The service was amazing , the food was great, specially The Gaby Burger.",0,0,0,Anis J.,"McKinney, TX",0,12,14
3.0,6/29/2018,We were visiting NYC. Had breakfast here. It's a hotel restaurant in NYC so we expect to pay a lot. Great service but food was meh. The eggs on the eggs Benedict were poached way to hard. No run whatsoever. Nice breads juice and fruits.,0,0,0,T S.,"Wattsburg, PA",0,56,4
5.0,5/13/2018,"I was a little late to post but now it is really late. We had brunch here on Sunday, February 4th for restaurant week (Winter 2018).We had reservations for 3. My fiancée decided we would do ""French"" weekend experience for his daughter.Walking into the restaurant, we were greeted by the hostess and sealed immediately. Decor is casual, it is connected with Sofitel hotel above. The waitstaff were wonderful. My apologies, I am so late posting this review that I have forgotten our waitstaff's name. But he was wonderful, very professional and makes you smile every time he stops by your table. Here's what we ordered: My fiancée & his daughter ordered DUCK PROSCIUTTO (red watercress, tangerines and toasted hazelnuts tossed in sherry) vinaigrette. The duck prosciutto was tasty. And I ordered ROASTED CAULIFLOWER PURÉE (Belgium endives, smoked arctic char roe, croutons) now that I think about it, I don't recall if there were croutons but it was delicious! Full of cauliflower flavor and the char roe made it even better.My fiancée had the shrimp & grits, which was delicious! His daughter and I had the brunch burger. We asked for rare burgers and the bacon jam made it full of flavor. We were amazed.As for dessert, fiancée had the sweet french today and we had the lava cake. The lava cake tasted like raspberries covered in dark chocolate with the chocolate filling.It was a great experience, all the staff provided great service and we would definitely go back.",0,0,0,May Y.,"Brooklyn, NY",113,81,90
5.0,4/22/2018,"In the mood for brunch? In the mood for an authentic French brasserie? Well, then head to Gaby. Located in the luxurious Sofitel Hotel, Gaby can be reached through the hotel lobby, or via separate entrance on East 45th Street. No matter how you enter, you will be impressed. The decor is stunning, and the restaurant spacious. I frequent Gaby for brunch, but lunch and dinner are most likely an equally enjoyable experience. Gaby is also overlooked in one way; it is an excellent place for brunch or lunch before a Broadway matinee. The Theatre District is a short stroll away. My last time at Gaby was excellent. My friend and I came for brunch and both ordered the three course Brunch Prix-Fixe. It is also possible to order a la carte. It starts with a basket of delicious breads and pastries, including baguettes and croissants. For the appetizer, I had the bagel and lox. It was marvelous. The bagel, which was freshly baked, came with a generous serving of lox. It was served the way I like best, with cream cheese and tomato on the side. My friend had the avocado toast, which looked spectacular as well. I did not try it, but my friend was quite a fan. For the entree, I had the ""American Classic"". It was consisted of two eggs any way, bacon or sausage, and potatoes. I had it with eggs over easy and sausage, and it was just what I had been seeking. Perfect brunch. My friend had the eggs Benedict. Very good indeed.  The meal comes with coffee or tea. Get the coffee, which is out of this world. They make it in a French press, which does it best. You can also have unlimited brunch drinks, such as mimosa and Bloody Mary, throughout the meal, for an additional fee. Not only are the food and decor excellent, the service is too. Every waiter is extremely attentive and friendly. They truly made the brunch experience even more enjoyable. The hosts and hostesses are also friendly. We were seated at a window table overlooking 45th Street last time. The waiter David is especially friendly and always asks how I am. I strongly recommend you come to Gaby. It is truly a culinary star in New York, both in French cuisine and overall. It certainly disproves the old rule about hotel restaurants being sub-par. Whether you come for breakfast, lunch, dinner, or especially brunch, you will love it. I hope you enjoy Gaby as much as I always do!",0,0,0,Matthew A.,"New York, NY",1,17,19
1.0,3/21/2018,"Had a very unpleasant experience. Went for dinner prior to the show. The service was very slow. The waiter was annoyed with any question about the dish ( and we had couple very basic ones). French onion soup was pretty good, Caesar salad ok, octopus appetizer tasteless. When it came to main course duck was pretty good, salmon mediocre at best.... But when sea bass was brought out... There was a fishy smell coming from the fish.... A small bite confirmed our concerns... The fish was not fresh... Not just a different way of cooking the manager was trying to assure us later. When the 2 dishes were taken back by a bus boy who apologized and offered us to order something else, our waiter did not even bother to come up to the table and sent the check via another person. The answer was simple since the 20% gratuity was added automatically for party of 5.... When we decided to inform the manager about our experience she believed that the situation was handled properly since we were not charged for the spoiled dishes... And as I said before, suggested that different patrons have different tastes?!?... Really. Overall, overpriced tourist trap with presence on eclectic food and upscale service... Unless you favor spoiled fish seasoned with careless service.",0,0,0,Nicole S.,"Morganville, NJ",0,5,0
2.0,2/21/2018,"Was very hard to rate this place - 2.5 stars overall.Atmosphere: 3.5, cool vibe walking in.Service for waiter in the black shirt:  2 Service by the other beige uniformed guys and hostess: 4Food, for it's inconsistent showing, 2.5 starsHad high hopes for the restaurant week menu as they offered veal cheeks, scallops, chicken, and branzino!  And they offered some good  appetizers - Duck and Prosciutto salad, cauliflower puree, and house salad. Sadly, the descriptions didn't translate into the final dishes (and they were out of veal cheeks)!  The good: Diver Scallops entree (the scallops were seared to a nice caramel brown and just Al dente). Plating was presented well. And I enjoyed the Trifle dessert, aka bread pudding with boysenberries and cherries (just slightly too cold on the temperature side, like it was just out of the fridge, it should have been served room temp in my opinion). Great combo nonetheless.The decent: The Appetizer - Duck Prosciutto, the spinach was leafy and dark with a nice tang on the dressing. The duck slices while few, had a nice smokiness about them, just a tad too much fat.The bad: the mustard white wine chicken, too dry on the outside of the chicken, plating was sloppy, and the veggies were limp and over cooked. The risotto was too Al dente, which I believe should never be described as such. Like rice, it should never be hard/firm, it should be soft and palatable. This seemed undercooked to me. And the French toast dessert, burnt and had hard edges - it lacked flavor despite the powdered sugar on top.  The vanilla ice cream it was paired with tasted icy, rather than sweet - perhaps freezer burn?  But the glazed pears accompanied with it were very enjoyable. That was the only ingredient that tasted good from that dessert.Service was okay but unexpected  -- as I thought the ""waiter"" in the black shirts should've been doing the work. But it was not the case. I was better served by the Spanish gentleman in the beige uniform and the hostess. (Why was the hostess taking orders and serving food and checking on the kitchen?) I assume they were short staffed.Manager or someone in a fancy suit checked on us but I didn't have any complaints as we just got served, otherwise I probably would've told him a few things. Anyway, other Yelpers were right, this place is a ""miss"" for the most part.  I shall not return.",1,1,1,Jeannie T.,"Queens, NY",372,532,7611
2.0,2/21/2018,Could be much better...not really a French restaurant.   Very slow service;  mediocre wine.  I guess I won't be back there again .,0,0,0,Michael C.,"Old Greenwich, CT",40,17,0
5.0,2/20/2018,"Beautiful, classy place. Great for dinner! It's inside a hotel and it's very elegant. The food is extraordinary!!! Their wine selection is great, too. Very spacious, and private at the same time. Mostly recommended for couples, romantic dinners, dates, etc.",1,0,2,Francia F.,"New York, NY",97,39,89
2.0,2/9/2018,Went to Gaby for restaurant week dinner and it was an expensive disappointment! The food was cafeteria good at best; only the service made up for it.,8,5,2,Amanda M.,"New York, NY",1,56,12
