rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,1/19/2019,"It's not often that I rate someplace low and there has to be several things in play for me to do this.There were 3 of us for dinner.... staying at the JW so the restaurant was the easiest thing for us, since we had been running all day ...and it was cold out and we just wanted to eat and chill...So here is the lowdown*We had to send the soup back because it was luke warm*We had to send the fries back because they were soggy and cold*We sent 2 pastas back because they were horrible * I had a club sandwich (22.00 I might add) that was absolutely basic!  I mean, the bread was basic, the turkey was processed slimy basic turkey and nothing else about the club was worth talking about The best part of the meal was our waitress, she was super nice and understanding each time we had to send something back..... which was horribly embarrassing for us, because we always feel bad when we have to do that ....Just my opinion - and for sure wouldn't go back",1,0,0,Becca W.,"Indianapolis, IN",6,123,41
1.0,1/7/2019,"I went several times after it opened and I enjoyed it every time, One of the reasons I went inside this afternoon just to have a cappuccino in a relaxed atmosphere. I got my cappuccino at the bar in a mug with not matching saucer, no water and not elegant presented sweetener, but the steep billof $ 9 !! truly upset me and I paid and left but had the urge to share this experience",1,0,0,Stefan H.,"Manhattan, New York, NY",0,4,0
4.0,1/4/2019,"Party of 8 who was staying at the hotel. We wanted a drink and a quick bite before our play. We ordered chicken Caesar salads, potato soup, sliders, wings, meatball, and a kids chicken fingers. Everything was great! The Caesar salad dressing was delicious and the grilled chicken was seasoned nicely. My group said the meatballs were some of their favs! Service was quick and efficient for a nice sit down restaurant.",1,0,0,Maggie F.,"Gainesville, FL",90,57,64
2.0,1/3/2019,"Apathetic bartender spends all his time on the phone or watching TV.  Wasn't interested in serving anyone the first night, so I walked out.  Sat at a table subsequent nights to get decent service.  Says a lot about management when they hire people in the service business that aren't interested in providing service.  Ironic...",1,0,0,Scott B.,"Austin, TX",0,34,1
3.0,12/30/2018,"My friend and I were starving and decided to try out the next still open restaurant in the area. She was a vegetarian and the menu really only had 1 entree that she couldve eaten. We asked the hostess what she would recommend and she said that anything on the menu that contained meat or protein could be altered so we decided to try it out. We were seated right away. Very tight place. I ordered the salmon. It was good. Nice, crispy skin. Good flavors. Had an iced tea and was shocked that they charged $8 for a very small glass of iced tea. The salmon was reasonably priced at $34 for a NY restaurant but i still cant get over the $8 iced tea!!!",0,0,0,Vince C.,"Piscataway Township, NJ",72,6,10
4.0,12/28/2018,Good tasting food and well decorated in a great location across from Central Park.   Pricey but it's on Central Park South so that is to be expected.,0,0,0,Fausto T.,"Fort Lauderdale, FL",0,28,0
2.0,12/8/2018,"We sat at 12:37. We didn't get our drinks until 1:07I asked for the bottle wine list. He hands me the regular drink list and tells me the bottles are in there. After 3 times telling him there must be bottle only wine list, he goes to bartender and gets one. So, the Chardonnay comes to us warm, like higher than room temperature. So we ask for something cold. We finally get a cold bottle of chardonnay at 1:07pm. Half hour after sitting down.  The sliders are great though.",1,0,0,Ken R.,"Cranston, RI",38,106,1
4.0,10/24/2018,"Bite at the bar.Restaurant in the JE Marriot Essex House next to Central Park, nice location.  Hip vibe of course!Tried the nicoise, it looked different. The most interesting and unique nicoise I had had, but I liked  it!  Seared tuna, white anchovies egg and olives.  Quite simple actually, but nice blends of flavor!",5,0,0,Chris C.,"Placida, FL",46,528,1061
3.0,10/1/2018,A ok restaurant in JW. The food is not outstanding but acceptable. You can use hotel destination fee credit in the restaurant.,0,0,0,Big B.,"New York, NY",268,688,16
4.0,8/24/2018,Very nice setting inside the JW Marriott Essex House Hotel looking out at central park.They have a nice menu and great bar. Pricey but then again it is New York.,0,0,1,Richard S.,"Delray Beach, FL",189,1235,3442
