rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/23/2019,"Before you sit at Empire Steak House be aware of the 18% gratuity policy, even for 3. Waiter was a little pushy on the wine, wondered if we knew what Burrata was. The steak ordered medium rare arrived in my plate well done ; either they don't know what medium rare is or the cook was take a break and forgot about my patty on the grill. The pushy waiter kind of forgot about us after the food was ordered. Food was ok, nothing spectacular for a $27 burger.",0,0,0,Franck L.,"West Los Angeles, CA",45,22,2
5.0,4/15/2019,Excellent steak and the soup and sides were great too.But Most of all the service was great The manager was very experienced and extremely attentive He greeted us a the door took care of us all night It was a Friday night and was very busy  but the service was still great,0,0,0,XX X.,"Manhattan, NY",44,4,0
4.0,4/2/2019,"The food was great, however on their website, the menu prices are about half of the ""actual"" menu prices. Very misleading.",0,0,1,Jeff R.,"Naples, FL",5,6,0
4.0,3/29/2019,"Went for a lunch with a friend. Great that they have lunch menu, and prices are lower than the main one. Ordered fillet mignon ""well done"", but it was too dry, hard and overgrilled. However broccoli and smashed potato to beside were soooo good, that I ate mine and from my friends plate!",0,0,0,Zere Z.,"Manhattan, New York, NY",0,1,0
5.0,3/23/2019,"Steak made to perfection , definitely for the steak lover! Service was great very pleasant and accommodating. We had cocktails that were also very satisfying yummy :) Highly recommend perfect spot before a broadway show !",1,0,0,Slavica S.,"Middle Village, NY",2,12,1
4.0,3/21/2019,Had fun sitting at this upscale theater district restaurant bar :) drinks where good and the bar food we ordered was well made.   Definitely a good pre or post theater place to grab a drink or something to eat.,0,0,0,Frank F.,"Monmouth County, NJ",34,94,142
2.0,3/19/2019,"My wife and I arrived in NYC yesterday. We went to the Empire Steak House for lunch at 2 pm. The restaurant had only two other tables occupied; which had already had service. We selected items from the Quick Lunch menu. Simply put, while the service was attentive, that the food took a longer time to prepare and present was hard to figure.  We ordered two different burgers, cooked well done. When the food was served, there were no condiments, except ketchup. We asked for mayonnaise, and waited and waited. What came out was mayonnaise with what appeared to be capers. So we asked for regular mayonnaise, which seemed to make the server confused. We also asked for mustard, salt and pepper. These too took a while to arrive. Finally, when we'd dressed our food, I cut into my burger and it was cooked medium rare.....I couldn't believe it. Called the waiter over, but then a manager seemed to take over the service.  He took my burger and I understood him to say that they would cook another burger.  When the meal returned, it was cooked fully, but as I looked at the meat, it was the same patty, that I'd sliced open, but was pushed back together. By then, I'd pretty much lost my appetite. I ate half of the burger, we finished our drinks, paid, and we left. Bringing me past food, reheated, brings out kitchen concerns that I don't need to expound on.   Not a good first NYC meal, in an upscale restaurant setting, during a low customer volume period, without the basic seasonings for table service, requesting the simplest of restaurant menu items, at upscale restaurant prices.  I guess that I should be glad that our bad experience was with a burger, and not steaks, seafood and chops, which their menu shows for over $100.  Never again!!",0,0,0,T W.,"Oakland, CA",0,13,0
5.0,3/18/2019,"I come to this venue on a monthly basis. The unique combination of service, ambiance, food quality, and price makes this place stand out. We have little difficulty booking reservations, we receive 5-star service like I've never seen, we're accommodated well by management, and we leave satiated.The price is exactly right for this venue, location, and food quality, but the service is truly the gift that keeps on giving. Tip these boys well, they work hard!",0,0,0,Tom P.,"Bolingbrook, IL",12,7,3
3.0,3/16/2019,"To be honest food is pretty good but service is questionable.  The manager thinks he is a mob boss, maybe he is...the employees flirt with each other openly and do not spend much time with the customer.   Just expect good food but service that is questionable.",0,0,0,Brian H.,"Huntington Beach, CA",0,4,0
1.0,3/3/2019,"Ordered from here last night.  The oysters and shrimp tasted way off.  The filet mignon tasted like it had been sitting in the freezer for a long time.  The filets had the texture of a pencil eraser.  They also came in a cheap, flimsy container and the grease was very, very cold--and had solidified--and the meat was lukewarm at best.  We tried to feed the meat to our cats who would not even eat small pieces of the filets; something was obviously off.  We pretty much had to throw most everything out--$282 totally wasted.  Go with Lincoln Square Steak instead.  I have had universally great experiences with them.",1,0,1,Gary F.,"Manhattan, NY",27,4,0
1.0,2/26/2019,"Please. Don't. Don't go here. I should've known better when steak was on the restaurant week menu without an up charge. But I thought to myself,  you can't F up steak! WRONG. The best part of this meal was the bacon. The steak was weirdly aged tasting but wasn't advertised as aged. Not a good sign. But the ambiance. Let me tell you. Those golf ball sized dust balls flying out of the air vents REALLY set the mood. One guy sitting next to us got one stuck in his hair. He didn't even know. Poor guy. Anyway. Don't go here.",0,0,0,Tina R.,"Brooklyn, NY",9,16,1
5.0,2/8/2019,As a former restaurateur I understand the importance of excellent service and food that is both appealing and appetizing. They say that there's no such thing as perfect but I beg to differ empire state house is perfect.  From the prompt and cordial manner in which I will see it to the knowledge into tentative nature of the waiter finished off with personal service and it in genuine interest in my dining experience offered by the manager Roberto. Everything was well paced and the lighting and music created an ambiance not to be taken for granted. The most important thing is that the food speaks for itself steak is  absolutely devine -amongst the best I've ever had and I've had some very good ones.  I used to come here often but I have  moved to another part of town I haven't been here in over a year and I am so happy to say that this meal was exactly the situation my palate and restless soul needed. I never have time to sit down and enjoy a meal bite for bite and I'm so glad that my decision to stop here was well justified. Kudos to the entire staff especially the manager Roberto for making me feel at home and delivering outstanding service and delicious food.yy,0,0,0,Ce-Ce C.,"New York, NY",0,1,1
