rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,5/1/2019,"The hostess suffered from FFS (Flat Face Syndrome). She made our first impression cold and unwelcoming. Our server was fine, meaning mediocre. I got a sweet pen though. Overall, the food was delicious.",0,0,0,Patrick B.,"Orlando, FL",25,5,0
5.0,3/31/2019,"This is the coolest place ever! The staff was amazing. We sat at the bar and Jake was our bartender. So friendly and personable. Totally felt like we could come back & he'd treat us like a close friend. The drinks were off the wall awesome and he decorated them too! He made flowers for my cosmo which was the perfect touch! He recommended the tater tots and the chocolate cake. Best decision ever! If you are looking for a friendly bartender that knows a lot about the history of the area, go see JAKE!!! Also, the bathrooms are luxurious. 10/10 recommend.",0,0,0,Kailee B.,"Cuyahoga Falls, OH",0,2,3
4.0,2/22/2019,My second visit and it was not disappointing. Today is National Margarita Day and they had a nice selection of drinks. I went w/the Spicy Margarita and it was pretty good.  Started w/the house salad and for dinner I had the steak w/a side of Brussels Sprouts... All good!! Our server was super attentive. Enjoyed the entire experience...,0,0,0,Tammy S.,"Manhattan, New York, NY",0,5,19
5.0,2/13/2019,"Came here as a Valentine date. This was a package that was added from the Observatory tour. This restaurant is very up scale and amazing. The 3 course meal was everything. I had the Crab Cakes as a starter and it was one of the best crab cakes I have ever tasted. The coriander aïoli has a nice soft taste I could eat all night. For entrée, I choose the Scottish Salmon. Not everyone can make a tasty Salmon. The skin was nice a crunchy just the way I like it. The meat part of the salmon was mice and juicy and soft. The sweet potato purée gave the salmon a nice zest. For dessert, it was hard to choose. I picked the Key Lime Pie. I loved the added Lime chip that was added on top of the pie. It gave the pie a different taste with the ice cream and topping that was on Overall, I would visit this restaurant again. I'm not keen on visiting the same restaurant twice, but State Bar & Grill won my heart.",0,0,0,Meeks ..,"Brooklyn, New York, NY",0,13,3
5.0,1/22/2019,Very nice staff. The food is AMAZING!!!!!. I always take pictures of my food but too much was going on. The crowds outside were massive due to the time of year. We were lucky to get in.,2,0,2,Gloria M.,"Norwalk, CT",67,287,2293
4.0,1/20/2019,"This restaurant has to be about the best quality to value dining experience in New York City. I had dinner here with my family for the third time in as many years and have been impressed each time. The menu is interesting and varied, and the food very well prepared. Staff is pleasant, and prices of the food and drink are reasonable- especially by New York City standards.",0,0,0,Beth G.,"Chestnut Hill, MA",0,34,0
5.0,12/31/2018,"That was by far, the best lunch that I had in New York! Staff super friendly, high standards of everything, bathrooms exquisite, food spectacular, the hostess was definitely the best , she was so friendly that seems to be your relative. Congrats to the whole team! I'll be back before going back home for sure .",0,0,0,Rafael B.,"Redwood City, CA",0,9,12
5.0,12/18/2018,"I come here regularly for business lunches. Always a good experience,  both the staff and the food never dissapoint. Let's start with the staff, they are well trained and very helpful. The food is awesome as well with a always a daily lunch special.  If you are visiting The Empire State Building then this is a wonderful place to dine.",1,0,0,Ray R.,"New York, NY",44,83,0
5.0,10/30/2018,"An unforgettable evening at the 'State' for dinner before heading up to the observation deck... the meal was delicious, the wine was special and the interior lighting was very romantic, our experience was smooth and highly recommended to taste while you are in the Big Apple...",1,0,1,Mr. Mrs A.,"Pasadena, CA",44,109,254
4.0,10/27/2018,"First off the service was excellent. Our server Jay was awesome. The food was great. Highly recommend the hanger steak. Prices are very reasonable, and the location is killer. If your visiting the ESB this is the place to dine.",2,0,1,Mo M.,"Fairview, NJ",2,52,22
5.0,10/27/2018,"My boyfriend and I recently came to this establishment on October 20, 2018! We had made reservations on Open Table after reviewing the menu online. When we arrived, we were instantly greeted by a young gentlemen (who later happened to be our waiter). Jay was phenomenal! He greeted us with a warm smile and treated us as if we were his regular customers! His personality and willingness to make our celebration dinner special was outstanding. Any questions we had, he answered! If we asked him for his suggestions, he gave them and boy was he right!Not only was Jay wonderful, but the food was spectacular was well! As an appetizer we ordered the Cheese & Charcuterie and Fried Calamari. For dinner, my boyfriend ordered the Sausage Cavatelli and I ordered the NY Strip Steak. Everything was flavorful and fresh! Although the food was pricey, it was definitely worth it!! As a dessert, Jay brought out their Homemade Ice Cream with a little sign saying ""Happy Birthday!"" How awesome is that?! See attached photos....The restaurant is small and quaint, but beautiful! I would 100% recommend this establishment and Jay! You won't be disappointed!!",2,0,3,Melina S.,"Union, NJ",184,84,268
5.0,10/25/2018,"We bought a voucher online from home in California when planning our visit to the observation deck at the Empire State Building, and boy are we glad we did! What a gorgeous gem of a restaurant. The pristine decor is rife with Art Deco detail. Every employee was helpful and friendly. The booth was comfortable. The food was delicious, and wonderfully presented. The wine list was equally impressive. We left full, and happy, and very pleasantly surprised! This restaurant exceeded all of our expectations!!!",1,0,0,Tim G.,"San Francisco, CA",427,90,4
5.0,10/24/2018,"I was really surprised to find out this place closes at 10pm, especially considering that the Empire State Building is open till 2am. That being said, our reservation was for 9:45pm and at NO point did we ever feel rushed to order, or to consume our food. The fact that they close at 10 did not stop them from providing stellar service. Bread was warm and fresh. Started with the grilled shrimp and the amount of flavor in that one bite was insane! Steak Frites were delicious and my husband's New York Strip was also excellent. We were celebrating our anniversary and before they brought our bill, they gave us a platter of freshly baked cookies, brownies and biscotti to wish us a happy anniversary. This small gesture was incredibly nice and to be honest, kinda rare. Flavors and service both on point! Would definitely recommend this spot.",1,0,0,Mey M.,"Miami Shores, FL",66,66,35
