rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"Had a reservation for 6, came at 6:30, they still honored it and sat us at a nice table at the far end of the restaurant, not exactly in front of the fireplace but still close enough that we could see its glow against the walls and the ceiling. It was very nice. Warm and inviting. Told the waiter we needed to eat quick, as we had somewhere to be at 7:30, and ordered Gnocchi with squash, chestnut, sage, arugula and truffle oil; Duck Breast with farro, fennel, bergamot and roasted brussels sprouts; Broccoli Rabe cooked in a calabrian chili with some parmesan crisps sprinkled on top; and Shrimp crusted with spaghetti squash, which might have been the highlight of the whole meal. For drinks my wife had Gold Rush, which was bourbon with lemon and honey -- and tasted, to me, like a kind of alcoholic lemonade -- and I had the White Russian, which was made with Ketel One or Grey Goose (I can't remember), and had a thick rim of cream sitting above the liquid that my wife drank when I left it untouched in my glass. Both drinks were very good. In all, we got out of the restaurant in about 45 minutes, which was not nearly long enough, as we'd have normally sat around and enjoyed the atmosphere more. As it is, the Lamb's Club is a beautiful space; the aforementioned fireplace, the red banquet booths, Art Deco lamps and the walls with photos of famous people looking out at you as you dine. The whole thing feels like money and it is -- I mean, the bill was just north of $200. But I didn't mind, as the food was delicious and the space was wonderful to be in, even if it was for only a short period. I'd happily dine again, either for a business meal or nice night out with friends.",0,0,0,Paul C.,"Manhattan, NY",0,12,0
2.0,4/23/2019,"Food was delicious, but service was very poor.  Unfortunate as this was my third time eating here and the other two experiences were positive.",0,0,0,Keith B.,"Charlotte, NC",0,12,0
1.0,4/21/2019,"Yuck ! The service was good . Was there for Easter Brunch , and the brunch while presented nicely was over priced for nothing. No omelette station , not many choices of anything. Very small under stocked raw bar . Basically I ate cake for $86 a person. The set up was also ridiculous... basically seated in a bar up some stairs , constantly bumped into ... just not worth it . Jeff Z should be ashy.",0,0,0,Michelle H.,"Wyckoff, NJ",154,113,11
5.0,4/16/2019,So I only had the meatball appetizer - that was it - but wow they were gooooood!  I might even come back for them,0,0,0,Thomas B.,"San Francisco, CA",0,17,0
3.0,4/7/2019,Decided to come here prior to the Harry Potter show on Broadway. Ambiance was nice. The decor is Art Deco. Our waiter was thorough and knowledgeable. He was well versed with the menu and gave some great recommendations. The lobster a la plancha was flavorful and rich with oregano and paprika. The curry crab salad was much more then what I anticipated. It was absolutely delightful. The boulevardier drink had Campari liqueur and sweet vermouth which gave it quite the kick. It was just like a negroni. Overall this was a great pre theater dining experience.,1,0,1,Becky V.,"New York, NY",3,20,57
5.0,3/26/2019,"A chic, art-deco restaurant in the theatre district. Equally satisfying for a pre-theatre meal, a date night, or a business dinner. One of my go-tos in midtown.",0,0,0,Gabriel G.,"Stamford, CT",7,14,0
2.0,3/22/2019,"If I had written this review right after dinner last night this restaurant would have got 4 or 5 stars.  The setting is elegant, the service excellent and the food delicious... until both my husband and I got hit with a dose of food poisoning! Needless to say the joy of indulging in a Jeffrey Zacharian meal is somewhat deflated and disappointing.",0,0,0,Lee L.,"Leander, TX",3,2,0
4.0,3/14/2019,"Came for a late dinner with some work friends and we really enjoyed ourselves. I don't think I would be a regular, but I'd recommend it until I've scored a few better places.Had an old fashioned and the drinks were spot on. The waiter was about perfect in his white tuxedo jacket. I thought I was something special! He was very good as we were obviously clueless.The garlic/onion bread was awesome. It would be a bad sign if that didn't go well.The smoked trout deviled eggs were a fantastic app! The group who tried the oysters were very pleased. The steak tartare went quickly. It was good, but just not my thing.I had the Cappelletti which was just ""divine"". I don't know what that means, but the word just fits! It was awesome. I should have ordered sides or a salad, because it was lonely and I was still hungry. It consisted of a sweet sauce of braised beef, carrots, scallion and pistachio. It was very good.Go here for a late dinner that will be a treat. Just make sure you order the whole meal.",1,0,0,Robert M.,"Austin, TX",16,751,310
5.0,3/9/2019,Great experience! We had the pre theater menu. All three courses for both my husband and I were delicious. The wait staff was attentive and pleasant. Would definitely go again.,1,0,0,Janet S.,"Melbourne, FL",60,18,4
5.0,3/5/2019,"Typically my husband and I stop by The Lambs Club for drinks, however, we decided to stop in for brunch and I am sure glad we did! The service at The Lambs Club is always impeccable! When we were seated we were asked if we would like to order an adult beverage, my husband ordered the Bellini and I had the Bloody Mary, the Bloody was very unique due to the fact that the ice cubes are made with their Bloody Mary mix which is great because the drink never gets watered down.We started our meal with the canelés which were super flavorful! And the banana and passion fruit filling hits the spot.For our main dishes I had the Mediterranean breakfast and my husband had the pancakes; my dish was great and the hummus was perfect! My husbands pancakes were cooked perfectly and had a very unique flavor.During Sunday brunch you can listen to live jazz music and the ambiance is just perfect! I strongly recommend checking out The Lambs Club even if it's just for a drink.Thanks for a great Sunday afternoon!",2,1,1,Charles B.,"New York, NY",123,124,164
5.0,3/1/2019,"I met a friend at The Lambs Club last night prior to seeing a play.  I love the atmosphere, the food and staff!  All excellent!  Of course prior to sitting and ordering we had told our server that we had a 7:00 show to get to.  Not only did he make excellent recommendations, but also told us what time he suggests we leave the restaurant to get to the show with enough time to get ourselves situated without rushing!  I have already recommended The Lambs Club to several people.",1,0,0,Denise O.,"Old Greenwich, CT",0,4,0
2.0,2/15/2019,"Wow. Went for a drink with the wife. Glass of wine and two martinis...$90.00,  and by the way if you order olives with your Martini it's $4.00 extra. They must be very special olives. I have lived in NY my whole life and we never had sticker shock before tonight. Avoid unless you just got your bonus and want to spend.",0,0,0,John Z.,"East Northport, NY",0,25,2
3.0,2/11/2019,"All in all a great experience! My only reservation was that the front desk was very cold to me and my wife. Otherwise the food was wonderful, I had the best ravioli dish of my life! My wife wasn't thrilled with the service but the food more then made up for it!",0,0,0,Nathaniel Ħ.,"Brooklyn, NY",194,89,21
