rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,2/16/2019,"Ended up at Bocca Di Bacco after our reservations at Pastai could not be honored (will not go back there).  Food was very good....the staff totally professional, and easy on the eyes and the atmosphere was homey and not stuffy.  I am going back to this restaurant and soon.",0,0,0,Nicholas P.,"Manhattan, NY",0,17,0
1.0,2/15/2019,Came here for Valentine's Day+ they had a pre fixed menu but also allowed you to order from the regular menu - slowest service ever. Such a turn off. Had to ask for bread 4 times. It finally came after our entrees were served (we even got an app). The table next to us had very timely service (I observed it) so.... beware - food didn't agree with me. I felt terrible the rest of the night and following day. - sure says sparking water is complimentary by the pelligrino was $8 - I can't get over the terrible service. Waitress never checked in on us. I would never recommend this place or go back.,0,0,0,Jessica E.,"New York, NY",0,10,2
5.0,2/1/2019,The staff was very nice! Amazing food the calamari was great. I would definitely go back again whether its for a date or a nice get together with friends.,0,0,0,Abigail T.,"Manhattan, NY",142,6,0
4.0,1/25/2019,"Checked it out for restaurant week. The gnocchi feel (feels?) like tiny pillows in your mouth. So good! The waitstaff are also super attentive and the ambience is really nice and candlelight-y for dinner. It's pretty quiet until 7 pm and then you kinda need to start speaking up to hear the person you're with. Overall, would recommend!**knocking down a star because we went for the three course restaurant week meal but they forgot the third course and so did we - guess it was our fault too for not saying anything. Still yummy though.",0,0,1,Jasmine Z.,"Dix Hills, NY",0,4,0
3.0,1/12/2019,The food is generic American Italian. The menu had some major mistakes in it so I didn't expect the food to be authentic  it's not a bad restaurant but it's just nothing special . The service was excellent and the setup is nice and cozy.,2,0,1,andrea p.,"New York, NY",350,483,951
1.0,12/29/2018,One waitress asked me and my friends (table mostly of Asian race) what the origin of our race is as soon as she greets us. How is this question related to dining and why is it so important to know what your customers' race is?,0,0,0,Dorothy K.,"Flushing, NY",419,7,3
5.0,12/29/2018,Spent Christmas Eve 2018 at this wonderful restaurant in the Chelsea section of Manhattan. Extraodinary service complimented with extraordinary food. I highly recommend this fabulous business establishment to all that are planning a wonderful dining experience in Manhattan.,0,0,0,John S.,"Staten Island, NY",39,8,0
2.0,12/25/2018,"Went on Sunday afternoon for brunch.Food:  good portion.Service:   No drink menu was provided.  The waitress asked if we wanted to order prefix type and get some alcohol drink - we said no but just coffee.  Then she said they have espresso or americano.  So we both ordered americano.  Then I realized why don't they have regular coffee?  When she came around with our food, I asked about coffee.  The waitress then only offered us coffee after we asked for it.  Weird.  I felt like she didn't study the menu well.  or wasn't even ready to accept customers.  Weird.",0,0,0,Arte C.,"Manhattan, NY",0,21,2
3.0,12/9/2018,"The waiter showed up with a greeting in Italian tailored to suggest authenticity. Yet the pasta was gummy and greasy, the fried calamari rubbery and sub par by most standards. Honestly most pasta is better at Asian noodle shops than at Italian restaurants, who have crafted a bad record for themselves through sloppy cooking.",0,0,0,Peter B.,"FOREST HILLS, NY",30,178,96
4.0,11/18/2018,"Great Italian. Especially good for large parties. But I sat alone at the bar and had excellent service and food. It's always buzzing. This is, after all. Hell's kitchen!",0,0,0,Richard G.,"Saint Marys, GA",3,189,7
