rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/25/2019,"Had the opportunity to attend an event here and after telling the front hostess, we were led into the back where there's a giant table with a lot of chairs around it. It was definitely a cramped situation in that you barely had any elbow room.There was bread and butter before the meal began which I didn't get a chance to try.First, the salads came out. I had ordered the Caesar salad and to be honest was a bit disappointed at the presentation of it, being that this place does have a high reputation. It was just pieces of cut up lettuce drenched in Caesar salad dressing with a few small pieces of croutons mixed in.Then after a while, the steaks came out. I had ordered my sirloin steak medium and it was okay. Wasn't the best I had ever had. I did notice that it was burnt to almost a crisp on one side but not on the bottom...not sure if that's how steaks are normally supposed to be served. Broccoli, mashed potatoes and spinach dip were also offered and simply tossed on the plates. It was a bit of an awkward dining experience. Finally, dessert platters came out in that there were five slices of a variety of cheesecakes and tiramisu with a mountain of whipped cream in the middle...the tiramisu was only redeeming choice on that platter. The lemon cheesecake had a weird aftertaste to it.The waiters were courteous and diligently served us during my time here and also cleared away the plates and utensils after each course was served.The bathrooms are small...only two stalls in the women's restroom...not to mention that the floor was sticky too...",0,1,0,Hui L.,"Woodside, NY",51,465,1301
5.0,4/17/2019,"We literally stumbled upon this restaurant while walking to the UN building down the street from our hotel. We had not prepared for a nice restaurant dinner in our packing of clothing for our vacation. I popped in to ask if it would be okay to dine later in the evening in spite of our lack of dress clothing. We were assured by the lady at the podium (I wish I had gotten her name) that it would be fine. we returned later and were greeted warmly by the same hostess that we had encountered previously. After being seated we were waited on by Timmy and a young man who I assume was in training. From start to finish our meal was incredible. 2 dry aged rib-eyes cooked to a perfect mid rare, German potatoes cooked crispy, and a side of sauteed mushrooms. Service was impeccable and the food was beyond reproach. If we get a chance to visit this wonderful city again, we will certainly make this a must eat destination.",0,0,0,Peg W.,"Leland, NC",19,5,0
5.0,4/17/2019,Excellent service and food. Can't recommend enough. Steak cooked perfectly. Salads were yummy. Nice quiet atmosphere.,0,0,0,Katrina S.,"Fairfax, VA",24,25,3
5.0,4/13/2019,This is the go to steak house for my husband and I. The service is amazing. Friendly knowledgable staff that are willing to offer great suggestions from the menu. The steak is delicious but so are their sides and appetizers. The ambiance is calm and the decor is beautiful. I recently visited another steakhouse nearby for Sunday brunch(Smith and Wollensky) and nothing compares to Ben and Jacks! Can't wait for a date night at Ben and Jacks soon! Thank you for being amazing!,0,0,0,Vicki N.,"Bronxville, NY",0,3,0
5.0,3/22/2019,"Great service (thank you Ecko!) and wonderful dinner. Bright spot on a very dreary, rainy evening. Can't wait to return!",0,0,0,Susan D.,"Stratford, CT",0,4,0
4.0,3/8/2019,Great meal and great service. Went on a Friday evening and had no problem getting reservations. We ordered the filet - petite for me and regular for hubby. Both were outstanding. Sides were good portions and easy to share. The bar was a bit noisy with the after work crowd but didn't detract from our enjoyment of the meal. Definitely would return.,0,0,0,Audtey C.,"Cranston, RI",1,11,1
5.0,3/3/2019,Came here for the first time on a Saturday evening around 6:30 pm without a reservation. The restaurant was busy but we were seated immediately. Excellent steaks cooked to perfection. Sides are homemade and fresh. The peas and onions are delicious. We were a party of 4 and enjoyed a platter of various desserts topped with the best homemade whipped cream ever. Manager and waiters are very welcoming and attentive. I highly recommend this steakhouse. We will be returning!,0,0,0,Rosalie R.,"Manhattan, NY",13,8,0
5.0,3/3/2019,"I just can't say enough if what a fantastic meal we had- the service was better than any restaurant I have been to in several years...personable, attentive and they made you feel like you have been coming here for years . We had the tomahawk steak special  with fixings and started with lobster bisque. The steak was phenomenal - they had champagne ready for our anniversary as well as desert. We will be back!",1,0,0,Jim M.,"Newton, NJ",162,228,128
5.0,3/1/2019,The happy hour is a real steal! Fabulous oysters for a dollar fifty each!! I had 6 and then had to order another 6! The steak is aged on the premises and is fab! I had a sirloin which was so so good! Well worth a visit!!,0,0,0,Dave T.,"Miami Beach, FL",1,41,0
5.0,2/28/2019,"1st time here , my friends always told me about this place and I'm pretty impressed with the place the food and drinks and service was great ...the ambiance was great looking to have a dinner party here in the future ..will deff come back aging",0,0,0,Kyle B.,"Queens, Queens, NY",32,31,31
5.0,2/18/2019,"A splendid time was had!We've been fans of Benjamin for many years.  Last time we went, we were seated at a cramped table and our check (for 2) crossed the $400 mark, which made us wonder if there wasn't something better...Low and behold, we checked into the Even Hotel on 44th and saw the sign for Ben and Jack's and gave it a try.Nice place and tables are NOT cramped together.  Also prices are about 20% less than Benjamin, which is nice.  Food is spectacular.  We had the crab cocktail, tuna tartar, and porterhouse for two and all were just plain top shelf.  For sides, we had creamed spinach (wow - outstanding!), roasted brussels sprouts and a big backed potato.  House steak sauce is quite nice - similar to Benjamin and without any anchovies (like Luger has - who wants that on their steak?!?!).Extensive wine list reasonably priced - less than 2X what you would pay for the bottle in the store.Service started out a little spotty but then finished up just fine.  We will definitely go back.Give these guys a try - the porterhouse is right up there with the best I've ever had.  (and I do like porterhouse!)",2,0,0,Adam S.,"Averill Park, NY",1,27,0
5.0,2/16/2019,"My husband and I came to Ben & jacks on a recommendation from a family friend. We are so glad we took his advice. They were happy to honor my request of ""onion soup no bread"" and our steaks came out perfect temperature! The staff was very polite and attentive.Cant wait to go back",1,0,0,Shpresa E.,"NY, NY",73,65,13
5.0,2/14/2019,"This is the best steakhouse in NYC. We've been combining here since last year ( more often than I'd like to admit ) and we ask for the same waiter ( although the service is impeccable) our personal favorite is Ecko! This food is 10/10 the service is 10/10, vibe is always 110%. If you're a steak lover, come here ASAP! :)",0,0,0,Victoria K.,"Brooklyn, NY",222,83,76
5.0,2/9/2019,"Wow! What a time I had here! It was just Restaurant Week here in New York and I thought it would be cool to use the opportunity to explore a new restaurant. I decided on Ben & Jack's Steakhouse on East 44th and I'm so glad that I did. My Wife & I arrived to a nearly empty restaurant (how we like it) when we came for our 3PM Lunch Restaurant. We were sat by the kin Hostess then greeted by the very warm server Timmi. He made us feel right at home. We looked over the menu and ordered our food. I've had steak at over 50 different steakhouses in my life and as I told Timmi, the steak I had here HAD to be the BEST steak I've ever had. The Caesar salad was perfect, the mash & broccoli was delicious and I had a few glasses of the desert wine.The bill came up to about $100 for 2 and I can't wait to return although I know it'll be more next time around, it'll be well worth it.",2,0,0,Heaven G.,"New York, NY",157,100,164
1.0,2/6/2019,"Horrible service by the rude hostess and manager. Small bar. Slow service by the bartender. **i do appreciate the owner reaching out on yelp to learn more about the issue, at the time of the review we were clearly very agitated at the rudeness of the manager** Had a reso for 8pm (showed up at 8:00)Was told we had no table Then the jerk off manager comes over and says it .. verbatim ""could be 10 mins, 20 mins, or maybe a half an hour depending on when someone gets up..""Asked for a comped drink at the bar while waiting and he says ""you can get a drink, but it won't be on me""What a joke--we walked out and walked 2 minutes to SPARKS down the block on 46th street.",0,0,0,Peter G.,"Glen Head, NY",4,6,3
5.0,2/6/2019,"Went in hangry, left full and happy! Service was extremely fast and precise, ask for Timmy if you want to experience the best service. Everything we ordered was served as requested. Their new cajun ribeye is mouth-watering deliciousness !!",0,0,0,R X.,"Manhattan, NY",47,6,2
