rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,5/1/2019,"My friend and I came here on a whim after our first choice was booked out. We ended up having a okay post-work meal. Go downstairs to be seated - we were seated without a reservation when we arrived around 6:30. As for the food, it's a bit expensive for basic italian fare. The scallops were tasty, but were a bit too oily. The wine was good, but I noticed the server had just recommended the most expensive one though when I asked what would pair well. More bread would have been nice as well - the basket isn't really tended to when you run out. For dessert, the affogato was good, but I've had better. I would be willing to give this place another visit though - it was a solid meal, but I just wasn't wowed by anything.",0,0,0,LeAnne B.,"New York, NY",86,174,127
4.0,4/12/2019,This place was such a pleasant surprise.  Didn't know what to expect.    I've passed this place many times before and not ventured in.    I think the outside signage is very misleading.  The place has a rustic and very comfortable feel.  The food was delicious and the service was great.  The prices are pretty reasonable too.  I definitely will go back to this place and recommend it to other friends!,0,0,0,N D.,"Manhattan, NY",0,10,0
5.0,3/22/2019,"Nice little spot, quiet during lunch time perfect for meetings or dates. Food was delish. The Spaghetti was actually very simple but the seasoning was great, a little salty but not extremely salty.",2,0,1,Angie D.,"Manhattan, NY",19,104,208
4.0,3/19/2019,"Great,  cozy atmosphere. Pasta fresh and not over dressed. Wine selections are ample and tasty. Staff is friendly and attentive but not hovering. I'll be back!",0,0,0,Michelle C.,"Dallas, TX",64,40,9
4.0,3/17/2019,For a hotel restaurant this place is not what you would expect. This is more like a nice restaurant that happens to have a relationship with a hotel. I had the salmon and it it was cooked to perfection paired with sautéed spinach and Lima beans. I also tried the dark chocolate mouse and gelato for dessert which was fantastic.,0,0,0,Shane W.,"Madison, WI",112,125,184
5.0,3/11/2019,"I love this place.  Food is rustic, spare, and of quality.  I love the freshness of the arugula salad.  The grilled octopus is always great.  My stay at The divine boutique Hotel Giraffe introduced me to this ""next door"" restaurant several years ago, but Bread & Tulip's wonderful offerings have kept me coming back even after I'm pulled to sample other offerings in this foodie Mecca.",0,0,0,K. Luana A.,"South San Francisco, CA",0,11,0
5.0,2/21/2019,This is my go to for delicious pasta when I'm feeling like I need something cozy OR a fresh salad when I need something to make me feel healthy. Everything is done to perfection and I honestly can't imagine someone leaving bad reviews. Great service. Great food. Great atmosphere.,0,0,1,Katy F.,"Woodside, NY",0,1,0
1.0,2/19/2019,"Ordered a salad to go and all the ingredients were old, the salad was dry and the portion was very small. I understand that those who take out a lunch meal may not be a priority for this place, but people come back for dinner and more if the first try was good. Seems that was not the case here.",0,0,0,Olga R.,"Brooklyn, NY",8,20,5
1.0,2/13/2019,"Went here for pizza. Margarita, 4 cheese and spinach pizza. All was awful. The pizza didn't hold up. Domino's Pizza is pretty much better than this.",0,0,0,John B.,"New York, NY",0,3,0
4.0,2/4/2019,"Food 4/5Service 4.5/5Food - I'm not an Italian food person myself. I've just never found it to be a fulfilling meal. However, this place may have changed my mind. We were a large party of 8, so it was the chance for us to try lots of things on the menu. We ordered a variety of pastas and pizzas. I'm not going to detail into every one of them, but they are all well made. The pastas were all a perfect al dente, not too chewy, not too soft. They are coated and garnished lightly as to not overwhelm the pasta itself. The pizzas as well were artfully done. We sat kind of near the counter were the pizzas were being made, so we were able to watch the chef cook and make our pizzas. It was so fun. The crust is nice and puffy and chewy, but thin on the bottom. Crispy to the bite, but with enough texture to hold up the toppings. Service - We had one server for our entire table. We are a pretty rowdy bunch, but we were luckily sat in this party area that was blocked from the rest of the dining room. He balanced our orders and requests with grace -- he did a great job. For a party of 8, our gratuity was also not included, but we tipped the man well. Would recommend. great location, solid experience.",0,0,1,Giselle C.,"New York, NY",561,91,228
