rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/14/2019,"Very cute little New American (with seemingly a little French flare?) restaurant in the West Village. Came on a Tuesday during the day to sit down for a quick, small bit. Weather was nice and it was great to sit outside. Brunch or Lunch menu had 3 toasts to sample for $21 which was enough for the two of us to have something to munch on. Nice space inside and out. This restaurant is far more upscale/expansive into dinner it looks like. All farm-to-table from their own farm upstate. See NY Times reviewnytimes.com/2014/10/22/d…",0,0,0,Seth W.,"New York, NY",6,204,171
4.0,4/6/2019,"This is probably less popular place for brunch. There was no line, some empty tables on Saturday afternoon. They have outside seats, thats why i went here.Service a bit slow, but not a big deal.Food, ok.Is there anything so special making me wanna come back? Hmm. Not really, but its not bad at all.",0,0,0,Anggie P.,"Queens, Queens, NY",3,69,39
5.0,3/30/2019,"This joint is fantastic , I went for brunch for my first time and I had a great experience ,the food was delicious, the bartender Mya was  awesome , she was very attentive  and made outstanding cocktails . I will definitely be coming back to brunch again and I will recommend it to all my friends .",0,0,0,Javier N.,"Brooklyn, NY",0,1,0
1.0,3/30/2019,"Horrible service. We were excited to try on a sunny afternoon and were told there were two in front of us and it would be about a 20 minute wait. Completely reasonable. Asked the host if he needed a name and he said no. We waited outside, saw the two others be seated and then they seated a third pair. We went back to the host stand and explained to the manager who then went and told the host. The host asked what we needed and he acted like he'd never seen us. He then said ""you've been waiting out front?"" We said yes and then he just walked away, no apology, no promise to seat us soon, so we left.",0,0,0,Lee S.,"New York, NY",2,6,0
3.0,3/29/2019,"Atmosphere is nice, I really liked the decor which brought me here. Unfortunately the food was mediocre and service wasn't very friendly or attentive.",0,0,0,Stephanie S.,"Zürich, Switzerland",0,14,8
4.0,3/18/2019,"Found this gem walking to the Whitney on a Sunday morning. Opted to eat here because while I am not a big breakfast food person the brunch offerings looked a bit more interesting than some of the other places that we passed. I started with the Bloody Blenheim which is their take on a Bloody Mary which was lovely and made with gin rather than vodka. If you want a salad sticking out of your glass, this is not it, but for a hearty morning cocktail it was on point with a lemon and olive as garnish. My friend and I asked the waitress for recommendations and she steered us mostly to dishes that have pork as that comes directly from their farm upstate. We both ended up getting the hash which although looked on the small side was filling enough.  Enjoying the quiet atmosphere and the fact that no one was in any hurry for us to leave I ordered a glass of rose which they poured at the table offering a taste first. Always appreciated.From where I was sitting I could see the bar tender making a beautiful purple drink and so we inquired about it and she told us it was a Purple Butterfly soon to be on the menu. She made us a sample which I will be back for come spring!",0,0,1,Sharon S.,"New York, NY",2,106,132
1.0,3/17/2019,"I live in West Village and I was not impressed by this place. I stopped by for the first time last Sunday night for dinner and everyone seemed SO stressed out. I sat at the bar and the only presence I enjoyed was the bartender with blue hair. Despite it being a slow night, my food took awhile to arrive. The pan roasted chicken breast was dry and the beef tartare was disappointing (coming from someone who has sampled beef tartare at many spots throughout the neighborhood, including Employees Only etc). Would not recommend this place to my friends, and again, I found it funny that the blue-haired bartender was the only one with a calm demeanor amidst a chaotic environment - despite it being a slow night! I don't know what was going on, but don't waste your time.",1,0,0,Sarah S.,"Indianapolis, IN",579,3,0
5.0,3/17/2019,Food was excellent. Drinks were outstanding!!! Service was great!!! Myra was great she made a really  nice cocktails for my friends to try . The drink was very pretty and delicious!!! Ambiance was really nice. 5 stars all the way#purplempress,0,0,1,Jesslyn A.,"New York, NY",54,6,16
5.0,3/17/2019,The food was amazing!!! We ate brunch there and I had the Eggs Benedict ($18) and it was so yummy. Highly recommend this place for a calm atmosphere and a great time.,0,0,0,World U.,"Fort Lauderdale, FL",1,27,48
4.0,2/25/2019,"Brunch was quite delightful. The simple farm to table menu ethos carries though with the decor - comfortable and quiet. Servers are attentive and warm. The food is not quite rustic, but not trying to be elegant. Wonderful ingredients from their own farm (""grown to order"", they claim!) are simply served without much adulteration, and the result is delicious. It's the sort of food you might expect to  get served in a country bed and breakfast upstate. Baked eggs and short rib hash were the stand out items.",0,0,0,Jay H.,"New York, NY",195,72,0
4.0,2/19/2019,"Stumbled across this place on a Sunday morning while looking for a brunch spot. We were pleasantly surprised to be seated right away at such a cute and cozy place!Food was out of this world, sourced locally from a Catskill farm. I got the eggs benedict which was so fresh and delicious. My boyfriend got the eggs, bacon, sausage and potatoes plate which looked amazing.The best part was the fresh squeezed OJ :)",0,0,0,Ashley G.,"Blauvelt, NY",1,11,1
1.0,2/19/2019,"Basically ruined my valentines. Waited 40 minutes for my table although we had a reservation. No one in management tried to be congenial, offer to take coats, offer a drink or anything. Items on the $115 price fixe sold out. Ultimately was there for over 3 hours just to get through our meal which came out to almost $400 in the end. No one came up to apologize, comp anything, etc. More I could get into but am annoyed just writing this much. Would strongly recommend taking your money elsewhere if looking for a semi-expensive dining experience in NYC.",1,0,0,Dane J.,Hong Kong,627,5,0
4.0,2/17/2019,"Cozy, modern. Fast and friendly service. Coffee and water refilled frequently. Brunch Pain Perdu. Soft, warm and fluffy. Wasn't dry, unlike many others. Could be more egg-y or milky, but I liked it. The blueberries are giant and sweet! And apparently they just keep on getting the giant blueberries. Classic maple syrup, can't go wrong with that. Smoked bacon was tasteful and incredibly crispy.  Some small parts were a little thick so it was hard as a rock. Otherwise, some good bacon. Fruit bowl was filled with pear, apple, orange, blueberries, and grapefruit. The only sweet fruits were the pear and blueberries, of which there were very few (pear was a few paper thin slices). Most definitely not worth the money.",0,0,0,Elei Z.,"New York, NY",109,90,487
5.0,2/15/2019,"Came here for dinner during the week, and was very impressed with the food and service. In particular, a few of the the vegetarian dishes were excellent (highly recommend the roasted cauliflower with pepper appetizer and the fava bean falafel). The food is also locally sourced from a farm, which is another plus. With the appetizers being very good and the local sourcing, it would be nice to see more of the creativity with vegetables and grains carry over into the main courses; hopefully they'll keep experimenting with that.Overall highly recommended for a locally sourced meal in a cozy restaurant.",0,0,0,J W.,"Arlington, VA",0,30,0
4.0,2/3/2019,"Can I tell you......there bacon here is so crispy and delicious! I ordered the burger with salad on the side and it was worth it. My boyfriend ordered the heritage pork four ways which comes with pork belly, pork loin, apple bacon compote, and potato cabbage cake. The food is delicious and the service is very attentive.",0,0,0,Irish M.,"Brooklyn, NY",95,65,141
5.0,1/27/2019,If you go for brunch: get the burger! It was so good. The pic doesn't do it justice. The service was great (we had a reservation) and the food came out on time. Keep in mind the main reason we were there is because my friend had such an awful experience the last time she was there that they gave her a gift card. But this time when we went everything was smooth.,0,0,0,Deena S.,"New York, NY",221,70,20
4.0,12/11/2018,"We came here for brunch. We've walked by maybe 100x, and finally decided to give it a shot. The decor is super cute. The seats by the windows are nice and bright. Overall, the restaurant was nicely decorated but still cozy. The brunch was your standard options: bacon, eggs, sandwiches, etc. Much of their food is sourced from a farm that they also have, which is pretty cool and sustainable. Overall, the food was good, but didn't blow me away. I'd give it another try if I was in a pinch for breakfast or lunch.",0,0,0,Alexa B.,"Manhattan, New York, NY",328,55,149
5.0,12/7/2018,"While this restaurant may not push any culinary boundaries, it succeeds at putting out consistently great food along with great service for an easy-to-swallow price. Safe bets on the menu are the fried chicken and mushroom risotto.",0,0,0,Jesse O.,"Brooklyn, NY",0,7,0
3.0,12/1/2018,"Food and drinks were very good.  Unfortunately the bartender has a slight attitude, the manager was very unpleasant, and the waitress was not friendly at all.  Despite the fact that we had fun because we had great company, I would not return to this place simply because of the staff.",0,0,0,K B.,"Hillsdale, NJ",0,18,5
1.0,11/29/2018,"The Thanksgiving dinner I hoped I newer would have suggested! I don't even know where to start, our party of 9 had our worst Thanksgiving dinner we ever have had. After having had a rough year we decided to make it easier and take our family out for dinner, since we honestly didn't have the strength to cook up our regular feast. Blenheim is close to us and we love their idea of having their own farm. Menu sounded great and we thought we were in for a treat. We were greeted by so,done who seem totally overwhelmed and a tall skinny guy finally found our reservation and got us seated. Our waiter started by telling us that he was new ""so I apologize if I can't answer all your questions, but I will do my best. Fair enough and cudos for him to fessing up. One of our guest asked what comes from their farm and was told by the same waiter ""the sunchokes"". That was it! It turns out nothing else on the entire menu comes from their farm? We chuckled and asked the waiter to double check and he returned after checking with the same confused person who could not find our reservation, and said yes ma'am only the sunchokes. So the whole farm to table idea is it just a lie? The food we ordered was cold, took for weaver and after knowing that it's a scam; I can truly say that it was a disaster!!!! I also looked into reporting them to the better business bureau since it's a scam! I will definitely tell all my neigborgs to spend their money elsewhere, and to think that all the times I have been it was all a lie......We almost decided to have our daughters wedding at their venue upstate, but who knows is that also all a scam. I definitely will make it my mission to find out, and whe. I do I will update my review. Shame on you for feeding people lies and deceiving your neigbors.",2,1,0,Peter R.,"Manhattan, New York, NY",0,1,0
4.0,11/27/2018,"Our go-too place across the street was too busy, so we went here with a relative visiting from London.  The Brunch was lovely, though not outstanding, but I am not so much of a brunch person.  The dinner menu looks outstanding, so want to go back.",0,0,0,Purna R.,"Jersey City, NJ",0,21,0
4.0,11/12/2018,"Met friends who live in the Village and they selected Blenheim for our dinner.  What a nice surprise? Food:  Very good.  I had the sweet potato soup, and short ribs, which my companions said was their signature dish.  It was excellent, juicy with a lot of flavor.Room:  We were at an early dinner on Sunday, so the restaurant was quiet.  The room is very pleasant. Service: Attentive",0,0,0,Kenneth Q.,"New York, NY",14,24,0
1.0,11/11/2018,"If you would like to have a reservation canceled 15 minutes before you arrive for Saturday night dinner with your family visiting from out of town, you're in luck! And if you'd like said cancellation served to you on a platter full of sarcasm, then you're really going to love this place. Don't waste your time here (bc they clearly don't value it anyway). This place is a textbook example of what never to do in front of house.",2,0,0,Diana B.,"New York, NY",0,9,0
2.0,10/30/2018,"It took 45 minutes to get our first course which was an entrée.  When the food finally arrive there was no apology for the long wait.  No check in from the waiter who seemed to disappear.  The check took another 15 minutes to arrive and be paid.  As for the food, not worth the wait.  The chicken was fine, brussel sprouts were fine too.",1,0,0,Tony R.,"Manhattan, NY",11,219,1
5.0,10/18/2018,Lovely dinner start to finish. The maitre'd and bartender were friendly and welcoming fitting us in without a reservation on a Saturday night. Food was delicious and fresh and beautifully presented. Very cozy upscale elegant yet comfortable place. I can't wait to go back,0,0,0,Trish G.,"Manhattan, NY",0,11,1
4.0,10/12/2018,"Came here with my girlfriends and it was such a great experience, the ambiance was perfect and the food incredible. My pasta was a bit over cooked but my rosemary alcoholic beverage made up for it, can't wait to come back!",1,0,0,Natalia V.,"Elizabeth, NJ",148,8,10
5.0,10/4/2018,"My friend and I were were wandering looking to grab a bite last Friday when we stumbled upon this cute spot. It was pretty packed when we got there but luckily we were graciously greeted by the manager Martin who was able to get us a table right away! Elsa, our waitress was super attentive and brought out our martinis right away (dirty with extra olives --just how we like them!!) Per Elsa's on point recommendations, I had the octopus to start which was perfectly crispy and the short rib to follow which was very tender!Everything was great from the food to the service to the cozy ambiance! I will definitely be back!",0,0,0,Liz O.,"Manhattan, New York, NY",0,1,4
3.0,10/3/2018,"Michelin star rated huh? Let New Yorkers be the judge of that. We happened to stumble on this place early on a Saturday afternoon looking for a brunch spot in the west village and chose this. This place is very cute with surprisingly ample space inside and outdoors. As mentioned in other reviews, they have a confusing method of having 2 people serve you. Also they seem disorganized as they were out of certain things first thing as soon as they opened and they weren't sure what those things were until we asked for them. Super simple requests: almond milk, a certain beer etc..... so a bit of advice to the staff: Check to make sure everything on the menu is available before opening. The food was just ok. We ordered eggs Benedict and the French toast. Everything tasted very fresh. Which is nice. I understand the lack of seasoning since you want all of that farm fresh food to shine. That was actually fantastic. I'm just unsure it would be anything to rave about and make me want to come back again.",1,0,0,Tai R.,"Manhattan, New York, NY",3,47,89
5.0,9/12/2018,"Just finished an amazing dinner at what has become my new ""go to"" restaurant when meeting friends in the neighborhood. I have yet to order  something that I didn't LOVE. My only hesitation about the 5 star review is that their wine prices are ridiculous! Most of the time I either order their roasted chicken or pork two ways, however the short ribs are to die for. Always had very good service and the staff are all very nice, the manager knows me and normally seats me in my favorite waiter's section. You can tell that they have a lot of regulars, everyone seems to be greeted by name or welcome back. Try their cocktails, but STAY AWAY from their wine list........food and staff makes it a five.",0,0,0,Paul G.,"Manhattan, NY",0,5,0
2.0,7/31/2018,I ordered the tomato soup and it tasted like Catalina dressing. I ordered the pork and it was served on cold mashed potatoes. The pork was barely warm.The rhubarb tart was heated but not enough and served with chocolate gelato not vanilla. I would never eat here again.,1,0,0,Erin S.,"Port Chester, NY",0,9,5
2.0,7/13/2018,"I just moved to the neighborhood and was excited to try this place. They have a cute outdoor area and it's always pretty busy. Unfortunately we were disappointed with both the food and the service. We ordered the brussel sprouts and fried chicken snacks to start. The brussel sprouts were undercooked and underseasoned. They were kind of bitter. The chicken had this ""sweet"" glaze on it and I found it very pepper-y and unpleasant. My boyfriend didn't mind it as much, so to each their own. We split the poached farm egg with spaghetti squash carbona appetizer as our entree and it was also disappointing - bland and also underseasoned. We also waited nearly an hour for our first course to arrive despite the fact that it was late and not very busy. We had two different waiters serving us and there seemed to be confusion over what was ordered when. I wanted to like this place but I'm not sure I would do back.",2,0,0,Caitlin M.,"San Francisco, CA",259,18,0
3.0,6/17/2018,Came to Blenheim for lunch and got a table outside on a lovey day. Our server was very nice and helpful. But the food was so slow to come out. That being said it was good. We had the omelette and avocado toast. As well as the salad. All very good. Large portions. The sausage which was described as spicy by our server was anything but. It was sweet and caramelized. Interesting but different.,0,0,0,J. Karim A.,"New York, NY",64,795,334
1.0,6/9/2018,the puniest most pathetic portions I've seen. My avocado toast was literally a slice of toasted wonderbread with bodega guac smeared on it. Definitely pass on this place and go to any of the dozens of better places a block from here.,0,0,0,C B.,"New Haven, CT",0,66,0
4.0,5/26/2018,Went to this place on a Saturday afternoon with a friend and it was a great experience. The service was incredibly fast and very nice. We had a great time and our needs were attended to. The food was alright - a bit bland for my tastes but it was a good atmosphere and we enjoyed ourselves.,0,0,1,Zeel S.,"Lawrenceville, GA",8,39,49
