rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/14/2019,Had Indian buffet here and the food was pretty good. They had great service - the waiter was very attentive and always refilled our water when needed and the check came promptly when asked for. Their dessert was some type of flan that tasted a bit like egg custard which was pretty unique to other Indian buffet places ive been to that had rice pudding and other stuff. Would recommend!,1,0,1,Wendy T.,"Queens, NY",368,190,406
2.0,4/8/2019,"Tried Darbar after reading such great reviews. Had a birthday lunch for 4 last week. Let me begin by commenting that the table service was excellent. Everyone was attentive & polite - thank you!The food was ok; I was a bit disappointed because I expected fine dining. We opted out of the buffet as the presentation/choices were not appealing and by 2:30 in the afternoon we weren't sure how long the food had been exposed (the buffet is right by the entrance- everyone that comes in has to pass by the food;some of which is not properly covered).We ordered 3 varieties of bread- Aloo Paratha/potatoes, Cheese Nan, & Nan- The aloo paratha was ok-skimpy on the potato though. The Nans were a little greasy (visible) as was the pastry on the samosasOne person who doesn't care for ginger asked if ginger could be omitted from her order... any selection...the answer was unfortunately not as the spices are pre mixed.  So she ordered Tandori Shrimp. I tasked a shrimp because I noticed her sour facial expression as she ate. I saw why... the spices were overpowering  & salty even for me who loves highly spiced food. But the most disturbing was the fact that the shrimp I tasted had a pungent aftertaste of ammonia which I had experienced before when buying fresh seafood from a well known wholesale place. Not sure if the shrimp were old or it was some kind of preservative. Nevertheless, the waitress was most gracious and canceled the order & replaced it with Chicken 65-spicy deep fried chicken ... except it was covered with sauce! - which was not described on the menu. The chicken was a little dry on the chicken vindaloo even though it was smothered deeply in sauce.All was not lost, the  guest of honor highly enjoyed the Chicken Korma and another enjoyed the Chcken Tikka Masala. The mango and pistachio ice cream was very good.Darbar is ok but I've had much better. It was overpriced for the quality and certainly not  'fine dining' at least in my opinion - sorry.",0,0,0,Carol L.,"Bronx, Bronx, NY",0,2,0
5.0,4/5/2019,"We ate here at the end of 2017, and have been meaning to write a review about how wonderful the service was.  Can't remember what we had anymore, but the food was definitely excellent Indian.  What stood out was how much the manager / owner cared about our experience, they served us our food after bringing everything out, and plating / environment was overall quite excellent (lovely without feeling overly formal).",0,0,0,Danna W.,"New York, NY",3,8,6
4.0,3/30/2019,Ordered chicken tikka masala and the mixed biryani. The food was absolutely delicious but pricy (that's the only reason I didn't give 5 stars). We got a free naan for checking in and also got free dessert (rice pudding) from the owner which was nice and very delicious!,0,0,0,S K.,"WOODHAVEN, NY",31,16,1
5.0,3/29/2019,"Wonderful experience with amazing staff that made for a really memorable night. Amazing service that expertly handled our large, rowdy bunch and served up a delicious spread. The chicken kebab appetizer was unbelievable!!! I will dream about that tender, delicious dish until I return again. Thank you for a beautiful evening!",0,0,1,Lindsay C.,"New York, NY",311,4,1
5.0,3/29/2019,I had been craving Indian food and my daughter found Darbar. Quite the find! The food was delicious and the variety extensive. Our server Simran was great; what superb attentiveness and friendly countenance. I would return in a heartbeat.,0,0,0,D A.,"Portland, OR",0,3,0
5.0,3/29/2019,Great find!   Delicious. Best mojito on the beach...no kidding. Really good food and great service/people.,0,0,0,Martha O.,"Wilton, CT",6,3,0
1.0,3/24/2019,"The food was super salty, meat on the lamb chops we're raw.The service was not the best.  We we're a group of 9, they brought out food for 7 and forgot about the other 2 orders.",2,0,0,Mohammed I.,"The Bronx, The Bronx, NY",0,2,2
1.0,3/23/2019,Terrible service. We waited over 50 min for our food and the waitress didn't even ask what we wanted to drink. All the places in NY-don't waste your time here. So many other places to eat without the long wait and terrible service.,0,0,0,Fran H.,"Raleigh, NC",0,8,7
5.0,3/21/2019,"This place is very good if you are in the midtown east area! I ordered the chili paneer, beetroot kofta curry, and chicken mirch curry for takeout. It was still fresh when I reached my house and the food was very tasty. Definitely recommend this place to anyone in the area!",0,0,0,Sharon C.,"Philadelphia, PA",0,3,0
5.0,3/8/2019,"My office had an impromtu lunch for 13 people. I called another Indian Restaurant and they were the worst! Not helpful and then after finally getting through to someone, they sent me to voicemail so I moved on to Darbar! Mike the manager was GREAT! He spoke to me from his CAR!! My catering order arrived on time and the food was AMAZING!!! Dar will get out business again!  Thank you Darbar and thanks so much Mike!!",0,0,0,Joyce T.,"San Francisco, CA",0,2,0
5.0,3/5/2019,"New favorite Indian place. Grew up in the UK so I fancy myself as someone who knows their stuff. I discovered their shrimp vindaloo first, great flavor and spice with a delish garlic naan to sop up the sauce. Good options too for those that don't like the spice at that level, they'll tailor things, nice friendly staff. I have them dial up the heat on the garlic shrimp bhoona but have that as is and enjoy, superb flavor. So happy this place is around the corner from my office. Only issue now is my post lunch food coma!!",0,0,0,Aldo2002 B.,"Tuxedo Park, NY",0,10,0
5.0,3/4/2019,"Darbar is our favorite Indian restaurant in the city. My husband Richie, daughter Ada and I have been coming here for years because of both the quality of food and excellent service from waiters. Everyone is friendly and welcoming you will not be disappointed in eating at Darbar's. If I could give it more than 5 stars I would.",0,0,0,Ada A.,"West Bronx, NY",0,2,0
5.0,2/24/2019,I love Darbar!  The food is absolutely delicious and the service is the best.  I highly recommend this restaurant.,0,0,0,Frederika M.,"New York, NY",0,3,0
5.0,2/13/2019,"I have eaten here a few times. This the good is great. This is my goto spot in midtown for Indian food. The price for lunch is decent, the average price. The location is convenient.",1,0,1,Beran B.,"Gravesend, NY",10,37,1
5.0,2/13/2019,"One of the best Indian restaurants in NYC. Darbar is conveniently located a short walk from Grand Central. It offers cooked-to-order menu for dinner while buffet style dining for lunch. We have been here a couple of times and the food has been phenomenon for both lunch buffet and a la carte dinner. Very fresh meat and vegetables and generous on spices and seasoning which makes this restaurant really stand out that you don't have to go to Murray Hill for an authentic experience. The weekend lunch buffet is definitely a steal with various meats and vegetable dishes to choose from, fresh oven baked nann are served right out of the oven. I fell in love with their Bindhi Masala AKA okra sautéed with onion in masala sauce  when I had it at lunch buffet and kept ordering it from a la carte. Not many places can get this dish, it so easily gets slimy or not tender but this restaurant really knows how to make this dish perfectly. Even my husband who hates slimy food would enjoy it. Chicken tikka malasa and butter chicken are also fantastic with juicy tandoori oven grilled chicken pieces in rich sauces that is full of spices instead of sugar. We've been fooled so many times at other Indian restaurants in NYC areas that the sauces are too sweet and chefs taking short cuts of throwing uncooked unmarinated chicken breast into tomato soup (I could name quite a few...). This is definitely not the case at Darbar. This restaurant truly lives up to its great reviews and is our go to Indian restaurant near Grand Central.",0,0,0,Ling J.,"New Rochelle, NY",53,58,1
4.0,2/10/2019,"The chicken Malai was delicious, naan was a lovely mix of fluffy with crispy blistered puffs. It was just filling enough for me, try their 4-course Prix fixe if you have a big appetite",0,0,0,Heather P.,"Charlotte, NC",0,6,0
4.0,2/10/2019,"Quite nice Indian place while upscale inside with plenty of room on the upstairs, is also not too crowded and reasonably priced for the Midtown neighborhood.Highlights of my work dinner here include are the house special Lamb Chops and the Rosemary Naan. The other items were quite good, too.",0,0,0,Vasanth B.,"Houston, TX",128,240,131
4.0,1/27/2019,"Yay for lunch specials! The lunch buffet offered a variety of meat and curry dishes at varying spice levels, which I appreciated. My favorite were the goat curry and the fish. I loved the naan, which was so fluffy and warm and delicious, and was refilled continuously. The service was very quick and friendly, and the interior was nicely designed. I had a positive experience and would return in the future!",2,0,0,Amanda Z.,"New York, NY",185,99,34
4.0,1/26/2019,Great food and service / great find on my second city neighborhood. Highly  recommend. Now February and going back second time. Here resturant week and great. With Darbar I order individualy.,0,0,0,Raymond H.,"Little Italy, San Diego, CA",13,3,0
3.0,1/6/2019,"Having been to Darbar many times, I was looking forward to another great experience eating here and enjoying a fun night with friends. I love the food and the ambiance was great.We walked in having made a reservation for 7:30 pm. We were seated and given menus. The ambiance hadn't changed and it was still quiet, warm, and a great place to host conversation. We started with three samosas (not on the menu, but they accommodated our request, which was really wonderful of them). They were delicious, as is the food there. I ordered the saag paneer with chickpeas added so chickpeas and paneer in the saag. Partner ordered the chicken tikka masala and our friend ordered the chef special, which looked like a sort of curry, with a check-in naan. The food was presented gorgeously and the waitress told us to let her know if we'd like more rice, implying that it would be free. Only issue is that they also didn't ask us what spice level we'd like and I LOVE spicy, which was a bummer. Again, wow, the food here continues to be some of the best Indian food. However, when our orders came, mine didn't have the chickpeas. I notified the waitress, and she removed the dish and later came out with a fresh one with the additional chickpeas. Together, it was delicious and I was thrilled. I was less than thrilled when a different waitress asked me if we wanted more rice and we said sure, then she said it would 4-5$. I was very confused as I thought that the rice would be free, and that previously and in every other Indian restaurant I had been to, extra rice was free. She later came back when we decided and gave us free rice, but this whole encounter was very confusing and slightly upsetting. We tried to leave by asking for the check, but I think there was miscommunication or our request was lost because we waited for about 20 minutes for our check. This, in combination with my order mishap, and the rice confusion, had marred the experience. The food though, still great.",1,0,1,Ashley B.,"New York, NY",206,79,27
5.0,1/5/2019,"This is our 5th year hosting a successful networking event at Darbar for about 70 people.  We have done this at both the 46th and 55th Sts locations. The entire restaurant team, especially Mike, work non-stop to make everything work smoothly.  The food is excellent and plentiful and there is ample room for a large group upstairs at 46th St.  Strongly recommended, thank you Darbar and Mike.",0,0,0,I E.,"Manhattan, NY",0,10,0
5.0,12/26/2018,"We have used Darbar Grill to cater our non-profit org's annual fundraiser for two years now.  Their food is excellent and the guests always rave about how amazing their dishes are.  My personal favorite is the beetroot kofta - it's unique and just full of amazing flavor.  All their dishes are wonderful - their food is perfectly spicy and very flavorful. Working with Mike (Manek-ji), Priti-ji, and his whole team was great.  Mike is a professional that has clearly mastered catering and ensuring his client thinks about all the needs for an event.  His staff is courteous and all wanted to ensure that the event is successful.  The whole team is very easy to work with and are true partners for their clients.  They want to ensure their client gets exactly what they envisioned.  I cannot recommend the Darbar Grill team more!  Thank you for making Chhaya's fundraisers so successful! We couldn't have done it without your support and your delicious food!",0,0,0,Deepa P.,"Glen Oaks, NY",89,1,0
