rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/24/2019,Nothing special. It is not Greek. There are better Greek places in Astoria. Meet - I had better steaks for that price. Sorry..,0,0,0,Victor N.,"Manalapan Township, NJ",35,67,39
4.0,4/20/2019,"Small Steakhouse in an out of the way part of Astoria(near Triborough  Bridge). Great service very attentive went with a group for  birthday. Steaks were great service wonderful. Nice to go to a neighborhood steakhouse. Also the wine list is cleverly put together, with a nice selection of affordable wines that compliment the steak. I was happy I met the meat!",0,0,0,John W.,"Garden City, NY",0,35,1
5.0,4/15/2019,"This restaurant is one my favs. I think the food is great but its the service that's impeccable and makes you come back every time.  I know this is a reach but I might even pass on one of the weller known steakhouses like Peter Lugers just because you are not treated like just another paying customer but with so much respect and attention to detail is just insane here.  When i come into the restaurant by myself on one my ""me nights"" they remember when i have my wine (when the main meal comes out) to what I order and to even knowing i may want a charger for my iphone!  Sometimes i may not come in months and the owner remembers.  You truly feel part of the family here and the Sinatra music only enhances the mood here!",0,0,0,Noel G.,"New York, NY",1,3,3
5.0,4/8/2019,I have been here at least 6 times and always the food is outstanding.The owner and staff give great service. I had the Rib eye perfectly cooked and size was more than enough. Highly recommend this restaurant.All the best!!!,0,0,0,John H.,"New York, NY",0,7,0
3.0,4/7/2019,"Well this was our second time going to Meet the Meat. We showed up on time for our reservation that we changed to an earlier time. The bar was full of guys drinking and being loud...very loud. When we were finally seated 10 minutes after arriving we were greeted by our waiter and the owner once again. His hospitality skills are second to none. That's the truth. We went with the Canadian Bacon and Shrimp Cocktail starters and while the shrimp was great, the bacon had a LOT of gristle. For a bacon app in a restaurant like this to be full of gristle...we were shocked. Then we went with the Tomahawk Ribeye for two, creamed spinach, and mushrooms. The steak was a tad overdone, but it's to be expected I guess with a piece of meat that big...but the killer was that it was very underseasoned.  That too wasn't expected. While the meat was tender...again, the trimming could have been better because the amount of un-rendered fat was a disappointment. Especially for a $100 cut of beef. The creamed spinach was fantastic as were the mushrooms. Dessert was the NY Cheesecake and the Chocolate Mousse. Both were absolutely fantastic and the star of the meal. Yes, dessert was the star of the meal at a STEAKHOUSE...All in all, it was an OK night...but I'm afraid we won't be going back anytime soon.",0,0,0,Steve A.,"Middle Village, NY",10,34,7
4.0,4/5/2019,"My sisters and I were having a spa day and then were trying to last minute find a good place nearby before driving back to PA. We found this little spot on Yelp and decided to give it a try. Cute little spot and the name was kind of deceiving. Inside it is a small intimate white table cloth restaurant with a little homey feel. The server came right over and took good care of us. We tried the Caesar salad which was the only part of the meal I didn't like. It was really fishy tasting. We got three slices of the Canadian bacon... definitely a must try! It was amazing. Then we tried the French onion which was possibly the best French onion I ever had. Then we shared the bone in ribeye and ny prime sirloin. We asked for medium but it was alittle on the rare side for us and they had no problem upcooking it. The bourdeglais sauce was out of this world, both steaks had so much incredible flavor! Then all the sides were fantastic. Fries, hashbrowns, broccoli rabe and mushrooms. Everything was super hot which is how I like my food. Lately we paid and then checked the bill. They added two extra wines to our bill. They acted likes it was a problem to fix when quite frankly we were upset they were trying to add two extra drinks to our bill that we didn't order. That kinda stinks to end such a fabulous meal on that note. However I have to say what a pleasant surprise. If your in the area, do try!",0,0,0,Candice S.,"Easton, PA",6,74,114
4.0,4/3/2019,Great steak!!! Cooked perfectly and tasted awesome! Definitely recommend this place to anyone who wants a good steak! Salmon was good as well,0,0,0,john b.,"Corona, NY",1,10,0
5.0,3/25/2019,"Amazing food. Steaks were cooked perfectly. Great service, very friendly and was seated very quickly.",0,0,0,Kevin P.,"Brooklyn, Brooklyn, NY",90,2,1
5.0,3/23/2019,"This place was absolutely amazing!!!!! From the ambience to the staff. They were attentive and friendly. The food was great especially the mashed  potatoes. Great place for a date, birthday, anniversary or any occasion.",0,0,0,Fola S.,"Brooklyn, New York, NY",0,13,0
5.0,3/22/2019,Uahooop the restaurant is beautiful beautiful yesterday celebrate my birthday in the restaurant uahhhh the food excelente the server friendly victor thanks thanks,0,0,0,Terry A.,"Queens, Queens, NY",0,1,0
4.0,3/15/2019,Great food and the prices are even better for the delicious top quality food that you are being served.The sides were really tasty!,0,0,0,Rich M.,"Astoria, NY",115,44,11
4.0,3/8/2019,"I came here on a double date during restaurant week. When we came, we were the only ones in here at 6pm on a Saturday. So we all ordered our foods, I got a salad as an appetizer, rack of lamb with mashed potatoes as my entree, and a tiramisu cake as my dessert. It was all pretty good and the food was tasty! Our server was very helpful and he always kept checking on us to make sure we enjoyed the meal! It was a great time especially since I have never been to restaurant week in Queens. I always go to restaurants in the city, but it was pretty good!",0,0,0,Melissa D.,"South Ozone Park, NY",144,123,330
5.0,2/26/2019,Need to go back! Excellent service and food. The steak was cooked to perfection. The sides were great and the prices were very great!,0,0,0,Will G.,"Astoria, NY",0,20,0
4.0,2/25/2019,"Third time here, I guess it's time to finally write a review. A small establishment with great steak and sides. They are kid friendly which is a plus but they don't offer any kid items on the menu. Just have them share with you would be the best bet unless you're eating medium rare steak like I was and had to order my toddler a burger with fries but the burger was super well done and dry. She only ate very little of it, probably should order a medium burger.  We were able to snag a table of 9 on a Sunday night through opentable the morning of which was great. When we arrived the table was already set up for us in the middle of the restaurant. What we ordered: Canadian bacon slab, mussels, crab cake, potato hash, steak medallions, bone in ribeye, branzino, cheeseburger, burger, vegetable platter, Mac and cheese, broccoli, Brussels sprouts and creamed spinach. Mussels appetizer was what my friend raves about so when we all tried it we loved it. I don't eat mussels but that sauce was so good. We had to order more bread just to finish the last drop of the sauce from the plate. The crab cakes I didn't try but everyone else said it was pretty good. The bacon slab was alright, can't compare to the one at Peter Lugers. Everyone but the kids loved their entrees. The burgers were a bit dry when we asked for a medium well but came out as well done. The ribeye was cooked to perfection, a medium rare for me and it was so big I had to take half of it home. Branzino was good, vegetable platter was huge for my vegetarian friend but she liked it and she had to take it home. The steak medallions were good my friend ate it all. My favorite side was the Mac and cheese and Brussels sprouts. Very flavorful. My friends toddler loved the creamed spinach. The broccoli was watery and nothing to write home about. The potato hash was good and had the caramelized potato skin pieces in it. Highly recommend this place for any special occasion or when you just want some steak. If you bring a cake in just know that there is a $30 cake cutting fee which we did not know about at all.  There's street parking here and sometimes you have to drive around a few times to find a spot. If you have reservations I suggest coming a little earlier to find parking.",1,0,1,Francine Y.,"Queens, NY",145,282,1669
5.0,2/19/2019,"So I went to this place with my girlfriend for valentines dinner. Their food, service and everything was just awesome. I had to push my reservation twice and they were really helpful with it and also they treated me with all the respect. About the food the steaks were really good, perfectly cooked medium well as I asked for. Overall thumbs up the place !!!!!",0,0,0,Daniel J.,"Brooklyn, NY",0,10,0
5.0,2/16/2019,"Once again, Yelpers came through when searching for a steakhouse just outside of Manhattan. We shared the dry-aged porterhouse steak for two and opted for the grilled vegetable platter instead of the standard sides. The platter included a nice assortment of grilled asparagus, tomato, onion, brussels sprouts, and red pepper. Both platters were well-seasoned and delicious! Everyone was friendly and accommodating and the service was top-notch! Looking forward to going back!",0,0,0,Emelia P.,"Centereach, NY",0,47,23
5.0,2/15/2019,Wonderful family owned business with great food and amazing atmosphere worth a try for sure...,0,0,0,Adnan R.,"Queens, Queens, NY",25,1,0
5.0,2/9/2019,"The food was delicious.  The steak melted in your mouth. The salmon was cooked to perfection. The chocolate mousse cake was divine. I came for restaurant week, I will be back to try another dishes. The food was exceptional. I recommend this to anyone.   Great job meet the meat",0,0,0,Anna A.,"South Richmond Hill, NY",101,17,3
5.0,2/7/2019,I go here for date nights with my couple friends and this place is amazing. The steaks are better than a lot of the fancier steakhouses in Manhattan. And I absolutely love it that it's in my neighborhood. The service is great as well.,0,0,0,Tenzi S.,"Woodside, NY",1,29,49
5.0,2/1/2019,"Excellent food, excellent service. Would highly recommend this place.  The music make this an extra classy place.",0,0,0,Kristin H.,"Woodside, NY",0,15,1
5.0,1/30/2019,"Looking for a special place to eat some good steak for my birthday dinner online, I came across this steakhouse and decided to go here and it was the best choice ever!!!!  Meet The Meat Steakhouse was a small cozy place with the a really romantic/family setting and the BEST STEAK around here!!! I was a bit embarrassed to take pictures of the food but let me tell you what I had to eat. For appetizers we had grilled scallops and crab cakes....absolutely delicious!!! And I had medallions with the mashed potatoes and my husband had the filet mignon with asparagus and mashed potatoes. Everything was just delicious but the most important thing was that the meat was so so tender that it just melted in your mouth!! This little nook is just so good I loved it and the service was very good too.  YES YOU HAVE TO GO EAT YOUR STEAK HERE CAUSE IT WAS PERFECTLY-DELICIOUS!!!!",0,0,0,Eva R.,"Clintondale, NY",0,7,3
4.0,1/27/2019,"First of all I was scared that I wouldn't find parking, but this is near a residential area and so it was not bad at all.  There is a patio, where i'm sure during the summer has outdoor seating.  The ambiance is very nice great for apecial occasions. Servers were great. Food was good except 1 thing, we ordered scallops and there were only 3 pieces! We ordered grilled octopus, which was real good, was not overcooked and cooked perfectly.  It is restaraunt week and so we had the pre fixe menu, which included an appetizer, entree, and dessert. My boyfriend ordered the NY strip, and my bff and I ordered the filet mignon. They cooked the steaks as we ordered. Overall our experience was great, just those darn scallops. Oh and I almost forgot, we also ordered the scallops and octopus seperately. They are not part of the pre fixe menu. The steaks came with mashed and a very small side id green beans and so I ordered the creamed spinach, which was awesome.",1,0,0,Cathrine S.,"Bellerose, NY",357,17,18
5.0,1/27/2019,"Came here with my boyfriend for restaurant week. The ratings are true. The service was great and the food was delicious. For appetizers, we had the sautéed mussels, meatballs, and blue point oysters. I love how the tomato sauce and meatballs tasted homemade - the meatball had this amazing crunch on the outside and the inside was juicy and tender. The sautéed mussels paired nicely with the tomato sauce. I didn't eat the oysters but my boyfriend said the blue point oysters tasted fresh. For entrees, we had the NY strip steak and filet mignon. Both entrees come with mashed potatoes and green beans/carrots. The steaks were cooked correctly and seasoned nicely. Not too salty! Mashed potatoes taste homemade, I loved the potato bits in the mash. Green beans/carrots had a nice vinaigrette on them. For dessert, we had the cheesecake and chocolate mousse cake. I loved the cheesecake, tasty graham cracker bottom. The chocolate mousse cake was a bit too sweet for my palate but it may have been because I was so full hahah. Service is great, everyone is so friendly and attentive. I would definitely come back and recommend this place to friends and family!",0,0,1,Victoria L.,"New York, NY",11,42,22
5.0,1/22/2019,We came here for restaurant week.  The food was delicious.  All our steaks were cooked to order.  One person in our group was drinking up the white sauce for the mussels in his appetizer because it was so good. The tiramisu was so light and airy.Great service and nice restaurant.,2,0,1,Anna F.,"Queens, Queens, NY",47,86,23
5.0,1/19/2019,"For my husband's birthday, my daughter and I wanted to surprise him with something new ... a place we've never been before.  I suggested going to a steakhouse.  After extensive search online, Meet the Meat was the ""one"" (top 1 suggestion on both Yelp and Google).  So today we went at 4pm.  The space has good layout and great energy.   The staff are super attentive and friendly.  We ordered Canadian Bacon, Meetballs, Porterhouse for 2, Lamb Chops, Baked Mac N Cheese, Mashed Potatoes and Sautéed Mushrooms. Everything was delicious.  My husband was so happy and appreciative of our little surprise.  The kids also loved and enjoyed their meal.  We will definitely come here again.",0,0,0,mau c.,"Long Island City, NY",5,131,89
5.0,1/18/2019,"Best steakhouse in Queens! Everything here is absolutely mouth watering. The porterhouse steak,  the lamb chops and even the seafood (branzino fish is cooked to perfection) are all must haves. We also always order the pecan pie that is accompanied with 2 delicious scoops of ice cream.",0,0,0,Diana S.,"Queens, NY",0,8,1
5.0,1/18/2019,"My husband discovered this place while searching for restaurants to take me for my birthday. I saw the menu and was very excited to try so many things. I ordered the French onion soup. WOW. It was the best French onion soup i ever had, i ate the entire bowl! For dinner i had the lamb chops which were PERFECTLY cooked and seasoned. Very delicious. The service was outstanding! The owner was extremely nice and made us feel like apart of his family (who actually all work in the restaurant! I love a family business!) I can't wait to go back and try all of the other amazing things on the menu. Highly recommend Meet the Meat!",0,0,0,Kristina M.,"New York, NY",0,16,20
5.0,1/17/2019,"Just had my wife's birthday dinner here, and the food was fantastic.Everything from top to bottom was exceptional, service, atmosphere,  food.  The owner was extremely niceI had the rib eye which was one of the best steaks I've had to date, and the shrimp bisque was perfectly madeI will be coming back, and I reccomend you do the same.",1,0,0,Jonathan B.,"Howard Beach, New York, NY",0,4,0
5.0,1/14/2019,"I can't say enough good things about this place.  My boyfriend and I initially came here because I got one of those yelp emails talking about restaurants in Queens.  We were not disappointed.  I lived in Astoria for 8 years and would typically go to Manhattan if I wanted a steak.  I no longer have to do that.  Meet the Meat has a cozy atmosphere and the owner makes us feel right at home. I loved the background music and just the whole vibe of the place. We have been back 2 times since and were greeted like family.  Our favorite server, AK, always remembers us and what wine we like to order.  The whole staff is knowledgeable about the menu, the cocktails are on point, and the food is excellent.  We love this place and want to eventually try everything on the menu.  For starters, the Smoked Salmon, Blue Point Oysters, and Grilled Octopus are all solid choices for an appetizer.   The Bone-In Ribeye was delicious but my new death row meal is their Prime Sirloin.  It was perfectly charred on the outside and the right amount of pink on the inside. The flavor was incredible.  I enjoyed the truffle fries as a side along with the creamed spinach.  The cheesecake did not disappoint for dessert.  Their wine menu is reasonable.  This is my new go to spot for an overall great dining experience.",0,0,0,Marianne L.,"New York, NY",5,7,0
4.0,1/12/2019,Steak was pretty good here. Must try their grilled Vegetables platter!! However... Stay away from the seafood and crab cakes .... Seafood didn't feel fresh but more like bland and washed out for a long time?? The crab cakes was just not up to par and just looked fried,2,0,0,Wendy T.,"Queens, NY",368,190,406
4.0,1/5/2019,"The place is nestled in in a quiet blocking Astpria... it is a steakhouse with special fish dishes.. nice set up. If you order apps, get the grilled octopus.. to die for!!!! Never ever had it like that deeelish. Had the NY sirloin and my strip bone in, cream spinach and asparugus.. all were deelish.. had a few drinks.. nice selection of wine Louis Martin excellent. But bring a Helmet.. the prices.... WOW. Unsure if I would repeat. 2 people, 2 in change.",1,0,0,Mah B.,"Staten Island, NY",6,122,40
4.0,1/2/2019,"I made a last minute New Year's Eve dinner reservation for my fiancé and I, and we were both pleasantly surprised. I had never heard of this place despite being an Astoria resident, but it delivered. Look, it's not Peter Luger's, and I didn't expect it to be, but you can get a damn good steak here. We shared the grilled calamari appetizer, each got a French onion soup, and split a prime sirloin with a side of creamed spinach. The steak was cooked perfectly (medium rare of course), and once we added a dash of salt it was excellent. The creamed spinach was by far the highlight - you won't be sorry. Top it all off with a bottle of Malbec and you're good to go!The service was great as well. The staff works hard to be personable and help make the dining experience pleasurable.",4,1,3,Jackie S.,"New York, NY",1004,802,3287
2.0,12/29/2018,"This diminutive​ restaurant in Astoria, Queens, houses a steakhouse​ that can have tremendous potential.​ Upon entering, you are immediately greeted by a Maitre d who quickly escorts you to the table. During our visit, a small party of about 10 were seated and enjoying their time denoted by laughter and cheer.  Including that boisterous table, there appeared to be two other tables that were occupied.  Once seated, I noticed about 3 other tables that were not seated and that's it in total, as far as the available seating in​ this sparse area.  Incidentally​, the restaurant is contained within a small mini-mall just feet away from​ Ricardo's Caterers near the Tri-boro bridge.My dinner guest and I​ started with appetizer's of raw oysters which were fresh but small as well as the scallops which were excellently cooked but needed a pinch of seasoning to compliment this seafood. To balance our palate, we shared a bottle of Robert Mondavi Cabernet to accompany the expectant king of red meats. As a self-proclaimed carnivore​ with the former Ben Benson's, Smith and Wollenski's, Gallagher's, and Peter Lugar's as well as many others under my belt, I stand to​ believe that I am a fair critique of red meat purveyors. With that in mind, I was disappointed with the quality of meat served.  While the service was outstanding from the very beginning until the very end of dinner, the Porterhouse which was ordered medium rare, needed a strong blast of intensified heat that most steakhouses have, in order to infuse a crispy​ char on the outer layer of this steak. Our steak this evening​ was presented with an anemic​ and pale outer layer that reminded me of a diabetic end-stage​ foot that needed to be amputated. My guess is that we arrived on the latter part of the evening and thus, the restaurant had to thaw out the frozen meat by unconventional means resulting in the inability to achieve​ a char.  If this was the case, the restaurant's management had an obligation to ""86"" this dish and consider advising on an alternate dish. Unfortunately, neither was considered and we were left with this bad first impression resulting in the pilfering of $85.00 from my coffers and a total of 250 including tip, for my ticket outta there. The steam spinach was a no-brainer​ and the creamed spinach was a smooth and delicious finish.In retrospect, I have mixed feelings for this place. While the service was undeniably very good, the name of this restaurant is not a barometer nor a guide where great steaks come from.  Instead, it is named after a forum where vascular surgeons discard their remnants after a days work.",2,5,0,Larry L.,"Bronx, NY",25,36,67
5.0,12/28/2018,I can't describe this place in words really excellent food and service. Had the 6 week aged porterhouse steak for two with the hash brown potatoes talk about perfection. Definitely going to continue coming here. Also the grilled octopus was nice.,1,0,0,DrizzyBaby S.,"New York, NY",266,143,48
5.0,12/25/2018,"This is my family's go to restaurant. The food is delicious.  It's the best steak I ever eaten. The atmosphere is warm and inviting. The owner and staff make sure customers have a great experience.  You must try this place, you will not be disappointed.",0,0,0,Violet Z.,"MIDDLE VILLAGE, NY",6,5,1
4.0,12/14/2018,"This wasn't my favorite steak house in Queens, but the food was good.I started with the crab cakes which were good, but not amazing.For my main course I had the bone in ribeye which was great, I LOVED crispy meat and fat around the bone, the creamed spinach was also delicious. The Mac and cheese I could have done without as it was slightly bland for my liking. Overall this is a good steak house that won't break the bank.",0,0,1,Olivia S.,"Queens, Queens, NY",261,206,1357
5.0,12/13/2018,"We had a great experience at Meet the Meat, we love their steak, it was cooked perfectly. We were overwhelmed by the service and cozy ambiance of the restaurant. We would love to come back soon",0,0,0,Mia H.,"Manhattan, New York, NY",0,8,2
