rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/13/2019,"Despite not being full, the service was lacking. Drinks didn't get refilled, we weren't checked on regularly, etc. The atmosphere and ambiance we're nice, as were the menu selections. We opted for the dining room over the cafe as it had more brunch-style food choices. The food was delicious and sophisticated.",0,0,0,Jody T.,"Birmingham, AL",79,22,142
3.0,2/14/2019,I brought clients here for a business lunch and what a disappointment. They kept bringing us other tables food and our food took so long and it was just average. My small serving of sea bass was fishy and full of bones and barely room temperature. The saving grace was the great waiter and the delicious ice tea that was continually replenished. Cool to be in the Morgan's real dining room- I wish they had some of their family history written on the menus. Next time I'll try the cafe- beautiful 2 story open area with floor to ceiling windows.,0,0,0,Nikki R.,"New York, NY",0,3,0
2.0,2/2/2019,"In the past our experience at this restaurant has been fair to good but this time the food was just poor. As well as the service...the pot eu feu was an unappetizing mass of boiled glop, the risotto tasted alarmingly metallic, the tartine was tasteless with too many black truffles overpowering a slice of bread with what tasted like Philadelphia cream cheese, cold figs,and some radishes and watercress scattered over it, and why did the beef dish have olives in it?The service was way below par as well...the woman next to me was more than half the way through her meal when her wine finally arrived but first it was given to me...the waiter had no recollection of to whom it belonged. We were finished with our coffee when our cookies finally arrived which were sickeningly sweet. We were not asked if we wanted more coffee and there was no apology.I gave this review two stars because of the wonderful look of the room and I felt nostalgic since I have been a patron for years. What has happened here? Indeed there is some sadness for the disappearance of elegance left in our lives, so we are drawn here for its promise, but this faking it, this sophomoric attempt to show off and fail miserably, left me with the thought that at least the fast food eateries are genuine.",0,0,0,D F.,"New York, NY",0,9,0
3.0,2/2/2019,"I have been coming here for years and have always had the loveliest experience. However, yesterday was a sore disappointment. The entrees were good but the service was exceptionally slow. My mother and I were sitting with empty plates in front of us for at least five minutes until we had to flag down our waiter to tell him we were finished. We ordered coffee and the cookie plate. Our coffees came quickly but by the time the cookies came we had already finished our coffees. We reminded the waiter we ordered cookies and he said they're on their way. Once they arrived there were three cookies, one chocolate chip, one peanut butter chip and one oatmeal raisin. They looked and tasted like they came out of the Keebler box. We were sorely disappointed in the lack of quality in the cookies and also the fact that it took over ten minutes to take three cookies out of what seemed like a box and throw them on a plate. Nowhere on the menu did it say homemade cookies, but for $9 we were expecting something a little better; especially in comparison to their other food. And not once we we asked if we wanted more coffee. Our waiter was very nice and polite but we then had to ask for the check twice. The reason this place gets 3 stars instead of 2 is because I have experienced how good the food and service can be. But for the prices they are charging, yesterday should not have happened.",1,0,1,Gina A.,"Manhattan, NY",182,278,1
5.0,8/24/2018,"We had lunch at noon before seeing the adjoining museum, library and gift shop. I had an off-menu special to start,  a cold, creamy, almond/strawberry/grape soup. Great taste. It was blended, except for the grapes. They served appetizers with a choice of three fine breads: country, chiabatta, and dark nut ... I was a good boy and limited myself to only two slices with soft butter.  My entree was a salad, also with almonds and grapes, plus medium sized cold shrimp - one of the best salads I've had. My wife and my buddy had the branzino and his wife had the pasta of the day, which she felt had a slight bite (spicy), but that actuallly went fine with their beer. It's a fancy place, we enjoyed our dishes, talented chef, a bit pricey ($85 without dessert), but given the quality and atmosphere, I can't complain",2,0,0,Aba H.,"East Meadow, NY",7,104,112
3.0,7/18/2018,"The small dining room was a lovely place to eat. The food was well prepared by the chef and the service was impeccable. Lunching with friends, I would give four stars but the place is too noisy. We had an early lunch but mid-way through the meal we were practically shouting at each other. This is unacceptable for lunch that can easily run upwards to $40.00 with a beverage.  Management should definitely consider having ambient soft music.",0,0,0,Dani W.,"Malverne, NY",0,55,0
4.0,5/29/2018,Came here with my dad after a classical music concert at the Morgan Library. The food here is fresh and local and they have good cocktails. Service is knowledgeable and friendly. Definitely a cool place to take out of town visitors.,1,1,1,Andrew D.,"Brooklyn, NY",870,623,310
2.0,5/13/2018,"I was shockingly disappointed by the Mothers Day brunch at the morning dining room.  I would have expected for such an important occasion they'd be top of their game - but everything was mediocre and sometimes barely edible.  It was very clear much of the meal had been made in advance - e.g. complementary beignets (cold & chewy), and a desert with sponge cake that tasted incredibly stale.  It wasn't a cheap meal, and I was embarrassed I chose the place.  My mom did her best to hide her disappointment, but it was unpleasant seeing her pick around her food.  Says a lot about a place when they clearly don't respect their food - especially on such a special day.",0,0,0,Karen T.,"Brooklyn, NY",2,11,0
4.0,1/2/2018,"It is located inside The Morgan Library & Museum.  It is an upscale lunch-only American restaurant, and you do not have to pay for the admission for the Museum in order to dine here.We went for Brunch, with a reservation for four. From their Brunch menu, we ordered Vegetable Baked Eggs & Brie, Maine Lobster & Smoked Pancetta Quiche, The Pierpont Salad, and a few desserts. They were tasty, high quality, and very fresh. We enjoyed the lunch. The menu was not very large, but had a nice selection. The portion of each dish including the desserts were a bit small, but this is where the quality vs. quantity comes in. They are definitely the quality, which I was ok with, I prefer to have a smaller amount of high quality food than a whole lot of bad or not tasty food. We had a nice light brunch, tasty and high quality, relaxing and elegant. The service was good, polite and friendly, a bit slow but there was a huge group party who came in shortly after we arrived, so they got busy with them on top of all the other customers.",2,0,1,June S.,"New York, NY",212,624,4546
5.0,9/14/2017,"There are places you don't want to tell other people about because you want to keep it a secret...this is one of them. Great for drinks (there is a 3-martini lunch item) and lunch. The museum is fascinating (but expensive at $20) but dining here is reserved, tony and quiet. Food is good too. It's not for everybody but a great spot for a business lunch or when the city just gets too frenetic and you need a changeup. I've had the gazpacho before which is awesome but they were out of it at lunch today so I had an interesting Japanese style bean tofu which was packed with flavors, a bit small but intriguing and tasty. Tried the salad with chicken and bacon which was quite good and companion had shrimp dish which was devoured quickly. The break basket looked delicious although I proudly did not partake (trying to lose a few pounds). Good service, you're not rushed at all and it's great to chill out. It's a little oasis in the city in Murray Hill which is truly lacking for good choices.",3,0,2,Joe F.,"Tenafly, NJ",60,223,53
