rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,2/8/2019,"One.  More. A. Good. Meal. Thanks guys. As. Always. Good wine. And. Pasta. (I'm a. Pasta lover ). Is. A bad habit  , but. Can't stay with out pasta and. Wine. See you soon .",0,0,0,Martino F.,"Queens, Queens, NY",0,6,0
1.0,1/19/2019,"Overpriced mediocre food.  If you're ready to spend almost $20 for a small mixed salad this place is for you.  And on your way out they give themselves a 20% tip including on the tax you paid.  Avoid it, there are lots of better options.",0,0,0,Joram S.,"Centrum, Amsterdam, The Netherlands",0,1,0
4.0,1/11/2019,Dinner party private room Appetizers delicious  dinner excellent  waiters Very attentive help pic an excellent choice of wine,0,0,1,Mo O.,"Manhattan, NY",0,45,0
5.0,12/29/2018,Excellent food and attentive service. Fernando welcomes us in and took great care of us.,0,0,0,Dale L.,"Gilbert, AZ",0,2,0
5.0,10/17/2018,"Had the pork loin. it was probably the best pork i've ever had--good portion size as well. The restaurant was very quiet, which is nice if you're looking to have a good conversation, and not wanting to have to yell.good service, great waiters. will go back.  skipped dessert but they looked delicious",0,0,0,Aaron S.,"Provo, UT",4,53,0
4.0,6/26/2018,What a great surprise!! Fresh pasta was perfect. Ravioli!! Caesar for two was more like Caesar for three . Fish was fresh and cooked to perfection as well. We stumbled upon this gem on our first night in Manhattan this year. The only issue was a less than amazing wine list. But we found a great Barolo and the cocktails didn't disappoint either. Service was excellent and friendly with great atmosphere. Fernando - you were.....perfect! Thanks!,0,0,0,Dale W.,"Sunriver, OR",276,8,0
1.0,2/14/2018,"Huge ripoff. I attached a picture of my bill. I arrived with business guests for lunch and they seated us with regular dinner menus, no mention of their lunch specials. Apparently, one of my guests knew that you had to ask for the lunch special menu, like it's some secret. One of the guests ordered off the regular menu as he didn't like anything on the lunch specials. Apparently a bowl of lentil soup costs $18.75 and a salad with grilled chicken is $32. Also, we had 3 diet cokes and 1 iced tea...that cost $35.50. Restaurants like this know they are dying off and wont be around much longer so they choose instead to rip off their customers. By the way, food wasn't anything special. Avoid!",1,1,0,Carl C.,"Manhattan, NY",2,7,1
5.0,2/2/2018,This place is the best! Absolutely delicious and incredible service - Manuel took care of us and made it a wonderful experience! Definitely coming back!,0,0,0,Sabrina S.,"Los Angeles, CA",0,6,0
1.0,1/19/2018,"I ordered food on Seamless - $29.00 chicken parm, $8.00 garlic bread, etc. Total order was over $80.00  The food was ice cold.Sadly these people care so little about their customers they won't invest $30.00 to purchase an insulated food backpack to ensure the expensive food arrives hot.  The cheapest pizza joints and bagel places offer this basic service for a $15.00 pie or $8.00 in breakfast sandwiches. TO THE MANAGEMENT: Can you please provide an explanation?",1,0,0,O U.,"Manhattan, NY",0,88,2
4.0,2/2/2017,"Came here for restaurant week (winter 17). I must say that I really enjoyed myself. The staff were truly attentive to our needs and helped whenever necessary. We got two glasses of Malbec to start and had delicious fresh Italian bread with dipping oil. For appetizers we got the bufala and the eggplant parm(melanzane) both of which exceeded our expectations. For my main, I got the linguine with little neck clams. I really enjoyed the dish. My friend got the pollo montobello which I got to try as well. This dish had an excellent lemon/Parmesan crust. For dessert we got the cheesecake and the chocolate cake. All in alll, a delicious restaurant week meal, unsure if I would visit outside of restaurant week.",1,1,1,Alex S.,"Manhattan, NY",179,88,44
4.0,11/28/2016,"My friend and I found this restaurant while walking one evening on the upper east side looking for a new place to dine.  Montebello fits the bill if you are looking for a quintessential independently owned Italian NYC restaurant where you can count on getting a table.  Our service was excellent, warm, friendly and accommodating.  The server encouraged me to customize my salciccia dish to my specific preferences and it was fabulous!  From the wine, bread basket to dessert, we left very happy and satisfied.  To me, since I live in Colorado, I have high expectations for every meal I get to eat in NYC where the bar is especially high.  I can't wait to go back! Thank you.",0,0,0,Ann F.,"Fort Collins, CO",22,3,0
4.0,9/28/2016,"Great food at this place ! I new it was going to be great when I had a. Meaty quality olive oil to dip my bread in...as I wait for my lasagna..which was so great and an easy staple. Also friend the chicken montebello,( pan coated with Parmesan cheese ) I hope that what it is called? The chicken was so moist and the wine sauce it came with was awesome too. It is quiet and cozy, and no real fluff about the restaurant decor..for that I enjoyed it more and the staff was so nice and courteous...and I felt welcomed! Thank you for a nice end of a New York day!",1,0,1,Rhonda F.,"Manhattan, NY",105,21,2
2.0,8/27/2016,"We have been regulars at Montebello for at least 6 years.  The food has always been excellent, although we have been concerned that the prices seem to  go up each time we eat there.  However the quality of the food and service has always brought us back.  This was the first time we went on a Saturday night, and the place was nearly empty.  The few staff people that were there were attentive, but the food, although certainly edible, was definitely not the best.  Vegetables were soggy and drowning in sauce, sauce for the rigatoni was not the flavorful one that we have had, and the ricotta cheese cake was dry.  Since they're not open on Sunday, maybe Saturday night is their time to clear out leftovers!  Definitely unacceptable, especially at those prices!!",1,0,0,Vivian O.,"Manhattan, NY",0,13,0
