rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/11/2019,"My fav Indian food in the city. Period. I love their dinner menu, their buffet, their desserts, and honestly just thinking about it all is making me hungry I've ordered their lunch specials as well and although I prefer the buffet, the food delivered has been consistently fresh and soooooo good.Chicken Tikka Masala: delicious! Creamy and just perfect. I prefer mine extra spicy.Tandoori Chicken: classic, done so well I daydream about itNaan: fluffy and buttery and incredibly goodI hope the mgmt keeps up the quality/service and doesn't take shortcuts like so many other desi spots. The difference shows.I will have to return soon to this part of the city just so I can fangirl some more!",0,0,0,Tani K.,"Manhattan, New York, NY",0,12,3
5.0,3/29/2019,My first time at the Darbar Grill. The food was delicious and the service was first rate. I had been craving Indian food and this place fulfilled my craving in a big way. Our server Simran was fantastic. I would not hesitate to return.,0,0,0,D A.,"Portland, OR",0,3,0
5.0,3/12/2019,"Had the buffet and it was seriously one of the BEST meals I've had in a long time. All the food was flavorful and perfectly spiced.  Excellent selection, 10 or 12 hot dishes. Salad bar, and delicious desserts.  Excellent service. Restaurant was very clean and attractive. Unbelievable deal for $14.95.  Went at 2:00pm on a weekday and there were plenty of seats... surprised it was not more crowded considering the quality of the buffet? Can't wait to go back again!",0,0,0,Tom L.,"Hudson, NY",1,176,0
3.0,3/10/2019,"Darbar was a solid Indian dining experience. Came here on a Sunday lunch but we decided to order a la carte rather than the lunch buffet. It wasn't very busy, only three other parties, with background music playing on the overhead. It's a casual/business friendly setting you could go for an office lunch or take a friend out for Indian food. We were waiting less than five minutes for our food when a waiter came up and tried to rush us for the bill, probably thinking we were eating the lunch buffet, and it was an awkward two minutes when we had to explain what already happened. I ordered the house specialty eggplant bhartha curry while my friend ordered paneer makhani along with garlic naan. The basmati rice is cooked very well especially compared to other Indian restaurants I've been to, and the naan was warm and dotted with garlic bits. My eggplant bhartha came with a slight spicy kick that grew as I ate, which I enjoyed very much but it could've been spicier. I tried the paneer makhani and it was very creamy and a bit more than slightly sweet. In the future, maybe I'd like to try the lunch buffet special for a greater range of offerings. It's a narrow restaurant front, so be careful when entering the lunch buffet area.",0,0,0,Diane J.,"New Haven, CT",354,68,292
4.0,2/25/2019,Excellent food curtíos quick service. Worth every penny. Lunch buffet had delicious choices.,1,0,0,Alexander D.,"Bronx, NY",0,3,3
4.0,2/21/2019,"Went for the AUCE buffet and wasn't disappointed.  The chicken tikka was a little dry, but we went after 3 and it was probably sitting there for awhile (the place was practically empty).  Nonetheless, it was wonderfully flavorful, kind of spicy which is a plus in my book!  Pieces seemed to come from tiny chickens but it was delicious!  The chicken makhani was excellent!  The sauce was tomatoey and buttery tasting, with a slight kick.  The curry goat was tender, and nice sized pieces.  Tilapia in curry sauce was quickly replenished as we couldn't find any fish, and was tasty.  Fresh hot buttered naan was brought to the table.  Saag paneer was good, and was probably even better had we arrived sooner, but no complaints.  There was a peas and potatoes dish which was ok, and vegetable korma which was not bad.  Overall I enjoyed this meal a lot and look forward to eating there again soon.",1,0,0,Robert Z.,"New York, NY",15,24,30
5.0,2/13/2019,"These are the reviews I most enjoy writing, where I can wholeheartedly say that I had a wonderful experience at Darbar Grill. The food was quite simply excellent, I would argue it was the best garlic naan I have ever tasted. What struck me most, however, was the kindness and genuine service I experienced, thanks to the manager Vishnu. He was kind and enthusiastic to recommend dishes. If you want high quality Indian food coupled with outstanding service, Darbar Grill is the destination of choice.",0,0,0,Amanda G.,"Chicago, IL",0,3,0
4.0,1/20/2019,The buffet is great! I don't think you can find a better price for such verity in this area! The quality is also great. I loved the fish curry and also the first time I ever had fish at an Indian buffet and it was awesome. However I would've liked some more appetizers. A lot of vegetarian options and the choices of desserts were good too.,1,0,0,Jannatul S.,"Queens, Queens, NY",8,22,51
3.0,1/18/2019,"Darbar offers a pretty solid lunch deal but if you're looking for the best Indian food in town this isn't it.Lunch is a buffet option with a bunch of dishes to choose from. Settle in at your table, grab a plate, and go to town. Everything they serve is pretty standard as far as Indian food goes. Tandoori chicken appeared to be a big hit and I loved that they had curry goat. We loaded up our plates and returned to the quiet second floor (we were a large group). The curry goat was the best part of my dish. I just wish it had some spice (it had none whatsoever). The tandoori chicken was okay but I've had far better elsewhere. The rice did it's job of being a side. The naan that was served to the table was warm and fluffy.Service here is hit or miss. Granted all the waiters do is give you your final bill and your drinks but they barely said a word to us. The buffet works out to $15 for all you can eat which is why this remains a solid lunch deal (especially for Midtown East). I just wish they had more dishes offered in the buffet itself and I know a lot of people can't handle spice  but those of us who can would appreciate more flavor in the dishes.",0,0,1,Kristy R.,"New York, NY",421,1576,174
5.0,1/9/2019,This place is very delicious and has great Indian food. Visiting NYC from Los Angeles and realized how good the Indian food is here in NYC. Would recommend this place in a heart beat.,0,0,0,Ian B.,"Pasadena, CA",0,15,0
