rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,3/8/2019,"Cocktails are average, already high prices do not include tax or mandatory 15% gratuity... bar crowd is mostly tourists and businessmen. Not worth it!",0,0,0,Shawn W.,"Mount Vernon, NY",15,121,347
4.0,12/1/2018,Hotel bar with a wide variety of gin . They have lillet with goes well with gin . Sausage wrapped olives ? So a bit expensive but over 100 gins including Monkey 47,0,0,0,Tom D.,"Baltimore, MD",5,51,7
2.0,11/30/2018,"This is a convenient location we picked for a business breakfast meeting. But the room is noisy as it's small and the tables are so close together. The service is ok but the food was awful, way overpriced too.",0,0,0,Amg H.,"New York, NY",0,18,0
3.0,11/9/2018,"Gin gin gin.  You will find it at Gin Parlour because they have virtually all the gin in the world.  The drinks here are a bit pricey but the pours are quite generous and it probably includes the classy setting of the Intercontinental Barclay (a classic NYC hotel where the bar is located).  In case you want to catch a game, the bar also has a large screen tucked away in the back.  I would have given Gin Parlour a 4.5 star rating but the table service was pretty bad.  We had to ask for our check threes time and waited 10 mins to order our first drink.   Also, Gin Parlour (by its name) has a limited selection on other types of spirits and beers.",0,0,0,Hank W.,"Los Angeles, CA",25,152,880
4.0,11/1/2018,Great drinks made with Gin. They have a full bar and food. The wine list is also very well done. A quiet spot to chat and relax.,0,0,0,Susan S.,"Ponte Vedra, FL",15,38,9
3.0,10/15/2018,"I desperately needed a martini a la Blake Lively in, ""A Simple Favor"" and as such found a place that's known for their gin selection. The bar is right in the lobby of the Intercontinental. It's good, but it'll cost you...my one martini was $25. Pro tip: gratuity is included!",0,0,1,Alison D.,"Dallas, TX",103,176,77
1.0,9/12/2018,"Nope -  not great, not even good.  Located inside the Intercontinental Hotel Barclay, the Gin Parlour charges 15% gratuity on all sales,  plus a city occupancy tax of 5.875%.  Doesn't matter if you are staying in the hotel or not.  Literally thousands of bars and restaurants in Manhattan to go get a great gin  Martini without tacking on service charges and extortion fees.  Oddly enough, the Gin Parlour doesn't know how to make a dry martini - at least they couldn't make me one!   Generally speaking, when places force you to pay a specific 'gratuity charge', the service usually suffers.  The service at the Gin Parlour was not worth 15%.   Zero desire to ever go back - a total rip off.",2,0,0,Eric H.,"NORTH HOLLYWOOD, CA",425,404,112
2.0,8/16/2018,"By all accounts online, it seems like it would be a nice hotel restaurant. In reality, it's an extension to the hotel lobby where you can order food and drink that is done decently, and costs an absurd amount. Service is nice, and it's not a bad spot if you want to find a quiet nook to have conversations you don't want shared readily.",1,0,0,Joan H.,"New York, NY",213,485,3
4.0,8/14/2018,"Nice place to grab a drink in midtown. Great bar and ambiance. A bit pricey for cocktails, but then again you're in midtown. Curious to see what the happy hour specials are, would come back for another drink sometime.",0,0,0,C S.,"New York, NY",5,81,20
3.0,7/9/2018,"Nice hotel lounge - it is not intimate and removed. The Gin Parlour is open access and you can sit and watch all the comings and goings in the hotel lobby. They REALLY DO have hundreds of premium gin!  Our bartender let us sample several before we committed. We found a few new gins we will definitely purchase in the future. However, one word of advice, get an itemized bill. The tip is included on the bill and we only received the totaled receipt to sign. If we had not asked for the itemized receipt we would of double tipped the bartender.... perhaps that was his intent?",2,1,1,Rob H.,"Norfolk, VA",135,591,336
4.0,4/29/2018,"I'd been meaning to pop in here for a bit, as it's a cool-looking hotel bar near my office. I finally came for drinks with a coworker one day. It was nice that it wasn't too crowded even during happy hour hours, and we found a cozy seat in the back. The crowd was super interesting--some of them must have been dressed for a formal event that evening, and many were older, but the effect was that it seemed there were people from different eras, which only added to the ambience, since the menu groups drinks by time period. We tried a few different drinks, one of which came in a giant hemingway mug, but the classic gin & tonic was the only one that was really amazing. And it WAS amazing (the others were too sweet and weird). It's pricey, but if you love a gin & tonic and want a little hideaway from the bustle, come by!",0,0,0,Mari K.,"West Hartford, CT",245,585,2028
