rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,12/7/2018,"Had low expectations for a place in Grand Central but this place went below and beyond. Horrible, slow and inattentive service. Took forever to get a drink and literally 20 minutes to just get the check. A lot of bartenders but all incompetent, slow and unprofessional. Poorly managed place, won't return.",0,0,0,E. M.,"Manhattan, NY",14,135,72
1.0,12/2/2018,"The worst experience I have ever had I booked my reservation at the grand central location in nyc for my sons birthday and by the way I'm not from nyc I took a flight for a day to come to this place all the way from Los Angeles and when I showed up 10 min earlier then my reservation the bartender with a attitude tells me there kitchen has been closed for 9 months and I thought he was joking so He wasn't joking so I asked for the manager right away to find out if this is true I called the restaurant the same number I booked the reservations a month before spoke to the manager and he told me the same the kitchen has been closed for 9 months why would they take my reservation ? He had no accommodations for me and my family of 7 and he was very unprofessional running a restaurant and then the bartender told me go to capital grill and I'm thinking to my self I flew over 3,000 miles to come here for my family and this is happening I know I will be contacting corporate or somebody to get to the bottom of this and take this matter seriously cause I didn't spend my money and time to come all the way here and not get no respect or the service I should have !!!",0,1,0,Peaches S.,"Los Angeles, CA",0,2,1
3.0,12/1/2018,"Food was fine, a bit pricey but that's ok, it's in GCT. The service? We felt neglected. At these prices, I shouldn't have to KEEP looking for the waiter. Crowded or not crowded, I had to ask for him multiple times.",1,0,0,Ken B.,"North Branford, CT",2,28,12
1.0,11/21/2018,"This used to be a great place for a bite before getting on the train. Something's up, because their kitchen has been out of service for months. Such a shame, because the view from their balcony is one of the best in NYC. Hoping someone takes over soon.",0,0,0,Eileen S.,"Eastham, MA",43,59,5
1.0,9/6/2018,Went to the bar to have a few martinis with some friends. Aside for charging $111.00 for 6 martinis; they were warm and Carl the bartender called me a d$&k when I asked for the bill. Rude and obnoxious. We won't be going back and I will spread the word so our colleagues won't give them any business either.,2,2,0,D M.,"Manhattan, New York, NY",0,1,0
5.0,7/24/2018,"The restaurant was closed while we were there, I think they are remodeling it?  But we sat in the bar with a view of Grand Central station and enjoyed a Glitter Cosmo!!",0,0,0,Aleece W.,"Salem, OR",0,38,46
1.0,7/13/2018,"Nothing much to say about this place! I was there with some friends for drinks. Long story short,the bartender MR. DEIGO was the worst bartender ever to be behind the bar!!!MR.DIEGO need to educate his self how to behave with the guests. But the manager was kind enough to make it up.but it doesn't solve the issue. DON'T ORDER ANY DRINKS WITH Mr.Deigo because he will try to fool you with tequila and soda as margarita.i do recommend this place, but beware of who you order your drink with!!",0,0,0,Zosy I.,"Queens, Queens, NY",0,2,0
1.0,6/16/2018,"My friend and I have come twice just to get the glitter drinks and both times now they said they didn't have it. The first time my friend sat waiting for me for a bit and double checked with the waiter to make sure they had the drinks and he said yes, but then all of a sudden when I came and it was time to order, they said they didn't have the glitter to make the drinks. Okay, that's fine, but you could've said that before we wasted our time. The next time we went to try the drinks, my friend called the day before to make sure they would have the drinks before we made the trek over and they said yes we will make sure we have it. But, lo and behold, when we got there the next day, they again ""didn't have the ingredients."" If your intention is to try the glitter drinks that they have advertised on social media, I wouldn't waste my time coming here seeing as they only have it available for websites to advertise apparently.",0,0,0,Sarah M.,"New York, NY",186,142,99
1.0,4/28/2018,The bartender we had should try another line of work. Providing good consistent customer service is not one of his talents but ignoring his customers' requests is.,1,0,0,Dick W.,"Manhattan, New York, NY",0,2,1
1.0,4/21/2018,"We went to the bar and the bartender was really unpolite and mean, he ignore us for a long time and then he ask for our ID, and when he saw that mi id was from México, he said ""I can't sell you anything so if you wanna leave be my guest"".I felt really discriminated",3,0,0,Gabby C.,"Queens, Queens, NY",19,1,0
3.0,2/10/2018,"It's been a place I always wanted to try when I looked at the restaurant week list. It was decent, not the best steakhouse. The location is interesting with the restaurant being inside Grand Central, but that might be why it's a tourist trap. I don't know if it's because we had the restaurant week menu, but the steak we had wasn't that great. The medium and the medium rare my friend ordered were both very overcooked. The cheesecake was really big but size isn't worth the taste. The oyster appetizer was delicious though; it was the only memorable part of the meal.",2,0,1,Sharon K.,"New York, NY",168,136,328
5.0,2/7/2018,"We were a bit skeptical on making reservations for dinner while in town because of the reviews. I'm glad we did!! Everything was perfect. My table side Cosmopolitan, appetizers and entrees were delish. The steak came back exactly the way we ordered it. A couple of things to order if you're not afraid of a few carbs while visiting NYC are the macaroni n cheese, garlic bread and asparagus. All super tasteful and perfectly cooked. Although the reviews on the service were a bit negative, I thought the waiter we had was fantastic! He was attentive to our every need. He was easy to speak to and was willingly answering all of our questions and concerns. I'm glad we read through reviews and noticed reviews were based on service not on the quality of food, otherwise, we would've missed out on great food and a very pleasant ambiance....Dinner inside The Grand Central Station! P.S. Please refer to the picture I took the night we had dinner here",1,0,1,Janeth L.,"Rancho Cucamonga, CA",28,211,120
