rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/29/2019,"Came here for our anniversary dinner. While the concept is cool...that is really only the best thing ever. There's a hurried, noisy unprofessional army of servers followed by minuscule portions. We ordered shrimp cocktail...$19 for 4 shrimp? Seems unreasonable. My vegan dish was equally tiny and tho I am not a big eater I left feeling hungry! The service tho was actually the worst. He was hurried...didn't try to sell or recommend anything and on top of that my desert took 30 mins while the table next to us had theirs ahead of mine tho ordering after. Terrible...will never go back and it was a disappointing anniversary night.",0,0,0,Arantxa M.,"Caryville, FL",17,2,0
5.0,4/29/2019,"It doesn't look like a restaurant upon initially viewing it from the street. I didn't understand having a pawn shop in the storefront, but going through the rear door opens up to a completely different look and feel in the restaurant, it's kind of cool. If you got it, spend it but in my opinion, this is a place you take someone you've been dating for a while, someone you care about and want to spice things up with here. This is one of the places where the ambiance and energy of the place will entice you to want the food here - you will NOT be disappointed. You can split and share everything, our waitress recommended 4-5 items and that is plenty for a dining party of 2. It was my pleasure to share this with you all who read it, you'll enjoy it.-The grilled cheese dumplings tasted great and I'm glad I followed the crowd on this-The Burger is a mix of different meat and is delicious, and the fries seasoning complimented it greatly-The spaghettini was extremely flavorful, don't let the zucchini distract you from choosing it!-The dessert shot was a perfect sweet nightcap to the meal. I was too full to eat another actual serving but was happy to have something sugary. Good:-Grilled cheese, smoked bacon & tomato soup dumplings (MUST HAVE)-House Salad (refreshing and tasty)-Chicken Meatballs (it's chicken but still tastes like something your grandma would cook for you on Sundays)-Spaghettini (the lemon makes the taste pop)-Beauty & Essex Burger with BBQ Fries (I didn't want to share this)-Birthday Cake Milkshake Shot (ice cream with Jack Daniels)-RSVP via OpenTable for points-The ambiance is energetic-The music being played in the background made you bop your head while you were eating (older hip hop and R&B)Bad:-Cranky New Yorker rant: the people/customers, in my opinion, I felt wanted to be seen and photographed here mattered more than taking in and appreciating the full speakeasy experience/vibe and enjoying the meal. By no fault of the restaurant, it can feel pretentious, don't let that deter you from the delicious meal you'll have.",1,0,1,Daniel J.,"Hempstead, NY",57,273,291
5.0,4/29/2019,"Love this place, SO good! We treated ourselves and split the burger and BBQ fries as well as the crispy eggplant pizzetta. I am dying to go back to order the pizzetta again. Everything from the sauce to the whipped ricotta made this plate phenomenal. I haven't tried brunch here, but that is up there on my list.The place is a speakeasy when you enter, and then you walk in and it's a 2 story lounge with club vibes (not a club though!). The lighting is pretty dark inside like you're in a club. We weren't there on a weekend night for dinner, so there was no music blasting like there typically is on a Saturday night. Highly recommend this spot!!",0,0,0,Olivia G.,"New York, NY",0,16,15
5.0,4/28/2019,"So you think this is just another boogie NY club, you're not so wrong, but the food is also really damn good. Its almost like a Gatsby moment, when you walk to the storefront, and the host takes you back to the restaurant to reveal a spiral staircase, candle lit bar, and folks dressed their best. 1) Kale and apple salad, like probably the Best kale and apple salad I've ever had. 2) Chile relleno empanadas, so bomb. Small but mighty 3) Thai style deep fried shrimp was amazing !!! 4) Spinch and ricotta ravioli was great especially with the sunny side egg 5) Wild mushroom toast was good, not extraordinary 6) Oven braised chicken meatballs left much to be desired.7) The steak though, wow the steak is so soft and tender. 8) Got the dessert carosel ! So cute and each was pretty delicious cons: 'mood' lighting is a bit dark, I ask them to turn the lights up because I can barely see the person i'm talking to , or see my food that I'm eating. It was also extrememly loud in here, with some electronic music being bumped almost to the point where you couldnt hear the person next to you",0,0,0,Taylor K.,"Portland, OR",500,178,1110
5.0,4/27/2019,"Great upscale food, drinks and atmosphere if you're looking for comfortable weekday night crowds and city nightlife bustle. Definitely tamer during the week but I prefer this than the insanity/stupidity that can be NYC weekends. Great for those times where you feel like ""getting dressed up a little (or a lot) and going out"". Fun spot to be the observer or the observed. And who doesn't love the entrance? Hard not to be charmed even if you've been here many times. Great date spot for when you don't want a quiet night in. I don't think it's so scene-y but it's easily seen by those who don't generally like to ""go out"" as pretentious. Weekends there can be some door bitch bs and lines but it's not the establishments issue, it's the individual. One of my go-to spots for visitors.",0,0,0,Elaine Q.,"Manhattan, New York, NY",0,7,0
4.0,4/27/2019,"Seven years ago I came here with a party of Seven and absolutely loved it.  The ambience is quite trendy, fashionable and fun.  A classy hipster vibe that actually is friendly. We had reservations so it wasn't difficult to get in.  The front lobby was filled with an assortment of jewelry and musical instruments (maybe different today), with tight security at the door. Standards are high and the interior boasts a certain style and decor.  Posh is probably a better word. The bar is ridiculous (in a good way) and I didn't mind it on a Saturday night. The open dining room area is even more spacious and not too loud either. We sat down and ate like royalty.  In a large dining hall that felt like a scene in GOT. A delectable assortment of foods- worth the price tag.  Desserts were actually kind of fun- do get the donuts and mini cupcakes- wow!Hope to return someday for brunch.",0,0,0,Christian R.,"Jackson Heights, Queens, NY",135,228,24
1.0,4/25/2019,"I reseaved the table here for a birthday party.  The service is worst.  Since entering the restaurant,  the host informed my group that we can't stand by the others way but why the host didn't take us to sit at the table.  Even though we have been here for a long time  and that I considered the worst thing would be an employee who pushed the chair that my sister was sitting  and my sister is pregnant. The employee didn't push just once and that made my sister feel unsafe. Your employees honor just Americans people  because the side of table are Americans who want to put more chair after  but your employee chose to push people in my desk  who is pregnant.  If restaurant would like to serve only American people, do not sell to other people If your employees are discriminated against. We have called to ask from the employee but your employee answered indifferently and also using the words ""oh my gods"" and saying that they didn't do that. We think  If there have some influence on the mind or even the body  to my sister who is pregnant.  I will gather all the evidence to talk to a lawyer. I have chosen this restaurant from the reviews which many say it's good  but when the foods was come which the taste is normally and it can find in other restaurants. The atmosphere and decoration of the restaurant is okay to celebrating parties for taking pictures only.",1,0,1,Steph H.,"Brooklyn, New York, NY",0,1,0
4.0,4/24/2019,"Hostesses were a little cold when i walked in. Food was very good. Though I ordered a dish off the vegan menu that wasnt supposed to have zucchini on it and it had zucchini. So I had to eat around it. Waiter was nice. Tomato soup/grilled cheese dumplings were yummy ( i was able to get bacon on the side since i dont eat meat). Doughnuts for dessert were delicious! My entire party loved their food. OH...the bbq fries. I could not stop eating them. Highly recommend those too. I did feel everything was overpriced for what it was though. Also, I have to say in reading the reviews I am super annoyed at the group of 13 people that keep posting 1 star reviews about their pregnant friend's chair accidentally being pushed in. We get it. Not everyone in your party needs to post about it. And each person keeps embellishing the story. This is ruining my ability to weed out and read actual reviews. I am on the team of the guy who accidentally knocked into the chair. Next time don't put your friend on the aisle. You are a really really annoying group of people.",0,0,0,Miss X.,"Forest Hills, NY",0,35,1
1.0,4/23/2019,"One star is twice what this place deserves based on our experience last night. We chose to come here on my birthday and were hugely disappointed. The food is just fine. Everything else about the resturaunt was horrible. *****The runner shoved our pregnant friend twice. Tight quarters but still he heavily bumped into her twice and acted incredulous when we pointed it out*** We all saw him push the chair twice... And he said He didnt do that... After Fake apologize ... Splite the word on top of my head *oh my god* without any quilty.Drinks crashed to the table rudely every time. We were huried through our meal and treated like an anoyance. I would describe the attitude of the busperson, waiter and manager as disrespectful and defensive, hostile. We were a big party and I realize large tables can be a challange but we followed all the rules as we understood them and were civilized. We left Beauty and Essex wondering what we did to get on their bad side, offended and disgusted. Btw, we were required to pay for half the meal upfront just to secure the reservation and required to choose a tip amount beforhand, we unfortanetly  chose a 20% tip on a 2k bill. *** Plus ***whats culture pass the bill pay over top of the head and that head is my friend who pay your bad service 20 percents. ****Very rude! *** Plus If you saw my account , Never give one star to any resturant before even not as a good service that we gave a tip. How's disappointed am I .",5,0,2,Amily N.,"New York, NY",86,34,813
1.0,4/23/2019,"I was there for my birthday party with a group of friend 13 people. And I was so disappointed about the service. One of the runner guy yelled ""excuse me"" and push my friend chair who is 6 months old pregnant. And when we ask him, he said he didn't push the chair and try to making excuse.  ((I sat next to her.  I hear and can feel it. ))He said apologize IF HE DID with bad attitude and didn't feel guilty at all. And also swear OH MY GOD when he left. We left with the bad experience. We didn't deserve RUDE service.Someone should taking care of this situation!!!!",9,0,1,Monsikarn R.,"Bedford Stuyvesant, Brooklyn, NY",59,2,0
