rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1,4/27/2019,This must be the worst service in NYC. It's a pity because the ambiance and food are really good.,0,0,0,Alexandra C.,"Manhattan, New York, NY",59,1,0
2,4/13/2019,Very disappointed. Went years ago and the place was so fun and delicious. Now just a dark hole with an arrogant and untrained staff. Food was just boring. Won't be going back.,0,0,0,Charlotte F.,"New York, NY",0,5,0
1,4/9/2019,Can I give this ZERO STARS? THEY LOST OUR CREDIT CARD. Enough said. Server didn't bring what we asked. Don't come here. SERVICE IS EXTREMELY POOR. The manager didn't even seem to really care. Don't come here.,0,0,0,Ava A.,"New York, NY",0,14,7
4,3/27/2019,"We were long overdue for a visit to Mercer Kitchen. Easy to make a reservation. The food was very good. The spring pea salad was light but lovely. I had the salmon. Unfortunately it had a few bones in it, but the restaurant kindly comped it and apologized when I pointed that out. The burger was very good. Good service. Beautiful space, though downstairs so not a lot of natural light.",0,0,0,J. Karim A.,"New York, NY",64,795,334
5,3/21/2019,"I recently had the most lovely dining experience of my adult life at the Mercer Kitchen. The restaurant was gorgeous, the staff was incredibly warm and kind and the food was beyond good. The truffle pizza is a must have snack!  For those of you who go and get Clarke as your server- ENJOY! He is a delight!!!",0,0,0,Kaila K.,"Brooklyn, New York, NY",0,1,0
1,3/21/2019,"Yes, we were in from out of town, but I had high hopes for a cool, casual meal.  What a terrible experience.  So sad, as I had my family with me.  Lame, lame, lame all the way around.  Sweet, but completely dopey server.  Waited a really long time to be greeted, served our drinks, our appetizer was pathetically boring, entrees took 50 minutes to receive.  We sat in a dark corner watching the toddler at the table next to us have a tantrum.  I would have had a trantrum too, except I am too old.  Too many other wonderful opportunities in NYC to waste your time on this place.  Move on to nicer, more fun places.  This place is gliding on its old press coverage.",0,0,0,Wendy A.,"Denver, CO",847,10,0
4,3/20/2019,"We had a nice dinner here last weekend.  The food was good, though a bit overpriced for the quality.  The service was strong, and the atmosphere was energetic.",0,0,0,Bryant R.,"Manhattan, NY",100,529,0
4,3/17/2019,The menu is a little expensive but the food was very good. I got a burger and it came with two small sides the burger was a little undercooked for me and I asked for it to be adjusted after asking for medium rare and it came out and was very good. It was a little dark inside and the table next to us was very loud.,0,0,0,Jaclyn R.,"Norwalk, CT",434,48,25
5,3/14/2019,"Mercer is one of my favorite restaurants in NYC.  There are so many fantastic places to go for dinner.. it can be very overwhelming...Everything about Mercer Kitchen has always been on point (occasionally the food can take a little long, but the ambience makes up for it). The space is beautiful and classy.  All of the items on the menu I have tried in the past have been wonderful, but what really keeps me coming back again and again and again.. is the skate.. the fish is served steamed and is light and healthy... the wax beans are great as well.   I had dinner at Mercer with a friend last night and she had the coconut soup and salmon.  We both took leftovers home to enjoy today even though we could have easily finished everything.Can't wait to return!!!",0,0,0,Erin H.,"New York, NY",0,13,3
1,3/9/2019,"Cool atmosphere & nice staff for sure, but that's about all that was good. The shrimp salad was delicious, but that's about it. I'm the biggest sashimi crispy rice fan, and this one was disgusting. Sent it back. Never thought I'd be sending back food at a Jean Georges owned restaurant. Highly disappointed, and it was incredibly expensive for what was really not a good meal at all.",0,0,0,Rachel G.,"New York, NY",582,41,29
