rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/2/2019,Good spot for brunch. Nice to walk around the area after. Sourdough waffle and eggs were good. Need to get the honey biscuits!,2,0,0,Yan Z.,"Manhattan, New York, NY",29,15,3
4.0,4/29/2019,"Excellent service in a clean open and bright venue. Had only lattes and Irish coffee, so can't wait to get back for brunch or some eats!",1,1,3,Kristen T.,"New York, NY",690,187,1058
5.0,4/25/2019,"Not sure why this place isn't rated higher, but I've been twice and I loved it both times. We had a party of four that turned into five and they were super nice about accommodating us (no wait even!). We got in around 7pm on a weekday. To start, we went a bit crazy with the appetizers and ordered the oysters, crab, steak tartare, and bursts with artichoke. All of it was extremely delicious. I would say that my favorite was the tartare. Afterwards I had the hangar steak and kimchi for my main dish and I would love to come back and have it again. I was too full to finish it all, but it was so delicious. This is a good spot for groups - two thumbs up.",0,0,0,LeAnne B.,"New York, NY",86,174,127
2.0,4/24/2019,"The atmosphere was nice and the waitress was sweet, but the food is way overpriced and the taste does not meet expectations. If you are looking for a place to blow 100 to 200 dollars on a plate of so so food this is the place to do it.",0,0,0,Matthew N.,"Brunswick, Brunswick, ME",0,13,0
5.0,4/22/2019,"If you are looking for an EXPERIENCE, not only a meal, go to this place. It is enchanting. The best of vibes, beautiful diners, the friendliest staff and.... The food... Amazing!(Do get the fried chicken). Perfection is the word for this restaurant.",0,0,0,Andrea R.,"ASTORIA, NY",3,6,0
3.0,4/14/2019,"Nice location, but the food is overpriced, and the bartender in the private room we were bizarrely directed to was snooty as could be. No need for the attitude, it's just brunch.",0,0,0,LC N.,"New York, NY",0,16,0
2.0,4/10/2019,"Great service, dry chicken. Would have been 1 star if the waitress hadn't been great. The ""crispy"" chicken had so much seasoning on it, it felt like I was eating a spoonful of it on every bite, struggling to not choke and cough with each mouthful.I made a yelp account specifically because of how bad this experience was.",0,0,0,Gil D.,"Central LA, West Hollywood, CA",0,1,0
1.0,4/6/2019,"Little shocked by their customer service. Slipped and fell down their wet staircase inside the restaurant, injuring my leg and hand. They wipe up the wet floor after I fall, sit us down and that was the end of that. Not seeing if I was ok, no complimentary wine or anything to express ""I'm sorry you fell down the stairs and hurt yourself."" Was not worth the $300 I spent on dinner that night. The waitress was lovely and the wine was good, but that's about as good as it got. Disappointed in the way they handled everything.",0,0,0,Laura H.,"New York, NY",0,2,3
5.0,4/2/2019,"Great place for dinner with friends! The ambience of the restaurant is discreetly upscale but also casual. Phenomenal service and the dessert was mouthwatering. We had citrus salad and a variety of fresh oysters, for apps. For our main we ordered hot fried chicken, hanger steak with kimchi fried rice, side of asparagus, and my favorite, rack of lamb. All the food was perfectly cooked and the seasoning and sauces complimented the meal nicely. For dessert we tried a little bit of everything. The beignets were divine, my favorite was Meyer Lemon Merengue Pie, and we also tried tres leches cake, warm chocolate tart, and hand pie. Overall would recommend to anyone looking for a filling meal with flavors from all different kitchens and cuisines.",1,0,0,Victoria N.,"New York, NY",354,42,35
5.0,3/31/2019,"We enjoyed our dinner at The Dutch. The service was amazing. The cornbread was exceptional, baked in house. The sour dough bread was also good. We started with the mini fried oyster slider because that was recommended by the article we read. It did not disappoint. Then we shared the hot fried chicken. It was moist and tasty. The honey butter sauce for the biscuits was out of this world. Highly recommend this restaurant. Not inexpensive, but portions were large and service and ambiance were outstanding.",0,0,0,barbara b.,"Irvine, CA",0,13,0
4.0,3/30/2019,"The atmosphere was nice, service was good.my  Bloody Mary type of cocktail was really salty, like it was basically hard to drink it was that salty. My spinach omelette was delish but the salad on the side was kinda vinegary. All together it was okay, but not exceptionally good.",0,0,0,Veronika L.,"New York, NY",4,31,10
