rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/16/2019,"Have been here a few times... Great service, enough choices for brunch/ lunch items. Everything was delicious, although I found the Croque Madame sandwich to be a bit too heavy & too mushy for me... others may love it though. Tasted the lemon pancakes with berries,  they were delicious! Basket filled with boulangerie items was very worth it as it was full sized bakery goods not mini ones as some other places tend to do. Overall yummy & we'll be back I'm sure.",0,0,0,K D.,"White Plains, NY",0,15,9
5.0,4/7/2019,Delicious food ! I had a coffee and the lemon pancakes with berries and they were so good ! The lemon in the pancakes was perfect! My boyfriend had the French toast that came with I cream and caramel drizzle it fills you up and is delicious the almond croissants are so pretty and taste amazing ! Make a reservation to guarantee seating and they let you choose between outdoor or indoors since it was a nice day we chose outdoors and i don't regret it one bit the waiters come by and fill up your cup of water and make sure everything is well organized !,0,0,0,Yulissa C.,"Brooklyn, NY",19,41,43
5.0,3/20/2019,"Wow, this place has such great vibes. The service here is amazing came here during lunch time and had the French onion soup. Definitely the best and the heartiest French onion soup I ever had. Flavorful and had chunks of beef in there. I would definitely come back just for the soup and to try a few other things as well.",1,0,1,Samantha T.,"Manhattan, NY",5,35,55
5.0,3/17/2019,"Brunch at Lafayette was my favorite of many delicious meals during a recent weekend in NYC. We ordered the bread basket for our table of 4 which included a variety of breads and pastries. It was a good assortment for 4 people. 2 of us opted for the Bloody Marie while the other 2 chose a cocktail with green juice and tequila. Both were delicious complements to the brunch. I ordered the salmon benedict and it was the best I have had, it had a nice tangy hollandaise that wasn't too rich.",0,0,0,Jaclyn W.,"Wausau, WI",92,24,24
5.0,3/17/2019,The bakery is worth the visit alone. I could live on their almond croissants and boy would I like to try. But the bakery is just the icing on the cake. It's one of my favorite NY restaurants.,0,0,0,Joe V.,"Tarrytown, NY",0,18,0
5.0,3/2/2019,Quite possibly the best French fries in the universe. And everything else is good too.,0,0,0,Mark S.,"Manhattan, New York, NY",0,2,0
4.0,2/28/2019,You come to Lafayette for the old school nyc luxe ambiance. And the wine. And the complimentary bread. And the desserts. Then the food. Not that the food is bad- it's just not the star of the show here!The restaurant is gorgeous and can seat large parties. Great for a fancy after work get together and awesome for a date! The bread is delicious and fresh served with yummy good quality butter. The burger was good and the fries- delish! I wasn't a huge fan of the duck bolognese. I couldn't really taste the duck and felt that the flavors were muddled. Food comes quickly but the waiters are kind and don't rush you. Would definitely come back to Lafayette for the tall ceilings and classy vibe alone.,3,0,0,Claire H.,"New York, NY",339,165,248
4.0,2/25/2019,"Charming spot. Large, calming interior with excellent service. The food is solidly good.",0,0,0,Chris C.,"San Francisco, CA",0,24,2
3.0,2/23/2019,"I've previously dropped by Lafayette for mostly chocolate croissants, which are solid and a nice pick me up since I work in the area. The restaurant is absolutely beautiful - very high tea vibe.For restaurant week (winter 2019), we stopped by Lafayette for $26pp two-course lunch. I wasn't adventurous enough to try the beef tongue, so ordered the tomato soup as my starter and the duck leg confit as my entree. The tomato soup was refreshing, but the duck leg confit was overcooked. The quality was fine but the quantity of food was a bit small. I probably won't be back for a meal but will continue to drop by for pastries.",0,0,0,Judy S.,"New York, NY",322,1183,1192
1.0,2/23/2019,"Unpleasant experience. The sommelier was incredibly condescending. Ordering a bottle of wine should be a delightful moment of dining out, and this guy ruined it. I know what I like but he aggressively pushed wine I expressed I was not interested in. Food was decent, but not enough to compensate for experience. Will not return.",0,0,0,Belle F.,"Chicago, IL",0,17,0
5.0,2/15/2019,Absolutely loved this place. Very french with a New York finger print! As Mara our wine pairing said. Service is exceptional and the food was beyond expectations. Do your self a favor and try their Steak!! Amazing experience all around since the moment we stepped in. And They even gave us complementary macaroons with the check in a beautiful box. Move over Balthazar there's a new place in town.,0,0,1,Maria T.,"New York, NY",19,32,63
3.0,2/10/2019,"Only got drinks here: I think all we got was two penecilins? Anyway, they were both fine- I think each one cost like $16, so the total came out to like $32 before tax and tip.I think the ambiance is nice here, and spots like this I feel are hard to come by in this neighborhood (noho?). However, the prices are a little bit high, and the bar is a little bit too crowded at times. I can't really comment on the quality of the food since I didn't have any, but based on the drinks alone, I think three stars is just about right.",1,0,0,Matt L.,"New York, NY",108,694,604
