rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,"We felt lucky to arrive on a Friday night at 9pm and get seated immediately. This place is beautifully decorated. The food was amazing. We had the Mediterranean salad, fish tacos, Kobe beef sliders and shared the aged steak. Each dish stood on its own, was lovely to look at and was perfectly cooked. The waiter was attentive, curious and super funny. After dinner we hung out at the lounge downstairs. The lounge vibe was more of a party. It was filled with all different types of folks who just wanted to have a good time. I cannot wait to get back here.  I'll describe my experience as simply delicious !!",0,0,0,Shacy B.,"Brooklyn, NY",1,11,9
5.0,4/20/2019,"Loved everything about this place. The ambiance, the music, the decor, and of course the food. I asked the waiter for recommendations, he suggest some brisket bon sliders and cauliflower tacos for appetizers and both were yummy. I had the skirt steak as an entree and it was cooked perfectly, it has a sweet tasty flavor which was delicious. The art work is amazing!!! From the very moment you open the doors, there's art everywhere. Truly was in awe of it all, it was tight up my alley. There was even a violin player playing along to hip hop and pop music which was fun.All in all great experience and plan to go back.",0,0,0,Anais C.,"New York, NY",0,9,15
5.0,4/20/2019,"I figured this place was just a trendy cool spot for drinks. Then my friends and I had dinner and were blown away. The food is out of this world! Every dish creative and the flavors on point. Not to mention the vibe is sexy and fun. I would share photos but we attacked the food too fast to get a good shot. The crispy eggplant was a crowd favorite- I don't even like eggplant and I was begging for a second order. The fish tacos were also delicious. Everything is smaller portions and more sharing style tapas, which is fun cuz you can try so many things. And the prices reasonable. There wasn't one dish we didn't like. The wasabi pea crusted salmon with soba noodles and beets was outstanding. The chicken taquitos so flavorful. Now I'm thinking I want to come back but only for a cheat meal cuz everything is pretty rich. The only complaint is we never got the salmon starter we asked for, but we were distracted by many other dishes.... and hey guess there's next time.",1,0,1,Rachael B.,"West Hollywood, CA",52,322,476
5.0,4/16/2019,"Vandal (the restaurant, never been to the lounge) is now at the top of my list every time people visit! I've been three times and every time has been even better than the last!!The service is always great. With a reservation, you're seated right away and never crammed into a corner haha. The servers are very knowledgable about the menu, all of the specials/dietary options, and cocktails. There are separate gluten-free and vegan menus and the waiters will point out the crossovers between the two if needed.Out of the drinks I've had, the Rio de Frosé is a huge favorite and we always have to order it. The Taxi Line and the Off the Wall were great but not favorites. This month they have a special cocktail benefiting autism awareness (10% of profits are donated) which was the best, even better than the frosé!Running down the list of all of the food I've ordered...Eggplant Meatballs - BRING THESE BACK !! Sorry for the caps but we ordered these the first time we came and they were the absolute best and we still talk about them. All of the flavors were perfect.Roasted Squash Tostadas - Honestly, these are probably the least favorite of ours. The mini tostada shells were good but overall the squash and (definitely) the kale needed more flavor/seasoning.Charred Mushroom Sopes - These were so yummy and definitely a favorite! There were tons of toppings and lots of good things going on in one bite.Crispy Cauliflower Tacos - Another for sure favorite! We've ordered these all three times. The ""taco shell"" is made out of fried wontons which are super good in contrast with the softer, spicier filling. Charred Brussel Sprouts - We were disappointed to hear this last time that despite still being on the menu, they're no longer serving them (I think it's seasonal?). If they are on the menu when you go though, definitely order them!!Miso Glazed Crispy Eggplant - ""Crispy"" is an understatement! It seemed like there was more fried shell than eggplant. They were one of those items that were incredible the first few bites but soon started to taste kind of greasy.Grilled Market Vegetable Enchiladas - Our newest favorite!! Between the fresh vegetables and salsas, they were perfect and we ate them right up! This is definitely the go-to vegetarian entree!",2,2,2,Sydney A.,"New York, NY",23,34,73
1.0,4/16/2019,"When i went to spritz myself with one of the perfumes in the bathroom, a bathroom attendee scowled me to tip before I used anything. She gave me a rude stare and bad tone. So much for great service. As for the food, the mediterranean salad was incredibly overrated, would NOT buy again. My homemade 5 min salads are wayyyy better and that's sad. Also my dessert tasted like chocolate styrofoam. My friend ordered dessert, she never received it. Also if you're splitting bills with your friends, make sure to say beforehand or else you're going to have to add each thing you individually ordered and write it along with your card info.",0,0,0,Jdkdxn B.,"Manhattan, New York, NY",0,14,0
5.0,4/16/2019,"This is a must in NYC! My friends and I went there and we had a blast. We tried the ceviche (creamy and the texture was perfect), the fried eggplant was amazing, the tuna slider is a must and the drinks were out of this world. Also the most important thing: the ambiance. The best dinner we had in NYC for sure! We were so full we didn't order dessert but our waiter gave us delicious sweet complimentary shots to end the dinner on the right note!",0,0,0,Daniela T.,"Maitland, FL",0,10,0
4.0,4/15/2019,"Came here in January for a night out and I really enjoyed myself , I loved the decor , atmosphere and vibe this restaurant has ... service was good and the food and drinks absolutely delicious !! The highlight was def scallops and risotto and the squid ink lobster pasta YUM !!  We also tried the lamb meatball appetizer but for some reason there came out after the entrees which they were very kind to take off the bill for us ... After dinner we went downstairs to the club and it was packed !!! The DJ was awesome though and the entertainment was def on high , with drinks flowing (dusse on the rocks) it turned out to be a great date night thanks Vandal , oh ! And I hear that they have a happy hour so I'm sure I'll be back this summer :)",2,1,1,Danyale W.,"Newark, NJ",40,187,631
5.0,4/11/2019,"Loved everything about this restaurant! The food, drinks, staff and ambiance were all wonderful!HIGHLY recommend the hamachi escabeche, it was so good we had to place a second order!",0,0,0,Shelly Y.,"Jersey City, NJ",67,3,0
5.0,4/7/2019,"Outstanding service, very cool ambiance and good food. This is a very cool date spot! I recommend the New York Strip. We had a blast here.",0,0,0,Jonathan C.,"Irvine, CA",27,53,27
3.0,4/7/2019,"My fiancé and I took my brother here for his 21st birthday last night. Thought it would be a great place to celebrate. The atmosphere is great - very fun and sexy with beautiful decor and lighting. The cocktail menu was great and the drinks were delicious. But then we got the food. The small plates were decent, but the entrees were not good. Nothing was served hot. Literally every dish was served to us lukewarm. I wish I sent a few things back, but I didn't and paid $350 for a very mediocre meal with very slow service. We would have drank more if it didn't take half an hour to get a drink. I would come back for drinks or to go to the lounge downstairs, but I would definitely not come back for food.",0,0,0,Alyssa F.,"Montville, NJ",12,101,16
4.0,4/6/2019,Came here for my friends birthday we had bottle service. It was great but they put us in a table in the back corner. For a large group it was okay but maybe could have been planned better. The service was actually amazing they came over to our table every 5-10 minutes and refilled anything we needed. Definitely Better than some of the other large names we've been to in the past. Luckily the reservation that booked next to us didn't show up so we had some extra room as well. Good music and fun atmosphere. Definitely a good time!,1,0,2,Tom J.,"Manhattan, NY",291,67,31
4.0,4/4/2019,I love the ambiance here. I love the vibe more upstairs by the bar than downstairs. My favorite is the purple martini they make. I forget the name... great place to go with friends. Very eclectic crowd inside as well.,0,0,0,Sno N.,"Manhattan, NY",0,93,36
1.0,4/4/2019,"This was one of the most horrific and detrimental experiences of my lifetime. I still have nightmares about the day I laid a toe on the groundwork of this city dump. I don't mind paying for pricey meals but this was expensive Chef Boyardee. I don't know why 0 stars isn't an option but I would consider giving it an irrational number. This place must be shut down by the FDA immediately, it is causing harm. CONCLUSION: STAYYYYY AWAYYYY",0,0,0,Rawan A.,"Hollywood Beach, Hollywood, FL",15,8,0
4.0,4/2/2019,"If your looking for a sceney NYC restaurant this is a perfect date/friend dinner location.  The food is solid but the atmosphere is what most go there for.  Make sure you get a reservation ahead of time, and the club downstairs is def worth the time after you eat.",1,0,0,Jared K.,"New York, NY",8,41,11
5.0,3/29/2019,"The food was amazing - especially the soup dumplings. However, it was the staff that honestly made our night. I can't express in words how much I appreciated our waitress really helping us with our various food allergies and the rest of the staff being so flexible with our various instagramming.",0,0,0,Rima P.,"New York, NY",0,20,0
4.0,3/28/2019,"Nice venue! Want to come back on a tues, fri or sat for the club part. Food....okay. Server was great and knowledgeable. When asked about the brisket buns, I had to tell him neither of us liked...he took it off the bill.  maybe bc he recommended ‍ kale salad had good flavor, but the kale seemed ""adult"" vs baby kale so more coarse than what I'm used to. He also recommended the cauliflower tacos and they were great! Light, crispy, and flavorful. Drink too pricey for my blood at $17. I'm just not a fancy drink type person. Hostess beautiful and welcoming. Bar area looked cool. Music was poppin at 9 pm. If I came back, I'd go straight to the bar area! Entrance is super cool. Another visitor had to find the door. I was clueless",0,0,0,Rachael B.,"Wilmington, DE",9,49,118
5.0,3/26/2019,"We've been to Vandal twice now, and the latest visit last night has solidified it as one of my favorite restaurants in New York. It's a shared plate concept, much like one of the group's other restaurants, Stanton Social (RIP). This is always nice because it allows you to try lots of different dishes and form a true picture of the quality of their stuff. Vandal's true picture is fantastic flavor and great food all around.I think at this point I've tried most things on the menu. Some highlights for me include both the Tortilla Soup Dumplings and the French Onion Soup Dumplings (a dish carried over from the now closed Stanton Social). Take a bite, and it's just a burst of flavor in your mouth. I also really enjoy the Crispy Bao Buns. They pack in flavor with an Asian slaw and perfectly done brisket. Really, I think anything you go with here is going to be good, even the non-remarkable, ordinary dishes such as sweet potato fries and broccoli mac and cheese. They'll blow your taste buds away with whatever you get on your plate. Another good thing is that they can scale orders based on how many people you have at your table, so everyone gets a taste of the goodness.The atmosphere here can't fully be described in words. I could start by saying it's beautiful, artistic, extremely well put together... but really, just look at the pictures. Or, even better, just go see for yourself!",4,2,4,Craig C.,"Jersey City, NJ",145,413,142
5.0,3/25/2019,"Really enjoyed my dinner at Vandal. The food was great, staff was extremely nice and the ambiance is to die for. Definitely going back.",0,0,0,Wendy B.,"Richmond Hill, NY",0,4,23
5.0,3/20/2019,"For some reason, I always had a negative imagine of Vandal pre-disposed for some reason in my mind, for really zero reason I realized. But I came here last night and that totally changed.Vandal is part of the Tao group and is a very bougie restaurant that also has a club attached! The restaurant is huge, there are multiple dining rooms here, with a ton of huge tables, smaller ones as well. The vibe of the restaurant is clubby and very trendy. There is a lot of cool art installations and decorations throughout. Everywhere you walk, you discover something else so different and so cool. The entrance when I was there last night was a black and white checker theme, and I think this changes frequently. It was very cool and ""instagram-able"". They have a giant purple bunny by the hostess that they are famous for that a lot of people take pictures with as well. And throughout the whole place you can find a lot of cool photo-op spots!I came here with a couple of friends last night and we dined through a promoter one of my friends knew, so we didn't have to pay for anything which was amazing. We sat in the back room, and met them at 9:30 and sat down around 9:45. When we sat, all the other tables were empty, but they all filled up pretty quickly. I was surprised how packed its was for a Tuesday, so late. We had champagne and red and white wine which was good and the servers kept refilling for us. To eat, we had the tortilla soup dumplings which were really great along with the kale Cesar salad. I normally don't like kale but this was really good, and there were Parmesan chips in it which I loved. Then for entrees we had the Branzino which I was so excited about and a margarita pizza to share. Pizza was tasty, nothing out of the ordinary, pretty thin crust. But the Branzino, OMG soooo good. It was served w the head half on which is a little scary to me, but they took the bones out so it was really easy to eat and really flaky. It was charred which made it so delicious. For dessert they served us some kinda like sugary donuts with chocolate/caramel/raspberry sauce which were good. Everything we had as great and I'd love to try even more!After that we went downstairs to the club. I think if you are dining, you can automatically go downstairs. Not the biggest club, but bigger than places like Lavo. Since we were with our promoter, we had a table and bottle service which was great. Unfortunately since it was a Tuesday and I had work the next day, I wasn't looking to drink or party a ton so I didn't really take advantage of this, but definitely would have liked to on a weekend. Definitely a cool place with cool vibes and a place I'd come back to. I'd recommend this place for any kind of celebration, a birthday, anything you want a special, over the top kinda place for!",0,0,0,Kristen W.,"New York, NY",287,130,151
3.0,3/14/2019,"Welllllp....Stanton Social this is not. We had high hopes that since the theme sorta carried over, so would the food and service. Not so, sadly. If I was less of a foodie and more of a trend setter I would probably give this place four stars based on the ambiance. As others have said, this place is downright sexy! Everything is lovely to look at, the lighting is exactly right, the soundtrack is funky and just loud enough, the cocktails are divine. But, alas, the food fell short. We ordered a variety of things, some were decent, others were only ok.  Of course we were comparing all we tried to the quality we had experienced at Stanton Social, and none of it measured up. Even the French onion soup dumplings weren't as good, and it was the exact same recipe!Our server was friendly and attentive initially but the busier the restaurant got, we were forgotten and left waiting with empty plates for much longer than we should have been. It was increasingly difficult to get her attention and we waited so long for dessert and then our check that by the end we were all staring at our phones. With the stiff competition in this city, Vandal really needs to step up its game or it won't last very long. All the gorgeous design and pricey artwork will have been for naught.",0,0,1,Tarra J.,"Sugar Land, TX",40,24,0
