rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/27/2019,"I want to give this place a 4 or 5-star, but my recent experience wasn't quite perfect. They overcooked my $100+ dollar steak, which is hard to forgive, especially since that was the only main dish and kind of ruined my mood for the night, which not even a $2000 bottle of wine could fix.The staff is always extremely friendly, and I love the casual fine dining vibe of the location. The decor feels very cozy and reminds of you old school New York, and you can easily have a conversation with a big group.Food is overpriced as is with most fine dining spots, but it actually tastes pretty good, unlike most fine dining spots. Some of the memorable dishes I've eaten here include the rigatoni, cacio e pepe, and the goat cheese ravioli. The flavors for all of those dishes were on point, and pastas were perfectly creamy. Unfortunately, my dry aged steak was cooked medium, so it was tough and dry. I didn't bother finishing it since it was disgusting.The bread and butter are also delicious! Get the mini baguette when it's hot.For group reservations, I wish we could select a few more things on the menu, but they were accommodating about ordering stuff off the menu. The group reservation staff responses were also a bit slower, so make sure you leave plenty of time for negotiating a contract.Overall, you'll get an excellent fine dining experience while also eating pretty tasty food. Just maybe skip the steak, unimpressionable dessert, and most appetizers since they're not really worth it.",0,0,0,Kevin C.,"New York, NY",23,200,0
3.0,4/12/2019,"I came here after 6 years and I have to say the service (which was so very kind in 2013) has suffered. The bartender who served us while we waited for the rest of our party of 5 was snobbish to me, and our server at our table could not be bothered. She had to be flagged down multiple times and when she did come to our table, she spoke to us very peremptorily. The sommelier was also not super enthused after we told him we wanted a bottle under $100 (I guess last time we didn't ask about price and the old adage about money garnering better service went into play). The quality of the food was mixed. We got the seafood salad app (which was excellent last time) and while it was fresh, it was uninteresting (and for $30, quite pricy). The cod croquettes were excellent. And the shrimp cocktail was also good. We got both fish entrees and the steak entree. The fish were both excellent (not overdone like last time) but the steak was extremely overdone and tough to cut and chew. We got a couple of desserts and the cheese plate which I had loved last time. The cheese plate was still great (though quite sparse with 3 tiny lengths of cheese) and the desserts were also good. Not sure I'd recommend this place because of the service and how expensive the meal was for a mixed bag.",0,0,0,Abeer H.,"Jackson Heights, NY",46,290,1
3.0,4/11/2019,3.5 stars. Lamb chop was good not great considering how popular it was. Had a Sazerac which was okay. No wait at all on weekdays.,0,0,0,Yilong W.,"San Francisco, CA",2,8,8
5.0,4/2/2019,"It was pretty incredible. I went for lunch but did not actually get the prix fixe.I ordered the Mezze Rigatoni, Miso Marinated Black Cod, and the Bucatini Cacio E Pepe. The plates of pasta solid. Both pastas were cooked perfectly and had just the right amount of sauce and seasoning. The cod was tender and had an Asian twist to it which made it stand out. If I went back again, I would definitely order the Mezze Rigatoni and try their other dishes.The staff was very professional, and my experience there was exquisite.",1,0,1,Cherry J.,"New York, NY",359,34,91
5.0,3/23/2019,"Excellent food and exceptional service. Visited the restaurant for a birthday celebration out of town, so we didn't know what place would be good, and had to rely on good old yelp to help us find a place and weren't disappointed! Every bite we had was amazing! Started with yellow and red beet salad, seared foie gras, and ravioli to share. For entrees we had the NY strip steak and racks of lamb. And for desert we had the apple tart with vanilla ice cream. It would be very difficult to pick a favorite dish, as each and every one was full of flavor, I'd happy to have it every meal. One extra nice touch was the server's assistant Latif, he was so attentive to our table! Definitely made the difference! No one in our party could drink, so our total bill was quite bit low as well! Definitely a place to return on next visit to NY. Things to note for newbies like us, restaurant keeps card on hold for reservations in case of no shows and will charge $50 in case of such, saw this on a confirmation page after reservation was made, good thing we were able to commit and did not need to make any changes. The place was on a bit chilly side, so a light cardigan or blazer would have been great.",0,0,0,Aia S.,"Boston, MA",0,6,4
5.0,3/23/2019,It was great service and food was also amazing.When I have a birthday in this restaurant. They celebrated very much for me so it was best birthday party in my life,0,0,0,Shota M.,"Manhattan, New York, NY",0,10,0
3.0,3/23/2019,"Wonderful staff, professional waiter but... when I spend $200 on dinner for my wife and I there should be a feeling of ""yeah that was worth ir.""To start the ambiance was classic but definitely an older 50+ vibe and felt a little out dated. Our entrees were solid but nothing was wow this is good. The desert which was an apple tart for two saved the meal as that was excellent.A lot of options for a nice dinner in Manhattan so I don't see my wife and I commingled back.",0,0,0,Marvin S.,"Arlington, VA",0,34,0
4.0,3/23/2019,"Really nothing to criticize about this place as the service, the ambiance, the food are all great. The only reason I did a 4 instead of a 5 is that I judged it vs other Michelin Star restaurants as opposed to just other restaurants overall. Compared to the highest level of restaurants in NYC I would say it is a 4 if some of the others are 5. With all that said it is a good dinner and worth trying",0,0,0,Tonia J.,"Jersey City, NJ",0,41,0
5.0,3/22/2019,"Absolutely hands down the BEST steak I have ever eaten! Our company had a very intimate dinner here in which we spent nearly 4 hours talking, eating, drinking, and enjoying each other's company. Let's say everything on the menu was delicious BUT hands down to the STEAK! It was so good we ordered another for the table as a dessert! Great service, gorgeous ambiance and very tasty food!!!! We are planning a yearly trip there!",0,0,0,Christine G.,"Las Vegas, NV",190,105,43
4.0,3/19/2019,"Amazing food and really laid back ambiance.   Had a range of styles with risotto and steak so can attest their ability.  All was good.   Only issue was delay when we wanted to order drinks, order next course etc.   don't seem to be totally aware of where their guests are in the meal journey.    Otherwise great food.  Just opportunity to improve experience a tad.",0,0,0,Allwn B.,"Shawnee, KS",13,161,1
