rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/11/2019,"one of my favorite spots in the city.  apps are great, pasta's are always solid... even the basic ones, you forget why these staples arent on many menus anymore once you try them here.the short ribs for two are spectacular.",0,0,0,Mike T.,"East Islip, NY",0,30,0
1.0,4/9/2019,"I got this sandwich delivered via Caviar. The price of the sandwich is $16. The prosciutto was dry and the few slices that were in there were thick. Here's a photo of what $16 gets you at this restaurant - a piece of bread. Never going back or ordering again.  They should be ashamed of themselves for putting this quality food out to consumer. -----April 9, 2019 UPDATE. After receiving a message from the restaurant promising that this will never happen again and apologizing profusely, I finally decided to order the same sandwich again today. What I got was shocking. The same as the first one. These people don't care about anyone, they just don't want a bad Yelp review and will tell you anything to get you to delete it. These people are lying losers and their food is awful.",2,2,0,Elizabeth M.,"Manhattan, NY",0,16,2
2.0,3/30/2019,"Ugh, nah. Maybe the more upscale location is better, but this place was all style, no substance. Great decor, crappy food. My lobster special was so salty, when the person next to me asked me what it was and if I would recommend it, I responded with a resounding NO. I forget the other pasta I tried, but it was a bit better, though nothing memorable (as you can see from my complete lack of memory of it). There are so many pasta joints in the city. Skip this one.",3,0,1,Josephine L.,"Manhattan, NY",620,1619,20
1.0,3/9/2019,"Brunch*We were 2 and ordered what is listed below, we are on our way to another restaurant to actually eat.The Bucatini cacio e pepe: The portion was tiny (4 bites tiny) with a dry taste that lacked sauce. You could only taste the black pepper. Torta Paqualine: The portion was tiny. The texture was dry. The side arugula helps a smoother transition in your throat. portion with a texture that's as dry as they come. Pastries (almond croissant, pain au chocolat...) seemed as if they x days old and were cold.The crispy artichokes were good.The rest of the brunch menu was boring to read.",0,0,0,Jean-Claude A.,"New York, NY",0,1,0
4.0,2/20/2019,"Delicious Valentine's Day dinner, and great fun being at the two seats at the kitchen bar watching everything being prepped, cooked, plated and sent out on a busy night. Prix fixe menu offered a crispy artichoke heart to start; apps of oysters, crudo, grilled quail, and mushrooms in a miso broth; a lemon tagliatelle w/ crab and a golden, melt-in-mouth tortellini in broth; two hearty mains (duck breast and striped bass), then a heavenly chocolate mousse and apple crisp (a touch dry) to wrap it up. Wines were interesting, too, and staff were extremely attentive and responsive to questions. It was obv a pricier, special evening, but we'll be back to try this and that, from the breads to the mains. A really fun night + a culinary IQ boost!",0,0,0,Scott M.,"New York, NY",0,17,4
4.0,2/18/2019,"Very cute ambience! Delicious food. We had house made burrata, fried artichoke, bread, and tartare for appetizers. Bread was average, rest were great. I had cacio pepe for dinner and was quite happy. One of my friends had the duck special and the other had Lamb ragu pasta. The friend who ordered ragu wasn't very thrilled. We shared olive oil cake for dessert. It was great, especially the chamomile sorbet on top.",0,0,0,Shefali B.,"Manhattan, NY",27,115,72
5.0,2/15/2019,Beautiful place ! A bit tight but nonetheless beautiful! A bit hard to read the menu though because it's all in Italian and unfortunately I didn't understand what I was ordering lol.,0,0,0,Andrea M.,"Staten Island, Staten Island, NY",96,2,6
2.0,1/28/2019,"This review is not about the food. I wouldn't know about their food because my order got messed up and the kitchen staff simply didn't recitify the situation until my dining partners had already finished their meals and we were waiting for the check!A meal that gets sent back because of someone's error should kinda be given priority IMHO.The staff tried their best to help by comping my meal and offering a free loaf of bread and some goodies but sadly, the poor performance by our server and the kitchen staff blew any chance of saving this overall crappy experience. I mean really, is substituting one type of pasta for another in a dish too much to comprehend?From the start, we were a party of 3 and they first tried to seat us a what appeared to be a communal table for 12. Sorry, we didn't need extra ears listening into our private conversation! We asked to be moved and were taken to a high-top table with the most uncomfortable stools imaginable. We should have left right then.Speaking of conversation, forget it! The place is too cramped and so loud you can't hear yourself think!My apologies for this negative review but there just weren't enough positives about this experience other than the bread which was outstanding. (Did I mention that because of this disaster, my ""lunch"" consisted of 3 slices of bread and a beer?)Never again...",1,1,0,Tom R.,"Milford, CT",0,46,3
2.0,1/22/2019,Came here for restaurant week and got three courses for $42.  Wasn't very impressed with the food itself but the service and atmosphere were nice.  Had the scallop crudo as an appetizer - the olive oil was delicious but the scallop itself could have been fresher.  The lamb papardelle was mediocre - pasta wasn't aldente and the sauce didn't stand out either.  The dessert was chocolate mousse - neither me nor my friend thought it was too enjoyable. Would give 2.5 stars if I could.,0,0,0,Lauren H.,"New York, NY",3,127,296
5.0,1/19/2019,"On a blustery and chilly January evening, there are few things better than a cozy Italian restaurant, a glass of vino rosso, and fresh pasta. Il Buco Alimentari satisfies exactly that type of craving in a homey and inviting setting. We enjoyed the delicious food and wine, but what really stood out was the convivial ambience, as well as the exceptionally attentive and hospitable service. We felt truly welcomed, as the staff seemed passionate about inviting us into their ""home"".We shared the charred eggplant and the homemade ricotta. The eggplant had a nice smokey and garlicky flavor, and literally melts in your mouth. The ricotta was creamy and paired well with the homemade bread; The hazelnuts added a nice crunch, however, the flavor of the ricotta was a bit overpowered by notes of cumin, and I felt that the kohlrabi did not add much to the dish.The real winners of the night were the entrées. I ordered the tagliolini neri, which was exceptional. The squid-ink pasta was perfectly al denté, and the peekytoe crab sauce was rich and buttery, the caramelized leeks added nice sweetness, and the preserved lemon rounded out the whole dish. My sister was very impressed by the whole branzino, which I also sampled and enjoyed.We finished the night with the ""torta al cioccolato"", essentially a velvety chocolate mousse in a pastry shell with caramel sauce. It was a simple but good (and innocent) dessert to top of an excellent evening!",1,0,1,Cameron M.,"Northwest Washington, Washington, DC",1,9,37
3.0,12/29/2018,"This is a lower version of the official Il buco... It has a pleasant and small interior. The hosts are friendly and welcoming.Straight to the point we ordered our wines and cocktails paired with antipasti. 1) crispy  artichoke was a delight for the vegetarians.. burnt crispy on the outside and juicy inside 2) Scallops crudo  had a gorgeously soft texture.. totally recommend it 3) calamari dish was served topped with burnt cabbage leaves.. never thought this pairing could work but we totally loved the taste4) home made ricotta was honestly pretty ok.. must be made In-house but didn't really work for meMoving on to the mains.. Tagliolini Nero was the pasta to die for.. made with crab meat and black tagliolini pasta, topped with lemon n Chives. The dish was magic on a plate. My absolute favorite.Not far behind was short ribs for 2 priced at $70. Honestly it should have been short ribs for 5 looking at the quantity.  I think the mains were a big hit for us.. would rate it 9 out of 10.I still rate it 3 stars coz first of all the place was pretty small, casual atmosphere and uncomfortable cramped up seating... Somehow the Causalness didn't warrant the extremely high price of some of the dishes served. If you want to charge a premium you got to make customer feel like a king/ queen..  is my thought.Nonetheless the place was great and warrants a second visit for sure.. or well maybe next time to the real Il Buco.",0,1,0,Meghna S.,"Manhattan, NY",36,85,126
2.0,12/17/2018,"I went here incorrectly thinking this was ""il Buco"", not realizing that ""il Buco Alimentari & Vineria"" is not the same place. Unfortunately this is one of a few descendants of the famed original. Although it seems like the menus are similar, the atmosphere here is completely different, very cold and uncomfortable. Whatever you do, DO NOT allow them to seat you at the counter on the 2nd floor. Like me, you'll find yourself forced to have your back to your waiter, facing a stairwell and a wall, while sitting on an uncomfortable counter stool. The homemade bread that I'd read praises about online was below average and basic. The pasta dishes were between average and decent and would have been fine for a basic weeknight dinner. But for an attempt at a special night out, this place was a failure and a disappointment.",0,0,0,The Fat Delicious I.,"Philadelphia, PA",0,54,23
3.0,12/17/2018,"This has an Italian village eatery feel. And the food doesn't stray from that motif. Everything was very good, but at times it felt unfinished. The bread came out cold, the short rib had a lot of unnecessary fat still on it, and the seating is really meant for big groups, so there aren't a lot of comfortable spaces available for 2 people. The service is great though, and if you'll be in the area definitely have dinner there. Probably not worth a trip out of the way though.",0,0,0,Brandon L.,"Beverly Hills, Los Angeles, CA",2,21,0
1.0,12/11/2018,"I sponsored a holiday dinner for my technology team of 5.  I made the reservation several weeks ago and confirmed last week.  Since there is a sister restaurant nearby with a very similar name, I told them I want to be sure my reservation is for the restaurant and not the casual bistro/retail shop.   We arrived at the Great Jones address and were seated in a table in the front of the place, near the door *in front of* the receptionist.  I mentioned I had made reservations for a formal dinner not drinks or snacks.  We were told we should have asked for ""the main room"".  Well, no one told me that on the phone.   That's Mistake 1.   We sit down spread out on a large table.  But then we're told its a communal table so we have to squeeze together!  Are you kidding??  And we were going to discuss some confidential company business.  Mistake 2.  And its an extremely uncomfortable hard wood seating like a park bench.  Three of my team are vegans; when I called I mentioned this and was told that they could accommodate vegan requests.  But the menu had minimal vegan options and we were told by the waitress there were no other options.  Mistake 3.   I order three vegetable appetizers right away; the ricotta, fried artichoke and eggplant.  The ricotta was very good.  The artichokes were extremely tough to eat and the eggplant dish was a joke... 2 really tiny pieces of eggplant with hardly any semblance of flavor.  Mistake 4.  While we are eating the appetizers, my first course arrives... no other first course arrives.  When the appetizers are finished, they bring the other first courses. By then, my primi pasta dish is cold.  Mistake 5.   And then they totally forget all about my entree after discussing the trout entree at length with the waitress!  I never got my entree!    It was a pathetic showing by a NY restaurant.  Extremely disappointed.",1,0,0,Frank G.,"New York, NY",0,3,0
1.0,11/30/2018,"Terrible service, terrible people. Do not go. Too many other Italian restaurants in NYC.",1,1,1,Jeff L.,"Boston, MA",0,2,0
