rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/24/2019,The branzino tiramisu and pasta were all fresh tasting. Chic city vibe ambiance. Wish they gave bread and oil while we waited for the food though!,0,0,0,Krystle P.,"Queens, NY",18,21,39
5.0,4/22/2019,Best pancakes in NYC. Delicious brunch! Bright room for brunch which is nice. Good for birthday brunch or any other occasion as well! If you sit outside be sure to wear sun protection! I still have a terrible tan line weeks later,0,0,0,Ariel P.,"New York, NY",0,17,3
5.0,4/17/2019,"Good service, delicious food, nice size portions, nice wine list.....Have the chianti",2,0,2,Patricia G.,"Manhattan, NY",18,66,68
4.0,4/14/2019,"Came here for lunch per a recommendation of a friend.The lunch specials are pretty solid! I ordered the linguine with garlic and breadcrumbs. I enjoy really simple pastas, so if that's your kinda thing - I recommend it!My boyfriend ordered the squid ink campanelle. He enjoyed his, but it was a little too creamy for me. Again, depends on your palette. If you like creamy pastas, that might the one for you. :) I do think there are other spots that are probably tastier, but for the lunch special offerings, I give this 4 stars.",2,0,0,Belyn L.,"San Francisco, CA",785,42,211
1.0,4/12/2019,The absolute worst service. Was seated 45 minutes late and was not comped for any of the meal... was given a glass of Prosecco and that's all. Horrible management. Would not recommend.,0,0,0,Carly S.,"Manhattan, NY",659,2,0
5.0,4/12/2019,They open the terrace for us during a sunny afternoon.Sorry to trouble your organisation but thank you for the perfect family lunch during our vacation.,0,0,0,Régis B.,"Brussels, Belgium",21,1,2
1.0,4/6/2019,"Would give this zero stars if I could. we made a reservation here specifically to sit outside (and put this in our reservation) after being told repeatedly it wouldn't be possible (without much explanation either - the patio was empty) we finally agreed to sit inside. I went downstairs minutes later and they had filled up the patio with everyone filing up the spots and they told us there was no room. Horribly run, mistake to come here, food subpar drinks bad and WORST SERVICE I've ever received in New York. Just rude.",0,0,0,Grace B.,"Madison, WI",386,22,0
4.0,4/2/2019,"Surprised by how lively this place was on a Wednesday night & how good the food was. My lovely mother & I split an arugula salad, spicy shrimp pasta, & steak entree (and obviously a couple bottles of wine). The wine was good, the salad was tasty, the shrimp pasta simple but satisfying & a very very good steak. I recommend this sharing some dishes to get a taste of the menu. Perfect place for a date. We ended the night with the almond gelato, perfect ending.",0,0,0,Michelle H.,"Manhattan, NY",164,61,102
3.0,3/30/2019,"Decent place to check out. Vibe is nice, came here on a Wednesday evening and we shared the large communal table in the front since we didn't have reservations. Tried the frose, which was okay. Prices are definitely on the higher end and the portions are small as others have mentioned. Also they don't give out bread and olive oil which I find to be weird. Haven't been to an Italian restaurant especially for dinner where they don't give bread.",0,0,0,Theresa L.,"Brooklyn, NY",10,155,114
4.0,3/27/2019,"If I could give this 3.75, I prob would...but it's def. closer to 4 than 3. The ambiance was chic and cool and the food was very solid; not amazing, but good. No regrets. My favorite part of the night was actually the ""money"" hazy IPA, it was really good (If you are into north eastern style IPA's). Ricotta crustini - 4 out of 5Cauliflower caccio pepe- 3 out of 5Carbonara- 4 out of 5 Tirimisu- 4 out of 5Overall, I would recommend trying it out, i'll be back.",0,0,0,Zach G.,"New York, NY",126,13,273
1.0,3/21/2019,"One of the worst dining experiences in recent memory! Arrived at 6:50p for a table of 2 - the place was mostly empty and we were seated quickly upstairs. After waiting 15 minutes, we finally got water. Another 30 minutes, and the waitress (Tricia) finally got our order. I saw that the other tables were being serviced regularly and immediately. A couple that sat down maybe 20 minutes after we had arrived had already received their appetizers and placed their order. We got our appetizer and realized we were the only table that didn't get bread for the table. I had to flag down several servers to ask for bread. Almost an hour into the dining experience and we had no one asking or checking on us. Finally at 7:50pm I flagged down the waitress (who was visibly ignoring us), and asked her where our main courses were as we had been waiting for an hour. She remarked that she was waiting for us to finish our appetizers before bringing our food !!??? I said we've been done for awhile. She never stopped by and asked if we were working on it etc. After another 30 min, we finally got our main courses. The food was mediocre at best and not worth the hassle of the night. We quickly got our bill and left immediately - food unfinished. A terrible experience for what we were hoping would be a nice weeknight date. Will never go back!",0,0,0,Esthela L.,"Flatbush - Ditmas Park, NY",21,5,10
5.0,3/17/2019,For all your frozè lovers I think bar primi is the home of froze- I LOVE froze and the best one I ever had has to be from here. I'd never think to pair froze with pasta but I have to tell you it is the best decision I ever made and you will enjoy the pairing!,0,0,0,Jaclyn R.,"Norwalk, CT",434,48,25
3.0,3/12/2019,"Okay this is my second time here and it is Michelin rated on Bib Gourmand as well as a lot of great reviews word of mouth. The atmosphere and service is great, very cozy with lots of candles. I got the special cacio e Pepe with kale and it was pretty bland, not as creamy as I expected as well as the kale was very salty. I just can't justify the price for the amount and quality of food. It's a fun time and nice to hang out there with a drink but pretty pricy for what you get",1,1,1,Melissa Z.,"Charlottesville, VA",372,88,105
4.0,3/9/2019,"I came here for the  first time in a while.I already knew here is nice interior decor and tasty and good service.Therefore I brought my client for dinner  at 6:30 PMIt was quiet and less people ( absolutely comfy)Nobody bring menu nor attention for a while( maybe it just opened and bit hectic ?)Meanwhile, a guy looks like a manager brought  menu and explained  special menu of the day "" Veal bolognese  white sauce pasta "" 1 st waiter came to take an orderAnd he suggested  sone veggies and meat, also he gave us some idea to order. Then we order Brussels sprout and Meat ball as starter. Both was really good!We were still thinking about main meal and see how much room left with our stomach ..So we decided one pasta for share. 2nd waiter come ( different from 1 st waiter) Finally took out order ""today's special pasta"" $24When the pasta  came , it looked  bit meat sauce ( not white sauce) but  lots of cheese on it, I wasn't sure yet.After while , we realized it was  totally different from the special menu that we were explained..I try to ask them but I couldn't do that since my client already started eating and I didn't want to get in trouble and her to be worried.  I was wondering if I misunderstood his explanation of the menu,  but the special pasta  would be same as $24. Or so. After all, we figure out The pasta was "" lobster tomato sauce $33 on the bill Huge difference  from "" veal white sauce $24 I claimed  the guy ( manager ?) who explain today's special to wrong order, even though  we completely finished eating . But , We thought today's special was  $24  but they charge us $33 for it! That doesn't make sense to me. Besides  the waiter who took our order didn't know exactly Today's special, neither confirmed with us.I guess he just brought most expensive pasta aka ""special pasta"" The manager apologized us the confusion and could weave $10 from the bill. I meant this is not a complain at all  more like  applause their service and hospitality and thoughtfulness.",2,0,3,Hiromi Y.,"Manhattan, NY",154,102,869
