rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/25/2019,"I highly recommend this restaurant in SoHo. Every dish we had was fabulous! Our waiter, Alan, gave the best recommendations. I never would have chosen the pasta with blue crab and it was phenomenal!!",0,0,0,Janelle B.,"La Jolla, CA",105,9,0
1.0,4/22/2019,Got a huge piece of shell in the California roll. Almost broke my tooth. The waiter was nice but he wasn't the one who cooked it. Tuna roll was old. I didn't even eat it. If I could put less than 1 star I would.,0,0,0,Alevtina A.,"Manhattan, NY",0,13,3
2.0,4/20/2019,"Super mediocre food. I ordered the steak which is maybe stupid at a fish place, but a good restaurant should be able to cook a filet. It was over cooked and lacking of any flavor. The scalloped potatoes weren't scalloped all, but rather semi-raw potatoes in a wimpy and thin cream sauce, with cheese on top, which scalloped potatoes don't normally have. The asparagus had so much lemon juice on it that it was almost unbearable to eat. The staff was friendly and the drinks were good but this was one of the worst meals I've had in a while in NYC.",0,0,0,Cam F.,"Roswell, GA",3,25,1
5.0,4/17/2019,Sushi was awesome! Good decor and great attentive staff! Has a cruise ship feel restaurant feel ... will return!,0,0,0,g c.,"Staten Island, NY",2,96,156
4.0,4/8/2019,"This is not a budget conscience place. It leans to the expensive side. At  $20 for a martini you are not going to having a bunch. Our drink bill was over $100 and it was just my wife, me and two kids.Now the place. The sushi and sashimi platters were good. It came with fresh ground wasabi. My wife got the fish with fennel. Not a morsel was left on the plate which is unlike my wife. The homemade sodas my kids enjoyed. I would not get to filled up though on the meals. The deserts are epic. I ice creamed sandwiches made in house could be shared. The homemade ice cream is  yummy. My wife's desert did not stand a chance. I would return without hesitation, however next time I may grab my martini or a couple drinks else where first and save myself the 100.",0,0,0,Greg W.,"New York, NY",50,144,62
5.0,4/6/2019,"I cannot shower this dining establishment with enough accolades. I ordered fried calamari and it came with a sauce on top. I mentioned to Angie, the waitress, that I didn't care for the sauce. She asked me what I would like instead so I said well I wouldn't mind the shrimp tempura. The manager, Dennis, brought the shrimp tempura and wouldn't you know it it also came with sauce. He asked me how I liked it and I said it's great except I'm not really a big fan of the sauce. He then proceeded to bring me yet another order without sauce! Food was outstanding! Highly recommend!",0,0,0,Denise M.,"Brooklyn, NY",0,5,0
2.0,3/31/2019,"Good location, cool atmosphere, but that was all.  Sushi was like take out, entree of salmon and striped bass were small portions and something I often cook better at home.  It was my fiancé's birthday and when we got there we asked for a booth.  The entire place was empty, but they gave us a bad table in a corner that our waiters and staff couldn't even reach over to get to.  Place was packed and too busy for us to even get refills on water.  I had one friend who had spoken very highly of this spot for years, but we will not be going back. Asked for a whiskey in the menu and they were out of it too.  Just not a smooth dinner and left us ready for the check and ready to leave.",0,0,0,Aaron R.,"Manhattan, NY",1,25,6
4.0,3/30/2019,"Excellent attentive service for a late lunch after shopping. The lobster roll was served on a brioche and the french fries were perfectly cooked and seasoned. My Lure house specialty roll was delish as was the Kenai salmon roll, though being from San Diego it wasn't exceptional. Enjoyed the meal and service and not crazy expensive.",0,0,0,Melinda D.,"San Diego, CA",935,159,33
2.0,3/22/2019,"Place is cute, but to be frank for their price sushi I awful, please just go to blue ribbon sushi on Sullivan. Or domo which has much better sushi for the same price",0,0,0,Michael K.,"Aspen Hill, MD",156,24,14
5.0,3/22/2019,"I came in for a late lunch and grabbed a seat at the bar only to find out it was Restaurant Week! Usually I avoid the occasion due to lackluster service and reduced food quality (looking at you Delmonico's). But I am happy to report that Lure treated me exceptionally well and the food was outstanding! Heather was working the bar that day and she was warm and friendly. As patrons moved in and out, it seemed like everyone who sat down was a regular who had known her for years. I love that! The music was background, I couldn't tell you what it was, only that it was played at a low volume and was there only to compliment the environment. I decided to do order salmon for my appetizer and my entree. I started with the tartar. Excellent choice, there were shallots whose sweet crunch exploded with each bite, and they dressed the plate with an Aji Amarillo sauce. The pepper used as the base for this sauce is often seen in Peruvian cuisine, and it has a brighter flavor that stands out from other peppers like jalapeno or habanero. I love it every time I have it and it worked well here. My entree was a soy marinated salmon with Chinese broccoli and shiitake mushrooms. The dish didn't take any risks- it was just good quality food cooked and presented perfectly. It was also a large portion for the price. Between these two items I left very full, and also feeling like I had a healthy, wholesome meal. Their lunch option doesn't automatically include dessert, but you can add it for a supplementary charge (this is normal for places whose menus have a higher price point). I came back again for dinner and sat at the sushi bar. Loved getting to watch the sushi get made! Their special kumamoto oysters with wasabi leaf might be one of my new favorite things anywhere. It's got just the right amount of kick and brine, really luxurious.  They have a happy hour menu, I think from 5-7, that I'm almost positive includes oysters and other small plates.",3,0,2,Luci B.,"Queens, NY",149,1401,3214
4.0,3/20/2019,Loved Lure. What a great choice of oysters from all regions. We had the salmon and branzino as entrees and loved the way they were cooked. The decor is that of being in a ship which as boat lovers we adored. Would come again next time we're in Soho.,0,0,0,Jill M.,"Cresskill, NJ",57,31,1
4.0,3/15/2019,"Great place for lunch but comes at a steep price!The food and service calls for 5 stars, but because of the pricing, I had to bring it down to 4. I heard about this place for years and finally decided to pop in for a quick meal. I realized I passed by many times before but never noticed the restaurant because it is not on ground level. The decor inside was very unique - designed like the inside of a ship with vintage vibes. The nautical theme was definitely not overdone though which I appreciated.Walked in without a reservation for lunch and was seated right away.Started with some signature oysters (the wasabi & jalapeno ones were my personal favorite). I got the branzino as my entree and it was DELICIOUS. The super creamy buttery but light sauce with the flaky branzino made a great combination. The sashimi combo was fresh and presented beautifully but I thought it was WAY too expensive for what it was ($68).Overall, I enjoyed my meal there and would like to go back for dinner one day.",0,0,0,Hannah J.,"SUNNYSIDE, NY",144,82,73
1.0,3/7/2019,The service was really bad tonight. I always love the food and vibe but our waiter was rude and took forever.,0,0,0,Jamie F.,"Manhattan, NY",0,3,0
3.0,3/6/2019,"Good, not great. There are many better places in nyc Photos look good but flavor lacks I actually think I got sick from the meal, that's where the 3 stars come in Friends of mine have been before and had different experiences so I don't know ...I wouldn't return voluntarily",0,0,0,Vee R.,"Brooklyn, NY",427,6,23
4.0,3/4/2019,The food and wine was so expensive we didn't order much - so can't really say how good it is. The service was fine and the burgers I had heard do much about was Meh. However it was crowded and had a lot of energy - so if hip/expensive /cool is your thing - this is the place!,0,0,0,Maria P.,"Tampa, FL",2,3,0
