rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/26/2019,"I expected more from a Michelin Star restaurant. The ambience was nice and the staff was friendly. The service was a bit slow and the place wasn't too crowded yet. Most of all, the FOOD was disappointing. My fiancé ordered the Bamboo rice and I ordered the Spicy Tofu dish. The bamboo rice was extremely salty and over seasoned (even if you didn't eat the bits of nori) I could not eat more than a few bites of that. The Tofu dish was spicy as expected, but also salty.  The bowl of tofu stew came with the tiniest cup of brown rice so it was very difficult to enjoy all of that stew without some bland starch to help. I've had better (and more affordable) vegan/vegetarian food from regular restaurants without the star accolade.",0,0,0,Melissa L.,"Queens, Queens, NY",0,1,0
4.0,4/21/2019,"Great meal at Nix last night! Came in not knowing what to expect and was wowed by the creativity and flavor of the food!Started with the red pepper and walnut dip with tandoori bread and was impressed by the mint and pea dumplings. The best dish of the night was the kale and mushroom galette.Loved the eclectic menu; which covers all parts of the globe.While the pear and ginger cake was really good, a nuttier dessert would have been a great way to round out the meal!I should also mention the great service. We were asked to move tables after we were seated, and were happy to do so. The complementary dessert wine was a great way to say 'Thank you'!",0,0,0,Sanket K.,"State College, PA",1,18,6
5.0,4/19/2019,Thanks! Amazing service at the bar. Delicious food. Would definitely come back! Bartender and bartendress were amazing.,0,0,0,Wendy S.,"Montara, CA",0,4,6
4.0,4/19/2019,"Amazing Tandoor bread with dips, so warm and fluffy. A bit disappointed by the popular cauliflower tempura, I was expecting some kind of quality Japanese style tempura but received a failed fusion attempt overpowered by the sauce like General Tsao's chicken... Shiitake mushroom wrap is well balanced with the herbs",0,0,0,Lydia C.,"New York, NY",1,28,79
4.0,4/16/2019,"Nix is a local favorite vegetarian (but we carnivores love it too!) restaurant on University Place. The menu is incredible, making it very difficult to decide what to get, so we almost always over order.  The tempura cauliflower on sticky buns is a must. Their wine list is also quite notable. You really can't go wrong with anything on this menu. Just go hungry, and plan to drop some coin, because you, too, will likely over order.",0,0,0,Kellie B.,"Manhattan, New York, NY",0,7,0
4.0,4/14/2019,"Bad experience booking our table of 6 people but it was fine in the end after talking with a very nice manager *Positive:Gluten free optionsMost of the dishes were goodSweet and patient waitressStir fried rice was very good, delicious polenta fries, the Benedict eggs were not great at all  *Négative:Non alcoolic drinks are expensive ($7 for an iced tea?!)Very dark atmosphere for a lunchOnly 2 bathrooms for the whole restaurant, when twice and had to wait on the line .....Regarding the Michelin star, i don't think it is worth is at least for brunch. Maybe dinner options are different. As good as other vegetarian trendy restaurants like AbcV etc...",0,0,0,Sarah B.,"Westmount, Canada",0,45,42
5.0,4/13/2019,"We had a great time at Brunch here. The place is very cozy, clean and welcoming. The service was outstanding and everything you could expect for a Michelin star restaurant. The food is beyond tasteful with lots of flavor. Highly recommend the fried polenta for an appetizer!",0,0,0,Bruno L.,"Stafford, CT",24,29,2
4.0,4/11/2019,"Amazing food, amazing service, amazing atmosphere! Just wish the portions were larger for the amount of money you're paying for each dish.",0,0,0,Kylen B.,"Alexandria, VA",206,6,0
5.0,4/4/2019,"We have been to many of the high end vegetarian and vegan restaurants in Manhattan, had our favorites and kept going back until I found Nix. Looking for a change in venue we tried Nix. It has shot to the top of our go to places! The decor is chic, minimalist with smooth textures and comfortable ambient lighting. The wait staff was absolutely wonderful, very attentive, knowledgeable and personable. The drinks were superb. I had the Playa II tequila, passion fruit with a champagne foam...amazing! My husband had the Macha, bourbon, poached pear, apple and toasted green tea...insanely delicious! We tried quite a few dishes such as the Winter Summer Roll with marinated tofu that left us wanting more! For our Mains we devoured the Cauliflower Tempura with Steamed Bun, Pan Seared Gnocchi and the Shiitake Polenta Cacio e Pepe! All were beyond impressive with their attention to flavor, texture and presentation. If you haven't tried Nix add it to your list, it's a definite must!!",0,0,0,Bethani A.,"Ridgefield, CT",9,12,0
3.0,3/29/2019,"I was frankly pretty disappointed with this Michelin Star restaurant.  Our service was horrible for lunch on March 29, 2019.  Nobody even stopped by to ask us how our food was.  I could've overlooked that if the food would've blown me away.  We had the Tandoor bread with 3 dips.  The hummus was very good.  The eggplant and avocado both had an odd flavor combination and the eggplant was bitter.  The polenta fries were fine, but nothing special.  We had a mushroom soup that was very bitter.  Our best dish was the pea dumplings.  They were beautiful and had great depth of flavor.  I wish all of our dishes had been that tasty.  Our final dishes were the tempura cauliflower and hummus bowl.  The tempura cauliflower would've been much better had it been fried crispier.  It was soggy and the cauliflower was under cooked and overly crunchy.  The hummus bowl was a lack luster dish.  We left most of it sitting on the table.  I wouldn't visit Nix again.",1,0,0,Cyndee N.,"San Diego, CA",0,12,0
5.0,3/28/2019,"I could easily turn into a vegetarian with this restaurant, definitely try the cauliflower tempura and labneh and eggplants dips, make sure you mix them.",0,0,0,Kev Q.,"Miami, FL",11,6,0
3.0,3/25/2019,"Nix is a fine place for a business lunch, especially for vegans and vegetarians. Overall, it was a 3.5. Nice ambiance and decent food.Three grain stir-fry, lily bulb, edamame & avocado (4.5/5) was the tastiest dish I tried. Spicy with a great mix of texture and flavors. We both had it and enjoyed it.Sweet potato and ginger dumplings, scallions, carrot* (2/5) Each dumpling had very little filling. I don't remember tasting the sweet potato at all, and the tangy sauce overwhelmed the dish. Plus the dumpling was extremely chewy.Raw veggies, red pepper & walnut dip (3.5/5) The raw veggies were crisp and the dip tasty. I prefer this a little chunkier; this dish was fairly creamy.My guest had a mushroom veloute, and liked it.I had hoped to be wowed by the food. It was solid. I'll go back at some point, but I'm not in a hurry to return.",1,0,0,Lanie Z.,"Manhattan, NY",154,69,2
3.0,3/25/2019,Was extremely excited to try the Michelin vegetarian restaurant and unfortunately a bit disappointed overall. The one dish that I definitely wouldn't recommend is the cauliflower bao buns. They were not cooked well and definitely Not seasoned appropriately. As an fanatic of burrata I was extremely impressed by the dish as it was paired with figs and pesto and extremely unique. The service was adequate and might be due to the fact it was a Friday night. I did come in with high expectations but was but disappointed in the overall meal though some dishes like the Caio e Pepe definitely stood out.,0,0,0,Rid D.,"Manhattan, NY",454,45,87
4.0,3/23/2019,"Pretty good as a vegetarian place, hits all the right notes in terms of taste. But I'm a spoilt brat who expects to be bowled over at every michelin star restaurant. That wasn't the case here.We were a group of four and ordered a bunch of dips, small and large plates. Among the dips, the hummus and romesco were really good- go perfectly well with naan. Jicama ribbons were the highlights in the small plates. Back in India we eat Jicama just by itself. That's so boring. Here they jazz up the crunchy Jicama ribbons with spicy chiles and orange pieces... delicious!Among the entrees, the spicy tofu dish was a nice take on mapo tofu, with mushrooms and kale added for extra umami and crunch. Also the cauliflower tempura with Bao buns was very tasty.Dessert was kinda meh though. We got the Tandoori pineapple which was a special. Apparently it takes 30 mins to make and we had to order it in the beginning. But I didn't find the final product too impressive. Pineapple wasn't grilled enough, so tasted kinda flat. The almond cream and macadamia nuts on top were far better.Overall, a good choice price-wise. Lot of spicy and playful flavors, but some dishes seem a bit too acidic. Worth a try though!",0,0,0,Subhabrata M.,"New York, NY",152,67,135
5.0,3/17/2019,As a non-vegan and dining with a vegan/vegetarian was completely taken by surprise with tasty entrees/main courses.  Gnocchi and shiitake mushroom dishes with creamy polenta were a hit. Do not plan on skimping on calories or judging by dips only.  Great wine selection and service.  I will return.....,0,0,0,Suzanne D.,"Beverly Hills, CA",0,2,1
3.0,3/14/2019,We had a reservation at 8pm on a Wednesday night in March 2019. The food was very good but it took forever to come out. We didn't receive our appetizer until 8:45pm and didn't receive our entrees until 9:30pm! They really need to improve service during peak hours. Our favorite dish was the cauliflower tempura with the steamed buns.,0,0,0,L H.,"Brooklyn, NY",0,6,0
4.0,3/3/2019,"The service is wonderful. I enjoyed my meal. I didn't give it a 5 star because for me personally, there weren't enough choices on the menu. It was quite pricey but I enjoyed it. Great ambience. It's just one of those places that was fun to experience, I just did not have a wow factor",0,0,0,Donah O.,"Charlotte, NC",142,40,5
