rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/26/2019,"Came for a date on a Saturday night and Lupa just didn't hit quite right for us this time. Even though we came pretty early, the restaurant was already quite full. Since tables are close, it was loud and we had trouble hearing each other. My boyfriend is Italian and chose the spot due to its description and backstory as a Roman Osteria. There were certainly elements that we loved - like the fresh foccacia before the meal. Others, seemed out of place, though. The salumi we ordered came arranged in a very Lunchable fashion and tasted similar too. For pasta, we had the Cacio e Pepe and Carbonara. Both were nicely al dente and the Cacio e Pepe had a great thick sauce and flavor. The Carbobara was the most disappointing dish. Instead of guanciale or pancetta, it came with bacon. Also, there were lots of greens mixed into the dish. Apparently to Italians, this is as sacrilegious as putting pineapple on pizza. This was disappointing mostly because our perception was that Lupa was a more authentic Italian kitchen.  All in all, food was good, but a bit of a let down given our expectations of more authentic Roman meal.",1,1,1,Jennifer D.,"Brooklyn, NY",947,354,618
5.0,4/20/2019,"First of all, this is the first review I have ever posted, so clearly I very much enjoyed this place. To start, we were unsure what bottle of wine was best to order. A manager walked us through the whole wine list based on what we were looking for and listed her recommendations. We took her advice and the wine was incredible (Unfortunately, I don't remember the name of it). For food, we split the carbonara, cacio e Pepe, and ragu. The ragu was good but the other two pasta dishes were absolutely amazing and incredibly authentic. When my boyfriend made the reservation on open table, he mentioned that it was for a birthday. Without mentioning that to the waitress during the meal, they still brought over our dessert with a candle in it and wished him a happy birthday. The waitress was also very attentive to both our wine glasses and water glasses and never let them go empty. Me and my boyfriend left feeling extremely satisfied with our decision to go there and will definitely be going back the next time we're in NYC.",0,0,0,Sami C.,"Barnstable, MA",0,1,0
2.0,4/15/2019,Really mediocre in every way. I don't understand what the fuss is about this place. Tons of better atmosphere/food experiences and not cheap either.,0,0,0,Tina D.,"Mamaroneck, NY",0,23,0
1.0,4/15/2019,"I'm writing this on my way home from the restaurant. Let me preface this by saying that I love the food and love coming here. However, it's a terrible shame they have not properly trained their hostess in having humanity/etiquette. I am over 8 months pregnant and the hostess refused to let me sit until my party was complete and my friend arrived. Mind you I'm huge and look like I'm 10 months pregnant and am clearly now uncomfortable. Incredibly impolite and just flat out wrong to not be courteous of a pregnant woman. It reflected terribly on the restaurant and its entire staff.",0,0,0,Jackie S.,"Manhattan, NY",0,11,0
5.0,4/8/2019,"I don't take it lightly when I say this is amongst​ the best Italian​ food in NY. The pasta with duck, the house-made​ salumi. Amazing​ but obscure wine list. The assorted seafood platter​ is just bananas. It's why after all these years its still packed every night.",0,0,0,Antoine N.,"White Plains, NY",0,5,0
4.0,4/6/2019,"We love the warmth of this Roman osteria, which has an approachable and relaxed feel; but that unassuming nature doesn't translate to the food, which is decidedly excellent. A great choice for a cozy, Italian night out. The food is done right. An honest, straightforward approach lets the ingredients take center stage and really highlights a classic style of Italian cooking. Naturally, this only works if the execution is on point, and it is. The pastas, as expected, are awesome and not to be missed. Certainly a highlight. Incredible list of Italian wines, with a great mix of classic benchmarks and value-oriented choices. Don't come to Lupa without taking advantage of the top-notch wine program. Lupa is one of our favorite choices for casual, upscale Italian in NYC.Atmosphere-Cozy, old world type of feel with exposed brick and basic furnishings. The design is rather nonexistent.-Expect tightly spaced tables, the space is small.-Casual, come as you are.FoodThe Roman fare is uncomplicated, which really allows the flavors, quality ingredients and spot on execution to shine through. Appreciate this 'true' approach to cooking, and it really means each dish focuses on the flavors. High points certainly included the pastas and dessert, though everything was tasty and well executed. We enjoyed:- Radicchio with Citrus, Fennel & Pecorino ($16): Characteristically bitter, but the pomegranate is a nice offset, wish the fruit elements were amped up a tad for better balance.- Burrata with Kabocha Squash & Chestnut ($16): Spicy, savoriness from the squash; quite unique and well-balanced. Not too large.- Cavatelli with Sausage & Broccoli Rabe Pesto ($20): Amazing! The flavors are so harmonious, and broccoli rabe pesto lends nice depth and offset to the subtle spiciness of the sausage. So perfect for the fall/winter. Highly recommend!- Bucatini All'Amatriciana ($19): Another winner, the pasta is cooked perfectly. Red sauce has just the right amount of acidity, and pancetta adds lovely rich flavor. Highly recommend!- Saltimbocca ($29): Very thinly pounded veal, topped with prosciutto and a touch of sage. The meat is delicate, with a light crust. Tasty, but presented without any flair.- Olive Oil Cake with Quince Confettura & Sesame Gelato ($12): Dense, but good for two to share. Olive oil is perceptible, but not overwhelming. Quince pairs so well, and the gelato helps balance the density/richness of the cake. Incredible!BeverageThe wine list at Lupa is not to be missed, and naturally is 100% Italian. Very impressive quality, and to be sure it's got some pretty (expensive) heavy hitters. However, there is a balance with many many bottles sub $100. Some really great finds! We loved the 2013 G.B. Burlotto Monvigliero Barolo ($175), which was actually presented at a very reasonable price point, all things considered. Please don't overlook the wine list on your visit! Extensive collection of Amaro to conclude. Give it a try! Easy to get overwhelmed, but the staff are happy to provide guidance. We liked the Cardamaro ($9) which was recommended by the somm. Service- Casual (but in a good way), approachable and relaxed. Pretty attentive.- Very accommodating, they helped move us (and others) when the temperature was not agreeable.",0,0,0,D. L. J.,"Manhattan, New York, NY",1,115,647
5.0,3/18/2019,An intimate restaurant. The wine selection is unbelievable and the small dishes and starters are superb. Some of the best pasta I've eaten. If you go the Apricot Roccota Cheesecake is a must have. It'll be gone in 30 seconds whether you are full or not. Oh and Joe Bastinich likes to make an appearance once in a while.,1,1,0,Mrs L.,"Green Bay, WI",7,11,40
5.0,3/14/2019,"YUM! I loved this place. Pasta is my all time favorite food, and this place did not disappoint. Service was great as well. I will say the food is filling and you probably don't need as much as you think. We ordered a ton and ended up getting so full before the final 2 dishes came out. Honestly we had forgotten that we even ordered the last 2 dishes, and when they came we we're like OMG we cannot finish this no way. Delicious food, good portion, great service. I definitely recommend!",0,0,0,Lauren C.,"Austin, TX",470,49,325
2.0,3/10/2019,"We arrived on time for our 815pm reservation and were told that tables were finishing up dessert and we are welcome to get drinks at the bar. The bar had no seats available and we were crowding into tables with nowhere to stand or sit.  After about 15-20minutes, we were seated towards the back. The waitress didn't come to take our orders for at least 30minutes- and even then it was a different person than our original waitress. We ordered our meals, received our appetizers and finished our appetizers before getting our first round of drinks (these were thankfully comped). Once we got our entrees, they were pretty tasty (cacio e Pepe and carbonara) but at no point during our meal did anyone come over and ask if everything was good.It took another 20minutes after finishing our dessert to get our check (we had to ask the bus boy for it) and then had to call our waitress over to take the check once we were ready. Overall, horrible service but good food. To be fair, the food came out in a timely manner once it was ordered. Wish that the service was as great as everyone else mentioned on Yelp!",0,0,0,Jacqueline M.,"New York, NY",0,2,0
5.0,2/24/2019,"My husband and I were in town for the weekend, couldn't get a reservation but decided to walk in instead around 7pm. The hostess was very friendly and accommodating and was able to sit us at the bar after waiting about 30-40 minutes. She let us know several times how many were ahead of us and what was going on, which was appreciated. Our bartender (Matt I believe) was excellent, made some wonderful suggestions for our cheese board and desserts. Even though the restaurant is small and was very busy on a Saturday night we never felt rushed. And the pasta dishes were excellent! We will definitely be back the next time we are in town.",0,0,0,Kayla R.,"Boston, MA",0,6,3
