rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,"Food was amazing, I could eat their flatbread and hummus all day! Oysters and sweet potato falafel were so great too! Mark was a complete joy and made our dining experience amazing!",0,0,0,Sara J.,"Broadview Heights, OH",0,3,0
4.0,3/24/2019,"Went here with some friends to grab a bite to eat for brunch on a Saturday. The restaurant was definitely full, but we were able to be seated upon arrival.As a table we started with the cucumber and date salad and the basket of pastries.The cucumber and date salad was very tasty and a pairing of flavors that I had never experienced before.I tried a few of the pastries and the chocolate croissants were to die for! So petite, but so delicious and rich--yum!For my main course I ordered the green beans and the lamb kefta. The green beans were very good--a bit overpriced--but they had great flavor nonetheless. The lamb was also very tasty and paired nicely with the yogurt.For dessert, we split the pot de creme and the madeleines. The madeleines were very average in my opinion, but the pot de creme was absolutely delicious--definitely a must order.I also induced in a couple of their espresso martinis here, which are divine.Overall, this place is a bit on the pricy side, but definitely does a great brunch. Service was friendly and attentive and food came out quickly. Definitely not a bad spot to check out if you're looking for an upscale brunch.",2,0,1,Ryan R.,"New York, NY",746,1843,225
4.0,3/24/2019,"Just your classical brunch spot without anything too crazy. We had a french toast, some sort of mushroom omelette, and a shakshuka. The seating is kind of cute, and you can definitely get Provencal vibes, but for brunch it's a pretty standard brunch menu without too much extra to offer.",0,0,0,Willy X.,"New York, NY",873,222,74
5.0,3/9/2019,"My wife and I had dinner at Claudette last night and had our best dining experience in some time. It's rare for a restaurant to impress in all the important categories from food quality, to excellent bar, good service, and warm friendly atmosphere. It was just the right amount of fancy for us.We started with their speciality cocktail that had bourbon infused with clove and apple, and followed with a great Bordeaux. My wife convinced me to try the sardine appetizer and I was pleasantly surprised, as I'm not generally a fan. The lamb tagine was flavorful and tender. My wife ordered the vegetable tagine, which was too spicy for her and they took it back without so much as a raised eyebrow, and replaced with a hummus dish that she loved. Perhaps the best part was how the staff was friendly and efficient without being obsequious - it was almost like having dinner at a friends place - we will definitely return.",0,0,1,Jeff L.,"Boerum Hill, Brooklyn, NY",2,19,1
5.0,2/21/2019,"one of the most enjoyable meals I've ever had! The manager, Jake, is kind, joyful, and knowledgeable! And the halloumi, salmon and sweet potato falafel are TO DIE FOR!food prices are incredibly reasonable and location can't be beat. Adding this to my rotation!",0,0,0,Kristen R.,"Miami, FL",463,25,5
5.0,2/21/2019,"Lovely service as usual from Kelsey Owens. Delicious food. Drinks and atmosphere are fine.I have been visiting for years, always good.",0,0,0,Elizabeth L.,"New York, NY",96,82,0
3.0,2/18/2019,"Very cute exterior and interior, but a bit pricey and the food was just alright - personally I really disliked my dish but the rest of my party had decent food.  The flatbread and hummus we started with was very tasty, and the server was kind enough to provide a crudite platter for my gluten-free friend. Unfortunately, that's where the enjoyment ended for me -I ordered the salmon and eggs special and found it much too salty and left the majority on the plate. I ended up having to eat everyone else's fries in order to recoup the caloric content needed for the meal. My boyfriend's BLT was pretty good, but my friend said her steak frites were nothing special. Service was also slow and subpar as coffees were not refilled until the very end of the meal and there was also no general check ins (otherwise I would've sent my entree back). Overall, I'd call Claudette the kind of place that's nice if you're looking for a cozy French vibe (French vibe extending to European style service if you know what I mean) and also going on someone else's tab.",3,0,0,Elaine Z.,"New York, NY",495,291,132
1.0,2/13/2019,"I wouldn't recommend this place for private events... I booked their Flamingo Room last Friday for my birthday event, and the overall experience was disappointing. I think the sub par service was the most frustrating part. 1). When we first arrived, the host at the front seemed to have a problem to take us the the space - she was very confused on what private event/space we were referring to when we told her booking under my name, the flamingo room the private event room etc until someone else came by to take us downstairs. Then we arrived the servers did not offer any drinks and continued to chat with each other behind the bar for at least 10 minutes until probably more than ten guests arrived. They did not offer drinks or assistance or anything before we sat down on the table and were socializing at the bar area. And with dinner starting, the female server was very unprofessional that when I asked her to offer newly arrived guests some drinks so we can raise glasses and start dinner, she walked away. 2). The service team that night and the booking team seem to have miscommunication. I told them a total of 22 people, where they only put 20 seats and the table was already too crowded and did not fit. It was very uncomfortable for some of our guests who sit by the corners... The food portion was not nearly enough... It was $$65 pp for the food and 45 pp for the wine package, and paying for 22 people at $110 pp, the food was probably only enough for 15 people to have a satisfying dinner... so of course we had to order more food beyond what the private event package provided... Btw the cake plating fee was 110 dollars for a cake that my friend brought in, hot water was $5 per cup if I remembered correctly... The night ended up much higher than the min spend requirement, which I would totally be fine with if I had a great experience...Lastly about the space, it's a basement area with an entrance in the kitchen, so it was little weird walking in and downstairs through the kitchen. The space is pretty much what they presented in the brochure, but one thing is that the space is not very ""private"". it didn't have a solid door that could be closed but using a cloth type of ""separater"", and many times when servers come in and out of the room and the bar area, they do not close it completely sometime does not even close it. So the bright lights, loud noise and people walking around in the kitchen really affects the ambiance of the room... The whole night just feel very hectic and the guests cannot really enjoy at ease.",1,0,1,Noño Z.,"New York, NY",164,109,169
4.0,2/9/2019,"Came here on a Friday night around 7:30 pm for dinner with a friend. There wasn't any table seating available but we found two spots at the bar. We started out with cocktails and wine then ordered the Roasted Cauliflower, Charred Halloumi, Sweet Potato Falafel and Pommes Frites. The Charred Halloumi was SOO good, it was seasoned with an apple chutney and pistachios. The cauliflower was also really well made. The ambiance of the restaurant was very cute with rustic decor and a marble bar, the crowd ranged from older patrons to NYU students; everyone seemed to be enjoying their drinks, food and company. It felt like there were a lot of regulars here, which is a good sign that people keep on coming back!",0,0,0,Shivani S.,"Hoboken, NJ",190,33,55
2.0,2/4/2019,"Recently went here for brunch and was underwhelmed. Great ambience - it's a very cute French cafe, but the food was less than average and quite pricey. The kale salad in particular was inedible. The soft cheese just didn't go with the kale and half of the kale had been fried. The textures just didn't work together. Scrambled eggs were good, but hard to mess that up.",0,0,0,Tom R.,"Manhattan, New York, NY",0,4,0
3.0,1/31/2019,We had 7:30 reservations for dinner during Restaurant Week. We waited 30 minutes for a table. Staff did periodically update us on status of table. When we were seated 30 minutes late we were told by manager thank you for waiting and don't worry we will take care of you. I'm not sure what this meant but we were not taken care of in any way. Not even our hummus was comped. Three of us ordered soup for a first course and it came to the table cold not lukewarm cold. And we had to ask for spoons. We were beyond disappointed. I will say the soup although cold was tasty but it should have been served hot.,0,0,0,Stephanie S.,"Astoria, NY",11,2,0
4.0,1/25/2019,"I'd go back to Claudette for the food, not the service. To begin, my party of three was wedged into a corner, seated at a small table, which was not very comfortable. We are all friends, so it wasn't a big deal, but if you're looking for privacy or space this probably isn't the place for you. Maybe due to the placement of our table (maybe not), our server didn't check on us often. We were usually trying to flag him down to order more drinks and even place a food order. He was friendly enough, but I would've liked to see him more than three times in 90 minutes. Food-wise, I'd recommend the pork chop (delicious!), the salmon, and the burrata. Portions were generous, too, which I appreciated. Reservations recommended, this place is tiny.",0,0,0,Allison M.,"San Francisco, CA",95,87,7
5.0,1/21/2019,We had dinner at Claudette last night and it was the best food experiences I had this year! We ordered 4 appetizers and every single one of them was perfection. The halloumi skewers and lamb koftas are out of this world. The korbuta pork chop was also fantastic! Well done Claudette on all counts- exceptional food and wonderful service!,0,0,0,Jake B.,"East Rockland Key, FL",0,7,0
3.0,1/15/2019,This place has an intimate ambience.  The tables are crowded and the dress is casual.  It is a classic brunch place with good but not great food.  THe truffle hummus was good which we shared.  I had the beet salad which had horseradish on the beets.  The horseradish was overpowering.,1,0,0,Rachel G.,"New York, NY",130,180,806
5.0,1/12/2019,"What a brunch time. I had a wonderful time with my friend. The food is good, service so nice and the price was good. We had a delicious omelette and the smoked salmon and egg. Also a amazing creamy burratta.. Excellent cappuccino",0,0,0,Jose Alberto B.,"Brooklyn, Brooklyn, NY",0,4,15
5.0,1/11/2019,"French Toast Downtown Manhattan Edit -- For French Toast made from thickly-sliced brioche bread, blanketed with a rainbow of berries, and off-set with the crunch of sprinkled granola and the tang of yogurt, hurry over to the pretty, French-cottage-chic environs of Claudette.",0,0,0,Dessert Correspondents O.,"New York, NY",10,112,0
4.0,1/8/2019,Love the brunch here. Great atmosphere and friendly staff - food is great! Love the decor and the ambiance. They were very accommodating to our group of 7.,0,0,0,Elyse G.,"Queens, Queens, NY",104,29,25
5.0,1/7/2019,"Claudette's interior is the warmest and coziest of my favorite restaurants in the city. It's romantic and homey, as are the servers. I looooove their haloumi sliders, salmon sliders, their *incredible* chicken and the hummus! They do change their menus seasonally but I've never been less than outstandingly happy and full after every meal here.",1,0,0,Piper P.,"Manhattan, NY",1,13,4
4.0,1/1/2019,The $75 new year 3-course menu. Like the lamb entree and the scallops entree but not recommend the mushroom salad. The main courese is great. None of the four of us finish our desser. Either too sour or too sweet.,0,0,0,Tian C.,"Manhattan, New York, NY",45,4,3
5.0,12/29/2018,"Delicious! Stopped in on a rainy day and enjoyed an early dinner: truffle hummus, salmon and cod special. Each perfectly seasoned and cooked.",0,0,0,Ally R.,"Manhattan, NY",0,5,0
5.0,12/28/2018,"It was last minute reservation that I made to meet with friends, and we were not sure if we want to dine at a table or sit at the bar.The hostess was super nice accommodating us.We ended up spending the night at the bar, ordering food and drinks.Brendan was the bartender who was just perfect for out group. Hydrated us just right, and you have to try their cocktails!  We ordered mostly apps, and they were just perfect size finger food!I liked how the manager was checking on every guest if everything was ok (even us at the bar). Highly recommend this place!",2,0,1,Emil S.,"Manhattan, New York, NY",133,12,12
5.0,12/28/2018,Brandan 1k is amazing  bartender so much great skills and very entertaining. Great conversation with a lot of laugh.,0,0,0,Dado Č.,"Manhattan, New York, NY",22,7,1
5.0,12/15/2018,"When France meets Morocco;When the sea meets the land.We had beet salad for appetizer. The beets tastes really well after roasting, mixing with honey mustard and paring with cheese. The salad also has green apples, almonds, Parmesan cheese and lettuce, a nice balance of taste and crunch.The salmon had a nice dill smell when it came to our table. Perfectly cooked (aka: crispy skin and tender inside). It is so creative and so Moroccan that the salmon came with cucumber, dates, walnut and mint. I actually liked it.The lamb Tagine. Can a lamb dish go wrong in a Moroccan restaurant? The meat could be deboned easily and did not have the ""lamb flavor"" which many people don't like. The vegetable and couscous underneath was tasty but a little bit salty for me.More food posts, follow my ins: xuxinyi_nancy.Would try the brunch during summer. I am really excited about their outdoors seats.",0,0,0,心怡,"New York, NY",78,23,113
4.0,12/15/2018,"I could live on their pita and truffle hummus forever. And their sweet potato falafel..yum! I think I may just come back for those two haha. Great place. Intimate ambiance, dressy casual.. it's a pretty chic place. The waitress was as attentive as she could be for the busy night they had. For mains my friend ordered salmon skewers and I have the chicken. If my stomach wasn't full from the appetizers I would inhaled that chicken right then and there. (I later did at home lol.) So flavorful. The salmon skewers were good, a few were a undercooked but the cooked ones were good. We had white wine to accompany our meals. Overall cute place. I have to come during the summer!",0,0,0,Tamira G.,"Brooklyn, NY",24,114,182
4.0,12/7/2018,"Very nice lunch, clean food, clean wines!!Mediterranean decoration & influence!Lamb Tajine is amazing with Terrasses du Larzac Wine!",1,0,0,Virginie R.,"New York, NY",9,8,10
