rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/27/2019,"This place has been a favorite of mine for years. Strong drinks, great guacamole and fundido and a variety of tacos to choose from. This place is always busy, so be sure to make a reservation, there is a front section with the bar and then more seating down the hallway in the back.  The restaurant is always loud, so if you are in a large group, you'll have a hard time chatting with everyone.The taco selection here is vast, and they have a daily taco that switches out.  Same with the margaritas, there at least 6-8 to choose from.  The chips and guacamole are tasty and used to be served with a smokey cashew sauce, which they have now made a salsa, which is more like a dip.  I always enjoy the food here, and the brunch is good too!",0,0,0,Stephanie L.,"New York, NY",15,77,206
5.0,4/19/2019,"This restaurant is AMAZING. The customer service is extraordinary; the staff is kind and helpful, and your food is out very quickly. We had the Halibut Ceviche, chicken tacos, guacamole, and lamb barbacoa tacos. The ceviche was so flavorful. The chicken tacos were simple but like an explosion, a perfect combo. The guacamole was a perfect concoction of different flavors, as well as the lamb tacos. The ambiance is uniquely aesthetic. The lights are slightly dimmed, and there's a plain white brick wall with a beautiful mural on the other side. You can come slightly dressy, such as for a date, etc. or causal. The area is very nice too, so you can walk around after. If I could, I would rate this a 7/10!",0,0,0,Nadya D.,"Lititz, PA",0,3,1
5.0,4/19/2019,"This is one of the best Mexican taquerias I've ever been to. Not only is the food incredibly delicious, the service was unforgettable! Highly recommend you visit this place even if you're not in the area-we took a cab from midtown-and it was totally worth every moment! Also ambiance was uniquely aesthetic with a great vibe.",0,0,0,Chicago B.,"Lititz, PA",2,25,3
3.0,3/23/2019,"This place was once an oasis for melted cheese and tacos and it lived on everyone's special list of special restaurants to try in New York. Last time I visited the food was perfection, in every way, unfortunately i came to discover today that there has been a significant drop in quality of food - NONE of the $300 order we ordered was actually impressive or even delicious. While drinks are still very tasty and waiters are adorable, if this place doesnt fix its kitchen operations, im sure thisnplace wont survive another season. Disappointed.",1,0,0,Noubar P.,"New York, NY",126,5,0
1.0,3/1/2019,Probably one of the biggest rip offs of my life. The tacos are basically all $18 or up for 2 tacos. They are so small and filled with just meat nothing else. Comes with no sides. Not worth it at all. Then we told them it was our girlfriends birthday and they brought out a dessert without asking us for permission and CHARGED US for the dessert that we DID NOT ask for. Complete waste of money do not go here unless you want to spend a lot of money for no reason. Wish I could get a refund.,0,1,0,Alexa M.,"Manhattan, NY",231,2,0
5.0,2/25/2019,"We really enjoy dining at Empellón (Midtown) and decided to check out this location. We absolutely loved our meal here!Regardless of which location you visit, definitely try the All Seven Salsas, especially if you like trying out an array of spicy salsas. We also ordered the Pork Tongue Tacos and Carnitas plate. Both were sooo good! The Carnitas plate was probably the highlight of our meal, as the meats were so tender and juicy. It's a larger plate meant for sharing. Great tortillas to accompany the fillings too! We were sad that this location didn't have the Avocado dessert found at the other location, but we definitely walked out feeling stuffed anyway (bonus: our total bill didn't even cost us much at all for the entire meal!)",1,0,0,Jung Y.,"New York, NY",392,35,178
4.0,2/22/2019,"Came here last night with some coworkers. Hostess was a little rude about us wanting to switch tables (she had a 'very specific floor plan!') but ultimately accommodated after 10 minutes. We started with a round of margaritas and I got the cucumber one - was expecting more spice than just the rim but it was still really good. We ordered a bunch of plates and I tried the following :- scallop ceviche - delicious!! Super fresh and there were two different types of mixes-chorizo queso fundido - OMG this was so delicious! Meat was well seasoned and the cheese was great-plátano sopas - tasty but definitely dry. Wish they had some sort of sauce to put on top-fish tacos - plain but very goodOverall a much better meal than expected. Service was great and attentive, and our waiter was joking with our table the whole night. Pretty solid spot in the neighborhood.",4,0,1,Kristie P.,"New York, NY",201,137,407
5.0,2/14/2019,"Delish with every choice we made from the infused drinks to the tacos and ceviche.  All of the Empellon restaurants were delicious one fancier than the other-  food wise but all with attentive, wonderful service.",0,0,0,I P.,"Fort Lee, NJ",0,26,25
1.0,2/14/2019,"I had a work event at the midtown Empellon and was super impressed. Food, service--all amazing. So I was more than excited to learn one of my girlfriends booked a table for some friends on Valentine's Day. We showed up for our reservation for 5 guests at 8:45 at 8:30, with four of us. After a back an fourth with the host for not confirming the reservation via voicemail, he said he could see what he could do for us depending on 'his book' with incredible attitude. No time frame. Ok. Valentine's is a crazy dining night, I am understanding of that but in an attempt to find an alternative, we found an available table there for 4 at 8:45 on Open Table. I understand the game, they would give us the table at 8:45 and act like it was a favor, which is exactly what happened. Whatever, we were super excited for guac and margaritas. So we were seated and proceeded to have a fabulous meal. Great service, delicious food. Our 5th friend who we originally RSVP'd for, arrived after all our plates were cleared, ready for the check and our waitress grabbed her a seat to sit comfortably at our table. No less than 3 minutes later the host came over fuming saying there was absolutely no way we could have a fifth seat at this table (it was 9:45 and thinning out at this point). Our waitress offered to move us the larger booth but the host stepped in and asserted himself as the 'head maître d' shared he WAS willing the to move us to a different larger table BUT now it wouldn't be an option because he demanded we leave IMMEDIATELY. Went fromcouldn't have 5 at the table to You have to leave ASAP. Things just totally spiraled in the MOST bizarre way.  (Wow that escalated quickly ) He actually had hands on the 5th seat my friend was sitting in ready to remove it. I WILL say our waitress was so gracious and was clearly in an uncomfortable position. I have lived and dined in New York for 11 years and truly have never had that sort of response from someone in a customer service representative. Still baffled. Paid 115 for that meal.  Yikes. Beware of 'the book'",0,0,0,Tina A.,"Manhattan, NY",2,6,1
5.0,2/9/2019,"Despite our being late for a 7:30 reservation by 20 minutes, the host was kind enough to use his ""magic"" to find a nice table for us (they were really busy). The restaurant is a lot larger than you expect as it has a back room which is about the same size as the front. We got the Brussels sprouts, fish, and steak tacos. The Brussels sprouts were by far our favorites (highly recommend that you try it).",0,0,0,David H.,"Huntsville, AL",0,9,0
