rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/15/2019,We were next-door to see a show and decided to eat there before the show started and were told that we have to wait until 530 if we didn't have reservations. Hostess had a major attitude. Food was supposed to be specially prepared without spices but wasn't and no one checked to see if food was ok for me to  eat because I have stomach issues. Never saw anyone after we got food except to get our check. We were charged 105 for food that only one person could eat. Left restaurant hungry as I couldn't eat anything. Very disappointed. Would give zero if I could. Note. There is NO French food on menu.,0,0,0,Katrina S.,"Fairfax, VA",24,25,3
5.0,4/13/2019,Love this restaurant!!  Food is always good and ambience is great. Not too loud but not too quiet. Great for casual night out. Every dish is fantastic and great for sharing. I always love the duck. Hard to order wrong here. Never been disappointed. And it's not terribly hard to get a reservation but I would always get a reservation. Not a walk in kinda place.,0,0,0,Patrick S.,"New York, NY",1,15,0
3.0,3/20/2019,Been coming here since it opened. The dishes are hit and miss. The crispy red snapper is fun. Green beans side dish was excellent. But their was a human hair in the chicken entree. I never know if that is a serious health risk. I suspect not but it is off putting. And the chicken was not great. Service is ...gorgeous and has been fit at least 35 ye,0,0,0,Daniel G.,"Weston, CT",8,185,26
4.0,2/24/2019,Absolutely delicious and I highly recommend it.  I really don't understand why it's rated at 3 1/2 stars.  I'm my opinion the food alone is definitely over 4 stars. Absolutely no complaints and loved every single bite of my food.  Service was great as it was not over whelming by trying to be too good .  Perfect venue for a fun date or a midsize get together.,0,0,0,Michael L.,"Manhasset, NY",31,83,375
5.0,2/20/2019,"Indochine is such a trendy and cool spot. It has palm leaves lining the wall and is dimly lit with red lights, very exotic 80's theme. If you go between 5:30-7 or so they have a pre-theater menu which is definitely the best value for your buck, even though it doesn't have the more traditional Vietnamese dishes like pho. However, still very delicious and flavorful. For appetizers, we ordered the spicy squid and spring rolls. Presentation is definitely A+ here. For our entree, we ordered the spicy chicken and sizzling beef which comes in a hot flat plate. Definitely get the sticky rice, it's the type of rice that you find wrapped in banana leaves for the autumn festival. So much flavor and made the meal so savory. The desserts weren't anything I would say is super special and unique but it still was delicious. We had the chocolate mousse cake and the lemon tart, both very rich and sweet. I would 100% come back to eat again as the restaurant was comfortable and spacious and the food is jam-packed with all the flavors I like.",0,0,1,Sarah C.,"New York, NY",396,144,193
5.0,2/17/2019,"Did not disappoint. Came here for dinner on a busy weekend night and we were seated right away. Our server was very attentive and made sure we were taken care of. Dimmed lights and a nice cozy yet trendy atmosphere in NoHo, on La Fayette- it can get a bit loud inside.Dishes were served. We ordered fried sticky rice, their famous spring rolls, and the marinated beef, well done. Everything was delicious and tasted fresh. Our mixed drinks were also the perfect combo, although I can't remember what we ordered lol. Although portions are in the smaller side, there was No room for desert, although we look forward to coming back here for some! Definitely recommend.",0,0,0,J R.,"Los Angeles, CA",72,56,37
4.0,2/14/2019,Came here for a birthday party with a massive group of people. We were super loud and rowdy and for that they handled us so well in terms of the service. All the staff was super kind and well receiving considering we were what anyone else would call a nightmare. They seated us in the back which was smart for the other customers of the restaurant. We also were not rushed out past our reservation time only asked to leave when the next party for our table arrived. Which was very nice and accommodating. Our food was also good. It was nothing expectional and I don't think i would come here for a great meal but it was a great place to celebrate a birthday.,0,0,0,Eda O.,"Los Angeles, CA",268,40,13
1.0,2/11/2019,Terrible service; unimpressive food. This place thinks it is too good for its customers. They kept us waiting for our reserved table for an hour. There are better places that cost less and have a better atmosphere. Don't bother. Go somewhere else.,0,0,0,Lynn M.,"Encinitas, CA",24,24,0
3.0,2/5/2019,"Not at all French Vietnamese. Just plain Vietnamese. I mean, sure, France occupied Vietnam and a lot of their food is inspired from France, but this restaurant should be tagged as just plain Vietnamese food. Maybe American-Vietnamese food, because the food here was nothing close to authentic Vietnamese. The fresh rolls - the skin was way too thick. I've been to budget-hole-in-the-wall Vietnamese restaurants with better fresh rolls. The sauce as good though. The fried fish - it was ok. The fish was fried well (good enough to eat part of the tail) but the sauce lacked salt. It was very sweet. We ordered a couple of other things but I can't remember because this is a late post! The place is a see and be seen type of place, it seems. So if you want to socialize, etc, this place works. But if you want authentic Vietnamese food, look elsewhere. The servers are all gorgeous, and everyone dresses well. I used to like this sort of thing when I was single and younger. But I guess now that I'm married with a kid, and I hardly get out to eat, maybe this place wasn't the one for me.",0,0,0,Danni I.,"New York, NY",50,79,189
5.0,2/4/2019,"Dining here is like going back in a time machine. Or, tripping out on mushrooms. Ever see that movie, The Birdcage? The vibe coming in here reminds me of that movie, minus the drag queens performing & Miami. Although this themed restaurant seems misplaced from jump, once you have a couple of drinks & scope out the scene, you realize its exactly where it's supposed to be. And, you're nothing, but a squirrel in their world. The food is good, solid Asian fashion fusion, & nothing spectacular. Expensive for what it is, but good. Reference attached pics of what me and my basic batches dined on. The service is a combo of forced pleasantry, indifference & too cool for school, minus the dickish tude, from non career type servers who all "" look"" like something straight out of central casting. The drinks, at the bar anyway, were strong AF. The bar is way too small & in an awkward space, btw. If they expanded it, I'd probs hang here more often. I pretty much was drunk on gin martinis. Someone told me once a lady never orders the third martini. Obviously, I'm no lady. Coming here is really about the vibe and the scene. I highly recommend trying to scoop up one of the half moon booths, as opposed to a table. It's a great spot for people watching & to impress your basic batch(es). Ok, that's all I got.",10,8,9,Your Moms B.,"New York, NY",98,412,3437
