rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/29/2019,2 fo2 with big groups.The food and service are AAA,0,0,0,Wake Me For Meal S.,"Manhattan, NY",39,39,3
4.0,4/26/2019,I LOVE el vez. It is sooo good. The guacamole and margs are incredible. The braised short rib enchiladas are awesome but my go to oddly enough is the chicken burrito. The habenaro salsa is also excellent. The only thing is that servers tend to not be very attentive which does ruin the experience a bit. But the food is awesome.,0,0,1,James F.,"Cherry Hill, NJ",10,52,168
4.0,4/26/2019,"Love the cauliflower tacos! So good. Although sometimes they taste a little more... fried. But they're delicious, and the margaritas and sangria is good too! Service is always good, but we tend to go late afternoon before it gets busy.",0,0,0,Lizzie S.,"Manhattan, New York, NY",0,4,0
4.0,4/13/2019,"Still work and live in the area, still love El Vez, and the items I originally mentioned are still delicious! I would also add tacos al carbon to the list. They took me longer to find - they are essentially fajitas... so good. They come as ""for 2"" and it's definitely more than enough for 2. We only got that (half shrimp, half steak) and a side of corn & were hungry when we arrived and full when we left!",0,0,0,Caitlin B.,"New York, NY",3,280,35
4.0,3/31/2019,Great place near Battery Park and the WTC. We enjoyed the ambiance and the great food! The vibe was energetic and fun.,0,0,0,Chuck S.,"Staten Island, NY",34,49,143
3.0,3/24/2019,Came here one day after visiting the 911 memorial .My favorite location is in Philly so when I found out there was one here- we decided to check it outHad the frozen blood orange margarita. It was standard Also had the enchiladas which were ok as well Inside and ambiance isn't like the Philly location but good to know there is a spot here,9,6,7,Maria V.,"Jersey City, NJ",1789,715,5270
3.0,3/21/2019,"3 tacos, guacamole, and horchata came out to about $40. The price of the food is definitely not ideal however it was pretty good. The horchata was thicccc and the tacos were delicious. The guacamole was average at best but it wasn't too bad. I wouldn't recommend coming her for tacos though. The price for 3 tacos is outta control.",0,0,0,Ron J.,"Staten Island, NY",4,132,56
5.0,3/13/2019,My husband and I enjoy dining here monthly as the food and ambiance are excellent. Everything on the menu is tasty and the service is great as the staff is always friendly. We usually order the Tacos AL Carbon for 2 and ask for steak and shrimp. It comes with all the fixings to make your own soft tacos. There is a big bar scene for those that want to stop in after work for drinks and apps also a perfect spot for a date night as there is a movie theater right next door. You have the option to dine inside (in one of there 3 rooms) or outside. Highly recommend to anyone who enjoys Mexican food favorites like us!,0,0,0,Jen J.,"Manhattan, New York, NY",0,2,0
4.0,3/9/2019,Great place ! Great decor ! Great drinks . Best chicken I've had out in a while . Great guacamole and chips and the churros were the perfect ending . Def going back . Pollo asado and pescado delicious,0,0,0,Nella B.,"Brooklyn, Brooklyn, NY",32,64,114
5.0,3/9/2019,"The chicken quesidea and fish tacos were really yummy, service was pretty quick. No reservations so had to sit at the bar area",0,0,0,Luisa R.,"Bensonhurst, Brooklyn, NY",0,12,4
4.0,2/26/2019,"My coworkers treated me to lunch for my Birthday. I ordered the fish tacos, very tasty. We shared the nachos, also very tasty. For dessert we enjoyed the tres leches which was so delish!! I am definitely coming back!",1,0,0,Jennifer L.,"Brooklyn, NY",40,27,73
5.0,2/18/2019,"I am from Philly where the original El Vez is so I love that another one opened in NYC. Been to this location a few times and the food is always incredible! We love the nachos, guac, margaritas, enchiladas, and tacos. Highly recommend for vegetarians!",0,0,0,Becky S.,"Manhattan, New York, NY",133,3,3
3.0,2/7/2019,"I must say our service was amazing.  She suggested amazing drinks and gave us recommendations on our taste and was quick and friendly.  The food was under whelming.  It was pretty expensive for sub par Mexican food.  The quesadilla was nothing to write home about and the steak tacos and pulled pork were just average.  Maybe if this was an $8 hole in the wall I would have given it a better rating, but unfortunately for a bill of $135 I left craving Chipotle",0,0,2,Amanda K.,"Kenilworth, NJ",158,275,48
1.0,2/2/2019,"One star for the gorgeous look of the restaurant. Very spacious. Unfortunately, the food and service was way below average. I got the mahi mahi tacos and it literally was 2 fish sticks rolled in flour tortillas for $17. Very bland. The margarita was typical for $14. No one at our table was satisfied with our food. Afterwards, I got a a call from my friend asking if I had got overcharged too. And turns out, the waitress had added an extra tip for herself. So yeah, don't think we will be coming back here again.",0,0,0,Vivian S.,"Manhattan, NY",1,10,2
5.0,1/31/2019,"Say hi to Raphael the manager who is a really nice guy. Margaritas are potent and quite tasty. The classic guac is well prepared, flecked with cotija, and has the chunky, smoothness that I like. Crab and shrimp cocktail was very fresh. Try the tuna tostadas which were very good.  All the enchiladas were spiced perfectly. The star of the evening: Cauliflower tacos. If you live/work in Battery Park City, lower Manhattan or TriBeCa you should become a regular here.",2,0,2,L E.,"New York, NY",272,123,0
5.0,1/29/2019,"My friend suggested this place and I was hesitant for Mexican at first. Upon arriving we were immediately sat (made a reservation). Vivianna was such a pleasure and the management was great as well! There was always someone checking on our table making sure our drinks were filled and our food needs were met. The quesadillas were super authentic as well as the tacos! The guac was delicious and the drinks were great as well! I will definitely be back here for a taco tuesday. My only suggestion would maybe be they add an option on the menu for a ""trio"" where you can order salsa, queso, and guac because I wanted to order all three but felt that was a bit excessive.",1,0,1,Alexis M.,"New York, NY",261,177,375
4.0,1/18/2019,"My favorite place to get some quest fundido (with chorizo of course)! I've come before during restaurant week, where they offer up a great menu at a pre-fixed priced. White sangria is a must try!",0,0,1,Kacie D.,"Jackson Heights, Queens, NY",32,41,89
4.0,1/17/2019,"This is better than chipotle, and much better than dos toros. Have more options and better flavor. Must try Korean bbq.",0,0,1,Shiyu L.,"Manhattan, New York, NY",0,25,41
