rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/20/2019,"Food was very ""eh."" They attempt to amp up their dishes, on the menu everything sounds delicious but the food doesn't live up to the expectation by any means. And relatively bland.Menu said angel hair pasta with pistachio pesto and some other interesting additives (I don't recall), the pasta was thicker than angel hair closer to spaghetti size and tasted just like plain spaghetti and pesto.Strip steak, medium, was over cooked and not tastyFritto Misto was literally just a few shrimp scallops etc fried and served on plate (but I guess that's what it's supposed to be) Several of the dishes had grilled fennel as a garnish or served along side the main dish including two main courses. Couldn't think of anything else? The three cheese black truffle pizza was good (but anything with truffle on it is delicious...if you like truffle)Everything else was just mediocre at best.The service was below par. Waiter was not patient and it seemed they were rushing us out from the moment we sat down.The waiter would not put our appetizer order in until we ordered main course and mumbled something about us having to wait for main course if not submitted at the same time. After he said this and I was already feeling rushed, I specifically asked him to make sure there is a break between appetizers and main course, he seemed confused and again mumbled something not relevant to my request, I repeated my request, that there be at least a 15 minute break between courses.Whilst some guests were still eating appetizers the wait staff was already clearing the table, took everyone else's appetizer plates away and the dishes that they were served on while someone was still eating. This was probably only about 15 mins after we were served the apps. After everyone was done eating, about 5 or so mins later I along with a friend went to use the restroom, when I came back the main course was already sitting on the table. The others said it had arrived 5 or so minutes ago and everyone was waiting for us to return to eat. So the main course came to table about 10 mins after appetizers and was served while 2 of 5 were missing from the table. The ambiance and vibe was fine. Nothing incredibly special, but was nice.",0,0,0,Daniela V.,"Queens, Queens, NY",0,1,0
5.0,4/11/2019,service sucked as they werent busy. but the tuna tartar was great. loved the lil crispy things that came with it. and their kale salad was soo delicious and flavorful. never been here before but i will deffinitely come back. place is very ny,0,0,0,Maryse JR G.,"Orange, CA",32,706,372
5.0,4/4/2019,Great restaurant wonderful service and excellent food . We had dinner with family and loved everything we ordered . The restaurant is also beautiful. Will for sure come back. We also ate breakfast and the French toast is out of this world.,0,0,0,Yvonne H.,"Upper Kirby, Houston, TX",0,12,0
3.0,3/31/2019,"Food and drinks were very good. Overall ambiance was very modern and impressive. Unfortunately the service was terrible (very slow and our server was rarely seen). Took 20-30 minutes before even acknowledge by server and got our wine order. Much longer til we even got apps then food. The restaurant was extremely loud on a weekend night, making conversations challenging. Not worth the price. Likely better on a weekday night. Unlikely to try again.",0,0,0,Timothy K.,"Ithaca, NY",192,3,0
5.0,3/25/2019,"We really enjoyed ourselves here. Right when you walk in, the entrance is very beautifully decorated with lots of greenery, plus they've got these really cool escalators draped in LED lights. Before we got to the restaurant we took a stroll through some kind of juice bar, a mini Cafe and some sort of shared workspace.Now onto the food. Overall it definitely hit the nail on the head. Only complaint is that the pizza portion was too small! Kale salad - chopped finely, crunchy, great addition of mint, and we needed to order two of them for our group of 4Tuna tartare - very fresh, nice rice crackers, but lacked some acid flavorPizza - we got the marinara (fabulous, covered in basil) and the truffle. Both were great, and the truffle really packed in a lot of cheesy flavor.For the mains we got roasted cauliflower (very good, mustard vinaigrette), roasted carrots (very spicy), a pasta with pesto sauce and a veggie burger. I liked the veggie burger. Bun was perfectly toasted and it stayed together, unlike some other veggie burgers I've had. However, it was very ""beet""y. Yeah, lots of beet.All in all, highly recommend to try it out. We came on a Sunday night and it was pretty empty but I've read some reviews say that it gets packed on Saturday nights.",0,0,0,Hal D.,"New York, NY",219,147,305
5.0,3/16/2019,"Since this restaurant opened up for business, the food critics gave this establishment such harsh reviews with insults after insults. However, I believe they had some personal issues with Chef Jean-Georges, respectfully.  I made my reservations for an early dinner at 5:30pm and I guess my reservation time was a bit too early for staff to prep. They were having a meeting and a new wine tasting. So the Hostess offer me and my date some cocktails on the house, for the unexpected wait, and I opted for one, so my date can sample. And it was the Raspberry-lychee Bellini. The drink was superb with the combination of the raspberry highlighted our tasting palette. As we enter the restaurant, I was totally in awe with the decor, atmosphere, the staff warmth and last but not least, the cleanliness as if Public Kitchen just open for the first time. The chef gave my date and I, a couple of complimentary plates. The first plate was a high quality tuna tartare with ginger and chives. The next plate was a lightly battered seafood dish, consist of scallops, shrimps and calamari. It was delicious right along with my entree of rigatoni's with meatballs in a deep rich red chili paste gravy. We also tried the mozzarella with tomato and chili flake pizza and that tasted like an authentic New York Italian style pizza. I became a instant fan. My date wanted the signature PK burger and she loved it. She could tell there meat providers are from the meat purveyors company. The hotel complimented every public area around the restaurant. The wait staff (Carlos) was very attentive and I felt we were given first class service or VIP status. I shall return and may stay a weekend here at this hotel just to stay close by and try their whole menu. Thank you PK for your hospitality and great quality food.",0,0,0,Mental O.,"Brooklyn, NY",0,21,1
3.0,3/7/2019,"We came here with a group of 5 for dinner on a Saturday night and I'd give it 3.5 stars.  The reason for rounding down from 4 is more service driven than food driven. It took forever for us to be seated, and then acknowledged, took a long time for our drinks to come and then food didn't all come at once.We ordered the black truffle pizza with cheese and farm egg.  This was probably the best thing we ordered and if any of the ingredients sound good to you I highly recommend this.We ordered a salad as well, I believe it was the Caesar salad, and I thought this was quite tasty.Our last appetizer was the spicy tuna tartare, which was also quite good, though a pretty small portionMy main of scallops was just OK, I could've used a bit more searing on mine.I'm not sure if I'd come back, they do seem to generally have reservations available so I probably would if I'm in a pinch.",1,1,1,Elyka A.,"Manhattan, New York, NY",198,204,634
5.0,3/5/2019,"Wowwww!!! I am very impressed with this place. I mean I had high expectations regardless but the actual dining experience is amazing. My boyfriend had his birthday dinner here and we changed the reservation a few times--to which the staff was incredibly understanding and prompt. The drinks were fabulous and STRONG (a little pricey--but you're paying for quality) mostly everyone at the table ordered margaritas. Everyone really enjoyed their meals. I had the monkfish which was very tender and flavorful (they warn you it's salty but it's really not), the tuna tartare appetizer is a must have as well. The restaurant was pretty busy but all the staff was more than willing to help and step in with requests from our table whenever our waiter wasn't around. Definitely recommend if you haven't been!",0,0,0,Melissa C.,"Brooklyn, Brooklyn, NY",2,11,15
4.0,2/16/2019,"Really nice atmosphere. Very beautiful interior and great for a romantic dinner. The staff was really attending and our waiter was extremely friendly. I love a good customer service. The food is serviced fairly quickly. For appetizer, my date and I order fried calamari. Very airy and crispy. I loved the gentle and flavorful taste. The chef sent us potstickers to try, and not quite sure how to explain it, but it was pretty good. The cocktails are good, but when we order the same drinks the second time, they were presented slightly differently. For example, the second time, my date's drink came with apples, however it did not the first time (I guess they forgot, which I found it annoying). Next, the main course. I got the black truffle pizza. It seemed like that's one of the popular dish, but I found it disappointing. It's a little dry and salty. I'm not even sure they gave us the eggs, because I did not see any yolk. The rigatoni meatball pasta was very delicious. I loved the hidden crunchy-ness to the pasta, and the meatballs tasted very fresh delicate. Lastly, for dessert, we order the chocolate cake. A great way to wrap up our dinner. Overall, the presentation of the food was beautiful prepared. Although the truffle pizza didn't meet my expectation, I had still had a great overall experience here. Good food and great staff. Wish I took pictures!",0,0,0,Jae Won C.,"Manhattan, NY",3,64,12
2.0,2/9/2019,"Went yesterday as part of restaurant week and was quite underwhelmed with the food. -Appetizer: fluke sashimi, crushed olive, lemon chili- good. Similar to a ceviche but less acidic.-Entree: organic fried chicken, spinach, buttery hot sauce- I was expecting a more traditional buttermilk-style coating but instead got more of a tempura/pankoy crust which I did not care for and peeled off. I really wish a description of the batter would have been included. Unfortunately, the dish really just reminded me of fancier version of sweet and sour chicken from basic chinese food places. The only good thing I can say about the dish was that the chicken was juicy and quite large but overall did not have much flavor. Would pass on this.-Dessert: passion fruit pavlova with whipped cream- this was essentially crusted meringue filled with passion fruit sorbet, the latter being the ""best"" part of the dish. The pavlova was rather bland in contrast to the tangy passion fruit. Would not recommend.Overall the service was very good but the food was just okay. Could have done without going. Would not recommend.",1,0,0,Ana D.,"Manhattan, NY",2,106,166
1.0,2/7/2019,"Staying in the Hotel arrived to restaurant at 10pm seating was half fullAfter looking over a barrage of menus (4) had to wait awhile to place order. Food ordered, 1st course Kale salad, and just Kale lots of it. Waited 45 minutes for the second course Medium Well salmon that arrived Med Rare. Service was very poor. Decided not to wait to have fish cooked properly, asked for manage that never arrived. Asked for check and they had the nerve to charge me for the Kale salad, unbelievable. I stay at this hotel often but this was my first visit to this restaurant, will I return?  Probably not, with all the competition in the area. I usually give a place a second chance it they have a food or service issue first visit. But not when I experienced both on one visit.",0,0,0,Robert E.,"West Palm Beach, FL",1,54,5
3.0,2/5/2019,"I'd like to try this place again.positives:-The space is stunningly beautiful and can host large parties.-The dumplings are FANTASTIC. I mean, absolutely drool worthy, delicious doesn't describe it good.Neutral:- The truffle pizza was just OK. First few bites were good but it lacked seasoning or something. I was over it after one slice. Negatives:-Prices do not match online prices, it's higher in the restaurant. (Off by a dollar or two)-Service is SLOW. And I mean, I sat alone and waited 20 min to get a server. You know the service is slow/bad when every table around you is talking about how poor the service is.There was only 5/6 tables when I went with about 20 tables open. ‍After all that is said and done; I give it a solid 3.I'd be willing to go back because of those dumplings. But just be aware before you go, you may be waiting awhile for service.3/5",0,0,1,Sarah P.,"New York, NY",404,286,419
4.0,2/2/2019,"This place has such a pretty entrance. As soon as you walk in, they seat you. The hostess greeted us with a smile and then took us to our table. As soon as we sat down, the server was really attentive. The service is great there! They took care of us all night! I can imagine how much prettier it is in the summer as they told us that the doors in the back open up. The salmon was good but the octopus was salty. My mother loved the sashimi. The fried chicken sauce was delicious. Mojito was delicious as well ! I can't wait to come back in the summer!",0,0,0,Jessica O.,"Corona, NY",6,34,70
3.0,1/31/2019,"Tried Public Kitchen on a weekday for restaurant week. Was able to get a reservation fairly quickly on OpenTable for the time slot that I wanted. Debated on their regular menu vs restaurant week, but opted to go for restaurant week instead. Started with the tomato soup which was prefect for a cold rainy day. Next for the entree I was between the chicken and salmon, the waiter recommended the chicken so opted to go with that, but it was poorly done and the sauce was just basically hot sauce thrown on to the plate. Should've gone with the salmon which I regret now. My friend had the hake which she thought was good. For dessert both of us ended up with the chocolate cake which was delicious. Overall, good experience staff is friendly, maybe too friendly? Great ambiance and great bar area if you're ever coming just for drinks.",0,0,1,Krupa G.,"New York, NY",5,86,47
5.0,1/8/2019,"We enjoyed a wonderful birthday lunch. The service, drinks and food all were exemplary. It's a very modern and stark space.",0,0,0,Chuck S.,"Staten Island, NY",34,49,143
2.0,12/27/2018,"For the price, very underwhelming... If you're staying at the Public Hotel, it's well worth the walk to any other highly rated restaurant a few blocks away because the food here tastes mediocre at best and for the price is quite the ripoff...",0,0,0,John T.,"Shelburne, VT",0,1,0
2.0,12/15/2018,"Came here with a large group, about 10 of us, for a friends birthday. We made a reservation a few weeks in advance, which I recommend. The first thing I will note is that the ambiance of the hotel and the restaurant itself is very nice. We liked exploring the hotel and the garden of the restaurant before sitting down to eat. If you eat here, definitely check out the rooftop of the hotel and the restaurant garden. With that being said, the hotel is a little bit annoying with entry to its different parts. We had to exit the hotel and re-enter from a separate entrance to access the rooftop, and the bouncer was not particularly friendly and almost gave us a hard time, despite the fact that we had just eaten at the Public Kitchen. Regarding the restaurant experience itself, the food was actually pretty good. I tried a bit of the Black Truffle Pizza and I ordered the Grilled salmon as my main dish. Both dishes were delicious. However, the service here was absolutely awful. Our food took easily over an hour to come and we found ourselves waiting around at multiple points with our server nowhere to be found. One of our guests arrived late and wanted to place an order but never had a chance because our server never came back. We even debated skipping dessert because we had been sitting around for 2 hours eating and service was so slow. Overall, ambiance and food was good but the service and staff of the restaurant and other parts of the hotel (rooftop bouncers) are extremely poor and do not know how to treat guests.",0,0,0,Maya E.,"Manhattan, NY",306,140,96
2.0,12/6/2018,"While their hotel is very nice...the restaurant gave us such an unpleasant night...like...how this place is managed is ridiculous.1. Waited almost 30 min + for our main dish..the manager/host and the server came to our table like 5 times saying it's coming soon with no explanation..but sometimes that happens in restaurants... at least they were aware so whatever..2. The lady who wasn't our main server but helped our table, seemed to not understand English...I asked her to check the name of the wine that I was having..her facial expression seemed confused....and she disappeared for 15min and someone else brought an extra glass of wine...uhhh...strange...?? 3. Even a order of a glass of wine took forever to come....the place was not even 70% seated and they have so many floor staffs...so business cannot be an excuse...4. So the reason I asked to check my wine was..because it tasted the same as my first glass even tho I ordered a different one... Not surprisingly, on our bill, I was charged for two glasses of the same wine. I didn't bother to change it coz I was so tired by the end and just wanted to go home fast.",1,0,0,Moro B.,"Manhattan, NY",1,11,9
