rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"I heard a lot of good things about this place and they were all true. Cool ambience, nice staff & service. Food was delicious and presentation was exquisite. Good for vegetarians as well. Will definitely visit again when in the vicinity .",0,0,0,Sanchit K.,"Piscataway Township, NJ",1,23,10
5.0,4/30/2019,"Great 4 course fine Indian cuisine lunch for $27 in a beautiful spacious and relaxed setting!  No reservations needed for lunch with plenty of room to host a large party. Service is attentive but cooking times are longer, so make this a lunch to linger and have conversation over.  The tandoori cooked Lamb and Chicken were the best, and the coconut dessert was perfect.",1,0,1,Anne R.,"New York, NY",845,460,5492
1.0,4/29/2019,This was the worst dining experience I've had in over a decade of living in New York. First of all the waiter took 20 mins to take my drink order and bring me a menu. Waiting for my food took longer. I was dining alone and asked several times if someone was joining me. My meal was mediocre at best.  I debated saying something but it wasn't worth it as I just decided not to go again. After falling asleep I have now been up half the night with food poisoning. All in all an awful experience.,0,0,0,Emily S.,"Brooklyn, NY",0,1,0
5.0,4/22/2019,"Tamarind is known to be one of the best Indian restaurants in nyc. I enjoyed everything we had ordered. I want to begin by saying the service is tamarind is remarkable. Our waitress was ready at our request. Any time we finished a drink she asked if we would like another. I did not like my mango cosmo- and when I told my waitress she quickly changed it to something else with a smile. We started with the malai chicken and the prawn special. We then got he chili crab, chicken tikka, and the lamb chops with the mushroom and truffle naan and garlic naan. Truly enjoyed everything about this restaurant. Highly recommended!!",0,0,0,Anjali B.,"Little Neck, NY",164,27,18
1.0,4/8/2019,I had high hopes given the review history. I had a group over 10 people  on a slow Tuesday night. When I got there they immediately pushed the prix fixe at 125 per head when they had multiple below and one above. I did not book this to be treated as another plate dinner. We went a a la carte which confused them. We had a few delicious apps but spotty orders on drinks. No idea what neat or single cube on what at 20 dollar drinks meant. Sorry I paid over 1500 eventually for 10 and felt like I could have gotten takeout went to a top notch cocktail bar and came out way ahead on food and drink without the cost. It was half empty and not worth it. I would pay gladly for glorious food and service but that was not it. Whatever glory they had is long goneStay away or you are just a sucker.,0,0,0,Tommy F.,"Forest Hills, NY",3,10,1
3.0,4/6/2019,"Our dinner here was very average as far as the food went. The restaurant was much larger than I expected and our server was super friendly. My cousin, my fiancée, and myself decided to order 5 entrees for sharing. We also had prawns and scallops to start. The scallops were by far the best thing we tried. Wonderfully cooked and a bit spicy. The shrimp were extremely overcooked and tough to enjoy.My lamb ghosht was mostly eggplant with two large pieces of stiff lamb. I can't really say I enjoyed this dish as it was hard to cut into. The sauce was decent. My fiancées halibut curry was pretty good but it could have used more sauce and been less cooked. My cousin's lobster masala looked intense and she also said it was super overcooked.Overall, we had a good time but there's definitely better Indian in NYC for a smaller price point.",0,0,0,Amrisa B.,"Hollis, NY",350,161,197
5.0,4/2/2019,"Best. Indian restaurant. Period. * Everything is good. Seriously can't go wrong. Just know that if it says it's spicy - it is SPICY!  * Ambiance - clean cut style, comfortable, good lighting, Great ventilation and if you've been to Indian restaurants you'll appreciate that.",0,0,0,V S.,"Woodland Hills, Woodland Hills, CA",0,46,37
1.0,3/30/2019,"Used to be a great place when it was in The flatiron district. I used to take there, one of my kids all the time. Unfortunately the management decided to make it ""kids not welcomed"" in the restaurant. Terrible policy. What's next? No woman? Just remember you are in the restaurant industry, don't always believe your place is special, but care about your customers first.Just for this matter I invite you to pass  your way and choose another place.",0,0,0,guillaume j.,"New York, NY",6,2,0
5.0,3/30/2019,"A wonderful experience all around. Came here for my birthday it's a beautiful restaurant. The owner was very kind, and the waitress was attentive, funny, and warm. Everything we ordered was great! Some things that stood out include the crab appetizer. I never eat crab because I find that it can be fishy, but this was smooth and had a Smokey flavor almost. The scallops were also wonderful, and huge! For my main I got one of the shrimp dishes, which was served in a coconut with coconut sauce and mustard seeds. It was incredible, my brother agreed it was the best dish. Highly recommend this place if you want a nice dinner with different food.",1,0,0,Sarita L.,"New York, NY",7,118,110
2.0,3/29/2019,"One extra star for the ambiance. Besides that this restaurant really doesn't have anything going for it. The food is mediocre. Service was okay. Be careful with getting the pre-fix menu because they will service you one dish for all the people there. We ended up paying $1300 for 8 people which is so bazaar. So not worth it. They nickle and dime you for every little thing.If you're looking for a good experience in this price range, there are so many better alternatives such as Junoon and Rahi. However, if you JUST want an Indian restaurant with great ambiance and don't care about anything else, come here.",0,0,0,D J.,"Edison, NJ",0,51,2
