rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,3/9/2019,This place sucks and the serving sizes were extremely small.  No wonder they're closed.,0,0,0,Elijah T.,"Brooklyn, NY",4,28,0
4.0,3/2/2019,Always had a great time at Stanton social. I believe this location is going through some renovation . The best item is the French onion dumplings,1,0,0,Foodie ..,"Falls Church, VA",37,121,48
5.0,1/27/2019,I absolutely love this restaurant! Let's start off with the ambience on Friday or Saturday nights... There's a mixture of old-school hip-hop songs that set the perfect mood for a great night with friends. The food is absolutely amazing there is it one thing on the menu that I haven't tried. It's a great place to go with a group of friends were going to try different types of food... Basically it's all shareable. It's the first place I go to for dinner every time I'm in the city.,0,0,1,Stella G.,"Los Angeles, CA",185,12,13
1.0,12/29/2018,If your going to throw down $150 for a dinner for two it better be bomb. THE FOOD SHOULD BE UP TO PAR. Pierogis were probably the best thing we ordered. Vegan pickled mushroom tacos were nothing to rave about along with the caprese ravioli which were mushy and gross. The vegan burger was okay but for $9 I would never get it again. Deserts are very similar to beauty and Essex and with the price you are better off going there and having better food. French onion soup dumplings are SO OVERRATED WASTE OF MONEY. Not to mention it was my birthday they did nothing despite me putting it on the reservation. The manager was too busy catering to an ex employee dinning there and continued to bring free food to her table instead of asking us how the meals going. Spend your money at Scarpetta.,1,0,0,Marlena K.,"Brooklyn, NY",209,586,1507
5.0,12/27/2018,"I just can't believe this place is closing :(.. What a pleasure it was to diner at the Social. Last time I was here was for Mother's Day and it absolutely did not disappoint.  The lobster benedict, perogies and the French onion soup balls are my fav! But try everything... Can't wait til you find a new location...",0,0,0,Intrigue L.,"Brooklyn, NY",389,11,17
4.0,12/24/2018,"I was going to a local lounge nearby for a friends birthday and we decided to come here for dinner. They took us upstairs which was more of a lounge and it was really cool. We didn't know they menu is tapas but it worked out great. We ordered the pulled chicken arepas, octopus salad, scallops, chorizo Mac & cheese and French onion soup dumplings. Everything was delicious and the services are bigger than we thought. I can't picked a favorite since I really enjoyed each dish in its own way. I will definitely be coming back.",4,3,6,Isabel J.,"Sunnyside, NY",867,1528,1388
5.0,12/23/2018,"Great ambiance and good food.  You have to try the French onion bites.  If you enjoy French onion soup, this dish is a must.  I wasn't blown away by the Bloody Mary.  It was just okay.  We tried a few different dishes, but the French onion bites stood out the most.  The only negative thing about our meal was our server.  He was not friendly and was impatient.  As this was our first time here, we took our time ordering and had questions about the menu.  Mr. Rude didn't seem to want to be bothered.  The people who brought our food to the table were extremely helpful and pleasant.  I'd go again and ask for another server.",1,0,0,Jadene P.,"Cincinnati, OH",83,78,60
5.0,12/19/2018,"First of all, our dinner reservation was for 6:45 PM, I received a phone call from the manager requesting to move my reservation to 7:00 due to a private event. In return for changing the reservation, the manager provided our party with complimentary Prosecco. Our meal was on par with one of the best meals I've ever eaten in my life! The wait staff and bar staff are top notch! At the end of the meal, we received a complimentary dessert for changing our reservation time. These gestures are greatly appreciated and have added to an already wonderful experience in New York. We were sad to find out that The Stanton Social will be closing at the end of the year. You MUST enjoy this restaurant before it closes. And after it closes, visit Beauty and Essex, Chris Santos's other restaurant in the Lower East Side!",0,0,0,Adam G.,"Weaver, AL",0,1,8
4.0,12/15/2018,"I went here for a date on a Saturday night , we missed are reservation at Tao and they send us to their sister restaurant. The atmosphere is lively feels like your in Brooklyn , there is music playing all old school Rap mix . The food was pretty good what I remember , I just didn't really care for the specialty drinks I had to send back and re-order a  lemon drop . This is a cool place to go with my girlfriends and just enjoy the atmosphere really not that good for Intimate date because it will be to difficult to talk over the music regardless of the fact I really liked this location and restaurant!",0,0,0,Tiff S.,"Manhattan, New York, NY",0,55,105
2.0,12/10/2018,"Can't say I'd come back here. Took my boyfriend here for his birthday. Was super excited because they had vegan and vegetarian options. Food: Needless to say we both brought our appetites as we were excited for the menu. They serve the food family style so everything is shared. Each item costs at minimum $10 and is SUPER tiny. Now I don't mind if the bite is amazing but is was SUBPAR. Our bill ended up being a little over $200 for two of us. And we were STILL hungry afterwards. Sorry but for over $200 I need to be full. My slightly annoying experience: We arrived there and they sat us in this extremely tight area and when I asked to be moved to the table next to ours they told us we couldn't move there because it was a table for four people. Five minutes later the waitress sits a couple (2 people) at that ""4 person"" table. I pointed that out and the manager came and moved us with no issue",0,0,0,Danielle F.,"Queens, Queens, NY",1,12,4
