rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/20/2019,"Came with a Friend, we were only 2. In this place you have to reserve. It is super expensive and noisy. We could not talk at all. I had a kind of Leberwurst and bread plate, which was a starter. To expensive for a starter and knowing Leberwurst is a cheep type of meat product is Germany, I was very disappointed. My Friend was happy. Will not come back.",0,0,0,H 8.,"Berlin, Germany",0,13,29
5.0,4/14/2019,"Great brunch place!!! Reasonable prices for hearty breakfasts. The breakfast bowl is delicious and unlike any brunch item I've had before (wish I took a photo, I ate it too fast!)",1,0,0,Celeste W.,"Rehoboth Beach, DE",309,22,28
5.0,4/5/2019,"Hearth wows me every time. I've been in for brunch, dinner and cocktails as well as getting delivery, and it has never ever disappointed. I literally just ordered their sides of mushrooms and market greens for delivery, and they were insanely delicious. Who can make a Friday night delivery of mushrooms and greens delicious??Next door brodo does broths that are perfect for hangovers or when you're ill or cold. The perfect marriage of brodo and hearth is the bloody brodo, which pops a bit of broth and garlic into a Bloody Mary for a delicious brunch treat.Also eat at the high tables peering into the kitchen if you can. In the words of the chef I was eating with ""my kitchen was never this tidy"".",1,0,0,Sadie S.,"New York, NY",0,6,1
5.0,3/24/2019,"First time at Hearth last evening for a birthday party with 26 guests.  The food was delicious and the service excellent.  I was most impressed by the way the kitchen and servers handled the many special requests and dietary restrictions (Vegan, vegetarian, allergies) with little advance notice.  We had a wonderful time and will definitely be back!",0,0,0,Michael M.,"New York, NY",5,45,12
5.0,3/10/2019,"Atmosphere is really great. Cozy and super yum! I had the ""Cecina"" and my friend who introduced me to Hearth had the bone broth! Twice Because it simply is soooooo good! The entire staff is friendly and super considerate! Can't wait to introduce more people to this gem",0,0,0,Yaf B.,"Long Island City, NY",197,72,27
1.0,3/10/2019,"Food was extremely overrated, portion sizes were tiny, it was outrageously expensive and nothing about the atmosphere made up for it. Never. Again.",0,0,0,Caitlin W.,"Delray Beach, FL",0,11,0
5.0,2/19/2019,"Hearth is the only awesome place I know that follows the Weston A Price and Sally Fallon in their approach to cooking. This means cooking with high quality and clean ingredients - no GMO, organic, local, etc. It also means they use high quality fats - real butter, cook with lard or Galo and not vegetable oils. And of course they do not do a lot of gluten. Even their bread is fermented (sour dough) that removes most of the gluten. Every time we are in NYC we try to come here. We try to cook at home in the same manner so our body and especially our tummies are very happy after a visit here. In our latest trip we came to hearth twice. First we came for Valentine's Day dinner. We did a four course prefix dinner with wine pairing. It was fantastic and romantic. Every meal should start with a little bone broth.",0,0,0,Jose P.,"Washington, DC",12,158,80
5.0,2/14/2019,"We had the best dinner here.  First off the inside is more spacious and nicely put together than the images show.  Cute rustic interior that's so warm and inviting.  Second the wine list is amazing. A lot of interesting and unusual finds at all price points.  You can have an amazing wine without spending a ton and the staff is so warm, insightful and unpretentious when helping you pick something.  Lastly the food was alway really good.  Highlights were the pate, the gnocchi, the bone broth and the donuts.  We hadn't been there and didn't expect much and ended up having a really amazing night.",0,0,0,Antonia W.,"Brooklyn, NY",5,36,2
2.0,2/13/2019,"I picked Hearth based on location and decent reviews but I wish I would have looked closer. It's lovely looking and rustic on the outside, but when you get inside, the illusion is over. A bit generic inside.Our chilly waitress took our order and out came chicken pate, radish salad, Gemelli pasta and the bunless burger.The pate was good and served on thick, toasted, well buttered bread. Solid!The little lump of radishes they set down on our table was ridiculous looking and they were acrid tasting.My Gemelli pasta was ok, but something was missing. I've read this in other reviews. You just can't put your finger on it.And last but not least my husband's burger was overcooked even though he asked for medium rare. Oh, yeah, and it's needlessly expensive.So you see, I just can't recommend this soulless little establishment and I certainly will never return.",0,0,0,Ari R.,"Beverly Hills, CA",74,966,252
5.0,1/28/2019,I love this restaurant! The food was delicious and the service was perfect. They decorate with lots of consideration to the menu and style of cuisine which makes it more interesting as well. For a really nice sit down dinner that you want to take your time enjoy this will be a great choice.,0,0,0,Brittany B.,"New York, NY",384,29,3
