rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/24/2019,"Beware - if you have a MealPal plan and you miss the pick up window period, you will not be able to pick up your meal.  I was running late today for more than an hour and called to see if I could still pick up my lunch and was told no.  I have had other MealPal providers be more flexible with being late for pick up periods and never had issues.  So disappointing - I will not be ordering from Sarabeth's again! They just lost a customer.  If I could give you zero stars I would.",0,0,0,cindy c.,"Manhattan, NY",0,8,0
5.0,4/21/2019,The family came here for Easter brunch. The service was great. And so was the food. We were immediately seated even before our reservation. I had the morning crunch. It was perfect. Not too much. My wife had the Lemon pancakes. Big portion. She could not finish it. This place is highly recommended. And recommend a reservation.,0,0,0,Rich G.,"St Joseph, MI",6,12,3
5.0,4/16/2019,The restaurant is very big and beautiful. All the staff is very friendly. I like the daily market soup's taste very much. Thank you for your good service!,0,0,0,Yanjing J.,"Long Island City, New York, NY",0,17,0
4.0,4/15/2019,"My friends selected this as our middle point to meet up. What a great choice! I have always walked by and it is always busy....,Food is great.  Service okay.... understandable due to the craziness inside.  Crab cake Sandwich is amazing! Eggs Benedict, French Toast and pancakes great as well. Highly suggest making reservationBefore going. You will still need to wait at least a half hour with the reservation.",0,0,0,Niss A.,"Englewood Cliffs, NJ",7,58,180
3.0,4/11/2019,"Sarabeth's is very cute and designed to be very upscale, but it was a mediocre experience overall for me. Service wasnt phenomenal and food wasn't either. I ordered the goldie lox -- the eggs with smoked salmon was extremely salty and i barely finished half of it.",0,0,0,Stacy A.,"Koreatown, Los Angeles, CA",717,209,64
2.0,4/7/2019,"Yesterday I came here and ordered a seafood cobb salad, meatballs and french fries. I found at least 3 short black hairs in the salad. (about 1cm each) The food was good but it was uncomfortable.",0,0,0,Yuka T.,"Manhattan, New York, NY",0,6,0
5.0,3/28/2019,"I really love this place. The location is a few minutes' walk from One World Observatory which happened to be my stop after fueling up with a yummy breakfast here. I opted for the TriBeCa Breakfast since I like to have salty and sweet:  (fluffy) scrambled eggs, double bacon (it comes with sausage but I prefer bacon), two pancakes and wheat toast (or your choice of muffin, croissant or scone). It's *a lot* of food so I took my time devouring it especially knowing this would keep me going until dinner (and it did!). I realize there are other locations throughout the city that were closer to my hotel (like the one near Central Park) but chose this location because of its more casual feel. Bonus was that I was here mid-morning in the middle of the week with less than a dozen other patrons which made for a nice, quiet meal before heading out to the bustling busyness of the streets outside. This was on my list to revisit (I'd been once before a few years ago) and I can honestly say it's my favorite NY place for brunch.",0,0,0,Andrea S.,"Atlanta, GA",1,32,33
2.0,3/23/2019,This place has really gone downhill. Went for a team dinner and the food was disappointing. The short rib tater tots were awful.,0,0,0,Jessica M.,"Allendale, NJ",0,24,0
4.0,3/16/2019,Brought my cousin who was visiting from Cali. The location is great and the restaurant was super cute. I got the short rib hash and Caribbean mule. Both were super tasty. I loved the Caribbean spin in the mule with spiced rum.,0,0,0,Penny T.,"Moreno Valley, CA",42,12,14
1.0,3/16/2019,"Came in with a group of 14 friends and waited 45 minutes before anybody took our orders, and then waited another hour for our food to come out and when it did, it was freezing cold. I got eggs Benedict and it was nothing special, the diner on the corner does a better job for a much more reasonable price, and it's hot. If you plan on coming with a large group prepare for slow service and cold food.",0,0,0,Kayla H.,"Mahopac, NY",14,1,0
