rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/29/2019,"I was here this past weekend with a reservation and when we arrived the table wasn't ready which was fine so we waited about 30 minutes at the bar and had a glass of wine. Once we were sat at the table no one came over to us for about 15 minutes. It took awhile to get the drinks and we never got olive oil with the bread so we got up and got it ourselves! We ordered several apps and antipasto along with entrees and dessert. I must say, the food was absolutely amazing, full of flavor and had a nice twist on the traditional Italian specialties. I really wish the service was held to a higher standard because everything else including the decor and ambiance was sensational.",0,0,0,Christina C.,"Queens, NY",69,72,73
5.0,4/29/2019,Ricotta cheese bowl app is very good. Great service and relaxing atmosphere. Went here for date night and had a great time. I had the local bass which was delicious and a nice portion.,0,0,0,Paula C.,"Brooklyn, NY",0,5,0
5.0,4/28/2019,Had a wonderful Sunday brunch at this cozy restaurant on the ground level of The William Vale. Highly recommend everything we had! The whipped ricotta with hot honey and garlic was absolutely incredible. We then shared the French toast--not too sweet and we loved the cream and bits of meat that gave it a slightly salty twist (order it with a side of pork sausage to get your meat fix). We finished off the meal with their passionfruit sorbet. Delicious! Wonderful service and charming space.,0,0,0,T C.,"Dallas, TX",55,159,11
4.0,4/22/2019,"I do enjoy this place - the ambience and food that actually has flavors. I can never get the right drink, my friend has gin and raspberry drink and it was delish so I will stick to it next time. Tuna crudo, love the citrus flavor, strong and fresh. Grilled octopus good as usual. We had the burrata pasta -it was light, acceptable considering so far dishes all had strong flavor. And shared strip steak - really not a fan and for the price of $38 I can have fine steak from any fine steak house. With that said - will be back again and try out the rest of the menu.",0,0,0,Daisy D.,"New York, NY",14,59,15
3.0,4/7/2019,"Came here because I ordered delivery and I love their Sheep's Milk Ricotta with Hot Honey & Garlic and decided to come here in person and check it out.I was more impressed with my delivery order than what I received in person.The check-in, so we had reservations and yet we had to wait 30 minutes for our table to be ready.A table next to us, had a white female and an Asian female - the Asian female got up to to speak to our shared waitress.Our waitress came back and brought me a fork, since I didn't have one on the table.Few minutes pass and the white female next to me said to her friend, I can't eat this salad without a fork, where is she (waitress)? I put two and two together and realized our waitress thinks all Asians look the same, since this other Asian had super straight hair (which I do not), red frame glasses (which I wasn't wearing nor do I have a pair) and wearing a colourful dress (which I was wearing all black and pants).Sheep's Milk Ricotta with Hot Honey & Garlic - The delivery version was surprising better, since at the restaurant there wasn't enough hot honey and so the ricotta tasted a bit bland.Grilled Octopus, Baby Potatoes, Olive Condimento - Don't remember it.Penne Rigate, Lamb Bolognese, Ricotta, Mint - Decent.Spaghetti Calabrese with Clams & Oregano - Good, but didn't do anything for me.Sorbetto del Giorno - this was like a mixture of fruit that we couldn't make out what it was, but the flavours didn't complement well with one and other. As we were waiting for our check, we saw another weird situation happening besides us. They were cleaning a table and this one guy came over and cleaned it and put 3 tables together and then another guy and girl comes and pull the table apart. I don't know, it just seems like this place has a lot of work or at least just work on communication and organization.It also took us forever to get our food and our check.",0,0,0,Ro R.,"Brooklyn, NY",83,2220,93
2.0,4/7/2019,"We went to this restaurant three times for late dinner with friends.  While the first was amazing, the subsequent two times were less than so.  Reservations were made in advance and we specifically requested to sit in the room adjacent to the main after sitting there during our first time.  Upon arrival, we were told the room is not available and we will be seated in the main dining room with a bar.  Additionally, since it was someone's birthday from our party of 4, we were told that a special sparkling cake would come for dessert.  Appetizers were delicious, especially the truffle pizza.  For main course, the black pasta and steak were great.  Once the dessert arrived, not a trace of the promised surprise for the birthday person.  We didn't mention it to the waiter or to the hostess, paid the bill and left.  Third time we made reservations and SPECIFICALLY requested the other room once again.  Upon arrival, we were told that there is a little bit of a wait.  After about 45 minutes, hostess graciously offered complimentary drinks and sat us at the main room once again.  Asking to be moved to the other room once it becomes available was fruitless as we were told once you sit down, you can't be moved.  We were seated in a booth in a more of diner like ambiance than an upscale restaurant.  Once again, appetizers were great.  The octopus, the olives with hazelnut and the salad were on point.  For main, the chicken portion was enough for 2-3 people and wasn't as good as previous times.  Steak was rather bland and once again, not as juicy or tasty.  Dessert was tiramisu, which was good once it thawed a bit.  Service was friendly.  Pertinent to note, we were also told that we had to order appetizers and main course at the same time as the chef does not like separate orders.  Questionable, even a bit laughable, but we complied.  In the instant case, first time was the charm with this restaurant and subsequent visits were just ok which is not ok with me.  Probably will not be coming back after this.",0,0,0,Marina M.,"Brooklyn, NY",77,5,0
3.0,4/3/2019,"Nice sophisticated ambiance, good service and staff. Olive oil was delicious, wines were somewhat overpriced. I ordered Steak, I was expecting an Executive Chef touch to that but to me it was really bland. Nothing special on that steak. I see the pastas at the next table, this seemed to me like regular pastas, not housemade, hope they were not. Because when you are paying $25-$30 to a regular pasta, you expect for it to be special.However I really liked the desert, Bomboloni Di Leuca, I would come back only for this dessert. Still not sure for the food though, I wasn't impressed the dishes that I saw around.Menu was not explanatory, since you can't ask each and every dish to the staff, it is kind of a blind guess about what to order since you have no idea what do they contain and what kind of dish is this.",0,0,0,Roxy K.,"New York, NY",2,13,0
4.0,3/31/2019,"I would rate Leuca four and a half stars. The atmosphere is relaxed yet sophisticated. The decor was very modern and comforting. The service was knowledgeable, friendly, and attentive. The food was ready quickly. The rested were gender neutral, plentiful, and upscale. Leuca provides everything you'd want from a modern restaurant.I started with a glass of wine which was recommended by our waitress. We shared a burrata filled ravioli and one of the wood burning oven pizzas. I'm huge fan of wood oven pizza so if you like Speedy Romeo or Milkflower then I think you'll like the pizza here too. For desert, we shared a slice of pistachio cake and I had a glass of amari. They have a huge selection of dessert liquors and digestives.",0,0,0,Joseph T.,"Merrick, NY",98,1667,40
4.0,3/31/2019,"Love the layout and ambience of the restaurant. Came here for dinner, but will return to try their brunch. For dinner, they have a great selection of wine, with their menu order starting from light to heavy. Apps- Octopus: it's hard to make good octopus but Leuca perfected this dish. Supper buttery and flavorful- Connie's Pizza: Both truffle and mushroom flavors were mild, but the bread was fluffyMain - Pappardelle: the noodle was a bit too al dente and flavor too salty- Local Bass: super flaky and buttery with a tasty and complimenting lemon sauceDessert - Pistachio Cake: the highlight. I was worried if the pistachio flavor will be too strong or artificial but the cake was light and dense at the same time. The cake was soft with fun texture, being coated with roasted nuts and goes really well with the ice cream and olive oil- Creamsicle Sundae: not bad, but a bit of a tried hard dish with too much going on. The service is attentive but also confusing. We got our pizza first, then our octopus shortly after and then our pasta as we just got started with the pizza.",0,0,0,Emizz Z.,"London, United Kingdom",104,21,19
4.0,3/29/2019,"So glad we came to try it ! My friends and I have been coming to the William Vale for some time but have never gotten around to coming here. The interior decor is stunning. Very nice ambience after a long day. We decided to eat light and ordered Connies Wedding (the black truffle pizza) , the beet and citrus salad, and the pistachio cake for desert. The pizza was amazing. One of the best truffle pizzas I've tried in NY. The pistachio cake was also delicious- very moist and flavorful - something different from all of the desert options at restaurants. The beet and citrus salad though ? Not a fan. Would recommend not shelling out the 16$ or so dollars on it and order another pizza instead. Peep the pics !",1,0,1,Gabriella B.,"Queens, Queens, NY",1,8,20
4.0,3/24/2019,"Excellent food, atmosphere, and service ! Outstanding !! Love love this place ! Very different from the other Italian restaurants in the area.",0,0,0,Cocoa R.,"Staten Island, NY",0,22,0
5.0,3/19/2019,"My date and I came to Leuca on Saturday night after our plans for Westlight fell through. I am so glad that we came down to this refined and truly delicious Italian restaurant! Leuca has two sections: one with what seems to be leather couches which is reminiscent of how the Romans used to recline and eat in a relaxed way with a bar in the center of the room, and the main dining room where one can see the kitchen. The aesthetic was fresh and modern with obvious references to Italian/Tuscan decor. The staff was incredibly accommodating. Our waiter was warm, attentive, and referred us to the sommelier for better explanation of our expansive wine options. Now for the food! Being that I was more interested in indulging in their enthralling dessert menu, I decided to eat light. The name escapes me, but I ordered the pizza with truffle oil, mushrooms, and taleggio cheese. It was thin and highly flavorful.  A savory balance of earthy and salty. My date got the bass which our waiter described as buttery and flavorful. The fish lived up to the hype! It was quite buttery, cooked a plancha, and paired with mint. Incredibly delicious! For dessert, I ordered the pistachio cake paired with an olive oil gelato. I was floating on air. The cake was lightly sweet and for the first time, I acknowledged that olives can indeed be ""fruity.""All in all, I give Leuca 5 emphatic stars. Great staff, flavorful food, delicious wines, sexy atmosphere.",1,0,1,Giovanna C.,"Brooklyn, Brooklyn, NY",0,10,4
4.0,3/18/2019,"First let me say the service was way better than I expected after reading multiple reviews. I called on Saturday night at 9:22pm and made a reservation for 9:45pm. I arrived a few minutes late and was seated after less than 10 minutes. The art and decor at Leuca is gorgeous. Our waitress Michelle was super friendly and patient suggesting all her favorites for each course. The ""honey"" dip I could go without but my penne was good (not great because it was brought to our table luke warm). I would definitely come again.",0,0,0,Lillian H.,"Flatbush, Brooklyn, NY",0,20,234
