rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,I go there all the time for breakfast and it's always fabulous. Clean and nice staff especially behind the bar xoThe up town one has the most amazing home made ice cream !I 've been to all locations and they are all FANTASTIC,0,0,0,Antigone S.,"Manhattan, New York, NY",0,8,0
4.0,4/24/2019,"Amazing food, amazing waiter (tall guy from Serbia) the wine was also amazing as was the location!! The reason I'm dropping a star is because the new waiter (the Serbian guy finished his shift) was rushing us and basically rude to us when we were finishing up. We spent over $200 plus tip!!!! It's not fair for the new waiters to run us like that!!!",0,0,0,Amanda M.,"Woodside, NY",50,9,0
5.0,4/22/2019,"I have eaten in the Madison Ave. one for years. I ordered their amazing desserts for Easter. Sadly, the fruit cake was switched for a chocolate one. When I called, they profusely apologized, removed the wrong one from the bill and told me on my next order they would provide me with a free fruit tart. THAT MY FRIENDS IN GREAT CUSTOMER SERVICE!!!! Keep up the good work.",0,0,0,Michelle M.,"Scarsdale, NY",10,26,0
1.0,4/21/2019,Went for brunch. Waiter had the worst attitude. Food was blah. Avocado on avocado toast was some cheap guacamole spread. Never again.,0,0,0,Ana C.,"Mamaroneck, NY",17,2,0
5.0,4/1/2019,Divine. I had their signature panini and signature drink. So delicious. Great service and cool vibe.,0,0,0,Catherine L.,"Douglas, AZ",0,5,0
1.0,3/23/2019,"Came here for brunch on a Saturday. Food is mediocre at best, price is outrageous, and service is not existent- asked for a fork to five different waitstaff and waited for 30mins. The managers and staff walk around talking and don't pay attention to you. I've never had such a worse service experience before.",2,0,1,Chloe K.,"New York, NY",237,142,536
3.0,1/31/2019,Terrible service. Actually over tipped so we could pay in cash and just leave faster. Great food though so I guess they just don't care.,1,0,0,Jacob L.,"Brooklyn, NY",1,14,0
4.0,1/30/2019,"One of my favorite Italian restaurants in all of NYC.  Food is always fresh and superb.Get's super crowded on weekends and scoring a table can be a challenge.Honestly, I'd rate them a 5* if the management finally relents after all of these years to sell me the large dining room.prine feom LaScala Opera House...lolHot spot and lot's of good looking people.  Definitely one of my top recommendations!",0,0,0,James G.,"Downtown Jersey City, Jersey City, NJ",0,11,0
5.0,1/28/2019,"This place is great. The wall decor of the place is unique. The food was pretty good. They offer a variety of bread with olive oil as a starter. I had the Tagliatelle Alla Bolognese (slow cooked veal ragu) and the fish of the day which was Branzino. Both dishes were well-cooked. Also, the side of spinach that I ordered there was the best spinach I have ever had. Dessert was the best part. I could not decide which one to go with so I ordered both the Nocciola and the fruit tart. Both were amazing. My only complaint is that I had reservations at 8:30PM, but they waited until 9:00PM to seat us.",3,2,1,Cherry J.,"New York, NY",359,34,91
1.0,1/23/2019,"Yikes. Clearly a place where you must know someone to get appropriate and timely service. Food was great to my memory, but not good enough to be left at the door shuffling your feet.",0,0,0,Karoline L.,"Manhattan, New York, NY",0,8,0
