rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,2/20/2019,"Superb! I came with a large group to celebrate my friend's birthday and pay homage to Carrie Bradshaw.  The restaurant was relatively full on a Friday night- fortunately we made reservations. The service was attentive from beginning to end  We kept the champagne and wine flowly and the owner gifted us a bottle of Prosecco which was a nice touch!We came during Restaurant Week and I thoroughly enjoyed the offerings. Highlights of our meals included the caprese salad,hazelnut gelato, allll the pastas and the filet mignon. The food was well prepared and flavorful. I would definitely recommend to anyone for a wonderful eveninh out!",0,0,0,Imani B.,"Washington, DC",17,97,41
5.0,1/30/2019,"One of my top restaurants in NYC.  Food is always good, but the atmosphere is what separates it.  Very warm and intimate.  Service is impeccible and you should expect no less.",0,0,0,James G.,"Downtown Jersey City, Jersey City, NJ",0,11,0
5.0,1/28/2019,"I had a wonderful time here - Il Cantinori is such cozy and romantic restaurant and the service is great - the waiters are quick, on point, and friendly.The food was also excellent - the starter salad was a sizable portion and tasty, the veal was delectable, and the chocolate torte for dessert was rich.",0,0,0,Jenny Z.,"Manhattan, NY",405,4,0
5.0,1/1/2019,"I celebrated a fabulous NYE here with a friend last evening.  Great bar service and fabulous Negronis!!  The entire meal was divine from appetizers to dessert, especially the linguine and lobster with truffle oil as was the rack of lamb.  The linguine was perfectly cooked with a most delicious sauce, the rack of lamb was succulent and rare as requested.  The service was excellent and the staff was so accommodating, who really helped add to the holiday vibe.  Party favors and hats at midnight brought in the New Year with a bang!! Thank you Il Cantinori for a such a wonderful evening.",0,0,0,R B.,"Manhattan, NY",0,86,0
2.0,12/18/2018,First off what's with the Italian guy with the Ascot who looks like Euro trash staring you down as if you're taking too long at the table (it was only an hour)? The shrimp and pasta dish was poor-iodine tasting shrimp. The bread was excellent and they give you some nice bruschetta with it to start. There are no American wines on the menu-only Italian so study up! The waiter wasn't overly friendly and could have been a bit nicer. A lot of people waiting by the front door when you arrive trying to whisk you to a table ASAP. It seems they are trying to turn over their tables quickly which is their top priority. For the price the portions aren't large...there are so many other places to choose from in NYC.,0,0,0,Janice B.,"Ridgewood, NJ",50,8,3
2.0,12/4/2018,"The worst service I've ever had in New York City: the waiter was rude throughout and spoiled a lovely evening. The rest of the restaurant patrons were obnoxious too. It was the run up to Christmas so maybe one to avoid during a holiday season if not normally, but I won't be recommending regardless.",0,0,0,Corey K.,"Mission District, San Francisco, CA",0,1,0
3.0,11/20/2018,"This is a vibrant mainly Roman restaurant on a quiet street in the West Village, however, nothing is quiet in  the restaurant.  Voices are load and it is not an easy place to carry on a conversation.  The menu has some southern Italian dishes such as veal parmigiana.  Other dishes are without sauces like chicken Milanese.  There were no standouts here, except for the pasta dishes.  The homemade pappardelle were fantastic.",0,0,0,Tony R.,"Manhattan, NY",11,220,1
4.0,11/13/2018,"Really good!Highly recommend:1. Buttera pasta Obviously it has a longer name but I don't remember it... this was really good! The sauce, crumbled sausage, peas, and pasta were so tasty. Really, everything about this dish was fantastic. It's a good portion for one person. 2. ClamsOur table shared the clams in wine sauce and garlic and they were so fresh! Couldn't get enough of these. 3. DessertDon't remember the name but it has pistachio gelato and a hazelnut cake. So so so so tasty. The service was good and the food was great. The place is on the quiet side and has a more mature feel. I probably will bring my parents back here but not come back with friends.",1,1,1,Janice W.,"Markham, Canada",246,71,56
1.0,11/6/2018,Well we did not have steak. The pasta was only mediocre. The waiter never checked in if everything was ok & I mentioned the the pasta vongole was so so & his reply was I should have said something sooner! Well never had the chance. Nice ambience but no plans to return. Over rated fir sure.,0,0,0,Marianne L.,"Elmira, NY",0,1,0
1.0,11/3/2018,Seriously poor service and below average food at best. I will never return. There are far too many good Italian restaurants in New York to waste your time on a substandard place.,0,0,0,Kabir S.,"New York, NY",7,9,1
2.0,10/29/2018,Service was fine. Atmosphere was nicer. The calves liver was delicious. The menu was confusing concerning appetizers or first courses and there were no sides offered. Tiramisu was average and I left kind of hungry. I don't think I'll go back. Loved the atmosphere. Old school early 90's vibe.,0,0,0,Vernon P.,"San Francisco, CA",35,4,0
5.0,10/24/2018,My top 5 Italian restaurants I've been to. I love the cozy space. I'm a grill calamari gal and their Pappardelle pasta is life! Thin and so flavorful with crumble sausage. Will be back when I'm in town,0,0,0,Teanna T.,"Chicago, IL",184,107,984
2.0,9/5/2018,Waiters rude3 woman we ordered appetizers main mail desserts and drinksAfter meal told to move to another table as 5 people coming and the establishment needed our table. SoWe moved over.  half hour  later no one came to fill the original table that we were seated. Rude service. Food medioca. Would not recommend or come backThink they discriminate 3 women,0,1,0,Athey G.,"ASTORIA, NY",10,192,149
5.0,8/27/2018,"We had an amazing dinner here, celebrating our anniversary with family. Our server, Joseph, was outstanding. He made suggestions, answered questions, and aptly described dishes. The pappardalle dish was especially delicious.It was an expensive evening but we made the most of it from appetizers to desserts, drinks to wine to cappuccino. Highly recommend.",0,0,0,Terry C.,"Deerfield, NH",0,8,0
5.0,7/27/2018,Fantastic. I tried the pasta with lemon and ricotta. Just delicious. It was a burst of flavor!I also had a very good glass of Chianti: bold flavors . All in all a very good experience,0,0,0,Michele Lee P.,"Manhattan, NY",0,19,3
2.0,7/20/2018,"perfect restaurant, except for the food....enjoyable setting, attentive and friendly service......3 of our party of 4 ordered their roasted chicken.......virtually inedible......overcooked, hard as leather.....a really sloppy, thoughtless presentation.....irrationally high price..........'tis pity.",0,2,0,lawrence f.,"Manhattan, NY",0,41,0
4.0,7/6/2018,Came here for an anniversary dinner around 8:30 on a Thursday. The place was packed which was a great sign. FOOD: The food was outstanding. Everything we ordered was fresh and tasted delicious. The winner for us was the burrata and prosciutto appetizer.ATMOSPHERE: Great ambiance. Dimly lit and romantic but also great for group dinners/friend dinners. SERVICE: The service is the reason why I am giving four stars. At a high-end restaurant the service should be impeccable. Our waiter was extremely rude and rushed our meal even though we had a reservation.,2,0,0,Caitlin G.,"New York, NY",387,67,40
5.0,6/26/2018,"This place is fantastic!The atmosphere, the service, and the food were all phenomenal! Prepare to give your taste buds a treat. The lighting is dim and the restaurant is small and quants, making this is a wonderful date spot. Their server is knowledgeable about the menu and eager to accommodate. We ordered a half portion or pasta to start, which was perfect. I got the lemon, and my date got the ravioli. Both were scrumptious!For dinner we got the tenderloin and the sole. Both were good. (Although I wished I had gotten more pasta).We ended with their chocolate covered gelato (pistachio) with cherry garcia in the center. That alone is worth returning for! So good!!Will be back!",0,0,0,Nan W.,"Manhattan, NY",31,111,36
5.0,6/22/2018,"This is the best Italian I've ever had! All of their food is flavorful and good-sized (but not too large) portions. From the moment we walked in, the staff was very kind and attentive. The ambiance is fancier with dim lighting. The front of the restaurant was open to the street. There was soft piano music playing in the background. There were also fresh, fragrant flowers everywhere! The bread came out immediately, and soon after we got a tomato stew on a plate that was delicious. Our appetizer and meals came out quickly. My shrimp scampi was SO good. We got gelato and tiramisu for dessert which were also excellent. I'll be coming back to this restaurant!",0,0,0,Katharine F.,"Atlanta, GA",2,26,21
5.0,5/27/2018,What can I say? Delicious as always. Staff was great. Both my GF and I loved our entrees and the staff readily adapted dishes for her vegetarian diet. The bartender made some delicious mocktails for us. I only regret that we didn't have room for dessert. My favorite Italian restaurant in NYC. I'm looking forward to leftovers!,0,0,0,Rude G.,"San Francisco, CA",1,59,0
4.0,5/10/2018,"Is it proper to rate a restaurañt, for years gone by? Î tend to avoid doîng so, since, what do Î kñow? Current reviews seem favorablè enough, however, to trust that quality is maintained. Lunch could never be faulted...but...this review is for one particuar celebration, ôrdered by a bon vivànt, a regular at the timè. It was always a dish that I would rate as ""top ten memorable"" and one that I would not order myself....squid ravioli in a squid ink sauce. Reading a fellow yełpers lament that delicious dishes of this kind could not be found în American Italian restaurànts, I thought I'd check the present menu. Was it off menu? Secret? There, in the yelp photos was àn unusual looking ravîoli , Î hope it is the same one añd only.",21,13,19,Paula O.,"Long Beach, CA",400,257,248
5.0,3/15/2018,"Perfect ambiance, homemade pasta and wine by the glass - love this old school NYC spot.",0,0,0,A. C.,"Manhattan, NY",7,12,1
5.0,2/10/2018,"Went with my boyfriend last night for an early Valentine's Day dinner. Everything was amazing. Also best service I've had in a while. Doug was our waiter, total pleasure. Highly recommend",0,0,0,Maureen R.,"Westfield, NJ",2,9,3
4.0,2/8/2018,"Dined @ Il Canitori last night taking advantage of the restaurant week menu.  The venue is beautiful, warm and inviting with fresh flowers everywhere.  The food was excellent, well prepared, presented nicely and very delicious.  I felt however, that the service could have been more attentive.  Several times we had to call for server attention, asking for grated cheese for the pasta appetizer that should have been offered when our dish was served, and seeking a second cup of coffee after dessert. Frankly, the quality of the service didn't equate with the excellent food, thereby detracting from what otherwise was a delightful experience.",0,0,0,Ron S.,"Bronx, NY",0,37,0
5.0,2/5/2018,"My sister was in town and we went to Il Cantinori for restaurant week. Everything we sampled was delicious, perfectly seasoned and perfectly cooked. The rigatoni was fantastic, the best I've had. The service was top notch. Our servers were friendly and attentive, providing for every detail. They were quick to offer recommendations, but didn't rush us at all. Telling us to take our time and enjoy ourselves.",0,0,0,Lindsey M.,"New York, NY",117,25,1
