rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/10/2019,"Nice upscale and elegant Chinese restaurant. My first time going I thought it was gonna be really expensive, but it wasn't. Chows serve food for two or three people. The food was awesome I had duck and shrimp fried rice. They also offer you Fiji water instead of tap, that's the first time I ever experienced that from a restaurant, I was impressed! The staff there was very professional and attentive making our experience very easy going. Definitely will be back in the near future",0,0,0,Millennial E.,"Brooklyn, Brooklyn, NY",22,53,3
2.0,3/27/2019,"First the good news...all staff was very friendly. And unfortunately that's where it ends. Mediocre food, terrible service, seating horrible. First, the tables are so close together you are wedged into your seat and bumped by waiters or other eaters. The tables are squeezed together. Uncomfortable to look at and even more uncomfortable to sit at. There is a cast of 1000's ready to serve your food way to quickly...is it to get you out of there to turn the table over - that's what it felt like. We actually had to tell our waiter to ask the kitchen to slow it down. Before my fork was put down the next dish was presented. Food was truly average, nothing special and we were not wowed by any particular dish and we had several. Absolutely not worth the prices-so overpriced even for mid-town. I really wanted to like it and perhaps another location is better.",0,0,0,B. F.,"Caldwell, NJ",0,2,0
4.0,3/14/2019,"this place is wild. In an amusing and oddly good way. It seems that people come here for different reasons, but mostly because the people that dine here probably want really good chinese food and can afford the exorbitant prices. I came here for a business dinner and I would dare say the food is quite good. I would say stay within the ""safe"" dishes. This place is very 80's and we sat at the bar to start. The bar is very kitschy and the ONLY beer they had was tsingtao. Now for anyone that's dined at chinese restaraunts, they know that even the most run of the mill one has tsingtao. So it's kind of amusing. They also make a mean old fashioned. The bartender seems pretty good and attentive and I liked that he poured the rest of my beer into my collins glass. My only complaint is that for this price range, you expect the finest beverages as well. Tsingtao isn't the finest and neither is Fiji flat water. Don't get me wrong. Fiji is nice and a top 5 water probably, but for such a place, I would need some mountain valley spring water. something magical :) Food wise, portions are lacking and prices are through the roof but according to Mr. Chow in a NYT article, that is all intentional. I truly admire him for making good chinese food a true delicacy. If you want peking duck, it's $86 per person. So for 5 people, that's almost $450!!! and ONE duck. It is exceptionally good make no mistake. Everything here was actually tasty: fiery beef, quail lettuce cups, shumais, rice, and duck. I would say this place has a good mix of business meals and people that can afford the food and come for sentimental reasons. If you take someone here for a meal, you are sending a pretty strong message: have some good food and money is not an obstacle. You won't come away with any doggy bags here. They take the food away and you'll never see it again! ah, excess indeed.",2,1,2,Peter M.,"Fort Lee, NJ",270,414,887
3.0,3/10/2019,Not great. Was expecting better for the price i was paying. Its a bit dull and the food is not up to scratch.,0,0,1,Nicolas A.,"Manhattan, New York, NY",0,55,0
1.0,2/17/2019,"I've been a loyal customer of Mr. Chows for the past 15 years, dining there at least twice a year.  Over the years the level of service has deteriorated to an all time low.  While dining there a few weeks ago my friends and I were sitting at a corner table in close proximity to the ""quasi champagne bar"".  I call it quasi because it's not a safe place to store and open jumbo bottles of champagne, as it's location is on a small table right next to the table where patrons are seated for dining.In the middle of our meal out of nowhere a HUGE, when I say HUGE, I mean GINORMOUS champagne bottle stopper flew from the ""champagne BAR"" and onto our table, whizzing right by my friends face and landing directly into her plate.  The service person responsible for this quickly glanced at our table saw that my friend was not hit, Kanye shoulder shrugged ‍, came over retrieved the stopper and DID NOT APOLOGIZE.  He went right back to serving the champagne bar.  We called over our waiter, explained the situation and he was apologetic, but as he was not witness to the incident there was only so much that he could do.  We asked to see the manager.  We wanted to bring to the managers attention how dangerous this was and how the outcome could have differed if my friend was hit with the stopper.  The Maitre'd - Csabi Szekely was extremely dismissive.  He said, ""well was she hit""? We replied ""No"" he then said ""well what do you want then""?  I'm sorry but this is not the type of response that is acceptable from a maitre'd of a 4 star restaurant, with global locations.  Instead of being dismissive, a good manager would have apologized and offered a resolution such as moving the ""champagne bar"" to a location further away from the patrons and offered our tables some kind of gratuity.  He did none of the above. The purpose of my review is to bring attention to this situation where customers are put in harms way and the lack of response by poor management.  Mr. Chows I expect better and your customers deserve better than Csabi Szekely.",2,0,0,S W.,"New York, NY",48,4,3
2.0,2/16/2019,"Cramped and indifferent service.  I asked to be moved to a larger table; the server said our table was fine, and then immediately seated two other couples at four tops.  Bumped or kicked each time an adjacent table was served.  Dumplings are of low quality.  Would not recommend.",1,0,0,Jay T.,"McLean, VA",0,3,0
4.0,2/11/2019,"Food was good and served rather quickly; Awesome deal for restaurant week. However, the real reason I would return would be because of the service. From the moment after we spoke with the hostess the service was A+. The level of engagement and attentiveness of the staff is something most restaurants could stand to a page out of Mr. Chows. Overall wonderful dining experience. Will return!",0,0,0,Sawkia P.,"Portland, OR",0,7,0
5.0,2/10/2019,"Great place. Good staff. Chicken satay with peanut sauce is awesome, fried duck with pancakes is great. Loved the ambience, the chairs are very comfortable",0,0,0,Neren D.,"Brooklyn, NY",649,5,5
1.0,2/9/2019,Known for their exceptional service. If you order the restaurant week special - they treat you completely different. Because they feel like you are not as valuable as if you were to order the duck as we usually do. They just plopped everything on the table like it was buffet style. If it is something they don't want to do then don't offer it. If you are not going to do it well.,1,0,0,Mariah C.,"Spearfish, SD",0,2,16
4.0,2/9/2019,"I wanted to try an exclusive place for restaurant week so my friend and I decided on this place.  The decor was pretty and romantic, the staff was top notch and attentive.  The restaurant is small but that's ok you will be delighted however I didn't love the food.  It was too notch but I guess I would have preferred if it was more flavorful and savory.  I have posted some pics however it wasn't what I am accustomed to even though I have a varied palate.  The space however is amazing.  One of my least fave dishes were the drunken fish. It was a bit on the sweet side and not flavorful, that was a main dish as well.",0,0,0,Lisa P.,"Brooklyn, NY",8,55,48
