rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,5/2/2019,"My review is for dinner. I came here with my twin and a friend. I had this place on my list for a while..mostly for the outdoor space..but I suppose we'll come back for that. We had a nice simple dinner here. Beautiful space with very professional cordial staff. I ordered the grilled octopus which was cool well, a tiny bit burned, but very tender. My twin ordered the cauliflower dish and my friend the shrimp dish. It was nice. I'll be back for the outdoor area.",0,0,0,Tamira G.,"Brooklyn, NY",24,117,185
5.0,4/27/2019,"This review is for brunch. Narcissa is gorgeous! The indoor space is lovely, with almost a cozy treehouse vibe. They also have a walled off outdoor space that allows for some sun in a more private space. For brunch we shared French toast sticks (amazing) and I enjoyed the vegan chilaquiles. Reasonable menu with slight twists on the usual favorites. Service was great. Would brunch again!",0,0,0,Willow H.,"Manhattan, New York, NY",1,77,131
4.0,4/24/2019,"Went there for Easter brunch ... food was very good, but waffles were too small (should do a stack of at least 2), but well cooked.  Homemade bacon was nice and thick, but a bit over salted.  Service was fine ... no rushing at all, even on a holiday.  Will be interested to try for dinner someday.",0,0,0,John C.,"Phoenix, AZ",0,62,0
4.0,4/20/2019,"What a charming restaurant! Lots of seasonal items on the menu with good options for vegetarians. Ask for daily specials! They had the soft shell crab appetizer the day we went and group loved it. The Japanese sweet potato dish was very yummy too. For mains, highly recommend the house special cavatelli truffle pasta. For dessert, we had the buttermilk panna cotta. Was so light and the use of buddha's fingers was a hit! Cocktails are very good as well. They had one on the menu where the proceeds for that drink went to UNICEF. So noble.",1,0,1,Snehal W.,"New York, NY",25,102,4
2.0,4/13/2019,"I used to love this place, but this time is a big let down. The food portion were terribly small (for the reference our bill was at $180 before tips for 3 people and we were only half full). The food itself were either way too sour (narcissa salad) or way too salty ($59.99 ribeye for 2 which I can easily finish it myself). i just wished they brought back their old menu because the current menu is just........ anyway, probably will not come back for it. The service is great and thats the only reason i'm not going down to one star.",0,0,0,Nicole X.,"Brooklyn, NY",0,7,8
1.0,4/7/2019,"When I came here for the first time about 6 months ago I had a pretty good meal. Came back this weekend and had a much worse experience. For starters, you must pay for their bread basket - it only comes with two rolls and one of them is ""nori"" so tasted like fish (disgusting). What's most irritating is that they refuse to replace the gross fish bread with a second piece of normal bread even though you're paying for it.  They even said people make this request all the time but clearly a control freak of a chef won't give the people what they want - bread that doesn't taste like fish...The rest of the food was very hit or miss with good cavatelli but absolutely awful steak. The steak was prepared in some sort of seaweed or nori sauce so it tasted fishy as well. The menu mentioned something about having anchovies on it but it was an entirely different taste than anchovies - honestly tasted like extra oceany seaweed on steak -gross. Should update their menu to include whatever nori seasoning this chef seems to be so obsessed with using on everything. Also the turnips we ordered were very subpar. Lastly service was not great. Waiter never asked us how we liked any of the food so had to go out of our way to share feedback with him after we paid the bill. Definitely will not be coming back as it's overpriced, snooty and not even good anymore.",0,0,0,Lynn C.,"Darien, CT",0,13,1
5.0,3/30/2019,"Dinner here was outstanding! Our group of four took the advice of our enthusiastic and informative server and ordered the special fry bread with pea hummus and stracietella which came with excellent sourdough. Bread is a specialty and it did not disappoint. The salad was huge with a nice light dressing, kumquats and pumpkin seeds a delish. Highlight was the Japanese sweet potatoes. We are going back tomorrow for brunch.",0,0,0,Mola P.,"Soquel, CA",0,7,0
3.0,3/22/2019,"If you are looking for a truly healthy brunch experience, then come here and order the egg white mcmuffin. It comes with a plentiful serving of lightly seasoned lettuce, and the muffin itself tasted exactly as the menu describes: imagine a fast food mcmuffin but made with egg whites. The french toast sticks were decent though!",1,1,1,Sophia X.,"Manhattan, NY",385,126,189
5.0,3/18/2019,This place is just incredible. Our starter dishes were good but the mains are the stars of the show. Do not leave without getting the Toasted Rye Cavatelli and Fried Chicken. They are two unbelievable dishes. Everything is so fresh and you savor every bite. Great wine list and the desserts are a solid finish to the meal. No disappointments here!,0,0,0,Stephanie C.,"New York, NY",511,124,148
2.0,3/16/2019,"I think this restaurant has a nice atmosphere, but is extremely overpriced for what you get. My husband ordered almost $40 steak which was smaller than his hand and had zero sides come with it. Bread was like $10. It just felt very overpriced for what you got. Would not recommend unless you are someone who doesn't care about spending money.  There are nicer restaurants you can go to and spend that kind of money.",0,0,0,Mel C.,"Manhattan, NY",1,23,0
