rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/25/2019,"This is the Rolls Royce of Italian restaurants in NYC. I've dined @ Il Mulino three times since I've arrived in New York. The price tag is steep, but worth it in my opinion. My most recent experience was with my Gf, who is a recent transplant to NY. We both started with a special of Porcini Ravioli .It was light and divine. My entree was Red Snapper en Cartoccio. If you had placed a one hundred dollar bill on the table, and the Red Snapper next to it, and given me a choice, the Red Snapper would have won. We both finished of our meal with Zabaglione and berries. The Zabaglione was light and airy, and the berries were tender and sweet. We almost floated out the door after our dinner. We will repeat the next time that I have some inheritance money to spend.",0,0,0,Randall M.,"Manhattan, New York, NY",0,37,0
2.0,4/6/2019,"One word. Inconsistent. We have gone to the new TriBeCa location 3 times. Each time the experience is different, but not necessarily in a good way. Service is usually fair at best. Definitely not what should be expected at these prices. Chicken parm was amazing the first time    The second time I ordered it the chicken was dry, tough and over cooked. At $44 for chicken parm I sent it back and felt like ordering delivery from the closest pizza joint. Tuna carpaccio was tasteless and tough. And served with cocktail sauce!  Not sure who thought that up but clearly a bad idea. Previously there was an assortment of delicious crudos. These are no longer available. With all the tough competition in TriBeCa (Locanda Verde up the block) it's difficult to imagine that Il Mulino will be around too long. Not unless they quickly get their act together. At dinner last Thursday night there were lots of vacant tables. While Laconda, Mr Chow, Tamarind, Jung Sik and American Cut were booked to capacity.",0,0,0,Ed B.,"Manhattan, New York, NY",0,1,0
5.0,3/10/2019,"I can't say enough AMAZING things about II Mulino. I've dined several times at both the uptown and downtown location, and downtown has my heart. There is something about the ambience and atmosphere- you feel like you are in an old school, elegant Italian restaurant where the staff treats you like family. Make sure you make a reservation well in advance, it's a popular spot!As for their food, you can't go wrong with anything. Before you even get a menu, they bring so many complimentary goodies to your table. Fried zucchini, fresh Parmesan, bruschetta, garlic bread... more bread! It's delicious and a yummy treat.I recommend splitting a pasta as an appetizer and then getting an entree. As I said before, you can't go wrong with anything. It's always fresh and prepared to your liking. Keep it up II Mulino! Absolutely delicious and a wonderful experience.",0,0,0,Jessica P.,"West Milford, NJ",0,16,6
5.0,2/27/2019,"This was the best Italian place I have ever been to. The service, the appetizers, the main course, everything was delicious I wish I could eat there all the time! Super cozy atmosphere.",0,0,0,Maria M.,"Manhattan, New York, NY",0,5,0
5.0,2/21/2019,"I'm professional chauffeur by trade, I've had many clients that I brought to this restaurant, for the last 20 years and it hasn't failed me yet! everyone has said it's amazing!!!!!",0,0,0,Rodolfo G.,"Queens, NY",2,8,0
2.0,2/10/2019,"Came back to this place because I remember it being great. Either my memory is getting foggy, or Il Mulino has changed. The service was atrocious. In my mind, the only way you can get away with charging $50 for chicken parm is if you are going to provide it alongside excellent service.Unfortunately this isn't the case at Il Mulino. Waited 20 minutes for menus, during which time the waiter came over twice to ask us ""if we're ready."" Once the menus came and we ordered wine, we waited another 20 minutes before that came. Again the waiter kept asking us if we're ready. This time we responded, ""yes, ready for that wine we ordered.""The food was good, not amazing, but certainly solid.Got some tea with our tiramisu. Celestial Seasonings. C'mon Il Mulino, for what you're charging me for this hot water and tea bag, you need to do better than celestial seasonings.Bottom line: $450 for Italian food that is on par with many places in Brooklyn where you'll pay 1/4 the price. We won't be back",1,0,0,Matt B.,"Staten Island, NY",35,36,32
5.0,2/2/2019,"I was a law student, watching from the second floor balcony of NY Law School when a small bagel shop closed and an Italian restaurant opened in its place.  A year or two after I became a lawyer, I had a business dinner here which was amazing.  I have eaten here fifteen or twenty times over nearly 40 years for business meals but also anniversaries, and kid's 21 st birthdays and my own 65th birthday just recently.  It is simply my favorite restaurant in New York.  It has changed little with incredible food, fantastic service, and a cozy ambience that somehow fits a crowd in for every lunch or dinner, but never makes you feel rushed.  I recognize many of the waiters who have been here for 20 or 30 years.  They are the type of professional waiters you find in the best restaurants in Rome.  I strongly recommend the pappardelle as an appetizer and either the Italian cheese cake or poached pear for dessert but pretty much everything is fantastic, with incredibly fresh ingredients, innovative spices and sauces  and large portions.  It is VERY expensive, but fortunately worth it.  Although there are many other In Mullino's in NYC or elsewhere, this is the original, and remains much as it was when it opened in 1977.",1,0,0,Mitch K.,"Manhattan, NY",0,45,3
5.0,1/25/2019,Loved the chicken and steak!! The pasta was to die for! Clams were amazing. The desserts were other worldly!,2,1,1,Ayesha T.,"Malvern, PA",76,123,239
2.0,1/23/2019,"It used to be good. Now, it's way overrated. It could be a random restaurant in Staten Island but it has no place in the village. Oh and they try to fake Italian accent. Quite awkward.",0,0,0,Sullivan B.,"New York, NY",0,9,0
5.0,1/20/2019,Ok so we went with it mulino regulars so of course the service was phenomenal. The appetizers and amuse bouches just kept coming. Great double veal chop and papardelle. It's extremely expensive but EXTREMELY good.,0,0,0,Daniel G.,"Weston, CT",8,185,26
3.0,12/19/2018,"As soon as you sit down you are given so much food you can get full easily lol. The staff was very nice, and the waiter was informative of the menu. I ordered a seafood dish that did not come over pasta which I thought was odd. My date did order pasta as a side, thank god. My dish was apparently spicy, but I really didn't find it very spicy at all (high spice tolerance). My date thinks this place is amazing, but I honestly wasn't that overly impressed with the taste of the food, I've had better. I would come again to try a simple pasta dish, but other than that Im okay :)",0,0,0,Tiffany E.,"Jackson, NJ",0,9,5
5.0,12/18/2018,By far one of the best restaurants we have ever visited. The waiting staff is incredible. They always make sure that you have what you need. The food is without a doubt the best Italian we have had. We would highly recommend to anyone that visits NY. We will come back every visit.,0,0,0,Marcus C.,"Manhattan, New York, NY",0,1,7
5.0,12/4/2018,"My dinner here was one of the best I've had in New York.  Definitely top 5.  Il Mulino is a cute restaurant located near NYU.  The ambience and decorations really take you to a different era.  There was already food on the table when we got there, bread and some salami.  The bread was super moist and flavorful.  I didn't even need to add oil or anything to it.  The wine was delicious.  Since there were 7 of us, we got a big bottle which was plenty.  We got a variety of appetizers: burrata, artichoke salad, meatballs.  The burrata was creamy and came with tomatoes and roasted red peppers.  The artichoke salad was amazing and had a good portion of avocado in it.  I didn't try the meatballs but my co-workers said they were really good.  We then had a round of pasta which came with pesto gnocchi, butternut squash ravioli, and spaghetti.  The ravioli was my favorite.  I also liked that the spaghetti came with fresh roasted garlic on top.  I was so full by the time desserts came but somehow managed to make room for them in my stomach.  The tiramisu was delicious along with the chocolate cake and cheesecake.  Would love to come back sometime.",0,0,0,Aarti G.,"Manhattan, New York, NY",172,48,0
4.0,12/1/2018,"Still a favorite although it's a mere shadow of its former days. The food, atmosphere and bar drinks (especially) truly do not disappoint. We missed some of the extras -extras you used to get. They have really cut way way way back, but the single small plates are still great. The specials are good and you won't get a bad meal here. Open your wallet though .. it's a prerequisite.",0,0,0,Marilyn T.,"Concord, NC",30,16,0
5.0,11/27/2018,Wow very impressed with this authentic Italian restaurant fat beyond any other one I've been too. From the waiter staff to the decor. Before you even order your apps they come out with  all sorts of interesting foods to pick at. All the dinners what we ordered were better then the next. My veal chop was like butter   The pasta cooked perfectly with that old school gravy.  This is a place you have to try. Bring your bank book though could set you back a car payment lol.,0,0,1,Mike C.,"Stony Point, NY",14,48,53
5.0,11/24/2018,"You want an authentic, old school, Italian restaurant experience in New York City? Look no further than the gold standard of Italian dining. It's everything you expect it to be. It is worth the expense and the length of time trying to get a reservation. Il Mulino is timeless.",0,0,0,Peter P.,"Madison, NJ",2,55,8
5.0,11/23/2018,Fantastic Italian Cuisine.  Great wines by the glass!  Delicious free cheese and salumi board while you wait for your meal.  Attentive service. Nice ambiance.,0,0,0,Steve S.,"Manhattan, New York, NY",84,3,0
5.0,11/2/2018,"Excellent Italian in the village. Very professional and knowledgeable waiters. Yes, you will pay handsomely for a meal, but the complementary cheese, marinated vegetables, bread basket, bruschetta, grappa... compensate nicely. Atmosphere is pleasant (almost like grandma's living room - in a good way). tables are intelligently spaced to provide a sense of privacy. Deserves its rep as one of the top Italian tables in Manhattan.",0,0,0,Barry P.,"Brooklyn, NY",0,16,0
5.0,10/27/2018,"Great food, pasta with tartufi very good.Fair priceGood service Five times visited, always a good experience",0,0,0,Enrique L.,"Los Angeles, CA",0,9,1
5.0,10/22/2018,"I came here with my husband when we were visiting NYC because one of my friends who has lived there her whole life said I have to try Il Mulino because it is ""classic New York."" We made a reservation and could not wait to go for dinner. Let me tell you, this place did not disappoint - WE LOVED IT! We had an amazing server I wish I remembered his name. I was in awe of the authentic Italian feel and everything we ordered was delicious. We will be back when we visit again and I will be telling all our friends and family that when they go to NYC this is a must!!!",0,0,0,Rachel B.,"Scottsdale, AZ",434,29,34
5.0,10/19/2018,"NYC has thousands of restaurants.  There is a reason why every time I visit, Il Mulino is on the list. Let's start with everything they bring out before you even order:Bruschetta: chopped tomato and basil, bathed in decadent olive oil, on top of bread.Fried zucchini: now don't do go to fried zucchini that you see at sports bars or junk food restaurants, (and in my best connoisseur accent) ""for we are talking about Italian fried zucchini.""  Think of it cut the short way so that it looks like circles-not strips. With a light crumple and then flash fried. This comes out room temperature.Cheese: they bring a huge round of Parmesan cheese and carve out a good sized portion for you to enjoy.Now on to the menu: every night they have several off menu specials, so listen up because they are pretty enticing.  I chose to have the lobster pasta that was one of those features.  Quite tasty- could tell the lobster was fresh and it was made with a simple garlic olive oil sauce and topped with as much Parmesan cheese as my heart desired.  My husband opted for the whole branzino, which is always on the menu and as always, it was unbelievably delicious!!",13,9,15,Ariana M.,"Newport Beach, CA",764,107,178
2.0,10/18/2018,Underwhelmed to say the least. After enjoying a homey and hearty meal at Jackson Hole as our first New York culinary experience I think maybe we expected a lot more from a place that we had heard good things about (and had a much higher cost per ounce of food and experience)Arriving  at Mulino we were greeted by the usual cramped quarters and harried experience which seems to be the norm for top end restos. We tried to order martinis from Augustine who made it very clear that we (and most customers) were certainly a nuisance at best. Considering the whole experience was a cheesy trade off between pseudo Italian elitist attitude mixed with a (Spanish?) hospitality the staff experience was confusing at best. Some were snotty and distracted and others gracious and kind. Augustino the bartender should decide if he still wants to stay in the game. If so do it well and represent the brand properly or retire. We are good either way. Onto the food. I can sum it up quickly. Meh....at 72 bucks for what I hoped would be a better bistecca than I could make at home I was severely disappointed. Dry edge and obviously a rushed prep made it a major disappointment. As was my wife with her Branzino (best served as a share dish for sure) and my pal with his dried braised veal with minimal sauce to offset the dryness it didn't last through them meal. . I have had better accompaniments  at neighborhood barbecues and other than the bread and some of the appies nothing else was remotely memorable. I don't write often but must say this was a hard miss and one I would skip. You don't need value if other things like service and food is exceptional and vice versa-versa. Mulino missed on all fronts with us and I won't likely ever return. Even the deserts were pedestrian. Save your money and the disappointment and choose higher rated and less pretentious NYC food emporiums that aren't so full of themselves that they can't remember that delivery trumps longevity and genuine welcoming staff are far more inviting to those new to the scene than those that expect you to be grateful that you are allowed to pay high prices for the opportunity to share in what should be a dying brand already if this is what one can expect as the norm.,3,0,0,Kelly H.,"Winnipeg, Canada",0,10,1
5.0,10/15/2018,This was the best meal I have ever had in NYC. Rudy was an outstanding host/service provider.  We had such an enjoyable time at this establishment. I would recommend this restaurant to anyone who wants an outstanding food experience. There was not one thing that was not above my expectations.,0,0,0,Kimberly G.,"Virginia Beach, VA",0,4,0
5.0,9/20/2018,"After being shut out on previous attempts we managed to snag a reasonable 6:30 reservation on a Sunday for the birthday of mio figlio. We were shown to a small four top - pro tip -- come as a couple you'll likely get the same size table, or come as five and get one of the bigger ones.Once you get seated there's a swirl of activity as you get a bread basket, bruschetta, salame, a bit of eggplant and a chunk of parmigiana as your free antipasti. The bread basket is one of the stars of the show - particularly the chewy parmesan toasts.The bottle of Arneis we ordered was out of stock. the house's first substitution did not go over well, a second, drier wine said to be a Pinot Grigio satisfied the feinschmecker, who was serving as the evening's tastevin. At $65, it seemed reasonable.We decided to share two apps and two pastas amongst the four of us. The scallops wrapped in pancetta came two to an order, but my tablemates dissuaded me from an extra order. The two scallops were large enough to divide, and the savory spinach on the side provided an alternate taste. The artichoke/avocado salad, a special, was a bit larger, and was shareable. It was also excellent.The servers split and plated our two pastas into sharing portions - and these were of good size. There was a savory thin pasta (capellini?) with funghi, and a squid ink with seafood - mostly tender medium/small shrimp. These were perfectly cooked and well seasoned.With the main courses we had glasses of Barolo - $25 but in fine fettle. The server really should have announced the price of the rack of lamb - at $90 it was significantly more than the menu entrees. It was large enough to allow for sharing - the feinschmecker would go on to make a second meal out of it. The mustard herb crust was on point, but the meat was too delicate for my palate - if you like a lamby tasting lamb this may not be your choice. It came with a plate of - well --sort of home fries. At $72, the double cut veal rib chop was the same price as the steak on the menu. It's harder to argue with the price of such a prime cut. Still, the one I had at Brando's a few weeks before was just as large, and they charged a measly $44. The veau was perfectly cooked, anointed with fried sage leaves, but under-seasoned. Looking back on it, I should have asked for the pepper mill to make a reappearance. The veal came with roast potatoes. At $38, La Portena's Veal Saltimbocca was the bargain basement entree and the best value, a fine portion, nicely cooked and sauced.  We had initially forgotten to order contorni - asked for some broccoli rabe when the apps were cleared. Although I would have thought this was doable and the wait staff did not indicate there would be an issue,  the broccoli rabe did not make an appearance. This was the only service lapse.We were full enough, so we ordered but one dessert for the table. The tiramisu was just large enough for everyone to have two tastes. Perfect.The espresso was on the strong and bitter side, shall we say more Naples than Milan.Overall, a 4.5 so I rounded up to yield 5 stars. I thought this was on the same level as Carbone, but about 25% less expensive and with friendlier service. My offspring would beg to differ, finding Carbone to be on a higher plane. Chacun son gout.",1,0,0,Saul G.,"White Plains, NY",37,753,84
4.0,9/4/2018,"We have one in Chicago, but our work team recommended for us to try the one in New York.  It's a small quaint location close to Washington Park. The table order burrata appetizer, calamari, and escargot.  All were delicious, especially not a fan of calamari.  A coworker had been here and ordered a Barolo 2012!  Bring your pocket book if you want this wine, but it was AMAZING! All around entrees was good with exception of the Risotto.  The Risotto was not creamy at all. Wait staff...greatAmbience...NEED MORE LIGHTING!Food and deserts...excellent!",0,0,0,Wendy B.,"Chicago, IL",68,8,2
5.0,8/19/2018,"Pace yourself at this Italian institution.   Complimentary Parmesan cheese, a big-delicious basket of bread and focaccia, oven fresh garlic bread, then last but not least some excellent tomato bruschetta.   And now it's time to start ordering.   We shared a classic Caesar salad, ordered wine and Pellegrino sparkling water.   Then black squid pasta and papardella with mushrooms and sausage.   Taking home left overs is a given.   Wait staff are attentive old school Italian men in tuxedos.   Very classy place serving excellent food.Make sure you get a peppermint to cool off your garlic mouth!",1,0,0,Don C.,"Guttenberg, NJ",33,56,32
3.0,8/2/2018,"Dumpy, dilapated, disappointing.  And that's the good news at this formerly venerable downtown Italian.  I have only been to the uptown Mulino in recent years - I go during restaurant week - and it's still great (a solid 4*).  So is was truly embarrassing when I took a friend to the downtown location for her birthday.  I'm not even sure about the food; that seemed not as good either.  My chicken piccata was drowning in butter.  But we didn't even stick around for dessert, it was that sadly lacking.  They should probably close down this location and pour their resources into a place that can restore some of the old luster to this brand.",0,0,0,Mycroft H.,"Manhattan, NY",0,14,7
5.0,7/1/2018,I am honestly so impressed by Il Mulino. It was so incredibly delicious and I will be thinking about this meal for a while. I got the shrimp and it was out of this world. Definitely going back.,0,0,0,Ang L.,"Holmdel, NJ",341,22,16
5.0,6/30/2018,"From the exceptional service to the pre/dinner appetizers you feel like your being treated like royalty! Now let's talk About the food, I had the most amazing rack of lamb that I've ever had. It was cooked to perfection with a Demi glaze mustard sauce that had the perfect balance I am sweet and savory to it. I don't think I've ever had better lamb in my life, plus the portion we're so big I had to take home half and got to have it again for dinner the next day.",0,0,0,Shibue C.,"Los Angeles, CA",80,16,22
5.0,6/27/2018,"So happy to be back here.  Everything is delish.  Marsala, Bronzino, vognole.  And the service is on spot.  If you're lucky you will have the singing waiter!...",0,0,0,Ilan G.,"Miami Beach, FL",1,50,1
5.0,6/13/2018,"Can't go wrong here. Everything is always perfect. Staff, service, atmosphere and the cuisine.",1,0,0,Joe B.,"Orangeburg, NY",0,18,16
