rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/24/2019,"Food is good - ( a little overpriced )Ambiance-  reminded me of a European cafe which is cute but this one is stuffy, if you are lunching alone you'll feel the coldness of fellow patrons and staff, good luck. Service experience: It would have been nice to be able to finiSH! it but the server came and before I could say I'm not done he took it, I didn't want to yank my dish from his hands or seem desperate since  the tables next to me where so close ~ so I let it gooo ugh!Observations: They rush you during lunch hour it seems, especially if you're alone; the 2 ladies next to me where there before me and stayed forever and no one rushed to take their dish away. Favoritism for locals perhaps (?) (just saying) Oh well- NY hospitality I guess.",0,0,0,V S.,"Woodland Hills, Woodland Hills, CA",0,46,37
5.0,4/23/2019,Love Italian food. This restaurant is perfect for breakfast. Great breakfast selections on the menu. Definitely try pancakes. It's my favorite dish. Service is fantastic.,0,0,0,Jeff P.,"Greenwich, CT",0,8,1
4.0,4/23/2019,This place has a cute European vibe to it which I like. It has indoor tables which you can stand at and outdoor patio tables for sitting. Good selection of coffee and pastries as well.,0,0,0,Aarti G.,"Manhattan, New York, NY",172,48,0
3.0,4/13/2019,"Can't really find anything positive about the place.Overcrowded, noisy, waiters not really attentive, the dessert (we only came for the dessert) is mediocre... so are the drinks...",0,0,0,Igor B.,"Bronx, NY",0,6,0
4.0,4/3/2019,"I love desserts and I love European cafes, so this place is like heaven on earth for me. My only gripe is that it is super pricey. $7.50 for a cup of coffee is aggressive. But if you are looking to treat yourself check this place out.There is a coffee bar in the front where you can just grab a drink and stand, and then there are seats around the restaurant. My boyfriend and I shared tiramisu, hazelnut cake, and the assorted cookies. The tiramisu was really good, it had a lot of lady fingers in it which I like. I'd say the portions were your standard dessert size: big enough if you wanted to share but you could probably have one on your own too. They also have amazing cookies, so even if you just want to grab a box to take home at the counter you should!",1,0,0,Aiko S.,"Bronx, NY",275,50,15
5.0,3/4/2019,Next to my grandmother's this place has the best lasagne.  Service is excellent.  Clientele seems to be foreigners and well heeled. Worth a try.,0,0,0,Paul B.,"Manhattan, NY",0,11,3
4.0,2/16/2019,"Ambiance was nice, went for brunch but so disappointed they have limited options after 11am - no eggs Benedict! . The couple next to us had ordered the tagliatelle bolognese and squid ink pasta- which looked amazing. We ended up ordering what they had and can say enough about how amazing the pasta was. Great service - fresh grated Parmesan cheese upon request. Will need to come back to try some additional items on the menu that looked amazing",0,0,0,Sera I.,"New York, NY",6,48,0
1.0,2/4/2019,"Went for lunch with the understanding that there would be a restaurant week menu Beware they do not offer a restaurant week menu at this location, though they do at all their other locations supposedly The food is so ridiculously overpriced I'm not sure why anyone goes here , no ambiance , crowded tables and crazy prices for pasta  that is fine but not worth the crazy prices, even a cappuccino $7.50????!!!!!  even for Madison Avenue this place is absurd.",0,0,0,rochelle s.,"Manhattan, NY",3,71,0
4.0,2/3/2019,"Amazing menu and location, perfect place in the city to see and be seen! They have a few other locations in the city as well but this one has a Madison ave flare you can only find in NYC!",1,0,0,Jack A.,"Downtown, Baltimore, MD",7,2,0
5.0,1/18/2019,"One of the hottest brunch tickets for Sunday Brunch is Sant Ambroeus. Myself & four other Ladies Who Brunch, delighted in conversations over brunch, a few laughs, and deliciousness.   From The Cafe to the actual dinning room, SA is bustling in a contiguous feeling of family, and all over good times. It's like the ultimate coming together over food, that I find myself lost for the actual words to describe. It is an ambience one most experience for thyself. The staff is wonderful, polite, and smiling faces. Most of all they are helpful, and the dining experience is not rushed. In regards to food, everything is simply delicious.  The desserts are a delight & picture perfect.  Just think of a glamorously, Fabulous, family brunch setting.  Our table enjoyed every moment of our brunch from the Bellini's to Tartare di Tonno. Every last bite was without complaints.Thank You Sant Ambroeus for providing #LWBNYC with an impeccable dining experience.  #HatApproved",1,0,2,Scarlette O.,"Manhattan, NY",68,182,683
5.0,1/15/2019,"Divine!!!! Steven and I went here for brunch for our day date and loved it. I got the eggs benedict with spinach (eggs Florentine) and he got the two eggs sunny-side up meal. The potatoes were the best, so good and not soggy or over cooked with a touch of garlic. The hollandaise sauce was whipped, which was a lighter, different spin. We'll be back....!!",0,0,0,Paige H.,"New York, NY",17,203,17
4.0,1/10/2019,"Not sure if I did write the second review of my second visit here, last minute I've decided to try the breakfast here and yes it was great pancakes and of course would come back to get it again in my next visit to NYC, I prefer plain pancakes with powder sugar so that I can compare it to other pancakes and yes the win.",0,0,0,Mishari A.,"Los Angeles, CA",24,317,105
5.0,1/3/2019,"When I asked ""someone"" to please find me a cafe for a small light lunch on the WEST SIDE and he steers me here because it was ""nearby the Met"", it took me a while to accept it and not be mad.I would not have selected this place to take my son for lunch.  And I would have preferred being a little more hungry than I actually was if I knew we were having lunch here.  All I was looking for was a small salad (not at all the $29 burrata kale salad I did have) and a good cup of coffee (""good"" is an understatement and but had I been in a better frame of mind, I would have ordered an affogato instead).  I was not looking for fancy- I was already pushing a little boy's patience dragging him to the Met.  In the end it was lovely lunch and everyone was very happy with their meal.They were extraordinarily polite and sweet to my little boy.  Even though we did not have a reservation, they did have a quiet table available.  It was next to the kitchen, but honestly that was the best place to put us with the little one.  The 5 stars are for the hot chocolate and the hazelnut chocolate cake.  I wish I was actually really hungry so I could just have a slice all to myself.  And maybe some of that gelato in the case across from the barista too.",0,1,0,Karen Y.,"Boston, MA",134,559,1
4.0,12/27/2018,Lively little coffee bar. Stopped in for a mocha latte that was a delicious treat. Great break if you are shopping on Madison.,0,0,0,Laura B.,"New York, NY",18,59,7
1.0,12/22/2018,"One of the most pretentious, fugazi, overrated restaurants in  NYC!   We should have known better but our hotel Consigierre highly recommended this place.  The menu is extremely limited and the food vastly over priced.  We were squeezed into a tiny table with people on both sides of us.  The portions are tiny and under seasoned.  The bread, while very tasty, was ice cold as was the tiny container of butter.  The risotto was plain. Creamy and boring.  The bolognese sauce was good but served over a small portion of fettuccine.  The small mixed green salads was the best part of the meal.  I have never had a smaller cup of espresso anywhere.  This place is very, very expensive and most def not worth it.  Save your money and choose one of the other real Italian spots in the city!!",1,0,0,maria A.,"Diablo, CA",1,36,0
5.0,12/14/2018,My favorite espresso and cookies. Great place to go for a snack late in the day. Wonderful soups. The minestrone is so flavorful you will think that you are in a trattoria in Italy. Also all the vegetarian soups are very tasty. The sunflower seed bread is also so good. I often run in and take out the small tuna and tomato sandwiches on brioche. They also have turkey with mozzarella. It's a wonderful quick lunch when you are on the go. The dinner is expensive but occasionally worth the splurge.,0,0,0,Robin G.,"Manhattan, New York, NY",0,5,0
1.0,12/2/2018,"A very short experience!On Sunday December 2nd 2018, we walked in for brunch at ~ 12:30. My wife called up in advance and she was told that no reservations needed before 3:30 pm for a party of 2 and that we are welcome to walk in. When we arrived, we were met with a pompous manager who said that the place is booked until 3:30. We explained that we called in advance and he simply answered in a defensive tone by saying "" I don't believe you, I trained my staff well"".  We were shocked at the manager demeanor and left the establishment never to go back! The place and food look nice but the manager and owners need to re-learn the ABC of hospitality and that courtesy and human interaction are an essential part of the dinning experience!",1,0,0,Sam G.,"Manhattan, NY",0,2,0
2.0,11/14/2018,"Years ago, this was my go to place.  The last two years the service is disappointing.  On one visit I received the toast after the eggs were eaten, because I didn't want to eat cold eggs.Last week, my family was seated, and after 20 minutes, we had to ask if we could get menus.  Waitstaff looks frazzled, where is management leadership?",0,0,0,D W.,"Hazleton, PA",0,11,0
5.0,11/9/2018,Beautiful cafe with amazing desserts and hot drinks! Great customer service. The chocolate tasted so sweet and perfect not too heavy. I love the atmosphere and vibe here I highly recommend,0,0,0,Amanda B.,"West Bloomfield Township, MI",0,41,27
4.0,11/3/2018,"First impression: FANCY! I think the chandelier is from Trump Tower.The white truffle must be imported and delivered by cranes for the price: $65+ per order.We receive a basket of bread along with artesian sparkling and flat water from Italy.The ravioli is meh; overflowing with white lightly flavored cheese.The carbonara tastes like bacon and thick cheese; I have had this same dish for $10 in San Diego.The green lasagna is the best dish. Made with spinach pasta and veal meat sauce, it is savory enough to make up for the ravioli.The chocolatier and coffee bar is amazing. Lots of beautiful sugar.",0,2,0,Andrew B.,"San Diego, CA",62,183,801
2.0,9/30/2018,"Seriously overrated and overpriced food. My husband had carbonara that was so salty, he couldn't eat much of it. My seared salmon was fine, and my peas were delicious, but the asparagus was really over cooked. Pretty disappointed based on the reviews.",0,0,0,Tracie M.,"Wading River, NY",13,29,0
3.0,9/10/2018,"I used to like Sant Ambroeus. They had only one location on Madison and I would go for lunch. I remember the food being simple and sincere. I went for dinner after my friend, who goes often to their restaurant in south Hampton, told me it was one of the better establishments out there. The place is vibrant, the service is friendly... so why, you ask, is this a three star review?The food is not what I remember. The salads were good, and here and there something clicks; like the eggplant parm. Other than that, most of the food tastes like it was bought at costco. The desserts, unlike the food, are good.",0,0,0,Food M.,"Manhattan, New York, NY",0,9,0
5.0,9/9/2018,This is my favorite restaurant. I can eat three meals a day here. The food is great but the best part of Sant Ambroeus is the staff. The people that work there give world class service and creat a unique dining experience.,0,0,0,Daniel F.,"Manhattan, New York, NY",542,3,0
5.0,9/7/2018,"This afternoon at Sant Ambroeus I had the best gelato and plum tart I've had in a long while including two weeks spent in Italy. Service, ambience and especially food were fantastic and I'd wholeheartedly recommend.",0,0,0,dan a.,"San Francisco, CA",67,10,0
5.0,9/2/2018,"Sant Ambroeus is wonderful any time of day. The service is fantastic; the ambience is relaxing and elegant; and, their lovely Milanese dishes I return for over and over again are consistently delicious!Many Cappuccinos I've sipped at their delightful coffee bar;  have lunched on Uova e Asparagi with Perigord Truffle and Spaghetti Carbonara;  and, feasted on Risotto and Cuteleta alla Milanese!As tradition has it, a shopping visit on Madison Avenue now is never complete without a stop here at this one of my old favorites when I lived close by in NYC.  If not for a meal, I'll purchase a slice of Sant Ambroeus Chocolate Cake to be savored later!CHEERS!",7,5,6,Jennifer Y.,"Dallas, TX",328,545,2453
3.0,8/20/2018,I was in the neighborhood so decided to stop by Sant Ambroeus since the Met Rooftop was closed due to rain. The food was overall decent although not memorable. The same can be said about the service. Everything was just OK. The one great ting is the carrot ginger soup which was made perfectly. I also enjoyed the sweet potato fries and noted that the roasted potatoes looked good as well (I didn't try them but saw them on someone's plate). Wine selection was good but I wasn't impressed with the pasta dishes or the chicken. On the expensive side for my taste.,3,0,1,Tamara H.,"Manhattan, NY",130,365,411
3.0,8/13/2018,I would say it is not a good choice for breakfast. First of all，the taste is pretty average. Secondly，the price is too high. I think with this budget you can have a much better breakfast somewhere else.,0,0,0,Viki C.,"Boston, MA",17,32,103
4.0,7/26/2018,"Ordered the shrimp and pea ravioli with pink sauce as per the waitress' recommendation and I was thoroughly impressed. The quality was there and I enjoyed every bite. Cocktails and dessert were okay. For the steep price I expected better. As others have said, the vibe is upscale and most of the diners seem like the old-money type, but the service is friendly so don't let that stop you.",0,0,1,Alisha H.,"Bellevue, WA",8,24,0
5.0,7/22/2018,"This review is for breakfast only, if i'll go back for lunch or dinner i will review it again.Being italian born and raised i don't have a lot of italian breakfasts options but Sant Ambroeus is one of them (even tho it's a little pricy - 2 croissants & a cappuccino 16£).All the sandwiches, croissants and capouccino are delicious and really taste like the one we have in Italy.There are few spots to seat by the window.",0,0,0,Kiara D.,"Astoria, Queens, NY",232,124,574
5.0,7/20/2018,amazing!!! Expensive but worth the splurge. Has the most kind waitress. Spaghetti was perfection and the focaccia is out of this world!!!!!,0,0,0,Liv C.,"Atlanta, GA",0,4,3
1.0,7/5/2018,"AWFUL, inattentive service.  Brunch food was mediocre, at best. Perhaps, our server was paying more attention to a C-rate celebrity she thought would give her a gangbuster tip, but she certainly was nowhere to be found during our entire meal. Reluctantly had to Ask for condiments from the bartender (the only other restaurant employee in sight) and he had a condsending attitude about it. If the food would have been outstanding, would have considered going back, but it certainly does not justify that.",0,0,0,Hana K.,"Manhattan, NY",36,4,0
5.0,6/25/2018,"My family and I have been travelling to NYC every year on labour day since 2010 and each time we have come back to Sant Ambroeus on Madison. We love the staff, who all warmly greet us - it's so nice going back to a place once a year and yet still being remembered. All of their balsamic, olive oil, wine (and I'm sure more) is house label stuff and more than once we have walked away wishing we had picked up a bottle or two to take home (but always can't due to luggage restrictions oh well). Every dish I have eaten here has been perfection. It is a slightly pricier meal but for the ambiance, food and drink it is very much WORTH IT! :)",0,0,1,Nikolina V.,"Liberty Village, Toronto, Canada",57,24,6
5.0,6/21/2018,I want to say this is probably one of my favorite brunch spots after being introduced to it by my mother in law. The Avocado toast was perfect and somehow original which I never expected. The scrambled eggs are incredible and even just the order of toast was some of the best bread I ever had and also served with the most decadent jams. It was the most beautiful and welcoming atmosphere. Just overall a lot of fun.,0,0,0,Emily T.,"Brooklyn, NY",15,3,0
5.0,6/3/2018,Amazing gelato! Especially the amaretto flavor. And chocolate. And everything. Such a cute little place and the food looks great too! Great little spot in ah area with relatively few.,1,1,1,Michele S.,"New York, NY",3,19,1
5.0,6/1/2018,"This was our (my friend and girlfriend) last stop before leaving New York, and it did not disappoint.  We each ordered a different dish, some eggs, pasta, and lasagna and shared a bite or two with each other.  Each dish was just so perfect.  Even the salad was delicious!  Now, let me tell you, im not really a fan of salad (sort of just tastes the same everywhere I go) but this salad was a special case for sure.  Each ingredient carefully measured and mixed into the salad really gave it great test.  The olive oil they make was also a favorite.The pasta was very buttery and tender and full of flavor (this was the dish I ordered).  Very easy to eat, yet filling at the same time.The eggs my girlfriend ordered were beyond great.  I know its just scrambled eggs but man... eggs like no other.The lasagna my friend had was also wonderful.  This is definitely a place to eat at when in New York.",2,0,1,Alex A.,"Chicago, IL",96,66,88
3.0,5/28/2018,"This is a lovely restaurant with top prices.  They also are out in the Hamptons and Palm Beach, FL.  Many of their dishes are terrific.  They should all be terrific and they are not.  A soup of the day the other night was marginal and mediocre at best.  The salmon was either partially frozen from the day before or simply tired because it was not good.  All at our table tried it, pointed it out to the dining room captain, who looked like he wanted to go home.  Bottom line:  Don't give a place 5 stars unless it is exceptional.  Give it four (4) stars if it is in front of the pack.  This place, while having a superior ambiance and staff, must do better to get more stars out of me or you.",0,0,0,Rick S.,"Jupiter, FL",26,14,1
5.0,5/23/2018,"Spectacular restaurant and semi-separate cafeMy wife and I enjoyed a truly spectacular lunch here recently after seeing the new costume exhibit at the Met. Everything was spot on - the drinks, the food, and the service. However, be forewarned that space actually houses two semi-separate eateries - the restaurant in the back and the cafe in front.We started with a pair of cocktails - the Solero and the Green Light - which were both wonderful. Then the bread service arrived with a selection that ranged from a soft white to a hearty olive loaf. We split a cold spring pea soup that was scrumptious and rather enormous - even our 'split' portions were more than adequate. We then moved on to the Lasagna Verde and Ravioli al Prosciutto which were again spectacular and quite large. To my surprise only the pasta and not the ragu was green - while it was delicious it was not the Genoese dish I was expecting. We finished off with a slice of Millefoglie and espresso - both delicious...though not quite so massive.The service was attentive, polite, and professional with perfect pacing for our semi-celebratory meal. And the decor was that of a nice European restaurant with good lighting and plenty of wood paneling.The elephant in the dining room is the price (particularly for lunch). After tip our meal ended up to be a bit over $100 per person. But it was a truly spectacular experience and I found myself quite jealous of the older diners who were obviously frequent patrons. What a place to have as one's commissary.",0,0,0,Leo M.,"New York, NY",0,476,8
1.0,5/23/2018,"I always come here for lunch. Today, after spending $50 for lunch, I sat down with my cappuccino in the front and the manager said you can't sit there because you are not eating lunch. I was sitting down for 10 minutes, yet this man tells me to stand at the bar. I probably had spent more in 10 minutes then the people already sitting down had in an hour.",0,0,0,John P.,"Northwest Washington, Washington, DC",30,2,0
3.0,5/14/2018,"Waaaaaaaaay too expensive for mediocre food. Hit up the east village for no frills legit good Italian food. No reason to spend this kind of dough, unless that's where you get your kicks (dough spending). I'd rather spend little dough and eat good dough. Right?",0,0,0,Peter A.,"New York, NY",111,125,29
5.0,5/7/2018,I love this restaurant.  Absolutely the best caprese salad.  Great wine list.  Perfect portion sizes. Great pasta and entrees.  Sophisticated and classic Italian atmosphere.  Perfect for a date night.  I may go here whenever I visit New York.  Not for the cost sensitive.,0,0,0,Justin S.,"Signal Mountain, TN",1,53,0
5.0,4/17/2018,One of the spots I always check out when I'm in the city. It's is perfect for lunch after going on a nice walk through Central Park. Every pastry is amazing and the paninis are to die for. Oh and I almost forgot to mention the hot chocolate!! It's so good.,0,0,0,Giselle V.,"Tallahassee, FL",184,44,54
5.0,3/26/2018,"I'm in love with this restaurant and each location has it's own personality while maintaining the quality and friendliness that it's known for. People that come here are young, upscale and fashionably casual. It's a place to  see and be seen. I enjoy taking meetings here. There's that great balance of energy where you can still hold a conversation and the food is always spot on.",0,0,0,Robbie Q.,"New York, NY",4,8,5
5.0,3/14/2018,"One of my favorite places to grab a bite on the East Side. Always fantastic service and super attentive to customers. I suggest the any of the pasta or fish dishes. If you've saved room for a dessert, the pastries they offer are off the hook!!!",1,0,0,Damian M.,"New York, NY",48,213,138
3.0,3/14/2018,"It's your typical Italian restaurant on Madison ave.  Although the food is exceptional the service is rather snooty for no particular reason.  Let me correct myself not the service but the manager ""Alex"".  Nonetheless you can't go wrong order pretty much anything on the menu.",0,0,0,Its Possible S.,"Washington, DC",51,22,1
5.0,2/28/2018,"This is a wonderful place and so authentic that you forget you are in NYC and think you are somewhere in Milan or Turin. All the Italian expats in NYC come here for their coffee, croissant, or lunch fix. The ambiance is elegant and it's expensive, but so worth it. The patisserie is sophisticated and you should see the gelato bar. The staff is impeccable.Bonus: walking distance from the MET",0,0,0,R 5.,"Manhattan, NY",0,14,0
5.0,2/15/2018,"I haven't tried an actual meal, but the small sandwiches at the bar (you can get them toasted), pastries, and coffees are great. Usually swing by this place for snacks.",0,0,0,Cindy C.,"Chelsea, Manhattan, NY",4,108,97
5.0,2/4/2018,"Came here with Ralph after the Metropolitan Museum and it was super cute!! Very friendly waiter, mouth-watering displayed desserts, and delicious food :)They bring around tasty bread before the meal (and whenever you want afterwards). We weren't too hungry after getting sandwiches at the Met but still got full meals here. Ralph wasn't able to finish but I somehow was... ^^For appetizer we got Prosciutto San Daniele e Mozzarella di Bufala (thinly sliced aged prosciutto San Daniele with buffalo mozzarella), which was these huuge chunks of mozzarella and prosciutto slices. I'm not a huge fan of either mozzarella or prosciutto just by themselves, so for me this was okay.For entrees Ralph got one pasta and I got the Ravioli di Prosciutto one (prosciutto-filled ravioli with rucola salad, burrata and tomato confit). Mine looked really pretty and was so so good! Very filling too. Flavorful and you could taste almost every ingredient :) Would recommend!We were too full for desserts but in the display window those looked super super cute too!",0,0,0,Valeria F.,"Manhattan, NY",37,252,6
