rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/27/2019,"One of the worst dining experiences I've had. It started off on a bad start with me and my boyfriend seated near where the servers were coming in and out at the bar. We ordered the papaya salad and ka prow to start and rum & Hyde and Yuzu beer to drink. The small dishes were not to my liking but my boyfriend enjoyed it. Next, we ordered the Malaysian fried chicken... except it never came until we had to request for it again almost an hour after finishing our appetizers. During this time we tried to flag down a server and ask about what our neighbors were having where he dismissively scoffs at what we asked until we asked another server and was told it was mantao buns, which we ended up ordering. Once we requested for the fried chicken, they called out for it to be made only it was poorly executed when they made the mistake in the first place. 1) THE CHICKEN WAS UNDERCOOKED. I had a drumstick only to find out it was half cooked. 2) the menu says there is pineapple chutney, there was NO pineapple chutney but a sloppy display of 4 pieces of chicken with some sad looking curry leaves. The server didn't come around at all asking if we were waiting on anything after sitting for an hour in between appetizers and the unfortunate fried chicken. I am extremely disappointed and unhappy with this establishment seeing that I paid $100 for what was a horrendous dining experience.. I should have known better when I saw the C rating on yelp for health reviews!!",0,0,0,Alina J.,"Brooklyn, NY",93,63,11
4.0,4/24/2019,"With the abundance of restaurants I'm dying to try in NYC, it's rare that I'll return to one in particular over and over again. So the fact that I've lost count of how many times I've been to Pig and Khao must say something! The food here is consistently good and the service is always friendly and efficient. I recommend sharing several small plates - the khao soi is one dish I always order no matter what, and I'm not even the biggest curry fan normally. It's delicious. Would also recommend the coconut rice as a side - comes in heaping portions and is perfectly fragrant and slightly salty. Your meal isn't complete without it!!My only gripe (which isn't the restaurant's fault at all) is this place is always poppin no matter what. I last came here on a Monday and my friend and I had to scream to hear each other - it was that packed and loud. Definitely make reservations  unless you're trying to wait a loooong time for a table.I live pretty far from the LES but am always happy to make the trek here :)",0,0,0,Deanna K.,"New York, NY",114,20,1
5.0,4/20/2019,"My absolute favorite place for Filipino food!! I live literally next door to Pig and Khao and I have to say I order take out and eat here way too much!!Here are some of my favorite dishes: chili pan mee is so good, the crispy pata is so flavorful and great, and lastly pork belly adobo is flavorful as well. I've also eaten breakfast here, the sausage is amazing and they have cool options like corn beef hash. Brunch also has bottomless mimosas for $16.I'd highly recommend coming here for a taste of the Filipino cuisines. They also have some really great Thai food! Make sure to make some reservations beforehand on weekends.",1,0,0,Cindy K.,"New York, NY",330,75,166
2.0,4/15/2019,"My friend and I came Friday evening for dinner and we only ordered three items to share fam style, two large plates: the whole fried fish, and crispy pata and two sides of coconut rice. I have been here before many years ago and I distinctly remember liking this place but just haven't been back but this time has helped me decide to never come again. We only ordered three items and every single dish had an issue. These so called ""large"" not so large plates are definitely not worth the $30 price range. Although the fish had a great sauce, the fish and pata were beyond fried and overcooked, and the flavor of the pata was meh, the sauces that came with it were meh. I honestly stopped eating the pata midway my dinner because it was so chewy and dry. Also when the runner brought over the rice, the moment I saw the bowls of rice I knew IMMEDIATELY it was going to be mushy and it definitely was. Comeon, how the fuck do you fuck up rice?? I'm not the type to send back food or complain but just want the restaurant to know you can fool the wannabe LES hipsters with this bullshit but not this asian. Also the service was meh and the host and busser were trying to low-key rush us and as a former server, stop doing that shit, you're just going to piss people off.",0,0,0,Gwu3 ..,"Manhattan, NY",0,4,0
5.0,4/11/2019,The flavor of the pork belly adobo was an instant hit. Really loved this dish. The pork belly was crispy and tender and cooked to perfection. Everyone I was with for dinner that night loved their plates. The service was also top notch don't hesitate to eat here.,0,0,0,Joe B.,"New York, NY",5,32,25
5.0,4/11/2019,"bold, rich flavors on every plate. every time I go to Pig and Khao the vibes are great, the food and drinks are amazing, and the experience is A1. The staff suggestions are always good if you're not sure what to get. The grilled octopus..",0,0,0,Chris F.,"Jersey City, NJ",313,33,36
5.0,4/9/2019,"This is probably one of my favorite spots in LES!  The papaya salad and pork belly adobo is a must try.  Love the atmosphere as well, from the music to watching the chefs cook right in front of you! Don't skip out on dessert either! The Halo-halo which is a traditional Filipino dessert, is the perfect night cap.  Overall, must try!",0,0,0,Brittany T.,"Brooklyn, Brooklyn, NY",266,1,5
4.0,4/2/2019,"This was my first dinner in New York and it didn't disappoint. They were really busy so we were seated at the Chefs Bar... what a treat! We got a great view of the kitchen,  the food all looked and smelled incredible! We ordered the Baby back ribs, Papaya salad, Ka Prow and Coconut rice, and washed it all down with some craft beer. Everything was delicious!",0,0,0,Kylie P.,"Ivanhoe East, Australia",0,1,1
5.0,3/29/2019,"I could eat out every meal for my entire life and still not get to every good restaurant in NYC! Had a colleague/mentee pick this place and my goodness was it delicious...a unique fusion of Filipino and Thai... But it was more than just the food and company... The tables were set close together in a Parisian brasserie style... Conversations were loud or else, you wouldn't be heard... The staff was super attentive... And the open kitchen was smaller than most people's bathrooms... It was perfection in a meal...",1,0,1,Eugene J.,"Duluth, GA",259,137,700
5.0,3/29/2019,Came here a couple of times with my fiancé for brunch Amazing food and best believe if you do the unlimited you are gonna leave a little tipsy but that's what brunches are for.,1,0,1,Julio M.,"Manhattan, New York, NY",164,4,0
3.0,3/26/2019,"The food at Pig and Khao was admittedly tasty. However, the hostess was quite rude, which really took away from our enjoyment of the meal and restaurant.",0,0,0,Winston H.,"Bryn Mawr, PA",275,7,0
2.0,3/25/2019,"It's alright. I've had better.As other reviewers mentioned, the food is family style--make sure you try different things--but don't go hungry unless you're willing to drop extra on the sides. The bottomless mimosas were very meh. There's four flavors and they all tasted like bland, sparkling, bubbly base. White peach had a stronger hint of white-peachiness but the rest were interchangeable. 2/5",0,0,0,Ruth K.,"Queens, NY",0,6,1
4.0,3/24/2019,"Finally made it in to this LES gem, ordered the pork jowel , Khao soi, butter prawns and the fried chicken. The pork and Khao soi were excellent, prawns and fried chicken were really good too. Had some cocktails which were serviceable but I would just get beer or wine in the future. The music was on point, great hip hop mix. I would be here every week if I lived closer. Don't ever change!",0,0,0,Joseph V.,"Shokan, NY",36,16,3
4.0,3/23/2019,"Came here for brunch on a Saturday afternoon to celebrate my friend's birthday. Making a reservation was fairly easy and I did so online. The dishes here are family styled and I'm glad that we shared. Although some of the dishes were super tasty, they were more on the heavy side. I liked how some of the dishes were accompanied with a small side salad to lighten up the dish.Our group also decided to partake in the bottomless drinks for brunch. We liked the lychee mimosas and enjoyed how they weren't syrupy like most places. Service was decent as well but a little delayed when it came down to ensuring that our water bottle for the table was filled. My only complaint is that there is a single bathroom in the entire restaurant. For a place to have bottomless brunch and a single bathroom, it doesn't really add up. I had a couple of friends who would be waiting in line for about 15 minutes just to use the restroom!",1,0,0,Tiffany N.,"New York, NY",395,180,239
3.0,3/23/2019,"I came here for an event, so I'm actually not sure if the regular dining experience is reflective of the thing I experienced... still, I can give it a shot.One of the more interesting things that I tried here which I'm not sure I understood was the coconut rice- people raved about this thing, but I actually don't think I could taste any coconut in the rice. I suppose the coconut didn't get mixed in to the portion that we were eating, which is kind of unfortunate. Still, I don't understand how this happened.We also got to try a few other dishes, such as the white pepper lobster, and the sizzling sissig. The lobster was of course excellent, but a think a lot of this I would credit it to simply being lobster (this stuff is hard to mess up). The sissig I actually thought was a little disappointing, because it lacked any kind of distinct flavor that I was anticipating. In the end though, I thought it was fine.Dessert was halo halo. I should really stop eating this stuff because I just fundamentally don't enjoy eating desserts made of ice. I will try to come back here for the brunch, because honestly I ate here so long ago, I'm not sure if my memory is serving me correctly.",1,0,1,Matt L.,"New York, NY",108,694,604
5.0,3/23/2019,"This restaurant is BOMB. Food and drink here is SO good. If you like spicy food this is the place to be. There is variety on the menu and EVERYTHING tastes good. The coconut rice is to die for. The wait is worth it for this place. It is cozy, workers are extremely helpful and all the drinks are also realllly good. Great Friday night spot for eating before going out. Definitely recommend eating here if you're in the area!",0,0,0,Xty H.,"New York, NY",2,48,5
4.0,3/22/2019,"Still 4.25 stars. I just returned to this busy spot and, again, had a great meal. I ordered the same dishes I did last time: the pork jowl, the sizzling pork and the curry noodles... all very good. Then we got the bbq ribs and although sizable, they were just ok. I think the sauce was a little too sweet (but I guess it's very subjective). Do order the coconut rice! Overall, this is a solid place to have yummy and creative food. Prepare yourself to yell, as it's very noisy.",7,0,4,Giacomo C.,"New York, NY",1774,1258,2821
5.0,3/16/2019,Really really good food. Drinks were also amazing. Can't complain prices and food and quality of service were excellent,0,0,0,Kate R.,"Brooklyn, NY",3,24,3
5.0,3/16/2019,Absolutely loved the food. Went here for restaurant week $42 pp four course meal. Proportions were the same as regular menu unlike other restaurants. Pig jowl with Brussels sprouts was my favorite. Coconut rice also delicious. In fat all the food was good. I wasn't fond of the Halo Halo..the oats made it taste like cold cereal. Another place I would definitely go back.,0,0,0,Kit L.,"Flushing, NY",37,10,2
5.0,3/13/2019,"Seating can be a little tight, but it really doesn't matter when the food is this good. I ordered about four dishes, which were all amazing. You seriously cannot go wrong with any of the food here. If you're one that can't handle spiciness, be careful with the mushroom salad... and MAKE SURE YOU GET THEIR COCONUT RICE! I had trouble deciding on which cocktail to order from their list (and I forgot which drink I ended up ordering) as they all sound amazing. Always crowded, especially during dinnertime. Luckily, I didn't have to wait for a table too long.Definitely a restaurant that I'll visit again and again-Gotta come back for more coconut rice!",3,0,1,Annie M.,"Manhattan, New York, NY",7,106,784
5.0,3/13/2019,"Went on a Saturday night and didn't wait more than 15 min for a table. It was awesome watching Chef Leah expedite in the open kitchen. The servers were all kind and attentive. Got the Khao Soi, Green Papaya Salad, and Pork Belly Adobo. All were delicious and came out quickly. Looking forward to going back.",0,0,0,Janet L.,"Manhattan, New York, NY",0,9,0
5.0,3/10/2019,The baby octopus was the best with a little spice and a nice lime vinaigrette. Definitely my favorite. The pork belly was great. Loved the coconut rice. Would definitely return,0,0,0,Deanna B.,"Lake Charles, LA",4,57,15
1.0,3/8/2019,Most of the food was bland and definitely not worth the money which was unfortunate because I  had heard so many good things about this place,0,0,0,Ashley F.,"Brooklyn, NY",53,3,0
