rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/24/2019,Everything was absolutely delicious particularly the Brussels sprouts and chicken dish. Ambience was great but service was mediocre.,3,0,1,Megan G.,"Fort Greene, Brooklyn, NY",0,9,0
3.0,3/24/2019,"My friend made a reservation for 8ppl on a Friday evening.  The hostesses were warm & friendly and the waitstaff was great being professional and on top of everything with the orders, keeping water glasses full, and drinks flowing. The restaurant has a lovely warm & contemporary look and feel.  I read some reviews prior to dining here and the bad ones were true.  Portions are small.  My husband & I ordered 3 apps and 2 entrees to share.  Although delicious we were still hungry after dinner that we munched on leftovers when we got home.  It was a pretty pricey dinner for the portion size.  Also there was a long lag time from the apps to the entrees.  My friends said that brunch is great, so I might try that some day, but I wouldn't go back  for dinner.",0,0,0,Brian P.,"New York, NY",4,72,4
5.0,3/23/2019,"This place is amazing! The perfect farm to table restaurant serving delicious cocktails in a beautiful/nature like ambiance. Loved the food though portions are not big (as expected) for the price. The presentation is outstanding (with flower pedals in our desserts!). This is exactly what I was looking for when making a reservation for a date night with my husband. We also got one of the best seats in the restaurant that was a corner booth (so neither one of us stared at a wall, we both looked at the beautiful restaurant). The waiters were courteous and quick.",0,0,0,Roddy D.,"Westlake, Los Angeles, CA",0,9,9
4.0,3/10/2019,"Went there during the winter RW. Everything was good except for the waiting time in between dishes. The average waiting between each dish was at least 20 min. We ended up having the meal for over 2 hours. Other than that, food was good. The RW menu was totally worth it. Decor was great for any occasions.",0,0,0,Yulu H.,"New York, NY",7,292,507
5.0,3/6/2019,"Excellent food, great service, thanks to Bradley the server and Kara the sommelier, made our night wonderful!",0,0,0,Ching Po H.,"New York, NY",1,21,32
3.0,3/4/2019,"I have to give this place 4 stars in terms of space & ambiance.The decor is extremely beautiful and welcoming. The only reason I'm giving it 3 stars is because although the food was perfectly fine, I just didn't think it was worth the pricing. I understand that this is an upscale restaurant, but even so - I didn't leave feeling sure that I would recommend it to other people.I went for lunch on a Friday and got the Sullivan County Chicken.It was $36 for 3 pieces of chicken. Again, tasted okay - but wasn't enough to satisfy my hunger.",0,0,0,Hannah J.,"SUNNYSIDE, NY",144,82,73
5.0,2/27/2019,"Omgggg everything I ordered was so tasty and delicious. I highly recommend the Brussels sprouts , they're to die for! The afogato is also highly recommend!",0,0,0,Karen J.,"Manhattan, New York, NY",0,6,0
4.0,2/18/2019,Great service and friendly staff.  The appetizers were very good.  Brussel sprouts were fantastic and so were the oysters. The duck and risotto were the best entrees. Steak wasn't amazing. Great drinks. Overall pricy but very tasty.,0,0,0,Oleg D.,"New York, NY",0,14,3
5.0,2/13/2019,"Omgggg everything I ordered was so tasty and delicious. I highly recommend the Brussels sprouts , they're to die for!",0,0,0,Michelle A.,"New York, NY",0,4,1
5.0,2/3/2019,"Solid spot. My first time dining was back in 2015 and I remember the food being great, so when I saw an open reservation spot for Friday night, I decided to check it out again even though I typically try to explore different restaurants as opposed to going back to the same one. The ambience is great for both date night and group dinners.I didn't realize that it was Restaurant Week, so it was a 3 course meal for around $45 + $12 for wine. We both decided to opt for the prix fixe. We ordered the salad and squash soup to start. Salad was a good portion and had anchovies. Soup had ginger in it, so it was spicier than I had expected, but good for a cold day. For our mains, we had the sunchoke risotto and the fish (I believe it was sea bream). Both were excellent, and the risotto was very filling despite the smaller portion. The desserts were decent but nothing to rave about. One was a parsnip cake and the other was an adffogato. Overall, a great meal.",0,1,0,Rebecca L.,"Manhattan, NY",23,50,29
