rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/23/2019,"Good food, but okay service and overpricedCame here twice for dinner. Neta's menu selection for dinner is very small - only sushi and some tiny starters. No set, no poke... I spent $50+ here but still left a bit hungry",2,0,1,Wenye X.,"New York, NY",315,113,255
4.0,4/12/2019,"I'm surprised I've never heard of Neta before my out of town friend suggested coming here for dinner. Besides omakase, Neta has an amazing happy hour dinner set for $75. There is so much food! Tasty salad, scallop, crispy rice and best dessert! One star off for not having a better sushi selection. Sushi is your basics with a little sauce on it etc - could be more creative and add at least a couple interested pieces of fish. Tasty overall and nice simple atmosphere. I would definitely go back.",0,0,0,Debby T.,"Manhattan, NY",0,128,196
2.0,4/11/2019,Food was good but overpriced compared to other excellent Japanese places. We went here for a date night and they were nice with taking a pic of us. Location is also kind of out of place just off NYUs sprawling campus. I guess it's a good place to go to impress a date so we personally wouldn't go back. Bill was jaw dropping.,0,0,0,Emm C.,"Queens, NY",150,892,51
4.0,4/2/2019,Got the lunch deal. The bowl with salmon tartar was very good. The unlimited tea was nice. The sushi afterward was decent.,0,0,0,Yussef A.,"Manhattan, Prince, NY",0,55,0
2.0,4/1/2019,"At the restaurant now doing the mid tier omakase. Very disappointed. Fish does not melt in your mouth like at other restaurants. Not only that, but there were a lot of nerves that make it hard to bite it in half. No special presentation. Just regular cut fish.",0,0,0,Kevin W.,"Brooklyn, NY",0,1,0
5.0,3/25/2019,"Dined here back in February for their restaurant week lunch. It's always a treat to splurge and treat yourself while in NYC. It pains me to say as a Chicagoan that overall New York and the east cost beats the pants off the Midwest for Sushi. I'm reminded of this frequently, but the pain is quelled by the delicious, fresh joys of restaurants like Neta.The Neta's prix fixe menu was generous and provided a nice range of choices. I went with the assorted sashimi, added the Toro Caviar, the Umami Donburi bowl, and finished with a Monaka and banana ice cream.Each piece of sashimi was well cut, flavorful and distinctive. I really savored the individual fish pieces and miss that freshness. The Toro Caviar was presented with crust less toast, with a sense of flare and class in dish. It was decadent, mouth-watering, and well matched with the light crust of toast. Well worth the splurge. It was not overwhelming, more mild, then a finish of savory salt. Both my umami donburi bowl and my wife's ikura salmon bowl were excellent, I actually preferred the Ikura's raw buttery salmon with simple Ikura. The saltiness of the Ikura roe was all you needed to go with the well seasoned rice.My umami bowl was generous with the umami, balanced with crunchy daikon texture, smooth albacore and the savory Unagi. I think it was more complicated than the rest of our dishes and it's maybe why it felt out of place. I would say on its own it was still an excellent entree. We finished with 2 banana ice cream monakas. It started as one, then after we each had a bite, quickly decided we need more of this in our lives. Right now. Distinctive homemade miso banana icecream really featured the banana and a sweet, caramelly finish, coupled by an impossibly crisp and light monaka sandwich. As I write this, I'm salivating. Service overall was excellent, attentive, prompt, and polite. Props for handling the bustling Monday lunch crowd.",0,0,0,Cary C.,"Chicago, IL",7,71,38
5.0,3/17/2019,"Great, extremely fresh sushi. Perfect experience sitting at the bar. Creative cocktails too. The scallop sashimi was particularly good",0,0,0,Alex M.,"Washington, DC",0,34,0
5.0,3/1/2019,The sushi are sooooo good! I prefer soft & sweet sushi to firm & sour ones. So Neta is a perfect sushi place for me. I will definitely visit back every now and then.,0,0,0,Aria H.,"Morningside Heights, Manhattan, NY",58,37,0
5.0,2/20/2019,"Really great food! Have been eyeing this place for a while and we caught restaurant week menu. What a treat! I think this was the best restaurant week deal, in terms on quality and quantity that you get for your $42 dinner.  Small space but it's cozy with open kitchen. Very attentive staff. Will be coming to try more menu items and some of that Osetra!",2,0,1,Natalia B.,"Brooklyn, NY",99,38,295
4.0,2/13/2019,4.5 stars . Came here for restaurant week to try out the food and it was amazing. Sushi was fresh and even tho we were an hour late cause of an accident that occur on our way they still greeted us and allowed us to keep our reservation.,0,0,0,Mun Jieh P.,"Queens, NY",361,13,11
4.0,2/1/2019,"Versatile menu for restaurant week - appetizers had the option of sushi or kabocha salad.  The kabocha salad was pretty creative, with a creamy dressing topped with parmesan cheese and pecans and I have to say the flavors and textures worked really well together.  I wasn't as enthusiastic about the chicken main entree though - it was cooked well and for white meat it was relatively tender and I don't have any specific complaints about the way it was prepared but it just didn't pop to me.  The desert was excellent - banana ice cream with a fruit tart that had a perfect level of sweetness.",0,0,0,Lauren H.,"New York, NY",3,127,296
3.0,1/30/2019,"Came for the restaurant week. Nothing special about the food and horrible service. I had 5pcs sushi, they did not put wasabi at all which was odd. And the hanger steak was huge portion but lacks of spices. It wasn't bland but too much soy sauce. Food was okay for the price, but the service was really bad. If you like sushi just choose 7sushi menu instead of restaurant week special.",0,0,0,K Y.,"New York, NY",10,62,12
