rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/21/2019,"Cute and chic brunch spot perfect for two! This place is SO cute. In an old house it's the perfect place to wear a sundress and eat brunch. The food was pretty good, but I am an eggs Benedict CONNOISEUR! It was not the best I've had but pretty good. LOTS of alcohol options if you want to do bottomless. Not really a place for kids but if you feel crazy take em. Nice location. Overall very nice and pretty spot with great food!PS I dropped my knife and they immediately replaced it. It felt like magic.",0,0,0,Hannah M.,"Manhattan, New York, NY",333,1,2
5.0,4/17/2019,"Last night was my second time here and little did I know that this place had so many hidden treasures! We were seated upstairs in a beautiful room. Our waiter, Jared, was awesome right from the start and he only got better as he helped us decide on what to order. I have ridiculous allium allergy issues and he went above and beyond to make sure I would be able to eat something! He was attentive and really seemed to care that we were having a good time. The food was delicious, especially the beet chips, which are a work of art! But, everything was wonderful and I was able to enjoy my meal without fearing there was hidden garlic or onion. Highly recommend!!",0,0,0,Gene-Manuel W.,"Los Angeles, CA",12,5,1
5.0,4/11/2019,"My daughter had her wedding party for about 100 guests . Everything went smoothly . The helpers ( under David's supervision) were  actually helpful. The food was good, especially octopus, heard good things about gnocchi with mushrooms- but never had a chance to try. The drinks were pretty good, as well. The most important in  Bobo is  it's unique atmosphere and  inner energetics,  so you feel serene  and festive  at the same time. As we mostly tried  refreshments, I will definitely come for a more substantial meal and will keep you posted. Special thanks to David - his professionalism and charisma are outstanding! Thank you, dear David! I am sure Ksenia and Max enjoyed this memorable evening a lot!",0,0,0,Zoya S.,"New City, NY",3,47,29
5.0,4/6/2019,"Oh my goodness. Everything's good here! Octopus, filet mignon, and chicken liver were my top favs!The steak was so perfectly cooked and it was very juicy, I was not disappointed! It has a very peppery coating which was a little bit intense but the flavor was so good.The chicken liver had a sweetness to it that I liked. We were all fighting for the dish. Beet chips were good but I don't think it's really worth it. The salmon entree was a bit more rare than I'd like so I'd say it was my least favorite although it was tasty. The salmon tartare however was delish! The bleu cheese from the cheese board was sooo creamy, I'd get it again and again! The Malbec was my favorite wine, definitely get the bottle. The atmosphere is very cute, good for a date night or out with friends and the service was friendly and attentive. I would definitely recommend it and return!",1,1,1,Annie C.,"Flushing, NY",105,61,188
5.0,4/5/2019,"I fell in love with BOBO last night !!  Sat at the bar and service was impeccable, friendly , and attentive.  Classy music and elegant atmosphere.  The food was as tasty as it was beautiful, and manager David came over and was genuine and friendly, such a relief to find a wonderful, friendly dining experience in the West Village.   Can't wait to come back for brunch!!!",0,0,0,bonnie r.,"New York, NY",1,7,0
5.0,4/4/2019,"This is a charming, deceptively elegant restaurant. The quality of each dish was top notch. The creative marriage of flavors coupled with a charming atmosphere make this a must-try. We had a variety of appetizers, several mason dishes, and desserts. We are already planning when we could return.",0,0,0,Mark Z.,"Scotch Plains, NJ",113,50,16
5.0,4/4/2019,Had a lovely dinner with friends. The space is really charming! We all ordered different items but shared a few bites around the table. Everything was delicious! Hoping to eat in the garden one of these days. Service was friendly and attentive. Will be back soon!,0,0,0,Gloria G.,"Manhattan, New York, NY",0,4,3
5.0,4/2/2019,Absolutely excellent restaurant on all fronts.  I was curious as to what this place would be like because I had heard good things but then also saw a lower than expected rating on Yelp.  No idea why because this place was outstanding for us last night.  Five of us went here to celebrate a friend's engagement-- they immediately brought out champagne for us upon seating and the service was top notch throughout.  The place itself is super charming.  Feels like you are eating in a beautiful french home.  The cocktails and food was also superb.  I had the crispy skin salmon and it was delicious.  We will certainly be back -- especially to enjoy the garden rooftop during the warmer months.,0,0,0,Amelia M.,"Brooklyn, NY",0,13,0
5.0,3/25/2019,We ended up dipping in here for an afternoon drink at the end of brunch hours. We were seated in a green.house type structure in the back- super cool! We ordered cocktails and the waiter was upfront in telling us the bartender was a little backed up which was appreciated. We hung out and had another drink. Great service and atmosphere and the French inspired brunch menu looked good! Would go back if in the area again,0,0,0,Kristen H.,"Greenville, PA",121,81,28
5.0,3/24/2019,They have the best brunch! The servers are so very polite and the interior is absolutely gorgeous. I had my birthday brunch here and I would easily do it again next year. Sit upstairs. The light streaming in from the window is so very cozy. You'll easily feel at home.,0,0,0,Lisa F.,"Manhattan, New York, NY",173,1,0
5.0,3/9/2019,"Food and ambience was excellent! This is a gorgeous space in the West Village with a great boozy brunch option and an outside garden, which I can't wait to check out when it gets a little warmer. Highly recommend the omelette provençal. Our server Jared was attentive and engaging- definitely ask for him if you stop by :)",0,0,0,Audrey G.,"New York, NY",85,7,1
5.0,3/5/2019,"Outstanding!!!!great foods, great service!!!It's a really hem in the Heart of west village!!!The croquettes, the octopus and the steak ai poivre fantastic!!!!I love Rosemary's too!!!Check it out",0,0,0,Gemma C.,"New York, NY",69,17,5
4.0,3/3/2019,"Unsuspecting by the outside, it is gorgeous on the inside. Feels like you are in someone's home. I have been here a few times over the years; romantic winter date nights or a summer night out. The best seating is right before the outdoor patio with the glass ceiling. Food is good but not great. Which fits with the price for NYC. My favorite is the tartare and scallops",1,0,0,Megan R.,"Philadelphia, PA",190,32,15
5.0,2/27/2019,"I originally was going to go to the brunch place next door, but the manager spotted me and my friends outside and we instantly hit it off with him! Awesome guy and we had an amazing time and food at brunch! Inside is so cute and comfortable, I am so happy we ended up here!! Can't wait to be back!",0,0,0,Savannah M.,"Mahopac, NY",221,6,2
5.0,2/24/2019,"My two children and their spouses joined my wife and I this Saturday evening. From beginning to end everyone and everything was great. Special praise goes to our server Maggie. Professional, knowledgeable, helpful and more. Will recommend and return.",0,0,0,Theo G.,"Englishtown, NJ",0,1,0
4.0,2/22/2019,"A magical space with delicious food and excellent service. Docked one star for being loud, which really doesn't go with the rest of the vibe (NYC restaurant world, I will never understand your challenge with acoustics).",0,0,0,Susan B.,"Sunnyside, NY",3,95,7
4.0,2/20/2019,"Had birthday dinner this week with my boyfriend and friends.It was lovely.Tuesday night was not too busy, relaxing and quiet.Our server was very kind. Cocktails were tasty, wine selection was solid. Food was really good. We all agreed the gnocchi and au poivre fillet mignon were delicious. None of us were fans of the swiss chard, which tasted very acidic. The interior is cozy and cute, the music was pleasant and allowing for a conversation and laughs at the table. We enjoyed everything from starters to desserts and had a lovely evening.",1,0,0,Sylwia K.,"Brooklyn, NY",112,9,3
3.0,2/15/2019,"The place is cute, but there were some disappointments. If I have an opportunity to rate as 3,5, I would.We came here for valentines day to have a dinner with my husband. While we were searching where to go, we went to there web site which never mentioned that they have only pre-fixed menu that day ( we never go for prefixed one, cause it usually garbage), so once we get to the BOBO, we were forced to order from valetines dinner menu. For starters we ordered octopus, which was good and my husband enjoyed it, I got scallop tartar which was one note taste with too much oil, it needed some acidity and some herbs to elevate the flavor. As far as I know it also should go with some rey bread/chips which were not there .For the main course I got salmon, which was a bright light in the darkness. My husband got steak, which was cooked good, but needed salt and paper, nothing special, besides the paté that how's with it.Desert were good.",0,0,0,Aleksandra E.,"Brooklyn, NY",0,72,159
5.0,2/13/2019,"Second floor is super cozy and pleasant.  Delicious cocktails and dinner (highlights were chickpea fritters, grilled octopus, roast chicken, and some delicious blueberry bread pudding).  Service is friendly and helpful. Will definitely be back!",0,0,0,Sara S.,"Manhattan, NY",2,69,0
4.0,2/9/2019,"My friend found this cozy French restaurant for a get together dinner. The restaurant has two levels. The first level is the bar, so it's quite noisy and cold during the winter. The second level is much quieter with dim lighting.I ordered the homemade potato gnocchi that came with cremini & maitake mushrooms in a porcini-cognac cream. I wasn't expecting to have such good gnocchi here. The texture was very soft and pillowy. I liked the extra crunch from the fried cremini mushrooms. I wish they gave more maitaki mushrooms though. For the group we shared some fries, which could have been more crisp, and a plum tarte du jour. The waiter kept on saying the tart was too small to share for our group of five, but when it came out the slice was huge and easily shareable. Although I had more than my share of bites because the crust was so tasty. I would come back just for the gnocchi and plum tarte.",13,7,12,Jocelyn K.,"Jersey City, NJ",479,885,4955
5.0,2/2/2019,"Maggie, you are the best! Server extraordinaire!! This was an amazing experience and we can't wait to make it a regular occurrence every week. Thank you thank you! Much love, Maggie!",0,0,0,Donovan F.,"Manhattan, New York, NY",0,1,0
5.0,2/2/2019,Maggie is amazing. The garden is incredible. There's a secret upstairs. The dessert is so great. We'll be back every weekend.,0,0,0,Laura H.,"San Clemente, CA",159,9,3
3.0,2/1/2019,"Better than 3 but less than a 4. Came here with a group of friends for restaurant week.  For our first course we ordered soup, salad and steak tartare. Steak tartare was the table favorite and was delicious . For entree our server highly recommended the BOBO cassoulet. We got that and the health conscious in the group got the trout. The cassoulet was definitely a disappointment after all that was said, it didn't match our expectation. It was too dry and not what we expected a stew dish to be. We followed this my a round dessert - chocolate mousse was delicious though not very light and the lemon tart was too lemony for our liking. Overall good service and decent food!",1,0,0,Aishani T.,"New York, NY",144,21,14
4.0,1/31/2019,"Very good restaurant, highly recommend their gnocchi and octopus appetizers, portions are quite generous, dishes are flavorful and tasty. I was there on a cold monday evening and yet the second floor was almost full. Ambience is lovely.",0,0,0,Ekaterina G.,"Manhattan, NY",0,7,5
3.0,1/14/2019,"We had dinner at this place and it was acceptable.  Started with the brandad croquettes (salt code with olive tapenade) which was good and the grilled octopus, which was so so, the octopus was done well but the sausage was extremely dry, crunchy.  We had the cod for the main.  The portion seemed a bit small and the skin was a bit more rubbery than it should have been.We were seat by the door and it was a bit chilly.All in all, ok, but not some place I would return to any time soon.",0,0,0,K. C.,"New York, NY",1,238,0
