rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,Great food! Lovely location. I tasted the gnocchi my wife had ordered and it was probably the best I've had! The lamb raging was great as well as the gnocco fritto!,0,0,0,Ruben G.,"Rancho Cucamonga, CA",23,8,1
5.0,4/18/2019,"Nice place. A lovely location in the West Village a few miles outside Midtown. This is Italian cooking at it's best. Restaurent is lively and there's a wide choice of starters and main courses with all the usual favourites. The fish main, the pasta course and the cheesecake all 10/10. Our service was also great.",0,0,0,Ella A.,"Manhattan, New York, NY",57,12,9
3.0,4/3/2019,"Not a bad spot but wasn't great either in my personal opinion!Had a reservation and upon arriving decided to sit by the bar. The place is really cozy and cute and the hostess & bartender were welcoming. It could be that I just ordered the wrong things on the menu. I am typically the one who would go for a pasta dish, but decided to try their branzino. I felt that it tasted a bit fishy and bland. Also tried two of their red wine selections and they weren't the best. My friend got their Spaghetti Schizzetto and enjoyed her meal.We also shared the Insalata Riccia and it was delicious! I would be open to trying again and getting something different from the menu.",0,0,0,Hannah J.,"SUNNYSIDE, NY",144,82,73
5.0,3/30/2019,"We had an amazing experience at this place! We made reservations for 9 and they were so gracious when we called to say we were running 20 minutes late. When we arrived they were welcoming and friendly. We were there to celebrate my mother's 85th birthday and they made the whole experience perfect. And on top of all that, the food was amazing!  Every element: the cocktails, the apps, the entrees, the dessert and the service!  We loved it and we will be back. Thank you Rafele's for making my mom's birthday dinner a great one.",0,0,0,Ruth H.,"Saint Louis, MO",35,26,5
4.0,3/16/2019,Really nice place.  Interesting seating.  Surprisingly good space-pleasant and not too noisy.   Food was excellent.  I had spaghetti with tuna and anchovies.  Good bread with an eggplant spread.  The octopus was also very good as was the roasted cauliflower salad.  Very pleasant experience and I plan to be back.,0,0,0,Mike H.,"Madison, NJ",0,40,0
5.0,2/19/2019,"An amazing Italian restaurant! While visiting NYC we were looking for an authentic experience. Rafael exceeded our expectations. The restaurant is cozy and still accommodated our large group. We all ordered different dinner items and each of us thought it was the best Italian we've had. I had the gnocchi and oh my it was delicious. To top it all off you must try the cheesecake! The smoothest, most incredible cheesecake I have had tried. Overall, you must check it out!",0,0,0,Jessie L.,"Williamsburg, MI",280,12,2
5.0,2/6/2019,"Fantastic addition to Rye! The place is gorgeous with an upscale ambiance, and the food is impeccable to match. The chef/owner Rafele was on the premises and personally came over to; which us made our already great experience that much better. Would highly recommend.",0,0,0,Samantha L.,"Eastchester, NY",201,21,23
4.0,2/1/2019,Always a good meal  with Great service. Sometimes you will bump into a TV personality.,0,0,0,Nadeem H.,"Great Neck, NY",0,6,19
5.0,1/17/2019,The restaurant is very cozy and friendlyStaff. Good is wonderful. Great place to meet friends .Highly recommend.,0,0,2,James M.,"New York, NY",43,201,454
5.0,1/15/2019,"Great Italian restaurant in the west village with a great menu and awesome vibe. The wine list is great. This venue is a great place to have a business dinner or a party such as, an engagement party, baby showers, rehearsal dinners and birthday parties. This restaurant truly makes you feel at home or like you're in Southern Italy. Also, they have AMAZING pasta!",0,0,1,Brittany S.,"New York, NY",756,117,177
3.0,1/8/2019,"Not a bad spot but not quite right either.  We came here for lunch on a Friday and it was fairly quiet (but also pouring rain outside).  As a group of 4, we tasted a few dishes and most of them were pretty good. Highly recommend the fried artichoke and fritto misto appetizers, and our friend really enjoyed the cavatelli dish.  My wife had the bolognese which she found OK, and I got the fusilloni cacio e pepe which was a bust sorry to say (I'm still searching for my favorite in the city). Service was quick but absent (although waters were properly refilled). We previously loved Da Marcella but upon its unfortunate closure, we are searching for our new cozy Italian spot - the search continues.",0,0,0,Chau N.,"Fairfax, VA",79,133,197
4.0,12/30/2018,"The gnocchi was very good. We got two bottles of the $48 Chianti for 5 people, it was good for being one of the cheapest wines on the menu. There is a downstairs seating area that is a little more quiet than upstairs, and accommodates larger groups. They take reservations but won't seat you until everyone has arrived",0,0,0,Nancy B.,"Ridgewood, NJ",2,68,19
5.0,12/20/2018,"If you are on this page right now, you are probably debating coming here. Dont. Just come here. Trust me. I dont write reviews unless it was horrible and they did nothing to fix it, or unless it was perfect in every way. Rafele is perfect in every way possible. Chef Rafele's restaurant makes you feel as if you are eating in his kitchen at home. From the appetizers (get the Romeo's Favorite), to the Pork Cheek pasta (my favorite) and to the most amazing award winning Italian cheesecake, Rafele Ristorante is truly a magical place. The staff there is SO attentive and they take care of everything before you even ask. Tomasso was topping our wine glasses off before we could even think of it, and even gave us a few extra splashes. I have been here 6 times already in 3 months, and there is no stopping me. I have brought my wife, couples, coworkers, and family here. Thank you Chef and thanks to the amazing tram at Rafele Ristorante.",0,0,0,Romell B.,"Hoboken, NJ",6,25,1
5.0,12/15/2018,"This was a lovely lunch for my friends and me. We were a small group, able to get seated, enjoyed the drinks, coffee, and food. I thought the tiramisu was great. Also decorated very nicely for the holidays so nice spacious restaurant in west village",0,0,0,Liz K.,"New York, NY",0,22,0
5.0,11/12/2018,"I absolutely love this restaurant! By far my favorite Italian food in NYC! Everything is made of delicious, fresh ingredients. The Pizza Rafele is my favorite. Definitely worth a trip here!",0,0,0,Chelsi B.,"Lake Charles, LA",1,4,0
1.0,11/11/2018,"DO NOT GO. Food was okay (mediocre Italian at best), but i have to say do not here because of the horrible customer service. came in here on a sunday night and unfortunately got who i can only assume was the manager on duty as our waitress (woman with short black hair). she was more concerned with chatting with friends than taking our order. so much so, that two separate waiters needed to remind her to come by our table and take our order/bring our food/deliver our check. completely ignored us like we didn't matter. standing at the table next to us talking to people she knew for TWENTY minutes before she even asked us for our order. absolutely horrendous. for these prices go somewhere else where you are treated like the paying customer you are. i've lived in manhattan for my entire life and never received such poor service. Do better.",2,0,0,Ali D.,"Manhattan, NY",0,5,5
5.0,11/4/2018,"We made a reservation for dinner on a Saturday night and this place did not disappoint! We asked about the chef's tasting menu and definitely left with the biggest food babies we've ever had. We started off with the Burrata, then oysters/meatballs, then were given the Ravioli Di Spinaci and then the main course of scallops and Tagliata Di Manzo with some Cavolfiore. To end the night we were given the AHMAZING cheesecake. Do not leave this place without ordering a slice of their cheesecake, it will be the best cheesecake you'll ever taste. Our waitress Christina was very helpful and accommodating when we told her some dietary restrictions when it came to the tasting menu and it was executed perfectly. Will definitely be coming back with friends and family. The atmosphere was upbeat and personable, you could tell people were regulars at this establishment and that all are welcome. Highly highly recommend!",0,0,0,Lauren B.,"New York, NY",95,9,2
5.0,11/1/2018,Outstanding service and food! Bartender suggested the perfect wine too. Went back the next night.,1,0,0,Ali S.,"Marietta, GA",83,9,3
3.0,10/24/2018,Had a nice lunch at Rafele today and the service team was very attentive.  No reason to say it was better than OK as there are so many great Italian restaurants in NYC.  Started off with a nice salad that was well plated and then followed up with a dish of pasta.  The sauce was good and overall the pasta was served Al dente which is always appreciated especially when you don't ask for it.  I would come back for dinner to give it a real test but for lunch it was as good as I expected.,0,0,0,George S.,"Newport, RI",286,234,43
2.0,10/13/2018,"Sorely disappointed... what a joke. Ordered a $14 plate of eggplant with only 3 small slices, lacking flavor. Wasted time and money. Do yourself a favor and head a couple of blocks up to Bleecker street pizza... more for your money and quality choices.",0,0,0,Molly B.,"Jersey City, NJ",34,29,0
5.0,10/12/2018,Love this place.  Fantastic sangria and great outdoor seating is also nice.  The chef is wonderful and this is truly a phenomenal dining experience.  A must try when you're in town.,0,0,0,Jadene P.,"Cincinnati, OH",82,78,60
5.0,10/11/2018,"I love this place!! And what makes it even more special is Christian Savaglia who works there. He is so kind, generous, attentive and immediately makes me feel at home here! Will definitely go back and recommend to friends from in and out of town!!!",0,0,0,Amanda L.,"Woodbridge Township, NJ",0,1,0
3.0,10/9/2018,"Restaurant is overrated.  Tried to book a table for 2 at 6.45 p.m. on a Friday through Open Table.  There was nothing available until 9 p.m.  Called restaurant at 5 p.m. Hostess put me on hold and told me there was nothing available but she would try to find me a table.  After waiting for a minute. She said she could accommodate. When we got there, the restaurant has two entrances.  One entrance on the left has a chain put just a foot from the ground. There was no sign anywhere to say that was not an entrance.  I tripped and fell.  There were two tables of customers right by that entrance and both said that happens a lot to many other patrons. I complained to the hostess and her only comment was, ""you should have seen the chain.""  Really???  They are begging for a law suit.  I complained to the manager and suggested that they should put a sign there so customers don't trip over the chain.  She did not even say thank you for the suggestion.  We were at restaurant from 6.45 until 8.  There were plenty of empty tables for two.  Wonder why it was so difficult to get a reservation.  One other thing was about the bread plate.  We were sitting near the bread plate prep bench.  The server was using hands to remove bread from a larger basket to put to the plates and then using his hands to wrap the bread to keep them on the plate.  I would have prefer the server use thongs instead of hands or server should have had gloves on.  On menu, one appetizer says crab cakes ... I asked how many cakes.  Server said 2 but then when dish came it was just 1 crab cake.  I complained to no avail.  Pasta was okay.  Overrated ... there is much room for improvement.  Don't think I will go there again.  Restaurant is not customer focused.",0,0,0,Lisa P.,"Rancho Santa Fe, CA",0,15,0
3.0,9/21/2018,"Took advantage of the nice weather by stopping by here on a Wednesday evening. Both inside and outside seating with plenty of tables available. Took a little while to get seated, but immediately got menus as we sat down.No happy hour to speak of, but each table gets a free basket of oven baked bread (and vegetable medley for dipping). Excellent starter as the bread is crisp yet soft, and the veggies add a bit of sweetness. To drink, settled on a glass of the Montecucco ($12); a heavy red that's best to sip on. Oddly, the wine was served cold while also inside a chilled glass, which didn't seem correct though not enough to make a fuss. For food, split the Ravioli Spinachi ($19) and Gnocchi Pignatiello ($18). Pastas are delivered to the table within 15 minutes; realized soon enough that the ravioli was lukewarm while the gnocchi was piping hot. Both dishes are swimming in a semi-sweet tomato sauce, as the gnocchi also has a nice melted buffalo mozzarella on top. Ravioli contains a mixture of spinach and cheese that was also lukewarm at best. Service is a bit up and down; took a while for someone to acknowledge we needed a table, fast table service, then almost 20 minutes to receive the check. Pasta is fine, depending how long the food was sitting out.",3,1,3,Shaji K.,"Queens, NY",289,1569,1552
2.0,9/15/2018,"Came in with high expectations for this restaurant after the Yelp reviews & a recommendation from a friend but ended up being disappointed. To recap:- Glass of wine {12} : Wine pour was small.- Stuffed zucchini blossom special {$15} : Advertised to make you think you were getting all blossoms when in reality you were only served 3 blossoms and also served plain, in-need-of-salt, fried zucchini slices that were not stuffed.- Spaghetti alla chitarra was served in a soup of oil. For $18.00. - Chicken dish cost $27 and wasn't served with a side. It was just a piece of chicken with a garnish of four little french fry sized carrot strands.The only good thing was the bread basket - toasted bread and warm pieces of focaccia. We didn't bother with dessert.FYI - If you are a party of 2 and dining inside be aware that those tables are on top of one another, so you are basically dining at the same table with other strangers.",1,0,0,Christina C.,"New York, NY",26,55,127
1.0,9/5/2018,"I'm very confused by all the great ratings here. Food was fair. Shrimp was over cooked. Spinach ravioli was bland and undercooked. Even the Coke was flat. Service was absent, pretty much but kind when she arrived. Very disappointed in my first meal in NYC.",0,0,0,El W.,"Richmond, VA",0,6,2
