rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/29/2019,"Went there for a late Saturday brunch, and the only complaint I had was being sat an hour late for our reservation. The hostess didn't really seem to care that we had waited for an hour and people around us with reservations after ours wee sat before us. They did give us free drink tickets while we waited at the bar and then gave up a free round of shots once we did get our table. BUT they sat ten of us at a table made for 5.... It a pretty fun and lively environment. Loud music playing and a big crowd. The place was still packed when we left around 5. Food was decent and came out pretty fast once we ordered and the waiter made sure our glasses were full the entire time.",0,0,0,Dominique T.,"Baltimore, MD",345,4,6
3.0,4/24/2019,Whatever. Drinks were whatever. Food whatever. Waitress useless and think she deserves a huge tip for doing nothing but refilling cups every 20 minutes.,0,0,0,Darien S.,"New York, NY",1,12,4
2.0,4/16/2019,I went here for Sunday brunch with my boyfriend. We made a reservation prior to coming so our wait was only 5 mins. That's really the only reason I'm giving 2 stars instead of zero.  It took nearly a hour before our food arrived. Not once did our waiter come over to let us know the status of our food or apologize for the wait. My boyfriend ordered a veggie burger & it had the option to come with tempeh bacon (vegan bacon). When he got the veggie burger it came with pork bacon on it. WHY WOULD THEY PUT PORK BACON ON A VEGGIE BURGER. When we brought this to the attention of the waiter he seemed to think there was nothing wrong with it. He didn't even offer to correct this error and still charged us for the bacon. Overall a bad experience.,0,0,0,Roxanne D.,"Nanuet, NY",0,4,1
4.0,4/8/2019,"Cool spot if you're wanting a sceney young party bottomless brunch. Great pricing, its $39.95 for an entree and hour unlimited of mimosas, bloody marys, or screw drivers. We were seated right away with a reservation and our server was very attentive, even gave us a cocktail to go and enjoy down by the bar after our time limit was up. VERY LOUD, so make sure you know this before heading there. Lots of birthday parties and ""girls sunday funday"" types. Food was delicious, no complains from anyone who I was with.",0,0,0,Kimberly M.,"Manhattan, NY",447,41,1
2.0,3/31/2019,"Great food, decently good vibe. Honestly pleasant experience until the very end. When dining out I'd prefer not to be berated about how ""terrible"" my tip is or guilted into leaving a higher tip than was initially applied...went from a 4 star experience to a 2 star experience. Likely will not return",0,0,0,Christina A.,"Manhattan, New York, NY",0,2,1
4.0,3/14/2019,"Came in for last minute brunch since another place messed up my reservations.  They accommodated my party of 7 quickly which made us all happy.  Brunch special was good,  everyone enjoyed the food and servicer was attentive for a jam packed place.  One star taken off only because we felt a little rushed to leave.",0,0,0,Kel K.,"Manhattan, New York, NY",0,15,0
1.0,3/9/2019,"As someone who has worked in customer service for years, I can tell you that there's a very obvious difference between an establishment that is overly busy causing neglect of customers and one that simply does not CARE about its customers. This place is a prime example of the latter. IF YOU DONT WANT TO RUIN YOUR NIGHT, do not come here!!! This has been a sincere warning.  Details that transpired are as follows: our food took over an hour to arrive, which in and of itself is unfortunate but ultimately would not have killed the night. What occurred when this was reflected to the manager on duty is what has prompted this bad review. The manager haughtily brushed it off and told us that we should come here expecting to wait an hour. Keep in mind that this is no fancy establishment with five courses, it is an all American bar. An hour is absolutely preposterous. The good news is Absolutely Nothing about this place is unique or special. Hop a few blocks down and you'll run into another handful of these places that will have thousand times better customer service.",0,1,0,Michelle F.,"Berkeley, CA",785,25,12
2.0,3/9/2019,"I came to Essex for brunch and upon ordering my hamburger, I had requested a side of ranch dressing to dip my fries in. Unfortunately, it was brought to my attention by our waitress that this was indeed, a ranch-free establishment. You can imagine my disappointment as no side of fries is complete without a side of ranch to dip them in. Alas, I finished about half of my ""well done"" burger as it ended up being closer to the rare end of the spectrum. Overall, wouldn't recommend.Edit- Asked us to leave 15 minutes early, despite the fact that they sat us down 15 minutes late. Not pleased.",1,0,1,Megan S.,"Brooklyn, New York, NY",0,3,2
5.0,3/8/2019,"Amazing food and happy hour. $1 oysters, cheap cocktails until 8 pm.Came here with a group of 14 and the SERVICE WAS AMAZING. Kayley our waitress was the best. For such a large party she was so on top of it, quick to get us drinks and food, even comp'ed a birthday cake for our friend.",0,0,0,Nick B.,"San Francisco, CA",470,17,0
5.0,3/8/2019,"Despite the mixed reviews, my friends and I had a great time at brunch here! I made my reservation a few weeks in advance, and the place was PACKED so I highly recommend you make one for brunch. They do check IDs at the door, and they don't seat you until your full party is there. Tables were packed and the music was loud so it was a great boozy brunch vibe. We were seated immediately once my full party arrived.As soon as we sat down the waiter was already taking our bottomless drink orders which was nice. He was very attentive and never let our drinks go empty. It's a solid value too for bottomless drinks + entree at ~$36. I like that they had the option for screwdrivers too which is rare at bottomless brunch. We tried all 3 of the drinks and everyone liked them all! The screwdrivers were definitely extra strong though so beware drinking that fast. We all got different entrees and we were all pleased! It was a perfect portion of food and tasted good. There were soo many good options so it was definitely difficult to choose. Towards the end of our brunch after we had overstayed our welcome, the waiter even gave us an extra round of drinks and politely asked if we would be willing to move to the bar soon. We thought it was really nice that he gave us extra drinks so we got up and moved immediately, which wasn't a problem.Overall, had a great experience at this brunch and it'll definitely sit around the top of my favorite bottomless brunch spots!",1,0,0,Natalie K.,"New York, NY",106,67,2
4.0,3/5/2019,"If you were looking for a convention of basic bitches under the age of 29, you found it.  You walk in and immediately get ID checked.  Then find yourself pushing through a VERY crowded, VERY loud entry way of people to find the host to check in.  You can order drinks while you wait, if you can find your way to the bar.  The manager and I found each other and he was extremely nice.  He gave me a few drink tickets, because I think he could tell I wasn't really up for crowds at the time, which was great.The name of the game here is large parties.  You can tell this is their main type of business in every aspect of the way they operate this restaurant - from bussing the tables, to seating large parties, to taking the drink order, to getting food out in time - it might as well be a banquet facility.  But this was much appreciated, as they were able to accommodate our birthday party of 17 and keep service essentially seamless throughout the entire length of our meal.The bottomless drinks were truly never empty.  The food was really good and the server was helpful in selecting the right dish for my dietary restrictions.  They were helpful in settling up at the end as well, as I'm always the one who ends up doing the math.  :)  Overall, if you know what you're getting yourself into, this is a great place for a large party.  Would not come back otherwise.",0,0,0,Lauren S.,"Brooklyn, NY",304,133,219
5.0,3/3/2019,Rahul deserves a raise he is the best worker here and made me and my whole party feel comfortable. Love him I would only come back for Rahul.,0,0,0,Maria R.,"Nashville, TN",0,4,0
