rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/29/2019,"Was very surprised with average food, terrible service after seeing rave reviews of this place. We there for brunch on Sunday. I really had high hopes from this place.1. They were out of tea (for brunch!). Black Coffee is coffee flavored water.2. Vegetable Kheema Pav(barely warm)was nothing but extremely spicy Pav Bhaji (instead of 'Pav', you would a thick slice of barely toasted bread) felt very cheated with the misleading name!3. Lamb Kheema came topped with a white liquid sauce instead of 'potato mousse'. Garlic Naan was very good. 4. Waitress seemed disinterested and lost. Got only half our order and the remaining half after being reminded half way through eating.5. They have a live band on weekends, it was too loud to have any conversation even though we were seated far away from them.",0,0,0,Neha A.,"Manhattan, NY",4,13,0
5.0,4/29/2019,"Awesome modern Indian gastro pub. Went in for Brunch,  made reservations online and got seated right away. Once my party was complete our server came and food just kept coming as we ordered. Everything was fantastic but I'll say that my favorite was the cauliflower 65, the paneer with ricotta and the tomato chutney! If they sold that chutney I would buy a whole jar! Soo good and a well balance of sweet n spice.The mimosas were great and if you check in you get a free one! Definitely a great Brunch even if its a little pricey",1,0,1,Edelmys S.,"Bronx, NY",44,7,13
5.0,4/27/2019,The jackfruit kebabs were delicious. Enjoyed the papdi chaat with avacado . The cocktails are unique and delicious.,1,0,0,Ajanta V.,"Plainsboro Township, NJ",0,10,0
4.0,4/26/2019,"Nice indian food with a twist. In drinks we ordered the somras ( my new favorite!!!) and the calcutta cup, both excellent!I was pleasantly surprised eating the jackfruit cutlet which our server recommended, it was spicy and not sweet and a must try dish! I would also recommend the cauliflower appetizer which is a like a twist on the gobi manchurian.  For main course, we just ordered the mushroom dish which was okay. I do wish they had more items on the main course section for vegetarians.. All in all the experience was nice, seating was comfortable and service is good.",0,0,0,Jillika I.,"Jersey City, NJ",22,85,65
5.0,4/24/2019,"Celebrated my 28th birthday here! It's indian food for people that love a modern-fusion twist. We had almost every vegetarian dish and some chicken and lamb. The food was exquisite and the drinks were even better. Definitely recommend coming here for brunch for anyone that's looking for a fun dining experience. We all loved the vibe, music, and atmosphere here, and by the end of brunch everyone at the restaurant was up and dancing. Loved this place and will definitely be back again :)",1,0,0,Krithika P.,"White Plains, NY",36,19,0
3.0,4/21/2019,"Average food- looks like a better restaurant than it is. poor service for the price. Wait staff didn't know much about the food or take any effort in explaining it, water wasn't refilled and took a while to get anyone's attention in terms of service. Food is okay- enjoyed it but definitely not good enough to justify the price and level of service. Better Indian places in NYC to spend your money",0,1,0,Susan L.,"Manhattan, NY",269,16,0
5.0,4/20/2019,"Amazing food, amazing service and a great vibe! Would definitely recommend for a good time! The decor is really awesome too and drinks are strong! I would go back for the chicken tikka Mac and cheese!!",1,0,0,Karishma V.,"Plainsboro Township, NJ",314,4,0
1.0,4/20/2019,"Extremely disappointed with the management staff, and quality of food has deteriorated.  Had a reservation for 6 people plus a child at 11:30 on a Saturday morning (when the restaurant opened). When we arrived on time, the hostess rudely ignored us while on the phone and then pointed to a booth table and said ""they are setting it up"".  A few minutes later, the manager came out and told us that the only table available for us was actually in the bar area in what looked like lawn chairs. This was despite the entire (very large) main dining area being empty other than 1 other party, as the restaurant had just opened.  The manager rudely said ""she doesn't know what she is talking about"" when referring to his hostess.  When we highlighted that the restaurant was almost completely empty and that we had arrived on time for our reservation, he insisted that all the other tables were booked, that he had ""300 reservations"" that day, and that people would be pouring in soon.  We were obviously very upset and felt clearly unwelcome in the restaurant.  Did we not match the restaurants preferred aesthetic? Was it because of our two year old daughter? Or because my wife is 8 months pregnant? We told the manager that if we were not welcome, we would leave and find another place to eat.  At that moment, the manager suddenly said that he could seat us in a booth in the main dining room.  He took my wife aside to explain that the real reason he could not seat us before is because there were already two parties seated in the restaurant,  and the server could not handle serving more than two tables at once.  We understood this to be nonsense, as what restaurant this large cannot serve more than two tables at once?  Especially one expecting ""300 reservations"" that day?  An hour into our meal, the servers seemed fully able to handle several parties at once (though the restaurant was not nearly ""fully booked"" as the manager had insisted before - two booths next to us and many other tables still open).  We were quite shocked by how rude and discriminating the manager was with us.  Have not encountered something like this in any other place in the city.  As far as the food goes, that has also gone down hill - the tuna papri chaat tasted like bad poke (low quality tuna); they have cut down on the potato mousse in the keema; and the Dahi puri now has too much rose water. Clearly will not be going back to Baar Baar, despite the name meaning again and again.One bright note:  our waiter was great - very attentive and brought the food out promptly. The other food was great.",3,0,0,Yusuf I.,"Manhattan, NY",0,12,0
2.0,4/19/2019,"Came for both brunch and dinner recently. Our brunch was at 12 noon. It a limited menu and even though we were practically the first ones there, they had already run out of the fish and prawn dishes  Also, many of us wanted the rum punch cocktail that was listed on the menu - we were told it isn't served anymore because it's too strong and people were getting drunk?!? THEN TAKE IT OFF THE MENU!! The food was very average - my old delhi fried chicken in particular was dry and tasteless. Decided to give it another try for dinner. This time at least everything was available. About ten mins into our meal we noticed water flooding around our feet. We asked the server to check and she literally brought a mop and swabbed in the middle of our meal. There were several empty tables but we were not offered to change tables and neither did anyone apologize to us. Of the food we tasted, the mustard cream fish was really great - everything else was average. At the end we ordered a pot of masala tea - and it came in a ridiculously mismatched cup and saucer (see pic). This is really not the type of service and quality you expect from a restaurant that charges these prices. Very disappointing.",1,0,0,Charis B.,"New York, NY",43,90,112
1.0,4/18/2019,"Service: Very cold and dry.  Except 1 server who was smiling and presentable, all others were super rude. They cleared the table before you even stop eating as there is a hurry to kick you out. The server who took the initial order never ever returned back to even ask how things are. They missed 25% of our order. Which is 3 dishes and no one explained what the food was when served. They just left it on the table. One server poured the water so full that it spilled and he never even bothered. Very loud music like you are in a Club.  The food was mostly on a sweeter side and definitely not typical Indian taste for Indians. Now good stuff: ambience was nice, clean, spacious, easy to make reservation.",0,0,0,Sandy G.,"Smithtown, NY",0,2,0
4.0,4/18/2019,"Good food and quality is maintained. They have fancy cocktails, but they are alright. Portion size of curry is good enough for 2 people. Worth the $$$...? Probably 3/5",1,0,0,Akarsh B.,"Syracuse, NY",0,2,8
5.0,4/14/2019,One best of dining experience in NYC and the best Indian food (with most unique twist) I have had in city. I have had almost every  vegan/vegetarian dish on menu and all of them are spot on. Must visit.,2,0,0,Sudhanshu B.,"Midtown East, Manhattan, NY",1,14,1
5.0,4/12/2019,"I rave about this place to whoever will listen. It's Indian food for people who love Indian but also that friend who thinks that ""garlic is too spicy.""Spicy, yet flavorful. High end but not too expensive.10/10 for the cocktails and the cauliflower is out of this world (which I've never said about cauliflower ever).",3,0,0,Meghan M.,"New York, NY",248,43,52
5.0,4/10/2019,Favorite Indian restaurant in the east village! Highly recommend their brunch which has a great vibe and a live DJ.,2,0,0,Krina P.,"Belle Mead, NJ",350,2,3
5.0,4/10/2019,"We went to baar baar on a Saturday morning and were seated right away once all parties arrived. I ordered the chai and can say it was probably the best chai I have ever had... so good that I am contemplating emailing the restaurant and ask how I can recreate it in Florida... lolThe food was amazing, and very flavorful, and the ambience was very trendy, yet traditional. We had the chicken tikka with garlic naan, omelette, chicken tikka macaroni, lamb keema, and the Delhi fried chicken. I have no complaints on any of the food, my only suggestion to the restaurant would be the recreate the Delhi fried chicken into a chicken and waffle dish with maybe a chutney sauce. The fries, though good, we're a tad underwhelming when paired with the tasty chicken. All in all, we were extremely impressed with Baar Baar and hope they open a location in Miami!",3,0,0,Jennifer Ann P.,"Fort Lauderdale, FL",376,19,5
5.0,4/9/2019,"I loved this place. It's not your regular or authentic Indian place, however the food here is amazing. If you want to eat Indian food but not too spicy, this is the place for you. And don't forget to try there cocktails. I had really enjoyed SomRas (it's strong cocktail, will hit you hard). I had ordered, dahi poori, paneer pinwheel, Tandoori Mushroom, chicken tikka Masala, and garlic naan. Finished the meal with the amazing tea.",3,0,0,Himanshu V.,"Gainesville, FL",91,57,25
4.0,4/8/2019,"The name of this restaurant literally means keep coming and I definitely will be coming back.This is a high end fusion Indian restaurant. I like that nyc now has multiple indian fusion options. The decor in this restaurant is unique with it's dimly lit feel and wooden panels. The color scheme of red and gold really made the restaurant pop.The menu had so many good options, it was hard for me to choose. Finally settled on ordering the mushroom tandoori with a side of rice. Mushroom tandoori was OK I felt the mushrooms could've been cooked a little bit more, however I really like the sauce that the mushroom came in. The rice dish was delicious. For dessert I ordered a rum chocolate cake, it was scrumptious.Overall a place I will definitely be visiting again.",4,0,0,Shruthi R.,"Brooklyn, NY",55,93,66
3.0,4/5/2019,"Brunch was better than dinner. For brunch, we had the veggie burger and an omelette. Both were really delicious. They had live music on Sunday which made for a unique experience. I think the atmosphere exceeds the food. For dinner, we had tried the red pepper Makhani which just didn't do it for me. I think if you're expecting authentic Indian, it won't fulfill your cravings. If you're looking to go to a trendy restaurant and take some pictures and enjoy the ambience, this is the place for you.",0,0,0,Neha P.,"New York, NY",5,44,51
5.0,4/5/2019,Great drinks and atmosphere.  Fav dish was dahi puri. Seated promptly with superb service.  Highly recommended.,1,0,0,Kunal P.,"Skokie, IL",1,11,0
3.0,4/4/2019,"The food is okay, a bit over priced and the service is just awful, our waitress just had an overall bad attitude ruining the mood for us all as well. Baar Baar literally translates to again but we will not be coming here again!",0,0,0,Myra K.,"Irvine, CA",187,21,10
4.0,4/4/2019,"Food: 4/5Service: 4/5Ambiance: 5/5Value: 4/5In a last min-date Friday night decision, I came to Baar Baar at 6pm. No tables available for walk-in (this place is definitely a hot spot) so we sat at the gorgeous and pretty spacious bar. A nice bartender made some delicious classic cocktails each with a spiced twist. I never really know what I'm getting with a modernized version of classic dishes, so here's to hoping this helps out anyone as indecisive as I am:Cauliflower 65 (5/5): fried cauliflower bites, nicely spiced and crisp, paired with a slightly tangy and creamy yogurt-like mousse. Lots of flavor and texture. One of my favorites!Lamb Keema Hyderabadi (4.5/5): like a ""shepherds pie"" but with way more spice. The lamb is just barely gamey, layered with familiar mashed potatoes and green peas. It's dense and hefty, and really tasty. Spread on the toasted pao bread that's as soft as lobster roll bread. Duck and Foie Gras Haleem (3.5/5): I knew it was going to be rich but the fact that it's a pureed texture makes it seem even more dense. It's kind of like the lamb, so go for the lamb instead.Traditional Butter Chicken (5/5): I feel like it's basic, but it's so good! Could anyone not love this dish? The chicken is really tender and juicy, and there is plenty of sauce to sop up with a side of garlic naan.  Service was great considering the bartender was also our waiter. The only hiccup was when they brought 3 dishes (with their bread) at once. We were able to send part of it back so the meal was better coursed out. This is a really fun spot for Indian food with a few interesting twists. The menu was overwhelming to me, so the bartender's recs and translations were extremely helpful. I'd love to come back with a larger group.",5,3,3,Lillian Y.,"Brooklyn, NY",461,285,1300
5.0,4/2/2019,"Our 2nd trip to Baar Baar .. Brilliant upscale modern Indian dining experience  ! Loved the ambiance, the food -especially their kulchas and chutneys are simply incredible ! Cocktails are incredible again with  great service ! Would definitely visit again",2,0,1,Peeush P.,"Queens, NY",38,8,2
4.0,4/2/2019,"What a great concept! Came in for a saturday afternoon brunch. The entire party does need to be there to be seated but that was not a problem because the bar had plenty of seats. From the minute i walked in i loved the decor and ambiance. At first glance at the menu, everything looked great and I had no idea what to start with. Their drinks are a very interesting fusion. We went with the rum punch which was not the best thing, would definitely NOT recommend, i think the coconut component didn't pair well at all. We barely made a dent in the drink because it was so nasty, ultimately being a waste (therefore removing one star). Thankfully Yelp did offer a check in option which allowed us each to get one free drink so we opted for safer options like the bellini and mimosa. As far as food goes, if you do not like anything under their brunch favorites, the waiter did offer to upgrade any of the sharing plate options for us. I really liked the concept of the malai chicken tikka macaroni and the chicken tikka and jack cheese kulcha, although i wish the kulcha was a little bit thicker and packed with more chicken. It is a bit on the steeper side as far as pricing goes especially since their portions were tiny. We were all left with space to eat afterwards. Their music choices were phenomenal from classics to  some of the more recent songs which really made the experience so much more enjoyable.",3,0,0,Harv P.,"Franklin Square, NY",159,76,62
5.0,4/1/2019,"Loved it. This felt like being in Bangalore with it's new fun vibe yet classic food, young people, great art, and Indian beer on tap. I loved how they have spicy classics and didn't deviate too far from traditional recipes. Food was delicious and atmosphere was fun.",1,0,0,Madhu R.,"Washington, DC",96,647,34
