rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/13/2019,"Amazing flavors from the start. I wish I could give it 5 stars as the staff was wonderful and the food was phenomenal but near the end of the long tasting the pacing between meals kind of fell off the the train. The oysters, crawfish, and caviar courses were amazing. The scallops left something to be desired. The sweetbreads were fabulously complimented by the peas but the steak was overly salty. The dessert course was something I wish I loved but the 20 min wait between each course was laborious. Overall I would come here again but I feel like I would have to make a huge time commitment.",0,0,0,Kathleen L.,"Manhattan, NY",0,6,3
5.0,3/31/2019,"I was so excited about Restaurant Week (RW) when I first came to New York, I mean who doesn't like those affordable fine dining prix fixe menu? After trying so many of them, I realized that food quality and portion are less than regular menu. Also service is quite slow due to high volume of orders. I started ""hating"" RW.RW is  100% worth it here. Best RW experience so far and will come back for their long story tasting menu",0,0,0,Anh V.,"New York, NY",106,13,45
5.0,3/24/2019,"After a long day in the city, we asked a friend for recommendations and she chose The Musket Room. As we passed by busy bars and made our way down Elizabeth Street, we were surprised to see this quiet restaurant, and ducked inside for some drinks at the bar. Over cocktails, we discovered that TMR is a Michelin Star restaurant, but without any of the pretentious attitude typically associated with the award, and with absolutely reasonable prices for a 3 course tasting menu! The staff was incredible to us, bringing us little extras and making us feel like home throughout our meal, and it was certainly one of the best experiences I have had in the city. I've already made reservations for the fall season!",0,0,0,Hannah T.,"Nashville, TN",45,42,13
5.0,3/23/2019,My wife and I had the Long Story with a bottle of Penfolds Grange and Harlan with dessert. Cool atmosphere and great presentation.,0,0,0,Brian A.,"Manhattan, NY",309,25,8
4.0,3/20/2019,"We were a group of 6 for a birthday celebration. We arrived earlier (30mins) than our reservation but were seated right away and had some drinks first. Our server was amazing. He was on top of all our food and drinks and full of personality. Reservations were made easily. Communication via email was handled promptly and dIm giving 4 stars because while the small tasting menu items were tasty, the portion sizes were underwhelming, think bite sized snacks. I do appreciate their efforts in making a pescatarian friendly tasting menu for me. Also thankful the restaurant is in close proximity to St. Marks and Mamoun's for a quick after dinner, dinner (for our hungry dates).",0,0,0,Cindy H.,"New York, NY",76,44,17
4.0,3/17/2019,"I went here with a group of 8 for a friend's 40th bday. We had a reservation at 9:30pm and were able to be seated upon arrival. We had a couple guests with food allergies so I made sure to notify them before we arrived and they had their own special menu throughout the night.This place served up some great food--most of the courses were very good, though nothing quite blew us away. That being said, the whole ambiance and vibe of the place was great and the service was top-notch. Also, we really enjoyed the cocktails as they were super tasty and inventive. Overall, I was definitely impressed with this place, though I found it to be a bit overpriced--but not surprised as it is a tasting menu format. Not the best tasting menu in the city--as that's a hard spot to be--but decent nonetheless.",1,0,1,Ryan R.,"New York, NY",746,1843,225
5.0,3/10/2019,Overall my favourite place in ny. The food is beautifully plated and it taste as nice as it looks. Good atmosphere for special occasions or a formal/casual dinner. The concept is interesting and fun.,0,0,0,Nicolas A.,"Manhattan, New York, NY",0,55,0
2.0,3/5/2019,"I was quite disappointed by my experience at The Musket Room. While it is worth noting the food was quite well-prepared everything else fell well outside my expectations of a fine dining experience.  The meal was rushed, either by design (which would be disappointing) or due to the staff wanting to turn-tables. For example, we were never given the option to have a cocktail before our meal and were never given the option to have tea or coffee after. When we asked for a cocktail before dinner, it was of course served, but along with the first course as opposed to before like was requested. Further, the group I was with did the short form tasting menu and wine pairing. In their apparent haste to turn the table multiple times, we were not able to enjoy the full pairing before being poured another glass, making the table crowded with unfinished beverages. Again, I want to reiterate the food was quite good, it is just a shame that for such an expensive and purported fine dining established that we were treated to a fast-food pace.",0,0,0,Fred I.,"Manhattan, NY",0,5,4
5.0,3/1/2019,"They set the bar high, really REALLY high! While restaurants with a Michelin star tend to cover a large and varied range I walked out of this spot afterwards feeling like I had dined at a spot with more stars! The place itself is quite nice, very hip with a nice casual air to it. We had gone for my birthday and my wife had noted that when she made the reservation. When we got to our table the waitstaff had all signed a bday card, gestures like that can really make a meal personal and take it from ordinary to special. Our waiter was Kevin, and he was amazing, fun and very well informed about the food and wine. We did the long story, and it is long, took us about 3.5 hours. So let me take you on a story of the food because quite frankly it was spectacular!They started us with bread, I had the brioche with cheese on it. Each one is a single serving and the flavors are great. POWHIRI Section:Squash tart - Two bites of heaven, the tarte shell was stunningly thin and delicate white the squash has a smooth butteryness to it. Radish | brown butter - The crispness of the radish complimented is sharp bite which was mellowed by the sweet butter. Deer croquette - Heaven! The meat was amazingly tender and juicy while the exterior was perfectly thin with the lightest crunch. KAIMOANA Section:Shigoku oyster | trout roe | yuzu - The Yuzu did wonders in cutting in creating balance between the ocean flavors of the oyster and the salty tang of the roe. Diver scallop | PEI mussel | tapioca | dill - This dish really elicited feelings of the ocean bringing back memories of spending time on Cape Cod. The tapioca added a neutral plane for the brine and slat of the mussel while complimenting the soft flesh of the scallop, a clean bite of ocean air. Hangi potato | hen yolk | caviar  - This dish will be remembered for a very long time. Both the yoke and the caviar are super rich bites, and both were beautifully balanced by the potato. The three together on a spoon was mind blowing. I also don't think I have ever had mashed potato so smooth. PAPATÙÀNUKU Section:Smoked foie | apple | manuka honey cake - The presentation on this was unreal, the foie was molded into a tiki warrior, super creative. The Foie was smooth and subtle with hints of smoke. The apple was prepared in several ways with slight variations in the flavors and the honey cake was soft and divine. A solid plate. Quail | blackberry | bread sauce | roasted onion - Smooth clean flavors, the onion and quail were slightly earthy while the bread sauce helped carry an ever so subtle tang and sweetness from the blackberry.  Canterbury beef Wellington | spinach crepe | duxelle | truffle jus - Without a doubt the best beef wellington I have eaten. The meat was cooked medium rare, the flavors being beefier and deep, with an added oomph from the jus. RANGINUI Section:Woodcock Farms (kind of blue) | cranberry | honey | sourdough - Honestly I didn't know I could keep eating by this point. The cheese added a sharp bite that was almost surprising after the subtle beauty of the dishes beforehand. The bread helped temper the flavors while the honey counter the salt. This dish was a nice wake up call.  Page mandarin | Kaffir lime  - Very fun way to transition into desert. It was served in a smoking bowl of oranges. The sorbet was smooth and tarte, waking up the taste buds while creating a refreshing rush in the mouth. Valrhona chocolate variations | raspberry - One of the best deserts I have ever had. The flavors were so perfectly paired I feel I can't fairly express it here. The mouse was bittersweet and ever so creamy. The raspberry danced across the taste buds smoothly interreacting with the mouse. The cake was chocolate, thin and light. The shell was beautifully tin with a great crack to it. And lastly there were little balls of chocolate about it that added a great crunch to the bite.      KA KITE Section: This was in a take home box. Herbal caramel - This was good, an interesting twist to the flavor. Passionfruit & fennel gummy - This was delicious, the fennel added a very unexpected kick to the gummy adding nice depth to the fruity flavor of the passionfruit. Hauraki salted liquid bonbon - Wow, just wow. This was spectacular. Its funny because we also had a box of chocolates from Jacques Torres at home, while his was very good, this was on another level. All I can say is that this place delivers an experience, not just a meal.",0,0,0,Nathaniel Ħ.,"Brooklyn, NY",194,89,21
2.0,2/26/2019,"Review for the $165 Long Story 10 course tasting menu. First sign of concern was the fact that there were only 3 or 4 other tables seated at the time we arrived which was 8:30pm and the time we left which was 10pm. Granted it was a Monday but any restaurant that thinks it can pull off a 10 course tasting menu that all in all will cost more than $200 per person should never be that empty. The food was very average. The best items were the 1) free cheddar biscuits with herb butter that came before the tasting menu, 2) oysters and roe which were light and refreshing, 3) hangi potato with yolk and caviar, and the 4) chocolate mousse with raspberry coating... though nothing stole the show. The beef wellington with truffle jus was the ""main"" course and looked incredible. It was incredibly average. I would have rather enjoyed a McDonalds hamburger any day. Other dishes like the scallop and quail were in fact decent, though in general the whole meal felt like a dud for the price. There are much better options out there. I think this place is past its prime. The service was excellent and the staff very friendly.",0,0,0,Matt E.,"Manhattan, New York, NY",0,1,0
