rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/26/2019,"Been here three times in recent years, and the last time was wonderful.  Service was extremely professional (as it should be in this type of place) and the food was very good.  They do get their price, but it's justified with their performance.",0,0,0,Ralph W.,"Las Vegas, NV",2,63,0
4.0,4/24/2019,"Coming to New York you have to try a steakhouse like Delmonico's. The atmosphere is very catered towards business, upscaled atmosphere, which makes sense seeing that it's in the financial district. We ordered the 60 day marinated New York steak strip and the lamb ribs. The steak was absolutely amazing, it was cooked to perfection and the natural juices of the steak was so delicious that other sides or sauces were unnecessary. The staff came by frequently to refill our water and to change  our dishes, however I felt like there was a lack of friendliness.. overall, I enjoyed the food here. I would recommend it for anyone to come visit",0,0,0,Anabelle L.,"West Covina, CA",29,102,128
4.0,4/23/2019,"We came here for dinner on a Friday night for my husband's birthday. While the art work is beautiful, I felt like it was a bit stuffy.  I did like the history about the building. The oysters were fresh and delicious. The steak was good, but not great.  I felt the side dishes were just eh, nothing exciting. Our waiter was okay,  it super friendly and seemed annoyed with the six of us at certain times. Plenty of other steakhouses to go to in NYC.",0,0,0,Beth P.,"Bergen County, NJ",5,195,167
5.0,4/19/2019,"Yes,  this a place to have your NY strip steak! We had a big party of 10 ppl and the service totally made our dinner perfect. While everybody were gathering, we were waiting on the bar area, bartenders were really good, very fast and tasty cocktail! Once we were sat, the waiter worked very fast and efficient. He was at the table when we were in need of him without us asking. The service is top notch. All appetizers came out fast and tasty: foie gras was cooked to perfection and seafood was fresh! For the main course I got NY strip steak medium rare - 1000% recommend, such a tender piece! For the side we shared a lot of staff, my favorite was mac&cheese.... and creme brulee is so goodAmazing place, definitely come back",1,0,0,Aleksandra E.,"Brooklyn, NY",0,72,159
5.0,4/19/2019,This place is truly amazing. Took my beautiful lady on a date here 4/17. Her and I were mesmerized with the view and the taste of the food. Perfection all around. A+++,0,0,0,Evan R.,"New York, NY",0,24,3
5.0,4/18/2019,"We loved our experience at Delmonico's. Our waiter was prompt and really nice. Made great recommendations. We ordered one order from the lunch pre-fix $45 and the portions were a good size. We got the file mignon a la cart and the rib eye steak. The burrata was delicious- very fresh. We also ordered the Octopus as appetizer with hummus, we cleaned the plate with their delicious bread.For dessert we had the baked Alaska and the creme brûlée .. the baked Alaska had a refreshing taste and different from the classic baked Alaska.Definitely a place were we would not hesitate to come back to.",0,0,0,Dea B.,"WALL STREET, NY",43,53,16
5.0,4/1/2019,"I have to say that Delmonico's really set the bar for dining for me. This was by far the most superb food, service and atmosphere that I have had the pleasure to experience. My husband and I were on our honeymoon and it was our first time in New York. Had to come to this historical beauty. The food itself was ""heavenly"", as my husband put it, and David definitely made the whole experience that much better. I hope that he gets recognized with this review because the service he and other staff provided made our day. Thank you, Delmonico's we will definitely have to come back to you.",0,0,0,Ria Dolorita G.,"Cathedral City, CA",9,12,10
2.0,3/17/2019,"My law firm had a business meeting here. The atmosphere was elegant and the wine selection was excellent. Unfortunately the special was not. Most of my coworkers ordered a steak. However I and another attorney ordered the veal chop stuffed with lobster and wrapped in prosciutto. First it was  not a veal chop. Second the presentation was less than desirable. My coworker's came out drowning in sauce (almost a soup) and mine had barely any dressing the plate but the veal was drenched in it. The ""chop"" was cut in half (I'm assuming so they could stuff it easily). The sauce was over powering to the point you could not taste anything else. The veal looked more like a baked potato; not that you could tell or taste given the dressing. The worst, however, was how fatty the meat was. I've had  veal saltimbocca (a veal shank) with less fat than this veal ""chop"". Extremely disappointed to the point I could not eat it. $40 per plate and neither of us could eat it. I gave the restaurant 2 stars given the fact that the other attorneys who ordered steak enjoyed their dinner else I would have given it less.",0,0,0,Gerardino P.,"Sparta Township, NJ",26,2,0
5.0,3/14/2019,"In NYC for a few days on break with my girlfriend and decided to reserve a table for a nice Monday night supper.  Upon entering the restaurant between the columns, I was warmly greeted and immediately directed to the coat check.  The ambiance was that of a classic New York steakhouse and definitely was what you would expect from America's first restaurant.  It just felt like you were in a historically significant place.  I ordered the 45 day dry aged Ribeye and she ordered the Delmonico.  We also split a side of brussel sprouts.  The steaks were right up there with the best steaks I've ever had.  I will say, though, that I was expecting a more kind of funky, gamey taste with my ribeye, being that it was dry aged for so long.  This really wasn't the case, but nonetheless it was still a really great Ribeye.  I was also very impressed with the super juicy (wet aged) Delmonico and after trying it, would probably order it if I get the chance to come back.  The only issue I had with the entire meal was the bread that was served.  The little biscuits were pretty dry and really did nothing to enhance the meal.  Overall, though, Delmonico's was a real treat and a meal that I will not soon forget.  The quality of the food coupled with the historic nature of the restaurant make for a special experience.",0,0,0,Mitchell B.,"Mount Airy, NC",0,1,1
4.0,3/3/2019,"We had the Porterhouse for 2. It was cooked perfectly and nicely sliced off the bone. The waiter could have served a few pieces. We opted for the hash browns, just ok, and creamed spinach, delicious. The steak melted in your mouth. Moist and very tasty.Our starters were the salad, which was very good, and the snails with mushrooms, also very good. Service was good.",1,0,0,Adrian A.,"Tallahassee, FL",7,4,1
