rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"I have been back with another couple and the food is outstanding.  We all ordered too much, but that is not their fault.  I can highly recommend this restaurant for casual, southern comfort food.",0,0,0,Andrew L.,"Manhattan, NY",0,19,3
5.0,4/28/2019,"One of the best brunches in NYC! The chicken is crispy and juicy and the waffles and perfectly cooked. Definitely make a reservation, big crowd! A must go to in NYC!",0,0,0,Carly G.,"Brooklyn, New York, NY",0,66,20
5.0,4/27/2019,"Root and Bone's the only place I'll recommend Chicken and Waffles to. Red Rooster? Fukouttahere. Ruth's? Schmooths. Root and Bone? Game of Thrones. You already know.I came during brunch hours and for $28, the chicken and waffle sandwich wasn't so much a ""sandwich"" (because there was only one waffle), and more like a dick slap to the face. But damn... if that wasn't the tastiest dickslap to the face. Also: you had to keep eye contact. The size was an even bigger insult to injury. I've given birth to premature babies bigger than this chicken and waffles. But damn... if this wasn't the tastiest premature baby I've ever tasted. I really can't stress how tasty these chickens and waffles were. Plus whiskey syrup.The mac and cheese was surprisingly bland. To this day I still resent my friend for suggesting that. But the biscuits. Some real Southern love there.It's a cute place but I left hungry from portion size, so I'd only really treat Root and Bone as a treat. Or if you're trying to impress a girl or something by spending money. What a world we live in.",2,0,0,Quoc L.,"Manhattan, NY",223,283,475
4.0,4/19/2019,"This place has been in my bookmarks for months and finally got around to trying it on a weeknight. The restaurant takes reservations, but it was also relatively empty around 6:30. It started picking up after 7:30/8.Cocktails are in the $12-15 range; I can't remember what we ordered, but both of them tasted good! My friend and I decided to go a little crazy/overboard and get the family supper, which is $35 per person. It comes with deviled eggs, biscuits, fried chicken, cheese waffles, seasonal vegetables (for us, it was collard greens), mac and cheese, and desserts (for us, it was cheesecake and pecan pie). I somewhat regretting eating that much food, but it was SO amazing. The deviled eggs are a little weird because they're infused with beets and it gives it an interesting twist. The fried chicken is AMAZING - it has a slightly lemon taste from the iced tea and it's cooked perfectly.Highly recommend this place for dinner and maybe come super hungry if you want the good deal of a TON of delicious food for $35.",1,0,0,Joanna G.,"Manhattan, NY",55,158,0
5.0,4/18/2019,"Had an incredible meal here before seeing a show at wheelhouse theatre, best idea I ever had! We got the mac&cheese, collard greens, roasted chicken, BISCUITS!!(a must).Also incredible cocktails made by Alex our bartender, who was kind, generous in time and made some nice suggestions for us! Come here and hopefully your bartender is as great as Alex was!",0,0,0,Will S.,"Brooklyn, NY",1,9,10
4.0,4/16/2019,"I went here with a friend to catch up. We had our reservation around 7/8 o'clock. Even though my friend was I was still able to be seated. The restaurant wasn't busy when I got there, several empty tables but as the night went one more people came. We shared the waffles. I ordered the shrimp and grits and it was definitely an acquired taste. My friend did not like it. I don't remember what she order but it was like a salad. I definitely want to try the chicken when I come back. Great service. Relaxed but chic ambiance. I'd recommend it.",0,0,0,Tamira G.,"Brooklyn, NY",24,114,182
4.0,4/12/2019,"So I gave this place a 4 out of 5! First off the waiter was really sweet and welcoming, the venue itself is small but super cute and has that southern comfort vibe! We ordered the family supper which was deviled eggs, biscuits, mac and cheese, greens and of course fried chicken. The food was great with the exception of the chicken. It was a bit salty and the lemon garnish made it a bit bitter. I would come back here again and try something different.",0,0,0,Tinisha C.,"Manhattan, NY",0,16,2
4.0,4/9/2019,"Fried Chicken galore! We ordered the full chicken and shared between two people. We had plenty to bring home for leftovers.the fried chicken was tender. I do wish some of the pieces were a little crispier. I felt like the wing was lacking any sort of crunch. Needless to say, it was one of the best pieces of fried chicken I have had in NYC. The tobacco honey sauce here is everything! It compliments the chicken very well. I absolutely loved the Macaroni and cheese! It was baked to perfection and I give this 5 stars. Asking for hot sauce is a must! Sweet tea (half and half) $5 - was very refreshing. I have been to the south and boy does Georgia make their tea sweet. So happy to have the right amount here! The mismatched plates here are such a cute touch and give a nice home style feel The biscuits here were so dense and delicious. They were very moist and not as flaky and dry as most are in the south. I loved that they were served with salt, rosemary. The found that I did not love the dipping sauce for the biscuits. However, the presentation had a nice touch. Service was very attentive and accommodating - and this was nice. I am looking to trying dessert next time!",3,0,3,Alexia G.,"Brooklyn, NY",127,493,141
4.0,4/9/2019,"My friends and myself really enjoyed our time at this establishment. The service was amazing, very friendly staff and extremely attentive. We arrived to our reservation a little earlier than usual and they sat us at our table quickly. Suggestions and food was good. The Planter's Punch was refreshing and the food was good. Overall, I enjoyed myself and look forward to returning to try more things on the menu.",0,0,0,Gabriel F.,"Rockville Centre, NY",38,11,7
4.0,4/7/2019,"Really great food!!! I recommend the fried chicken biscuit sandwich, the Mac and cheese (it is really creamy), the cole slaw is so good, and my friend really liked the Benedict. The problem is the drinks are terrible. I got the Arnold Palmer with bourbon and it was so watery (not worth the $12 dollars).",1,0,0,Drew L.,"New York, NY",401,64,88
