rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,A wonderful dining experience! Excellent food and service. Makes a perfect Place for a celebration. We will dine here again for sure.,0,0,0,Jeroo D.,"Jersey City, NJ",1,2,6
3.0,4/17/2019,"I was there for a work dinner last week, and am really unimpressed with the portion control - not so much the food.  We had the 4 course tasting menu and I picked the beef tartare, scallops, duck and seasonal sorbet to finish. I think portion control is the biggest issue with this restaurant. They serve WAY too much for each course, by the time I got to the entree i.e duck breast, it was heard to appreciate as I was so FULL from the first 2 courses. Beef Tartare - it was ok. Nothing to rave about.Scallops - It was good i.e. most tasty of the 4 courseDuck - It was good I think but hard to know since it was way too much food.Sorbet - Bland nothing special. The other thing too is that the wine selection could be better. We order 2 under $150 per bottle and the quality was bad for that price. That really dented our overall experience.",0,0,0,Kira S.,"Brooklyn, NY",0,9,0
5.0,4/7/2019,It is located in a quiet neighborhood. Not a lot of shops around it. The food was delicious. I ordered duck for main and it was great.,0,0,0,Tianjiao J.,"Hayward, CA",15,18,38
5.0,3/11/2019,"Def one of my fav restaurants!!!Got the pate as my appetizer. Mustard, mayo sauce, celery... Everything on the plate was not only for the decoration but also for a balanced flavor!! You can actually feel how the chef played with each ingredient.It came with a toasted brioche, which was also super tasty. Opened a door of pâté to me!",0,0,0,Evangeline W.,"Manhattan, New York, NY",0,5,24
4.0,3/9/2019,"Nice ambiance, great place for a romantic dinner. All of our dishes were  beautifully plated. The portions were generous and we were full by the time we hit our 3 courses. I also liked how they were not stingy with the bread (sesame sourdough and brioche) and offered more all throughout our meal. Service was excellent with constant refills and  I literally didn't need to ask for anything as they predicted it all and brought all that was needed for you. Our rib eye meal was a bit heavy for my taste with the cheesy pomme puree but I loved the apple cinnamon souffle that we had for dessert! Felt like eating a sweet cloud and the apple cinnamon compote was perfect.",0,0,0,Rosa J.,"Somerset, NJ",0,12,21
5.0,2/25/2019,"Ambiance - I came here on a Monday at around 8pm and the place was full and hearty. There was a constant flow of people throughout the night and the place was filled with talks and laughs. Food - Amazing - for an Michelin guide, this place definitely holds up its place and doesn't beat the wallet. You can choose from 2,3, or 4 courses depending on how you feel. You can choose between ANY thing on their food menu not following the app and entree if you wanted to choose a 2 course. Service- service was friendly and warm. Came here to celebrate an anniversary and we got a warm card greeting! Will definitely come back for more milestones",0,0,0,Amy C.,"Manhattan, NY",114,37,42
3.0,2/23/2019,"Came for Restaurant Week 2019 dinner, which was $42pp for three courses. The ambiance and service were great and the food was well executed (for the most part) classics. I probably wouldn't come back unless it was Restaurant Week.For our starters, we ordered the Pate Grandmere (cremini mushrooms, celery, brioche) and Ora King Salmon Tartare (forbidden rice, sesame, shiso). The pate wasn't really fatty enough for our personal taste. The tartare was extremely fresh - I have a really sensitive palette when it comes to raw fish.For our entrees, we both got the Tagliatelle (berkshire pork ragu). The pasta was well executed - flavorful without being too watery.For our dessert, we ordered the Paris Brest (lemon meringue, creme fraiche ice cream) and Warm Chocolate Fondant (vanilla bean ice cream). The fondant was delicious. My friend liked his Paris Brest as well.",1,0,1,Judy S.,"New York, NY",322,1183,1192
5.0,2/23/2019,"*4.5/5 stars, but rounding to 5 for the quality of food.* Bâtard has been high on our hit list for quite some time. We came with a party of 4 on a Saturday night. The Food: 5/5. We ordered a cheese plate for the table to share (3 for $18), and were given a 4th complimentary cheese to try. The variety of cheese was perfectly balanced and surprisingly very filling. For mains, Qia and I shared the farfalle with short rib ragu, branzino, agnolotti with braised oxtail, and lamb chops. Every single dish was superb and beautifully plated.The Drinks: 4/5. We had the Ol' Dirty Bâtard ($16) and the Spanish Gin & Tonic ($19). Boozy and interesting, but we still felt they were lacking a special ""oomph"" for the price point. The glass for the Spanish Gin & Tonic was awkward and clunky making it difficult to drink.The Service: 4/5. The service seemed a little slow in the beginning, but was pretty good overall. For a Michelin star restaurant in Tribeca, the price point of the food is really hard to beat. Portions are also sizable for French food. The ambiance is casual and unpretentious, yet elegant. We will definitely be coming here again!",0,0,0,Kezia Q.,"New York, NY",137,30,64
5.0,2/21/2019,There was a three course special with recommended wine pairings. It was an intimate environment. I enjoyed trying new food! The farfalle with Brussels was to die for! I got a chocolate tarte? I don't remember what it was called. I'm not a dessert person but I would come back just for that! Would come back again.,0,0,0,Lauren R.,"Brockport, NY",47,18,0
5.0,2/19/2019,"I thought this place was going to be stuffy and fussy, but it was actually the opposite - it was clear that someone in charge really wanted us to have a good time.  I loved the menu coursing system - rather than having to order an appetizer, main and dessert, I was free to build my own meal.  I had an appetizer, entree and...cheese!!!  My BF had three apps and a main.  The waitstaff was young and attentive.  The room, on a Monday night, was lively, but not too loud, as others mentioned, although I imagine the noise level would rise on the weekend.  The food was nothing short of incredible.  Every last thing that went in my mouth - from the beautiful bread, to the gratis tarts that arrived with the check-- was thoughtful, playful, delicious.  In a city full of mediocre food, it was pleasant to see someone working so hard in the kitchen, and making such good food so accessible.  I can't wait to come back and order everything else on the menu.",0,0,0,Jessica D.,"New York, NY",4,158,0
4.0,2/12/2019,"I dined here for resto week and was treated to outstanding service. Though it was a bit confusing to which one was our server because 3 people waited on us, nevertheless we were attended to with care. The decor was modern with a warm and cozy ambience. My dining friend and I both had Glühwein, a warm drink for a chilly winter day, just perfect. For starters, I had the salmon tartare and every bite was decadent and delicious, a must try. My main dish was the farfalle which was exquisite, but the portion was tiny.  I had a taste of my friend's brazino dish, AMAZING! Of course I had dish remorse, but I still enjoyed my pasta but wanted a little bit more.  We both ordered the same dessert, chocolate fondant, rich in chocolate. I did want the fondant to be a bit warmer, but delicious nevertheless.  As other yelpers mentioned, they were open tables and yet tables were not available on Open Table. My friend thinks they don't have the staff for max capacity. I was lucky enough to snag the 8pm reservation because I was checking on Open Table frequently for availability.  Overall, top notch dining experience and a lovely dinner for a Monday.",0,0,0,Sonia Mae B.,"Harlem, Manhattan, NY",145,90,196
4.0,2/11/2019,"4.5 stars. Everything about the food was phenomenal. For appetizers we tried the salmon tartar and butternut squash soup, entrees the fish and the pork, and both the chocolate and lemon desserts. We also got cocktails (both alcoholic and non-alcoholic). My favorite thing all night was the soup we had as an appetizer. It was presented very well and the flavors were really unique.The ambiance is beautiful, simple, and elegant (but not over the top). The restaurant is small enough to not be overwhelming and large enough to not feel cramped. Overall service was very good.The only thing that was a bit annoying was I had to ask for coffee twice at the end of our meal and I never ended up getting it. It was a bit awkward but I really wanted it while I had my dessert.",2,1,2,Michael C.,"New York, NY",278,190,137
5.0,2/9/2019,"Came here for restaurant week last night with girlfriend.  The whole experience was perfect.  The service was super quick and attentive, the dishes were beautiful and delicious, and the atmosphere was nice.  I'm not even a big fan of French food but need to give credit where it's due. The restaurant week menu was very reasonably priced with good portions.  Would highly recommend Bâtard.",0,0,0,Garrett D.,"Jersey City, NJ",3,66,5
