rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/28/2019,"Great vibe. The full menu was available from the bar where we ate. Bartender was very helpful explaining the menu and making recommendations. For two people, we ordered the larb salad and quail for the small plates, and the pork curry noodles for the large plate, with a sorbet at the end for a palate cleanser. Everything served family style, and all of it food. The hand pulled noodles in the curry noodles were fantastic.",0,0,0,Glendon M.,"San Francisco, CA",80,45,0
4.0,4/27/2019,"Had a wonderful dinner here on a Saturday. This place was easy to book for a table on a Saturday night. The cocktails are amazing and the food was delicious. This was my first time trying Laotian food and I think it's very similar to thai food. The staff brought out the sticky rice as soon as we ordered food. That's like their equivalent of giving you bread in Italian restaurant. We ordered the papaya salad, the quail, and the crispy rice. I think the quail was by far my favorite. Then we split the salmon with green curry. Everything was very yummy!!",1,0,1,Callie S.,"New York, NY",133,123,502
1.0,4/25/2019,"What a disappointment! What a TERRIBLE experience. Avoid at all cost. Because I had an 8:45pm appointment in the Khe-Yo neighborhood this evening, I decided to stop by the restaurant @ 7:30pm for dinner. I sat quietly @ the bar. The bartender was very attentive. I ordered a drink (which I received promptly) & the special (duck). After 40 mins when the food did not show up, I asked the bartender for a status, who told me that the Manager said, ""2 more minutes"". The bartender also said that ""the wine is on the house & I will charge you half price for the duck."" All around me, people were ordering & receiving their orders in reasonable amounts of time. Orders put in after mine, had been filled. Ten minutes later, the server walks towards me with my order & the Manager, takes my food from his hand, & takes it back to the kitchen. For no reason! And despite knowing how long I have been waiting. At that point (8:20pm), I ask for the check & paid for my wine, (which was supposed to be ""on the house"") & as I am signing the receipt (8:26pm), the server shows up with HALF a portion of my order. I told him ""I need to leave"". He said, ""That's Great!"" (seriously?!)The bartender asked if I wanted to take the food with me. I declined because I was unsure how much longer it would take them. How disappointing! Sad because the place, the food and the ambiance, all looked great, but what a huge waste of time & money.",0,0,0,Nyc S.,"New York, NY",0,4,0
5.0,4/22/2019,"Food: We had one small plate (crispy pork wrap) and two large plates (spare ribs and pork curry noodles) to share for 2 people and that was definitely more than enough for both of us to eat. The food was out of this world! I must say, that crispy pork wrap was perfectly cooked! The crispy skin, the glistening fat, oh my it all just tasted like heaven. The pork curry noodles is probably the heaviest item because that one bowl could easily feed three people! Also, the spare ribs were perfectly cooked and fell off the bone! Overall the food was exceptional!Drinks: I did not try their drinks but was impressed at their wine menu! They also have a nice selection of beers (if you prefer that!)Vibe: Dimly lit with somewhat tight spaces was my only concern. But we had enough space to put my bag and coat on both my sides without any problem. The decor is somewhat more traditional, but elegant nonetheless. They had this cute decoration for the Laotian New Year when we went which was super cute.Service: Fabulous! They were very attentive and helpful during our menu selection. They often came around and asked us how was everything. They also were prompt at refilling my waters. At the end, the waiter even offered a box (as we could not finish everything!). Most amazing experience and highly recommended!",0,0,0,Leng Leng Y.,"Manhattan, NY",74,41,256
5.0,4/20/2019,"I've never had Laotian food before and Khe-Yo has turned me into a fan. Laotian new year was 14 to 16 April; to celebrate, the chef featured a special pre fixe menu ($75 per person). The whole table has to participate and all the food is presented at once, which is a feast for all senses! This feast featured a whole fish baked in salt, pork larb, barbecued frog legs and beef, steamed chicken with vermicelli noodles, soup, sticky rice. Very much like Vietnamese food, you wrap the fish and meats with herbs in lettuce, then you dip in the variety of sauces and pastes. Everything was delicious - a great balance of crunch vs soft textures, and sweet, spicy, salty and sour flavors. There was more than enough food for our party on three.As an extra bonus, when you order the new year's menu, the chef's mother will come to your table to give blessings to each patron. We received blessings and bracelets.",0,0,0,Cindy C.,"Maplewood, NJ",5,69,120
1.0,4/1/2019,"The Pho looked good, but tasted bad. Having eaten many Phos before, this sweetish flavor is very weird.The Brussel sprouts was also bad. They painstakingly reduced every Brussel sprout into flakes. Unfortunately, this means that too much sauce stick on the Brussel sprouts and resulted in this almost sickening sweet dish.We visited on Sunday for brunch, and there were only 3-4 parties there. Now I can understand why.",1,0,0,Sam S.,"New York, NY",0,2,0
5.0,3/31/2019,"Delicious food, good drinks, cool ambiance. I loved the limited menu selections. Everything was delicious and interesting and the spice level was perfect. Excellent cocktail and beer selection. The crunchy coconut rice and caramelized whole snapper were definitely highlights for me. Service was quick despite how busy it was on a Friday night.",0,0,0,Yin H.,"San Francisco, CA",94,515,131
3.0,3/31/2019,I am from a place where you put sugar in fried bok choy. And most dishes are too sweet even for me.,2,0,0,Deb X.,"Pittsburgh, PA",172,12,62
2.0,3/13/2019,"I went there last night with a date.   For some strange reason,the sign of the restaurant is actually a small distance from where the restaurant is. It's a little confusing. The restaurant has a homey feel but when it's crowded, the noise is quite loud. I liked the fact that it's a small menu.  It makes you feel that they're confident enough in just a few dishes.  Perhaps overconfident. When they didn't have a lychee or appletini, I went with a pretty unspectacular cosmo which wasn't really that cold. The restaurant gives you sticky rice on the house with two dips,one of which is eggplant. Interesting flavor. When we asked for more of the dip, we were charged an extra dollar!  Our bill was over $100.  What a silly business idea to charge the $1.00!I ordered the ribs and I was disappointed. I guess I'm used to succulent,fall of the bone ribs. These were tasty but hard. No tenderness here. My girl had the curried king salmon which we thought was very good. I came with real high expectations but was disappointed.",1,1,1,David E.,"New York, NY",363,21,0
5.0,3/9/2019,"I try hard not to overuse superlatives. But I'm pretty sure I just enjoyed the best bowl of pho I've ever had in NYC (or possibly even the world) at Khe Yo. The Nong-Khai Style Pho, available only at lunch, was made with exceptionally gorgeous tidbits of moist, tender brisket, oxtail & eye of round, sourced from Kansas-based Creekstone Farms. Quantities were small, but the quality was so high I couldn't complain. Thin rice noodles were perfectly al dente and somehow remained so throughout a long, leisurely meal. The broth, the all important broth, was a clear, straightforward version, similar to northern Vietnamese style phos, and remarkably dense in good beef flavor. When broth is this straightforward, it can't hide wateriness or other weaknesses in quality behind strong spices; the broth has to stand on its own merits. This one clearly did. Some pho aficionados prefer a more unctuous, collagen-rich broth and by itself, the broth was a touch too salty. But I personally enjoyed the level of richness (rich in flavor, but not in fat or collagen) and found that the salinity worked out when paired with a bite of noodles. Garnishes that accompanied: Pristinely fresh, flavor-concentrated Thai basil and cilantro, pickled jalapenos, a hoisin-based sauce topped with gorgeous, golden fried garlic, mung bean shoots. No lime. This is a pretty limited review given that pho was the one and only dish I tried -- but what a glorious bowl it was! After tasting the kind of attention the kitchen lavishes on a humble bowl of soup, I can't wait to see what other delights it's capable of.",1,0,1,Jane D.,"New York, NY",102,255,31
