rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/29/2019,"My friends and I brunched here this past weekend and we loved our experience. Please keep in mind any venue in NYC where it is bottomless brunch and near the NYU area, it will get rowdy. There were upset patrons around us that complained about the noise level and disrespect of a group of college students but to their argument... Toloache is a fun atmosphere brunch spot on Saturdays and not exactly the first venue that comes to mind to bring the entire family including children. After the disrespectful group of college students left, the manager, Sulima, apologized if it affected our experience and gave us free desserts and drinks and her business card. She was beyond kind and went out of her way to make sure everyone was happy, after the poor woman was yelled at by other upset patrons. We will definitely come back!",0,0,0,Halie E.,"Manhattan, NY",461,24,3
1.0,4/25/2019,"Their service is excellent, the food is terrific--mainly their arroz con pollo, their drinks are very good. I regularly visit Toloache to unwind after long hours of school and work. Everybody in this place is kind and courteous. I was appalled, however, when recently a staff member approached me at the bar and abruptly asked me if I had ordered my food. This staff member spontaneously told me ""the kitchen is closing NOW! and if you don't order you're screwed."" The bartender then proceeded to tell this staff member that I did not intend to order food. She walked away and said in Spanish ""you know how people are, I am trying to go home."" Seriously? I asked the bartender. His reaction, abashed--the reason is obvious. He apologized for that person's ill-mannered approach. To my surprise this staff member was a newly transferred female manager. This was remarkably disheartening. I asked for my check and left the premises. Upper management seriously needs to address that behavior. Until then, I will spend my money and time somewhere else. Sadly,A former loyal costumer.",0,0,0,Daniel R.,"New York, NY",0,5,0
1.0,4/21/2019,I really love the food ***** stars The staff ***** specially the bartenders and servers all smiling and ready to take care if you but recently they hire someone that manages the place and she is so rude and no personality at all... complaining in front of clients about her own food  coming from the kitchen out loud???  Very bossy to the employees... very stressful environment for now..../I hope they can bring back someone with a smile and beautiful personality totally into customer service ... other that that  *****starts,0,0,0,Susana B.,"Manhattan, NY",0,12,3
4.0,4/21/2019,"Food was surprisingly good here..!As we entered, space is quite dark, crowded on a Thursday night (quite normal?) a bit too loud for us which was a bit u pleasant. But the food totally made up for it.",1,0,1,Emi B.,"Manhattan, NY",178,485,2101
4.0,3/10/2019,"The only reason I gave it a 4 was because the place was soo dark.. I feel like it should be lit up & bright. They should also gave larger tables & distance so everyone can walk comfortably around when passing by. I loved the food! If you're a vegetarian looking for comfort food (sort of unhealthy & cheesy day) out with your friends or family... please read this:I usually don't like guac (I do like avocados), but their guac de Rojo was amazing ( not spicy, very mild) they also gave a salsa sauce on the side queso fresco which was an upgraded version of salsa ( not chunky, just perfect)Their chips were soo fresh ( fresh as if they just came out of the oven crunch & thin)Their croquetas de queso were amazing (would describe it as mozzarella sticks except it has a Mexican cheesy flair that's soo good) Their truffle quesadilla was nice.. ( if you're a cheese lover you'll love this it's nice & small to feed 2 people. Their cactus fries were alright( nothing too special other than the word cactus) tastes like a common vegetable  (zucchini fries)... I also wanted a fruity drink & the waitress suggested a mango drink (it tasted like an upgraded mango & guava juice cocktail) There ya go. Hope my review was helpful!",0,0,0,Radhika R.,"Queens, Queens, NY",0,9,11
2.0,2/23/2019,"Honestly not a good price to quality ratio. Food is okay but I think you can get just as good or better for much less expensive at other places.  Carne Asada tacos were great, enchiladas were okay.  But I think if you're in the village maybe elsewhere would get you better food for the same price.",1,0,0,Lauren H.,"New York, NY",3,127,296
3.0,2/21/2019,"I came in for lunch on a weekday after a long weekend, place was completely empty which I expected and liked since it wasn't a planned in and out lunch so I didn't want to be rushed. Well that was not the case from minute one. We were literally the only two people in the restaurant for a while. From the moment I sat down waiter had asked us ""do you want guacamole"" Would you like to start with would have been nicer. We didn't want any but still haven't had a chance to look at the menu. Waiter returned after few minutes with the same question, ""do you want guacamole"". At this point I was a little irritated, and again said ""no, thank you we will not have any, please give us few minutes to look at the menu"" Anyway, it was this type of experience for most of the time I was there. I at some point asked if he needs us to move to the bar or anything even though restaurant was nearly empty. He had no sense of reading customers and knowing whether his attention is needed or not.We ended up having 2 more people joining us but we're not will to eat just order drinks. That of course didn't sit well with staff.Of course at some point we were asked to close the tab and reopen it due to the shift change, I k ow for a fact this can be easily transferred. Through the rest of our visit we had I think manager come up to us very frequently and asking is if we need anything. When I actually said yes please we would like another round the response was oh I was just checking, waiter will take your order lol.Overall it wasn't a great experience. Food is ok but staff was just a little too much for my liking, I may try another location in the future.",0,0,0,Diana Z.,"Manhattan, NY",59,49,11
1.0,2/2/2019,"If you need a place to ruin your bottomless birthday Saturday brunch, this place is for you. If you're seeking staff that does not speak English this place is also just for you!  We confirmed a reservation for a bottomless brunch for a party of 5 at 2:45pm on 2/2/2019. Most of the party showed on time, however we were not able to be seated until everyone arrived. We were compliant and were told that there's no need to worry- ""would you like to sit at the bar to wait for the rest of your party"". Of course we said okay- I work in hospitality myself. When the rest of our party arrived we all sat down and were given menus that did not include the bottomless brunch special. At first, we all thought this was a mistake so my friend went to speak to management to confirm that we were still eligible for the bottomless brunch. To our dismay, and lack of apparent knowledge (according to the staff that did not inform us) the bottomless brunch had ended 6 minutes prior before we all sat down. This could of all been avoided if the staff communicated properly to their customers that bottomless brunch ended at a certain time..... there was no communication whatsoever, and because of this my Saturday birthday brunch was completely ruined.",0,0,0,Kristen C.,"Elon, NC",505,3,0
4.0,2/1/2019,First visit to the downtown Toloache and it was quite enjoyable. Had a delicious cocktail at the bar before dinner and were seated in their small dinning area. There is an upstairs that our server ensured us gets quite busy on weekends. The server- Luces? was very helpful with explaining some of our questions about the menu. After the guac appetizer we had the carne asada and the chicken tacos. Both were excellent!! Will definitely be going back! Bravo Sr Medina!,1,0,0,Joe J.,"New York, NY",0,8,0
4.0,1/15/2019,"I've been to the uptown Toloache and enjoyed it.  I was alone here, so only had a soup and guac, but they were both delicious and the service was very good also.  I hope to return.",0,0,0,Michael C.,"Brooklyn, NY",77,657,5
