rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,Always a winner! Very dangerous living across the street from this place! All in all I think this is my fav sushi in nyc.,0,0,0,William K.,"Manhattan, NY",15,49,129
2.0,4/25/2019,"I find Nobu Downtown SO overrated! We came with much expectation. And  it is noisy, the service lacks of attention, we had reservations for 9pm and when we arrived they told us that our table wasn't ready, what?? We waited for 20 more minutes. Unbelievable . The food is ok but nothing is outstanding, we had a very nice white wine though.Just go to the many sushi places New York has that are much better!Encontré a Nobu Downtown MUY sobrevalorado. Veníamos con mucha expectativa y es ruidoso, el servicio no es para nada atento, teníamos reserva para las 9pm y cuando llegamos nos dijeron que nuestra mesa no estaba lista, que?? Esperamos 20 minutos más.Increíble. La comida estuvo bien pero nada que destacar, si tomamos un muy rico vino blanco.Vayan a cualquiera de los sushi de Nueva York que son mucho mejores!",1,0,1,Marian M.,"Vicente López, Argentina",29,266,961
5.0,4/19/2019,Celebrated my Birthday here! The food was amazing! And so was the service. It was an expensive dinner but worth every penny. If you are a fan of seafood - check this spot out. Delicious sushi and sashimi. The restaurant is beautiful and has a very nice ambiance. We will be back!,1,0,0,Prem D.,"Coquitlam, Canada",4,76,24
4.0,4/15/2019,"Fresh, tasty, and wonderful modern twists on a traditional classic. The downstairs portion of the restaurant is beautiful, but we sat upstairs for a quieter experience. The service was great.",0,0,0,Jen H.,"Bronxville, NY",0,18,0
5.0,4/12/2019,Wife and I came for a late lunch. Perfect place to order as little or much as you like. Food was fabulous.,0,0,0,Andy H.,"Nashville, TN",3,36,83
4.0,4/5/2019,"Delicious food, great atmosphere, attentive wait staff. Yes I will return",0,0,0,Pearl S.,"New York, NY",0,7,0
5.0,4/4/2019,"The food is great. Our table was downstairs but I would have loved to sit upstairs despite the crowd. Upstairs had great lighting. Downstairs is more for a date night. We were seated right away and was greeted by Michael our waiter for the evening. Michael started us off with the drink menu and recommended the grapefruit martini. Then we ordered our appetizers...we ordered ceviche, rock shrimp and two hand rolls to start. Our entrees were chicken and salmon teriyaki. Our drinks came out first with the spicy edamame. The drinks were AMAZING! You didn't taste the alcohol but it did hit you and only after one drink. Then we got the ceviche...it was put together well. No piece was too big or too small. I wish the octopus wasn't to chewy when eating it. The hand rolls were good...the rock shrimp we asked for the creamy aioli on the side that was amazing! Then we got our entrees both salmon and chicken were perfect. It wasn't drenched in teriyaki sauce like some places do. After that they cleared off our table and asked if we wanted a dessert menu. We did...it took awhile for us to get a dessert menu but I think that was because it was very busy. We ordered gelato to split. The matcha gelato was great! Overall, this place is great for a nice date night because the pace was slow...it was not too loud where you weren't able to converse. And, you were evenly spread out from people. But, it does get busy after 7:00 pm.",0,0,0,Stephanie F.,"Brooklyn, NY",1,27,83
4.0,3/31/2019,"Came here for restaurant week lunch with my boyfriend. We both ordered the Yellowtail Sashimi with Jalepeno to start. I ordered the Rock Shrimp Tempura as my second course, and he opted for the Black Cod and Eggplant miso. The Yellowtail Sashimi was fresh and the dressing it came it was light and flavorful. The Rock Shrimp Tempura was delicious - the sauce was creamy with a kick. I highly recommend it. My boyfriend really enjoyed his second course as well. The meal overall was light and could be slightly more filling but it was overall very good. Ambiance was very pleasant with high ceilings and columns, plenty of windows, and a large bar in the center.  Make a reservation!",0,0,0,Maya E.,"Manhattan, NY",306,140,96
3.0,3/30/2019,"Honestly was not impressed, and left brunch hungry. I came here for my birthday because of their reputation. I ordered the Nobu cup sushi, Nobu fish and chips and the Soba cha granola with pear sorbet off of the brunch menu. The portion sizes are laughable. Since it was my birthday, my friends were being nice but I could see the disappointment on their faces when their meals came out. No really seemed to enjoy it. The service was terrible--waiters were inattentive, the bartender was rude and up-charged us (they refunded + recharged us after we caught the mistake), and we came during a shift change and were completely forgotten. Overall, I won't come back, but I wouldn't discourage anyone from coming.",0,0,0,Lela R.,"Brooklyn, NY",1,55,17
5.0,3/30/2019,"Nobu's Downtown restaurant exceeded my expectations and went above and beyond to ensure that my family and I had a joyous birthday dinner. The restaurant gave us a comfortable corner table and our waiter was an absolute delight. He gave helpful recommendations for what to order and was attentive to our dietary preferences. We ordered the black miso cod (imperative!), seafood ceviche, the miso bamboo special, salmon teriyaki, wagyu gyoza and spicy tuna roll. The standouts were definitely the black miso cod and the salmon teriyaki. For dessert, we ordered the calpico carrot cake and the staff wrote Happy Birthday on the plate. The carrot cake was out of this world! The dining experience was truly impeccable.",0,0,0,Jessica Y.,"Philadelphia, PA",243,197,3043
