rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,"The service is out of this world, Jason is amazing and has great recommendations. We just loved him! The snacks are great and the Duck is absolutely delicious. The deco and atmosphere is cute and cozy. 5 stars all around! Strongly recommend Feast.",0,0,0,Marie Helene P.,"Manhattan, NY",0,2,0
4.0,4/13/2019,"Three of us had a lovely dinner here earlier in the week. Two of us shared the multi-course tasting menu.  We were able to substitute out the brussel sprouts (HATE those!!) for a cheese plate.  The cheese plate was great, the arancini were delicious, the bass with lentils was wonderful, the steak was good, the butternut squash gnocchi were ok, and the apple cranberry crumble was good.  An thinking that I might have left out one other appetizer item, but I'm blanking.  Our other friend had a burger and seemed very very happy with it.  I wasn't a fan of the cider I ordered -- turns out it was a sour cider variety -- but I can't hold that against the restaurant.Wheelchair accessibility notes:  One decent-sized step up to enter.  I noticed that there was a a blue wheelchair sign lying on the hostess station as if it was going to be mounted in the window or perhaps had been mounted in the window and came down.  From the outside, I didn't see anything offering assistance to wheelchair patrons.  There's plenty of room to accommodate a wheelchair patron at the tables.  The bathroom is large enough for a wheelchair and has a horizontal metal pipe installed to one side of the toilet that could work as a grab bar.  The sink is mounted on top of a sewing machine stand.  I think the water would be reachable, but it would depend on the physical condition and flexibility of the patron.",0,0,0,Meg S.,"Manhattan, NY",3,137,0
4.0,4/8/2019,"Great brunch prix fixe, rustic-cute ambiance. Felt taken care of and not rushed (on a good-weather Saturday at 11:30)",0,0,0,Cindy P.,"Manhattan, NY",1,2,0
5.0,4/5/2019,"Looking for a decent brunch place in NYC is actually kind of difficult for someone as indecisive as me because there are just soooo many brunch options out there, with that said - I am so glad that I found Feast! First of all, the brunch prix fixe was only $29, that is unbeatable in NYC! It comes with a pastry basket, which I absolutely loved and you can tell all the breads were freshly baked, a juice shot, and yogurt with blueberries and granolas (how cute is that). For the entrees, we picked the salmon avocado tostada - smoked salmon, with smashed avocado on a crispy tostada, topped with a poached egg and arugula salad; simple, classic, you just can't go wrong with that. What I thought was the highlight of the whole meal was the Beijing Egg Benedict - pulled duck on top of scallion pancakes with poached eggs. Such a genius idea that puts a modern twist on the brunch classic! The scallion pancakes were savory and flakey, the duck was tender and juicy; absolutely loved this asian fusion! The only complain I have is that I wish the portions were bigger!Oh yea, did I mention the prix fixe also include drinks too? Enough said. Overall, great atmosphere, super cozy and bright, friendly staff, and just a very pleasant experience. Will definitely return!",0,0,0,Mary G.,"Manhattan, New York, NY",125,8,29
3.0,3/31/2019,"Good but not very memorable. Our party of 3 was ushered to their basement dining, which was rustic and not a bad room but lacked the vibrancy of their main level dining. Food was good and service was fine. Not sure I'd see this is a destination or would ever become part of our normal NYC dining rotation.",0,0,0,bruce s.,"Englewood, NJ",34,435,21
5.0,3/30/2019,"Brunch brunch brunch, yes. Feast is an excellent brunch option -- pleasant interior, good prices, and great food. The prix fixe brunch menu ($29 as of 3/30/2019) comes with a juice shot (beet and pomegranate, in our case), a small basket of delicious flaky pastries, and a yogurt parfait with fresh fruit and granola mixed in. And all that is just to start!The brunch also comes with an entree, so we decided to get one sweet (lemon souffle pancake) and one savory (merguez stew). Each was fantastic in its own way. The pancake was crazy good, with lots of flavor and a really creamy texture, especially in the center. It melted in my mouth because of how soft the souffle center was.The stew was also great. Meat was cooked to perfection, and the polenta was the perfect texture to complement the stew and egg.The brunch price also inclued one free drink, alcoholic or otherwise. Lots of options for coffee, juice, or various cocktails.All in all definitely worth the price, what a gem!",0,0,1,Cyrus A.,"Manhattan, NY",154,138,167
5.0,3/28/2019,What a Feast! I went with a bunch of friends and boy was I glad. The lentil soup was quite delicious and somewhat original in that they kept the lentils in their original state - not mashed like most. It also had kale which the soup actually made tasty! For dinner I had the portobello naan-wich. I ordered it with the fried egg I saw on the menu and it added great texture to the wich. It came with chickpea fries as well which was perfect for dipping in the herb aioli. All in all worth a visit from my perspective.,0,0,0,Michael T.,"New York, NY",16,282,534
5.0,3/24/2019,"We had a blast celebrating my husband's birthday.  There's a very cool secret space for parties and all 10 of us relished the company, great wine, and stellar food. I had the lobster pasta--delicious.",0,0,0,jody o.,"New York, NY",353,8,1
5.0,3/21/2019,Great dinner at Feast. The cod dish is layered in flavors and very filling. Wait staff are helpful and attentive. Great spot around the corner from Classic Stage. I'll be back.,0,0,0,Ann M.,"Wexford, PA",7,2,0
5.0,3/14/2019,"My friends and I love to go out for large-format dinners, so when I came across Feast's reasonable prix fixes, I knew that they would like my idea to make that our next stop.  The restaurant offered a Whole Hog experience that would need to be booked in advance, as well as general and vegetarian options that could be ordered ad hoc instead of going off the a la carte menu.  The 6 of us sat at a rectangular table and decided to partake in the traditional feast, which was served in multiple family-style courses.  As our mouths watered waiting for our first dish, we each ordered a cocktail from their unusual beverage list.  The Ministry of Love was a sweet, smoky, and herbaceous blend of mezcal, aquavit, manzanilla sherry, saffron, pineapple cordial, and lime.  Also before our multi-course experience began, we separately indulged in crusty slices of bread and a side order of Tacos.  Rather than using a tortilla, the ingredients were wrapped in a thick scallion pancake, adding an interesting Asian flair.  The inside was filled with black beans, trumpet royale mushrooms, and pickled cabbage.  They were delicious, but contained mainly cabbage.The first plate to arrive was the ""Fried Rice"" Balls, which were more Italian-influenced than Chinese.  These decadent bites were essentially fried mounds of creamy, Parmesan cheese and shiitake risotto.  The mushroom flavor really popped thanks to the infusion of truffle zest.  They were served with a tangy onion remoulade dipping sauce.  Aromatic fried Brussel Sprouts were tossed with lap chang sausage and dried cranberry, and then coated with crème fraiche and grain mustard.  The ingredients were a very intriguing combination that went shockingly well together, bringing spice and sweetness.  The main courses came next, centered around the NY Strip Steak, which continued that tangy and syrupy vibe with its bacon onion jam marinade.  The meat was tender and perfectly cooked to our requested medium rare.  The large, sliced steak was served over cooked peas and carrots.  The massive slab of beef was balanced out by plates offering seafood and vegetarian options.   The Bass was silky and its miso glaze encased it in flavor.  It was served over a bed of beluga lentils and seasoned with preserved lemon and a rich beurre blanc sauce.  The creaminess progressed with plates of Sweet Potato Gnocchi in a sage and hazelnut brown butter sauce.  The tender pillows of dough were tossed with Chinese bacon for a salty kick.  The main dishes were accompanied by crisp Taro Fries with a miso aioli.  For dessert, the chef surprised us with Baked Apples and Blueberries with a Crumb Topping.  It was a soul-warming dessert, perfect for the crisp winter evening and fitting for the restaurant's rustic farmhouse vibe.At $62 per person, the hearty and delicious menu was an incredible deal I would recommend to anyone.",5,0,6,Alison C.,"Hoboken, NJ",1125,1410,640
