rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/8/2019,"Temple Court is located inside The Beekman Hotel, where we stayed on our recent visit. We had a fantastic brunch at Temple Court and highly recommend it. First, the atmosphere is very cool. I love a restaurant that has been professionally designed and oozes luxury.  Second, our food was simply delicious. Their bacon is the thickest cut bacon I've ever seen and now I want it everyday.  Our meals were divine and my husband even ate there the second day too. I certainly recommend Temple Court.",0,0,0,Ashley R.,"Charlottesville, VA",0,7,9
5.0,3/29/2019,"Nice ambiance, the food is delicious and service is very good.  I will definitely come back for my next special occasion.",0,0,0,Kika U.,"Parsippany, Parsippany-Troy Hills, NJ",2,6,20
5.0,3/29/2019,Perfect place for an upscale dining experience after city hall visit. Open for breakfast!,0,0,0,Erin K.,"Manhattan, NY",1,68,55
5.0,3/28/2019,I recently moved to LA and one of the things the most about NYC is this restaurant. Come open a location in LA please!,0,0,0,Seanie S.,"San Francisco, CA",216,17,1
3.0,3/27/2019,"Temple Court is an absolutely STUNNING location for brunch. The room is wonderfully decorated with beautiful lights, art and shelves showcasing various books and items from stuffed birds to tea sets. The main room has an open ceiling which shows off multiple floors above, topped with a huge skylight. It gives you a quite upscale, fancy feeling walking in. We arrived for brunch at 1230. There was a lovely singer and bass player. They sounded wonderful. We were seated at a table near the back wall with a nice view of the performance. The table, while cute, was not very comfortable for eating. The seats were very low and deep. It was much more suited for just lounging rather than a meal. We started off ordering a round of cocktails which are priced at $16. Mine was delicious with orange and a brandy cherry. My friend got the last one on the brunch menu but unfortunately, they did not have orange espresso. They made it, but it was not very tasty so she got a wine instead. We started with te burrata which is served with squash and pomegranate. It was beautifully plated and the flavors worked very nicely.  For entrees, we ordered the baked eggs and the country omelette. The baked eggs do not come with any bread (which is just wrong in my opinion) so we got a side of the multigrain. The food was absolutely delicious. The cauliflower was perfect and the sauce that accompanied it was very tasty with a little spice. The multigrain toast was perfect for scooping up the runny yolk and the tomato sauce.  However, we were sitting at the edge of those low chairs and even sitting up as straight as possible, the food was only about 6-8 inches below our faces. It was rather uncomfortable to eat like that. We ended the meal with the baked alaska. Since it was one of our birthday's the server put a little candle in it (and we avoided a birthday song from the jazz musicians because SOMEONE doesn't like the attention). The baked alaska was really good. I normally do not eat dessert but this was a perfectly decadent meal ender and would honestly think about coming back just for one of these bad boys. The food overall was great. I loved the space and the jazz brunch. The tables were just SO uncomfortable. It was very expensive. For three people, it was 200 with our tip (which is a bit more than I would normally pay for unlimited brunch). As it was for a birthday celebration, the fancier meal was accepted but I would not choose to come back for just any old brunch day.",2,0,0,Erin P.,"Brooklyn, NY",340,314,1082
3.0,3/24/2019,"I did not eat at the restaurant so this review is for the bar/lounge only .Upscale place for sure with a sluggish/I couldn't be bother attitude from some of the bartenders and hosts .It would have been appropriate for the bartender that served us that evening to tactfully inform us also that champagne will be $35/glass.It's not about the money, it is more about the principle I believe... Otherwise the place looks like a well done Hollywood set .Will shrug my shoulders if my friends want to go back there....",0,0,0,Frederic B.,"New York, NY",0,6,0
3.0,3/22/2019,"Temple Court is a very upscale, dressy restaurant. As part of my Amex FHR benefits, I was credited up to $100 to dine here. The service was extremely slow at first. It took our server 30 minutes to get us our menu and water. My boyfriend had to calm me down. Other than that, as soon as our server gave us our menus and started paying attention, service was better. Our table ordered Hamachi for starters. I forgot what was in it, but it was really delicious and ingredients were fresh. For our main entrees, party and I ordered two dishes to share: 1/2 Lobster and Baked Alaska. The Salmon in the Baked Alaska MELTED in my mouth. The citrus touch on the sauce was very fun and needless to say, all the ingredients were top-notch high quality. Besides the service, my experience here at the Temple Court was great! Would I come back here? Honestly, I wouldn't be too sure. For those who would like to break away from the crowd should definitely check out Temple Court--there were plenty of empty seats when I was here. In fact, I stopped by at 8pm Sunday.",1,0,0,Sunny P.,"Fort Lewis, Joint Base Lewis-McChord, WA",140,52,46
1.0,3/3/2019,"I can  not speak on dinner but I can speak on my awful breakfast. I stayed at The Beekman and headed downstairs for breakfast. I ordered the breakfast sandwich and asked for the spicy aioli on the side. I get the sandwich and it is loaded with the aioli. I asked politely if I can get one without. The waiter happily obliged as it was an error. The new sandwich returns rather quickly. It is then I take a  bite not only was my sandwich cold and my bun stale,  they simply just scraped the aioli of my last sandwich with still a heavy amount of it on the bun. I returned the sandwich and the waiter was extremely apologetic. I was really looking forward to my breakfast to be  really disappointed. Only plus was the fruit side dish was fresh. Coffee was ok.",0,0,0,Nicole O.,"Caldwell, NJ",0,3,0
4.0,2/11/2019,"Great space to dine!Love the Norman Rockwell cocktail.Apps:Cavatelli - thought it was a bit boring.Gnudi - I didn't know what gnudi was but it was soooo yunmy, our best appetizer ordered that day. It's like gnocchi and marshmellow got married.Mussel - very good and love the smokiness flavor.Chicken Liver Pate - it's good but also like elsewhere, has a bit orange scent though.Entree:Salmon - salmon is salmon.Skate - very very good, a bit heavy on sauce but flavorful.Mushroom Tart - a bit small as an entree but it was good to share.Duck Confit - super tender and delicious.Chopped Steak - too burger.Dessert:We ordered 3 desserts honestly I wasn't crazy of any of them... See photos..It was restaurant week but I heard it's basically their regular menu. Probably the best restaurant week menu in the city!",1,0,0,Emi B.,"Manhattan, NY",178,485,2101
4.0,2/10/2019,Their food definitely beats my expectations after reading all the yelp reviews. I thought the food would be just ok but it's actually pretty good. We had pasta and hamachi for appetizers. Then we had the duck and beef Wellington as mains. We finished with the baked Alaska and strawberry shortcake. The restaurant also has a cool lounge and bar area that we will be back to explore the drinks.,0,0,1,Callie S.,"New York, NY",133,123,502
